"logFC" "logCPM" "F" "PValue" "FDR"
"yjfY" 7.76868424694968 6.79015898026542 887.757786212297 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000109808765256185 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000039026035172048
"zntR" 3.64778012058831 7.36530988976437 647.160859158518 0.0000000000000000000000000000000000000000000000000000000000000000000000000294676901738375 0.0000000000000000000000000000000000000000000000000000000000000000000000523640854389092
"gcvH" -4.90968508053489 7.62850213781219 618.584126452815 0.00000000000000000000000000000000000000000000000000000000000000000000000225754063688507 0.00000000000000000000000000000000000000000000000000000000000000000000267443314116318
"ybaA" 6.14657349519063 7.84043090768771 614.185186847954 0.00000000000000000000000000000000000000000000000000000000000000000000000445701357258486 0.00000000000000000000000000000000000000000000000000000000000000000000396005655924165
"hokD" 5.41763697904455 9.36623055376037 595.537889737072 0.0000000000000000000000000000000000000000000000000000000000000000000000827505275972171 0.0000000000000000000000000000000000000000000000000000000000000000000588190750161019
"gcvT" -5.26771080842714 8.72334056168926 582.520335524711 0.000000000000000000000000000000000000000000000000000000000000000000000660246999978096 0.000000000000000000000000000000000000000000000000000000000000000000391086306320359
"yhdN" 3.7716104728653 7.92037540290753 572.056867314283 0.00000000000000000000000000000000000000000000000000000000000000000000358659716932031 0.00000000000000000000000000000000000000000000000000000000000000000182096661996634
"rutA" 5.34158526721447 2.90443850168885 559.197340999473 0.0000000000000000000000000000000000000000000000000000000000000000000574900389402948 0.000000000000000000000000000000000000000000000000000000000000000025539949799226
"guaC" -4.32378258266441 7.99126897595986 514.288995211799 0.0000000000000000000000000000000000000000000000000000000000000000607739274887358 0.0000000000000000000000000000000000000000000000000000000000000239989486994408
"relE" 4.95235497156856 9.25884502026944 510.826687209338 0.000000000000000000000000000000000000000000000000000000000000000111417052661888 0.0000000000000000000000000000000000000000000000000000000000000395976205160351
"livJ" -5.20500765753246 7.5698490696624 508.426340896484 0.000000000000000000000000000000000000000000000000000000000000000169875194197635 0.0000000000000000000000000000000000000000000000000000000000000548851309253086
"ykfB" 3.32007903883849 7.11692060667535 500.892533599113 0.000000000000000000000000000000000000000000000000000000000000000643777549195104 0.00000000000000000000000000000000000000000000000000000000000019066545081995
"prpD" 5.40688312948503 4.59829904510662 514.069118360128 0.00000000000000000000000000000000000000000000000000000000000000274130680167535 0.000000000000000000000000000000000000000000000000000000000000749431105627246
"mcbA" 6.25417975978853 8.089690892163 471.646852841213 0.000000000000000000000000000000000000000000000000000000000000128680445729204 0.0000000000000000000000000000000000000000000000000000000000326664502943993
"nrdD" 4.44926628967788 9.3356688864041 470.62086694932 0.000000000000000000000000000000000000000000000000000000000000155546174553717 0.0000000000000000000000000000000000000000000000000000000000368540736242606
"yafE" 2.55345296217286 6.08289570286186 466.211460890847 0.000000000000000000000000000000000000000000000000000000000000352420931696728 0.0000000000000000000000000000000000000000000000000000000000782814994531357
"yqfA" 3.38498568183638 8.35238464132656 447.528146839565 0.0000000000000000000000000000000000000000000000000000000000119124572408098 0.00000000000000000000000000000000000000000000000000000000249040429610812
"relB" 4.30705296626708 7.69844619426797 440.839737055132 0.0000000000000000000000000000000000000000000000000000000000429538519447392 0.00000000000000000000000000000000000000000000000000000000848099943397796
"yeeY" 3.21485393982362 7.14016412699706 437.529819552309 0.0000000000000000000000000000000000000000000000000000000000813918926364441 0.000000000000000000000000000000000000000000000000000000015224567706838
"upp" -5.93936226760378 8.01061929708793 434.95345616832 0.000000000000000000000000000000000000000000000000000000000134134049706953 0.0000000000000000000000000000000000000000000000000000000238356206329256
"fxsA" 4.10046250704491 7.00144795761006 432.651164335262 0.000000000000000000000000000000000000000000000000000000000209935775503493 0.0000000000000000000000000000000000000000000000000000000355291307685435
"yjjI" 3.35209898536579 6.09114685817245 431.724100834259 0.000000000000000000000000000000000000000000000000000000000251538357541754 0.0000000000000000000000000000000000000000000000000000000406348783046997
"yciG" 6.51529164288739 8.66090960354465 431.124854795523 0.000000000000000000000000000000000000000000000000000000000282756402647643 0.0000000000000000000000000000000000000000000000000000000436920110873793
"ydeI" 4.62200865644103 7.33877505247112 428.931626076677 0.000000000000000000000000000000000000000000000000000000000434249348386538 0.0000000000000000000000000000000000000000000000000000000643050910069065
"pspG" 5.12270637721426 8.56837493954582 425.375830800787 0.00000000000000000000000000000000000000000000000000000000143509967088053 0.000000000000000000000000000000000000000000000000000000204013769212377
"pspB" 4.84462533576463 7.74093649707195 417.588240332698 0.00000000000000000000000000000000000000000000000000000000408145140896337 0.000000000000000000000000000000000000000000000000000000557903011825224
"proX" -3.71557642763292 7.39882827401569 413.342331380067 0.00000000000000000000000000000000000000000000000000000000953152652521411 0.00000000000000000000000000000000000000000000000000000125463130631892
"pspD" 4.91862186248791 7.7024470624345 405.439666562651 0.0000000000000000000000000000000000000000000000000000000468660940749243 0.00000000000000000000000000000000000000000000000000000594864636936717
"gltL" -3.66091285875136 5.64418598440757 397.923469011113 0.000000000000000000000000000000000000000000000000000000216895379697058 0.0000000000000000000000000000000000000000000000000000265809027394256
"ybdR" 3.85554710842796 8.50770255960003 395.795856777552 0.000000000000000000000000000000000000000000000000000000335705022648793 0.0000000000000000000000000000000000000000000000000000397698550164603
"prpE" 4.01042493590468 4.90766170615984 401.643219355819 0.00000000000000000000000000000000000000000000000000000181620243392212 0.000000000000000000000000000000000000000000000000000208218820972878
"ibpB" 6.0438380208289 8.18585941911885 384.654797508043 0.00000000000000000000000000000000000000000000000000000338308093636184 0.000000000000000000000000000000000000000000000000000375733426494687
"nadB" -4.41512545195566 8.30601607691773 384.404600497135 0.00000000000000000000000000000000000000000000000000000356483739348944 0.000000000000000000000000000000000000000000000000000383922184741257
"znuC" 3.74259699648963 7.84724345673436 382.447142133001 0.00000000000000000000000000000000000000000000000000000537217619803137 0.000000000000000000000000000000000000000000000000000561550417876573
"dtpB" 3.05727968269416 7.13530809025843 377.843975641489 0.0000000000000000000000000000000000000000000000000000141612786666514 0.00000000000000000000000000000000000000000000000000143797669660797
"yhjX" 6.27886113169898 7.92181083475729 376.032562902354 0.0000000000000000000000000000000000000000000000000000207764273578669 0.00000000000000000000000000000000000000000000000000205109507860719
"ycjX" 3.87082507851271 8.97841133664772 374.586329941747 0.0000000000000000000000000000000000000000000000000000282366737449039 0.00000000000000000000000000000000000000000000000000271224698619969
"ompF" -5.32869711257679 9.503176066871 374.090715014928 0.0000000000000000000000000000000000000000000000000000313720928925112 0.00000000000000000000000000000000000000000000000000293411626684171
"prpB" 5.43266156491522 5.62811755356693 384.752962075391 0.0000000000000000000000000000000000000000000000000000322299804110081 0.00000000000000000000000000000000000000000000000000293706026617238
"yafD" 3.33666537639982 9.37451533209991 372.917295843534 0.0000000000000000000000000000000000000000000000000000402674167087903 0.00000000000000000000000000000000000000000000000000357775997457602
"yjdN" 4.75771304725041 8.3999557269825 369.995503196484 0.000000000000000000000000000000000000000000000000000075119433175685 0.00000000000000000000000000000000000000000000000000651157232942402
"pyrB" -10.5682130001415 10.1823252412152 369.283977562696 0.0000000000000000000000000000000000000000000000000000874751407794092 0.00000000000000000000000000000000000000000000000000740206310309572
"ybeD" 4.67015881568734 8.97857100823537 368.149873870228 0.000000000000000000000000000000000000000000000000000111543695374097 0.00000000000000000000000000000000000000000000000000921921612464049
"thiB" -3.53776962234892 5.72458549531261 373.704590358644 0.000000000000000000000000000000000000000000000000000307164886242179 0.0000000000000000000000000000000000000000000000000248105455841978
"putA" -5.46146875117428 9.37898865024495 357.489482636922 0.00000000000000000000000000000000000000000000000000111926185293366 0.0000000000000000000000000000000000000000000000000883968138961382
"yohC" 6.52900823942719 9.81157158245263 355.637201920208 0.0000000000000000000000000000000000000000000000000016775317977534 0.00000000000000000000000000000000000000000000000012960756541773
"argA" 5.8949354770269 6.7606104710261 352.887848034883 0.00000000000000000000000000000000000000000000000000306534749031247 0.000000000000000000000000000000000000000000000000231792446395118
"pspC" 4.67476048680286 8.46612713506253 352.532436167111 0.00000000000000000000000000000000000000000000000000331442386877974 0.000000000000000000000000000000000000000000000000245405467284233
"yeaD" -3.30636591953688 7.23841740238426 350.645292961843 0.00000000000000000000000000000000000000000000000000502206684782922 0.000000000000000000000000000000000000000000000000364253583207858
"prpC" 4.55330289194208 4.48229943317644 362.253346739231 0.00000000000000000000000000000000000000000000000000515409715566731 0.000000000000000000000000000000000000000000000000366353225824833
"purM" -5.7669865200736 8.86100583132964 348.840092694763 0.00000000000000000000000000000000000000000000000000748226104738658 0.000000000000000000000000000000000000000000000000521410897302194
"ycjF" 3.2378435198239 7.61315628984908 347.237528987066 0.0000000000000000000000000000000000000000000000000106701142366127 0.000000000000000000000000000000000000000000000000729261269171569
"purU" -3.81356775716012 7.26996512002746 344.10432393333 0.0000000000000000000000000000000000000000000000000214130887762533 0.00000000000000000000000000000000000000000000000143588900963781
"ycfJ" 3.68316191916024 7.68065892962835 342.607953852783 0.0000000000000000000000000000000000000000000000000299017489448053 0.00000000000000000000000000000000000000000000000196797806944145
"alaE" 4.30431056094782 6.74664814746869 341.157883475784 0.000000000000000000000000000000000000000000000000041358425206836 0.000000000000000000000000000000000000000000000002672506239729
"purT" -5.30438987840907 7.98956956626498 340.57953088853 0.000000000000000000000000000000000000000000000000047080505215535 0.00000000000000000000000000000000000000000000000298793063457163
"sdhB" -5.22780796208667 7.98474842707429 339.354934637945 0.0000000000000000000000000000000000000000000000000619693700982982 0.00000000000000000000000000000000000000000000000386384458472547
"focA" 3.27032614085241 9.09191363094769 336.668704607248 0.000000000000000000000000000000000000000000000000113445538006991 0.00000000000000000000000000000000000000000000000695147313925599
"yncG" 4.33802182762705 6.7856434781032 335.7524579352 0.000000000000000000000000000000000000000000000000139516741156561 0.00000000000000000000000000000000000000000000000840411013678671
"bssR" 7.33772447569259 10.5531591493886 334.956070310656 0.00000000000000000000000000000000000000000000000016704096929641 0.00000000000000000000000000000000000000000000000989439341465736
"ompT" -5.49127777849996 10.0980758126353 329.354938493444 0.000000000000000000000000000000000000000000000000596635537758983 0.0000000000000000000000000000000000000000000000347613557573021
"xthA" -2.48599278424182 6.37431765696115 328.708067290551 0.00000000000000000000000000000000000000000000000069166052550998 0.0000000000000000000000000000000000000000000000396477662526205
"nuoA" -3.17223019840395 7.33329828025749 326.581361303583 0.00000000000000000000000000000000000000000000000112563413852854 0.000000000000000000000000000000000000000000000063500059179848
"dinJ" 2.89504502685833 7.24791910403542 325.561735216977 0.0000000000000000000000000000000000000000000000014225492710824 0.0000000000000000000000000000000000000000000000789959392097945
"uxaA" 3.43890950733012 8.02134670159677 323.258898379943 0.000000000000000000000000000000000000000000000002417297426082 0.000000000000000000000000000000000000000000000132026397157538
"ypeC" 4.1755098592921 8.3180057962692 323.197442820088 0.00000000000000000000000000000000000000000000000245181266527786 0.000000000000000000000000000000000000000000000132026397157538
"argF" 8.21393576130391 7.23060436950832 321.468197574597 0.00000000000000000000000000000000000000000000000365595149434382 0.000000000000000000000000000000000000000000000193929128520865
"purN" -4.0083509171041 7.7307036544627 320.874346781185 0.00000000000000000000000000000000000000000000000419473273990033 0.000000000000000000000000000000000000000000000219236472905967
"mepS" -4.54926225028312 7.35239443896618 319.21636614098 0.00000000000000000000000000000000000000000000000616182711466952 0.000000000000000000000000000000000000000000000317378747326601
"mqsR" 4.86494090158639 8.34602843814254 317.951483375535 0.00000000000000000000000000000000000000000000000826863834697684 0.000000000000000000000000000000000000000000000418085969582791
"nadA" -3.95635563402415 8.90532579960756 317.908229310272 0.00000000000000000000000000000000000000000000000835230834000512 0.000000000000000000000000000000000000000000000418085969582791
"polB" 2.34458421068918 7.31010399961387 319.519241040924 0.0000000000000000000000000000000000000000000000117415741439109 0.000000000000000000000000000000000000000000000579577145936937
"sdhA" -6.02711913846253 9.28996569445068 315.631337349916 0.0000000000000000000000000000000000000000000000142046223895416 0.000000000000000000000000000000000000000000000691551068115491
"yjcB" 3.44463052150071 7.26119977012272 315.256842738811 0.0000000000000000000000000000000000000000000000155041260494731 0.000000000000000000000000000000000000000000000736957672819899
"znuB" 2.99239122250776 6.56133140459424 315.243656264098 0.0000000000000000000000000000000000000000000000155520049131943 0.000000000000000000000000000000000000000000000736957672819899
"dcrB" -2.48905484124718 7.18385826674143 314.979638148954 0.0000000000000000000000000000000000000000000000165426053734742 0.000000000000000000000000000000000000000000000773584467070096
"tgt" -3.6244367077457 7.94667038308181 314.433482718062 0.0000000000000000000000000000000000000000000000187982629813964 0.000000000000000000000000000000000000000000000867649696569904
"gcvP" -3.90373404763974 9.69127962402588 313.169638376699 0.0000000000000000000000000000000000000000000000252801326916561 0.00000000000000000000000000000000000000000000115186655879674
"rutG" 3.04207079697888 4.41244681243374 313.082273004194 0.000000000000000000000000000000000000000000000025803794164434 0.00000000000000000000000000000000000000000000116084410709365
"ilvI" -3.68579393518836 7.63071004929155 314.452245607987 0.0000000000000000000000000000000000000000000000265110152818189 0.00000000000000000000000000000000000000000000117775185389481
"osmB" 4.39441882928227 9.33705184007164 312.292014249138 0.0000000000000000000000000000000000000000000000310660958925665 0.00000000000000000000000000000000000000000000136307289879236
"yaiY" 3.41198393722616 5.62921961354524 313.635002854173 0.0000000000000000000000000000000000000000000000320703295555823 0.00000000000000000000000000000000000000000000138997501512853
"proV" -4.26608402407636 7.49975049548274 310.391301467382 0.0000000000000000000000000000000000000000000000485958150184526 0.00000000000000000000000000000000000000000000208083766958531
"pyrD" -7.17447829772161 7.01389701547654 310.23609586944 0.0000000000000000000000000000000000000000000000504073341959264 0.00000000000000000000000000000000000000000000213271030633717
"livK" -4.23949848052179 6.33471177547397 309.025815755468 0.0000000000000000000000000000000000000000000000670789222425265 0.0000000000000000000000000000000000000000000028046881135287
"pyrC" -5.5728639271279 8.87213914642811 307.637880308667 0.000000000000000000000000000000000000000000000093156342157797 0.00000000000000000000000000000000000000000000384974000033501
"yfbV" 2.75821348184006 7.84774965091846 301.688409065806 0.000000000000000000000000000000000000000000000384136024356595 0.000000000000000000000000000000000000000000015692177362797
"thiC" -3.25531015548849 6.7311469747929 301.470059849602 0.000000000000000000000000000000000000000000000404750288923158 0.0000000000000000000000000000000000000000000163463923503739
"gtrB" -3.79679696804191 6.26673876387257 300.560887839005 0.00000000000000000000000000000000000000000000050327846416101 0.000000000000000000000000000000000000000000020097209681216
"sulA" 3.00454384189107 7.7057258024462 299.239107029647 0.000000000000000000000000000000000000000000000691257470860431 0.0000000000000000000000000000000000000000000272969894604219
"mqsA" 4.40786483630357 8.38687656361885 298.373738188578 0.000000000000000000000000000000000000000000000851237878472655 0.0000000000000000000000000000000000000000000332450485724376
"cvpA" -4.05395746958254 7.67068879367383 295.720797929969 0.00000000000000000000000000000000000000000000161465510142388 0.0000000000000000000000000000000000000000000623748285919616
"ispD" -2.88117805690533 6.00388431455008 295.478388457417 0.00000000000000000000000000000000000000000000171217884317692 0.000000000000000000000000000000000000000000065431006544632
"ypfG" 2.68623420019702 7.02664112656114 295.368970865955 0.00000000000000000000000000000000000000000000175812166181196 0.0000000000000000000000000000000000000000000664719615540394
"gltJ" -3.36686345820878 5.48512039125372 295.280939468017 0.00000000000000000000000000000000000000000000179598474517924 0.0000000000000000000000000000000000000000000671887345722846
"dacA" -2.77680626244422 7.83939520974617 295.053774554051 0.00000000000000000000000000000000000000000000189752930627169 0.0000000000000000000000000000000000000000000702481161925998
"paoD" 2.76422144244548 5.51814343799668 293.037896267686 0.00000000000000000000000000000000000000000000309438042034962 0.000000000000000000000000000000000000000000113375546535284
