"logFC" "logCPM" "F" "PValue" "FDR"
"yebE" -4.67406807870388 8.13310381512978 1076.14795102868 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410903436290239 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000147062339848276
"ssuC" -7.76286404770187 6.71388666142756 763.348011923686 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000233929743010647 0.00000000000000000000000000000000000000000000000000000000000000000000000000000418617275117554
"ssuB" -5.00014674050252 6.98974530786201 735.019217589657 0.000000000000000000000000000000000000000000000000000000000000000000000000000000105794214193337 0.000000000000000000000000000000000000000000000000000000000000000000000000000126212497532651
"ssuD" -7.61821460706485 7.49982142940591 676.623646250532 0.000000000000000000000000000000000000000000000000000000000000000000000000000387883312058738 0.000000000000000000000000000000000000000000000000000000000000000000000000347058593464555
"ssuA" -7.65409448070621 6.49398616587816 652.972439345302 0.00000000000000000000000000000000000000000000000000000000000000000000000001244614931405 0.00000000000000000000000000000000000000000000000000000000000000000000000890895367899701
"tauD" -6.45255470167136 8.06971941570119 577.370262364793 0.00000000000000000000000000000000000000000000000000000000000000000000152005077591666 0.000000000000000000000000000000000000000000000000000000000000000000906710287834285
"ssuE" -5.5660060965026 5.30523671921063 550.788344567096 0.000000000000000000000000000000000000000000000000000000000000000000119825927747584 0.0000000000000000000000000000000000000000000000000000000000000000612652850583718
"modA" -3.4484384439417 5.9713685116075 533.92687289124 0.00000000000000000000000000000000000000000000000000000000000000000205897316625462 0.000000000000000000000000000000000000000000000000000000000000000921133120253162
"ymdF" 6.42656134864105 8.9498213937297 489.902604426165 0.00000000000000000000000000000000000000000000000000000000000000461580990597739 0.00000000000000000000000000000000000000000000000000000000000183555373927701
"narZ" 3.44894259433391 6.49500483640519 479.138194877072 0.000000000000000000000000000000000000000000000000000000000000032578085503613 0.0000000000000000000000000000000000000000000000000000000000116596968017431
"acrD" -2.81916412754141 6.04374282510268 441.445711571099 0.0000000000000000000000000000000000000000000000000000000000383243181897751 0.0000000000000000000000000000000000000000000000000000000124693395273823
"tauC" -7.20418731838504 7.95073314188518 436.401936626466 0.000000000000000000000000000000000000000000000000000000000101531585626893 0.0000000000000000000000000000000000000000000000000000000302817954132209
"narY" 3.5553230925378 5.48973678344812 407.919576104777 0.0000000000000000000000000000000000000000000000000000000284439188228266 0.00000000000000000000000000000000000000000000000000000783082965129972
"narU" 4.09483005013174 4.70406621765225 398.852087434525 0.000000000000000000000000000000000000000000000000000000179748910331206 0.0000000000000000000000000000000000000000000000000000459515250053847
"cspI" -4.6005912421781 5.52119521169191 399.989680634482 0.000000000000000000000000000000000000000000000000000000226432296502721 0.0000000000000000000000000000000000000000000000000000540267459455492
"degP" -4.30093892973941 9.65798553005361 395.799795415193 0.000000000000000000000000000000000000000000000000000000336220522623223 0.0000000000000000000000000000000000000000000000000000743529651484185
"spy" -3.65654629794606 8.10301938279605 395.560637731018 0.000000000000000000000000000000000000000000000000000000353171390758065 0.0000000000000000000000000000000000000000000000000000743529651484185
"nac" 3.08589767491606 4.78604306291779 391.136794803786 0.000000000000000000000000000000000000000000000000000000880041715166348 0.000000000000000000000000000000000000000000000000000174981627698909
"rutA" 4.0033327407315 2.90465752313426 382.741244455311 0.00000000000000000000000000000000000000000000000000000786477110388439 0.00000000000000000000000000000000000000000000000000148147451477907
"ompR" 3.27926826000412 6.7460059243722 379.542127404773 0.00000000000000000000000000000000000000000000000000000991820810418516 0.00000000000000000000000000000000000000000000000000177486334024393
"tauB" -7.42686581973097 8.20996804523314 346.192137797468 0.0000000000000000000000000000000000000000000000000134834437286335 0.00000000000000000000000000000000000000000000000229796405260854
"chaA" -3.36733128604998 7.03716789385978 320.00813847297 0.00000000000000000000000000000000000000000000000513674562692369 0.000000000000000000000000000000000000000000000835655118125449
"lpxP" -2.67961440354042 7.48345804528399 319.483056675671 0.00000000000000000000000000000000000000000000000580234717110334 0.000000000000000000000000000000000000000000000902895675016472
"tauA" -7.48268983757481 8.53118440945526 302.711998700275 0.000000000000000000000000000000000000000000000301240787552478 0.0000000000000000000000000000000000000000000449225324437633
"argG" 4.87874470047571 8.28722875854513 294.418822787202 0.00000000000000000000000000000000000000000000221674426241013 0.000000000000000000000000000000000000000000317349108606634
"yncJ" -3.82191562777102 4.32907578993979 292.41444893877 0.00000000000000000000000000000000000000000000360676414710197 0.000000000000000000000000000000000000000000496484957018383
"argA" 5.13179453243082 6.7607579332417 289.291933767343 0.00000000000000000000000000000000000000000000772595323394965 0.00000000000000000000000000000000000000000102411802312244
"narW" 3.55316255265818 3.71898812589442 278.085129781881 0.000000000000000000000000000000000000000000123221139775728 0.0000000000000000000000000000000000000000157503021163332
"argB" 5.61244214400384 6.66211132357379 272.251826905321 0.000000000000000000000000000000000000000000532680454010422 0.0000000000000000000000000000000000000000657401153414932
"pstS" -2.87108977827773 7.33702306208882 270.73296225327 0.000000000000000000000000000000000000000000781861504944662 0.0000000000000000000000000000000000000000932760775398982
"argI" 8.57558105269015 5.99774065462815 268.849601624817 0.00000000000000000000000000000000000000000126019650875347 0.000000000000000000000000000000000000000144992827082866
"argC" 6.12202086305947 6.62024922380619 268.738095651656 0.00000000000000000000000000000000000000000129638738939696 0.000000000000000000000000000000000000000144992827082866
"argH" 5.16324143129645 7.8493483576048 264.754662266599 0.00000000000000000000000000000000000000000357839917224946 0.000000000000000000000000000000000000000388093655681236
"argF" 6.97899698590846 7.23066971020533 263.609241461966 0.00000000000000000000000000000000000000000479832964596401 0.000000000000000000000000000000000000000505094758908976
"yqjA" -1.89733864606198 7.4687009869869 261.763890833857 0.00000000000000000000000000000000000000000770756454218227 0.000000000000000000000000000000000000000788153528470581
"artJ" 5.62387351830009 6.20302780415195 259.316743682543 0.0000000000000000000000000000000000000000144866978187141 0.00000000000000000000000000000000000000144021920814383
"argD" 4.96997045053181 7.13110575964957 254.712221772458 0.0000000000000000000000000000000000000000478704087682229 0.00000000000000000000000000000000000000463049170220188
"cpxP" -3.11669695612429 10.0440040061479 245.711869962924 0.000000000000000000000000000000000000000510498549020881 0.0000000000000000000000000000000000000480809028143614
