"logFC" "logCPM" "F" "PValue" "FDR"
"lacA" -6.85738009482472 6.26121340236363 463.120967081504 0.000000000000000000000000000000000000000000000000000000000000726054268044256 0.00000000000000000000000000000000000000000000000000000000222753449435978
"lacY" -7.18796884454618 7.33095887582404 325.652975452793 0.00000000000000000000000000000000000000000000000153585238913263 0.00000000000000000000000000000000000000000000235599756492946
"lacZ" -8.94575342833877 10.9369179506045 229.719983035116 0.0000000000000000000000000000000000000403572992612054 0.0000000000000000000000000000000000412720647111261
"cynX" -2.38318372053151 3.67062839921968 111.230453000448 0.000000000000000000000468589646729224 0.000000000000000000359408259041315
"galP" 1.35393738965768 6.99424652580499 65.3456997455246 0.0000000000000202011392996587 0.0000000000123954190742706
"ycgZ" -1.45582729606824 3.31121290266372 49.3281275579041 0.0000000000170512764629114 0.0000000087188860313687
"ynhF" -1.64509680897488 2.54498838061757 40.2878516614961 0.000000000902648836419204 0.00000039561809001916
"ymgA" -1.40625750389973 2.90959154117357 39.6860657606553 0.00000000118110276016717 0.000000430971719344568
"ymgC" -1.90995308174237 1.39105038760263 39.5965050658103 0.00000000126425862910727 0.000000430971719344568
"leuL" -2.08099257217832 1.18031658612822 34.8013849412885 0.0000000127969379991423 0.00000392610057813684
"galE" 0.930883987409505 6.70438603238287 32.1730607228114 0.0000000357311390576551 0.00000996573951171689
"galT" 0.862634304774022 6.00550057204699 30.0413055091586 0.0000000958036644915006 0.0000244938035549936
"yaaY" -1.1916743078057 5.19426319420598 25.597548305653 0.000000770885832055183 0.000181929056365023
"yneM" -1.36140050720166 4.30699241521876 17.1083116492931 0.0000469780248339879 0.0102948985850482
"yciY" -1.1041907900445 3.94601358534722 15.3754224152904 0.000111665654457664 0.0228393485250742
"acrZ" -0.953657117803155 3.38023211894079 13.3606663447723 0.00030784158518447 0.0590286239591222
"yeaQ" -1.02371434936197 6.15006194741588 11.713354241575 0.000715115588896617 0.129057330984401
"azuC" -0.811283652478112 3.25755491626071 10.1100918203616 0.00164351269513719 0.28012760826005
"ycgG" -0.704248408468884 3.24090075842264 9.82601261303278 0.00190724780564395 0.307970329879771
"tatE" -0.552200488429258 5.22039145669393 9.07142326377632 0.0028383611232399 0.435404596305
"quuQ" -0.785350489491923 2.47636640106292 8.93773216284878 0.00304658927235016 0.445092185122395
"mug" 0.418154557919299 6.37312822194338 7.93840913075913 0.00519122859262906 0.707452813161994
"yjeM" 0.693550309243555 3.09271835053244 7.89853130369721 0.00530359018993672 0.707452813161994
"ldrC" -0.71995128600828 2.94904095778385 7.58032815480464 0.00629456782401668 0.802056004148637
"chpS" -0.755484765660382 3.27318339489764 7.51070643106857 0.00653565844319293 0.802056004148637
"ushA" 0.378093169888708 7.71225039663832 7.39744748395763 0.00694832593850809 0.815382554659711
"yoeI" -0.71730838496753 2.98776565518204 7.34855457840564 0.00717579171310697 0.815382554659711
"yqaE" -0.657173531921378 5.54850651443309 7.05970711097182 0.00834546042387699 0.914424020730521
"iscR" 0.442247193737845 9.04682014416715 6.47439533890274 0.0114920029027163 0.995504156827519
"malQ" 0.353215231079593 7.99107823401597 6.28862893158585 0.012729015392159 0.995504156827519
"sgrT" -1.11685946541859 4.57871735809455 5.99147731046227 0.015046068301933 0.995504156827519
"yajC" 0.374238997544911 8.01308613135082 5.97263336595517 0.0151593371077024 0.995504156827519
"yoaC" -0.612511936991642 4.73159775419524 5.91246494611081 0.0156741263378758 0.995504156827519
"ypdB" -0.298519400121845 5.44493787207699 5.84607204310336 0.0162632587187427 0.995504156827519
"tatB" 0.332558064815974 7.24263495531213 5.76836013317929 0.0169821159377862 0.995504156827519
"ydiV" -0.411642004443508 4.47836965581155 5.63149793701129 0.018329436975272 0.995504156827519
"cheZ" 0.462133568107337 3.26257998337767 5.5573174500377 0.0191056561274529 0.995504156827519
"slyB" 0.422465785100556 9.90542524456617 5.21570020238063 0.0231477442461761 0.995504156827519
"yajQ" 0.313024006597772 8.12865467519693 5.19564600800537 0.0234111295485295 0.995504156827519
"malF" 0.404671031873224 4.65629607527739 5.13599730182904 0.0242131791565365 0.995504156827519
"ygaM" -0.650138077365448 8.5395077072867 5.09159914497004 0.0248287557081011 0.995504156827519
"glgS" -0.640237275116294 5.92246139715211 5.05299099463846 0.0253773393510515 0.995504156827519
"yeaM" 0.376076892432985 4.0513525779553 4.94543898761993 0.0269733724523674 0.995504156827519
"ratA" 0.365515890630297 5.48545120819205 4.94500791289299 0.026979976546308 0.995504156827519
"yihY" -0.343914901261896 6.39404741634508 4.93120693186771 0.0271923049310866 0.995504156827519
"fkpA" 0.307453853187244 8.8910794598234 4.83391934331281 0.0287395806042786 0.995504156827519
"rpmH" -0.498496828654868 7.7196549594851 4.80703474419546 0.0291832189188605 0.995504156827519
"ibsD" -0.488389719129465 4.82252715294018 4.73045043271205 0.0304867616132796 0.995504156827519
"modA" 0.28861546264249 5.97160590173329 4.71085503894882 0.030830007295477 0.995504156827519
"cyoD" 0.396666004435818 8.05647209222539 4.65112210407379 0.0319015714267797 0.995504156827519
"ypfJ" 0.277961129947515 8.13538761711588 4.5743810241146 0.0333359419206474 0.995504156827519
"rmf" -0.929614141564603 10.0341581576308 4.44301383339606 0.0359508877623032 0.995504156827519
"yibL" 0.275471845636249 6.01088411165815 4.422526302712 0.0363777780427434 0.995504156827519
"yrbN" -0.413298768047753 4.51402197666613 4.36439631871715 0.0376183263076826 0.995504156827519
"lptA" 0.246926896485237 7.70251348147443 4.32050534745415 0.0385845045720026 0.995504156827519
"talB" 0.454827524151606 10.3337966914816 4.31245704308078 0.0387644941846752 0.995504156827519
"arfA" -0.508535453830548 4.39372377101395 4.25535918135547 0.0400671222642515 0.995504156827519
"yibN" 0.25007989665278 7.61217939045779 4.25470985152872 0.0400821989903565 0.995504156827519
"lpxA" 0.269393430963702 8.64988138990264 4.24971576926561 0.0401983564715092 0.995504156827519
"ftsY" 0.290086591283494 8.12908946859208 4.23649166620949 0.0405076561422629 0.995504156827519
"ybiA" -0.404056236203252 3.31549307215241 4.1665503943829 0.0421858617524634 0.995504156827519
"galK" 0.284952640398028 6.54346282306124 4.12640387253522 0.0431822203612996 0.995504156827519
"yoeB" 0.369909863504211 5.41924222551449 4.10714761859099 0.0436689283838288 0.995504156827519
"opgG" 0.273524639716275 8.934275136048 4.0697647041187 0.0446304465544548 0.995504156827519
"yicS" -0.558546461010701 2.84844698362914 4.05306351892809 0.0450672354879918 0.995504156827519
"rplU" 0.44646237996266 10.2039121745373 4.05021901908996 0.0451420783224258 0.995504156827519
"ivy" 0.364024468926087 7.78801822264616 4.03389298824842 0.0455741938203799 0.995504156827519
"ybdJ" -0.401781916814004 4.17553119425128 4.02932004237641 0.0456960141813758 0.995504156827519
"yadG" 0.26225175863531 6.71446273142032 4.00859940028016 0.046252339385885 0.995504156827519
