"logFC" "logCPM" "F" "PValue" "FDR"
"ygeA" -6.64269911564154 6.52282128919182 1078.37844085378 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000352486479162351 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123969494721399
"araE" -6.74002056741782 8.93856681383573 670.931235584064 0.000000000000000000000000000000000000000000000000000000000000000000000000000931105712793966 0.00000000000000000000000000000000000000000000000000000000000000000000000163734939594819
"lysR" -3.84905686331191 4.79311009163666 459.967252160239 0.00000000000000000000000000000000000000000000000000000000000117309380520367 0.0000000000000000000000000000000000000000000000000000000013752569709671
"xylF" -4.78001389741792 3.55107557099039 440.744733634602 0.0000000000000000000000000000000000000000000000000000000000452748752844655 0.0000000000000000000000000000000000000000000000000000000398079340938663
"araH" -4.92565068496817 7.58573466347734 418.956347558316 0.00000000000000000000000000000000000000000000000000000000321139309733545 0.00000000000000000000000000000000000000000000000000000225889390466576
"araJ" -2.77795823225323 6.51076894416703 387.877531294597 0.00000000000000000000000000000000000000000000000000000177924236733334 0.00000000000000000000000000000000000000000000000000104293256765189
"araG" -5.39788228738344 7.7884855046815 377.036003479974 0.0000000000000000000000000000000000000000000000000000172892846337192 0.00000000000000000000000000000000000000000000000000868663057954151
"araD" -7.25152350193506 8.56597051273396 373.299578575799 0.000000000000000000000000000000000000000000000000000219150867231502 0.000000000000000000000000000000000000000000000000096344200006649
"araF" -5.76978561130201 8.26882064458804 285.080271311702 0.0000000000000000000000000000000000000000000301406275989877 0.00000000000000000000000000000000000000001177828747396
"araA" -6.90125184598258 10.6971970601061 236.968927503725 0.0000000000000000000000000000000000000112315049984726 0.00000000000000000000000000000000000395012030796281
"glcD" 2.61572061497297 6.36387876942517 228.559769271301 0.0000000000000000000000000000000000000529191887827914 0.0000000000000000000000000000000000169197079044616
"glcE" 2.7827354067515 5.15797113077624 215.237528397994 0.00000000000000000000000000000000000214862025592796 0.000000000000000000000000000000000629724786674887
"araB" -6.96066006501384 10.6522272379481 214.896770492588 0.00000000000000000000000000000000000236526541077646 0.000000000000000000000000000000000639895265361601
"artJ" -5.76285120468309 6.20312133290588 191.890041106727 0.00000000000000000000000000000000182271144342349 0.000000000000000000000000000000457891153322887
"argA" -4.3826585402446 6.76086303592822 185.122705994006 0.0000000000000000000000000000000137184840375573 0.00000000000000000000000000000321652722400593
"yghB" 1.89071138779767 6.69955130249303 181.350009158458 0.0000000000000000000000000000000428230369199286 0.0000000000000000000000000000094130388029618
"xylG" -2.92736271910658 3.25150443298312 166.095477511779 0.00000000000000000000000000000471816197374785 0.00000000000000000000000000097610445068654
"argF" -5.83057238872708 7.23071610209109 147.467753141287 0.0000000000000000000000000018491086964149 0.000000000000000000000000361295293627289
"argD" -3.78772345139156 7.1311435983229 146.832530452242 0.00000000000000000000000000227735645834019 0.000000000000000000000000421550666525392
"ycdZ" 1.67444744853418 6.20892689349447 146.494988809391 0.00000000000000000000000000254425271715713 0.000000000000000000000000447406840312081
"argC" -4.67766685524736 6.62030545516019 141.063104189236 0.0000000000000000000000000153294699312923 0.00000000000000000000000256732122611214
"xylE" -2.46654462440426 5.33094277975185 136.507051633475 0.0000000000000000000000000704340109208324 0.0000000000000000000000112598371094803
"yeaR" -2.73223267435131 4.95829742094613 126.176200816901 0.00000000000000000000000238570967088265 0.000000000000000000000364806126630187
