"logFC" "logCPM" "F" "PValue" "FDR"
"ompR" 5.00003098526917 6.74601502867583 496.448744267481 0.00000000000000000000000000000000000000000000000000000000000000149062813926441 0.00000000000000000000000000000000000000000000000000000000000518738592464015
"putA" -4.48629468937878 9.37894667360334 260.913843581252 0.00000000000000000000000000000000000000000979523844809088 0.0000000000000000000000000000000000000170437148996781
"alx" -4.31663369463781 6.31872095451984 231.21169551427 0.0000000000000000000000000000000000000257057812905721 0.0000000000000000000000000000000000298187062970636
"ymdF" 4.01592002220699 8.94978385864125 222.32267057282 0.000000000000000000000000000000000000296947317733244 0.000000000000000000000000000000000258344166427923
"cpxP" -2.30304245579224 10.0439717083682 138.945886195373 0.0000000000000000000000000311220429104342 0.0000000000000000000000216609418656622
"uhpT" -2.32847762417499 5.61136504804147 138.344944769193 0.0000000000000000000000000380578064668914 0.000000000000000000000022073527750797
"ynfM" 2.04394194758084 7.80085572324945 130.175995628796 0.000000000000000000000000604268445099207 0.000000000000000000000300407741277891
"envZ" 2.30678318069246 5.59593166526246 124.786336257502 0.00000000000000000000000386463683867695 0.00000000000000000000168111702482447
"prpB" 2.20374531100412 5.62903202432886 120.679311781171 0.0000000000000000000000258626127729798 0.0000000000000000000100002102722189
"tnaA" -2.78180794221682 3.9947516994144 116.605657796085 0.0000000000000000000000739844146722873 0.000000000000000000025746576305956
"uxuA" -1.73478158289523 7.73894201610114 112.398097501023 0.00000000000000000000046231574016442 0.000000000000000000146259888706562
"prpC" 2.12574148834798 4.48303522966703 107.66451246349 0.00000000000000000000268938929795587 0.000000000000000000779922896407203
"yebE" -1.44718710530243 8.13305478354469 91.9007307352606 0.000000000000000000575511996220597 0.000000000000000150114243124596
"degP" -1.97250565985711 9.65794721709584 91.7735960284447 0.000000000000000000603907874639179 0.000000000000000150114243124596
"grcA" -1.91532339046325 8.63438740707159 84.4703869718403 0.00000000000000000989387809797136 0.00000000000000229537971872935
"prpD" 1.87457101419768 4.59882399829127 76.6365847869078 0.00000000000000027905479993518 0.0000000000000606944189859016
"narU" 2.44745676000124 4.70409363621368 75.1392041162552 0.000000000000000384732752889071 0.0000000000000787570576502333
"mprA" -1.98306646020551 7.78867988468446 72.1263809403436 0.00000000000000128242020331547 0.000000000000247934572640991
"ribB" -1.45177500785135 7.41735769432898 70.5447177672892 0.00000000000000242357788707964 0.000000000000443897423528271
"rstB" -1.91280400126787 6.72414944520443 64.4914347301889 0.0000000000000285101599017994 0.00000000000481931563405319
"cpdA" -1.08435258578626 7.81310590287847 64.443125034576 0.0000000000000290820771020451 0.00000000000481931563405319
"rstA" -1.89872169103698 7.1511411027736 63.2784923212672 0.0000000000000469864981789797 0.0000000000074324097119477
"fucO" -1.42631414174599 5.24610594705409 63.1645220259371 0.0000000000000492496728411393 0.00000000000745168962987672
"yeaY" -1.11276256730799 7.62655878043039 61.4858688816965 0.0000000000000986692217560214 0.0000000000143070371546231
"dcuA" -1.0619278734421 8.06162971159378 60.1192240693898 0.000000000000174210354296001 0.0000000000242500813180034
"yhaO" -1.87385263793536 3.65998594901207 57.1032291406888 0.000000000000616344861654053 0.0000000000824953891752348
"uxuB" -1.28086149649695 6.88432642301282 57.1450643471954 0.000000000000694378346995325 0.0000000000894976536127308
"maeB" -1.33255867395713 9.08144797247397 56.3053745792525 0.000000000000862780633340818 0.000000000107231307286645
"fecB" -2.14589991007075 4.62680168752301 56.0345282799002 0.000000000000967333769866058 0.000000000116080052383927
"prpE" 1.59493637066796 4.90797826438712 56.0887606780708 0.00000000000111013490982109 0.000000000128775649539247
"narZ" 1.4635443325895 6.49497718008177 54.9368024171716 0.00000000000153945860117222 0.0000000001728166429703
"cysZ" -1.15787075484476 5.91645011461106 53.4276196625638 0.0000000000029241900863002 0.000000000318005671885146
