"logFC" "logCPM" "F" "PValue" "FDR"
"narZ" 2.25204090727665 6.49114659703349 152.65158112892 0.000000000000000000000000000376422932568883 0.000000000000000000000000385833505883105
"yqjA" -0.745302739992028 7.46717184602346 34.003336253283 0.0000000155143562548752 0.00000795110758062354
"puuD" 1.37959920339926 5.93874441479409 31.967393833488 0.0000000394832859635511 0.0000134901227042133
"rpmC" -1.22886983402377 9.19732992178309 29.0362611776441 0.000000153645291595006 0.0000368139157800446
"gatD" -1.78348343961521 8.06513609944277 28.7021263729296 0.000000179580076975827 0.0000368139157800446
"sstT" -1.17233626755559 9.40792554005034 28.2146119520528 0.000000225563438032499 0.0000385337539972186
"rof" 0.911490074304848 6.48246275426766 27.5443420544045 0.000000308846439633313 0.0000452239429463065
"astC" 1.6860127912317 7.59555241170601 25.8817124444482 0.000000676153842619205 0.0000797950431889346
"sslE" -0.66067006009397 7.20293392682283 25.8065304794908 0.000000700639403610158 0.0000797950431889346
"ybhB" 0.781105405209689 6.68451463319541 24.9737356554868 0.00000103988517445785 0.00010658823038193
"tsx" -1.22321420550604 8.46967306985833 23.5220436124961 0.00000207749332828317 0.000193584605590023
"gatZ" -1.81356382276196 12.0826188255898 22.7253064241355 0.00000304365575683908 0.000259978929230005
"dppF" -1.08478607251065 6.70898612103826 22.2302364008074 0.00000386175825776045 0.000289821342043908
"rpsQ" -1.08570182659822 9.79295681818601 22.1788345349993 0.00000395853540352655 0.000289821342043908
"gatY" -1.72274412635381 12.3964192693097 21.3517328888929 0.00000590053058997165 0.000403202923648063
"rnb" -1.09901393815945 8.86202667899016 21.1537728348886 0.00000649370282495031 0.000416002837223379
"cirA" -1.87955888728655 11.400670523343 20.909866618092 0.00000730816963860055 0.000440639639974445
"ompT" -1.12809066585049 10.0949841899496 20.5425493350624 0.00000873402506422549 0.000497354205046174
"secF" -0.703838719500653 8.23209549535123 19.8336239033035 0.000012332176023281 0.000665288443361212
"ytjA" 1.12011810938304 8.67037054110742 19.6636575992593 0.0000133982024780975 0.000686657877002495
"tomB" 0.808395145608654 6.81720743136736 19.3791778757493 0.0000153953027644841 0.000751437396837914
"pyrH" -0.835239148538928 8.39861048657687 19.049997052831 0.0000180855211244179 0.00084262087056947
"atpH" -0.884533048769385 9.22566430245077 18.6231378814551 0.0000222957379569578 0.000993614408951378
"mreD" -0.612372176775815 5.79977516183204 18.047321992873 0.0000295926498825495 0.00126385275540055
"puuR" 0.822927922219659 5.91238861756899 17.8766672861683 0.0000321888684507897 0.00131974360648238
"rpmH" -1.02470805335755 7.71414993358783 17.6102152248633 0.0000367115870389555 0.00144728371980497
"yqjK" 0.886680707294215 7.82816237639191 17.2409920027171 0.0000440630327163179 0.0016727632790454
"astD" 1.16037874449485 6.82096058209347 16.5720479038358 0.0000613977768997556 0.00224759719008034
"rpmG" -0.955105514538099 7.57449709497016 16.4607291051388 0.0000648914001414049 0.00229357534982552
"ampH" 0.645730146025825 5.80193523704383 16.3724840871694 0.0000678034678809763 0.00231661848593336
"cysH" -1.94514094116026 8.06324516601578 16.2782616250029 0.0000710591307347421 0.00234953577429389
"clpB" -1.40076171055622 13.0735488719358 15.8191020750886 0.0000893414761176847 0.00280659128089356
"potC" -0.622407017578671 6.132242340574 15.7964361316684 0.0000903585485555974 0.00280659128089356
"dnaK" -1.42748701969408 14.2031325077108 15.5841702839615 0.000100471816412695 0.00300518500947258
"uspG" 0.812307983033061 7.33554945625906 15.5419548013744 0.000102616073494186 0.00300518500947258
"rbsD" -1.55735572330965 7.77072915041535 15.2995414011758 0.000115858760277235 0.0032987563690046
