"logFC" "logCPM" "F" "PValue" "FDR"
"araB" -6.75027917504647 10.6522372288475 180.902947170524 0.000000000000000000000000000000048762095447559 0.000000000000000000000000000174470777511366
"araA" -5.31784449732284 10.6972073914651 146.736880535254 0.00000000000000000000000000339835952409505 0.00000000000000000000000607966518860604
"araD" -3.89119481787998 8.56596599829585 92.1992826069467 0.000000000000000000652970598527548 0.000000000000000778776267177189
"trpA" 4.71928441303462 10.2791558900115 83.4089790107217 0.0000000000000000148919938668736 0.0000000000000133208885139184
"trpL" 3.86933053722305 4.87447099181601 82.0295976528693 0.000000000000000025466248052298 0.0000000000000182236471062244
"trpB" 4.83612789395854 10.8078312927595 81.4287098398116 0.0000000000000000321932932073861 0.0000000000000191979338493379
"araJ" -1.17297453469861 6.51075081165734 72.2741404575859 0.00000000000000120628006997228 0.000000000000581577098047489
"trpC" 4.87492396604106 10.3815723824326 72.0870954011378 0.00000000000000130034007389042 0.000000000000581577098047489
"araE" -1.79617373613354 8.93856964660202 69.0896667158857 0.00000000000000435694006929159 0.00000000000173212572976948
"trpD" 4.76463445382081 10.8936988365007 50.4875069370751 0.000000000010291504110622 0.00000000368230017078054
"trpE" 4.54340311241527 11.0412539961544 45.7245190050211 0.0000000000813566770569807 0.0000000264631082281706
"yagI" 1.73166128804804 5.44453732463061 31.9666797737074 0.0000000392093796918597 0.0000116909300447895
"argI" 2.23631346449331 5.99787226972512 28.3849963602522 0.000000207055252532452 0.0000569879764277779
"ygeA" -0.819108552966705 6.52281162893025 27.5882641548848 0.000000300857541477513 0.0000768905916718959
"argF" 1.7694518525655 7.23070188338429 26.0145088669375 0.0000006318139297199 0.00015070868270252
"yhbW" 0.662982588755923 7.22249161380615 20.9561631591032 0.00000712181593873448 0.0015926160892995
"mtr" 2.09466714812901 10.9966064550611 20.6521091663151 0.00000825424015720186 0.00173727478132166
"yciK" 0.500885470969183 6.3883242413319 18.3664124952637 0.0000252252373138336 0.00501421661716092
"yicH" 0.506214390265756 7.18733233441499 18.2482983067527 0.0000267347019700535 0.00503456650783428
"araG" -1.20669079320859 7.78846085425585 17.2781441381119 0.0000431572516036532 0.00741759002824011
"mdtE" -0.918186029222314 6.83455831176904 17.2605263064461 0.0000435353243692125 0.00741759002824011
"argH" 1.10217647044717 7.84934639539926 16.7228598146096 0.0000568384041777702 0.00924399137036645
"araC" -1.026692225754 9.5184673710729 16.241435854007 0.0000726219473980407 0.0112974490343561
"argB" 1.13479658668852 6.66213442128891 15.8841539746152 0.0000863095203088043 0.0128673109860376
"ycbJ" 0.491553908282952 5.25567715386245 15.1765806787781 0.000122993345991949 0.0176028076783678
"cytR" -0.759792933554301 6.15171632857561 14.2821153409917 0.000192929114568077 0.0265500143047915
"yggL" 0.457829513673721 7.54069401687745 14.0664167572987 0.000215145107804506 0.02851071095276
"argP" 0.391767285304899 6.61886830482356 13.6198635904682 0.000269750701223459 0.034470286034912
"carB" 1.47395309252973 10.8266236593421 13.4076257295788 0.000300444930505123 0.0370686883223217
"ilvN" 1.45457417578697 3.96267046410234 12.6736501732838 0.000436729980868152 0.0517725280326741
