"logFC" "logCPM" "F" "PValue" "FDR"
"yebE" -5.05089732138932 8.13303816760349 1220.84906886238 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000346186321760304 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123969321822365
"ssuB" -5.62328108807055 6.98966668956133 882.982506091197 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000712710228022307 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000127610766327394
"ssuC" -7.81512026887924 6.71379866455499 821.992021382563 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000123006359934711 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000146828591642067
"ssuA" -8.16205941777492 6.49390532174897 714.515197139236 0.00000000000000000000000000000000000000000000000000000000000000000000000000000181708105978211 0.00000000000000000000000000000000000000000000000000000000000000000000000000162674181876994
"ssuD" -7.11817442802777 7.49974222281926 663.376621978923 0.00000000000000000000000000000000000000000000000000000000000000000000000000272086730807313 0.00000000000000000000000000000000000000000000000000000000000000000000000194868516604198
"acrD" -3.34203314326126 6.04368554594715 617.502550260904 0.00000000000000000000000000000000000000000000000000000000000000000000000271826385665261 0.0000000000000000000000000000000000000000000000000000000000000000000016223504784455
"ssuE" -6.05890218408823 5.30519934407382 615.078938198 0.00000000000000000000000000000000000000000000000000000000000000000000000395397025251885 0.00000000000000000000000000000000000000000000000000000000000000000000202273821061
"tauD" -6.50145691849682 8.06964783691663 603.325791460797 0.0000000000000000000000000000000000000000000000000000000000000000000000246939217978321 0.0000000000000000000000000000000000000000000000000000000000000000000110536167447546
"modA" -3.47870469782758 5.97128531085723 560.611950181348 0.0000000000000000000000000000000000000000000000000000000000000000000237955897810298 0.00000000000000000000000000000000000000000000000000000000000000000946800077842973
"narZ" 3.49784163841582 6.49496780403522 500.800887257467 0.000000000000000000000000000000000000000000000000000000000000000664348640579507 0.000000000000000000000000000000000000000000000000000000000000237903248191521
"cspI" -5.04793285469739 5.52112753431923 496.044704068907 0.00000000000000000000000000000000000000000000000000000000000000279155633078244 0.000000000000000000000000000000000000000000000000000000000000908778474593811
"spy" -4.1715011220398 8.10298071137013 492.058243891406 0.00000000000000000000000000000000000000000000000000000000000000316886624407274 0.000000000000000000000000000000000000000000000000000000000000945642501668707
"tauC" -7.63717028639443 7.95065745823414 481.257617195268 0.0000000000000000000000000000000000000000000000000000000000000223830461930161 0.00000000000000000000000000000000000000000000000000000000000616566833978391
"ymdF" 6.1393758519822 8.94977113444948 459.364988499118 0.00000000000000000000000000000000000000000000000000000000000128471684244668 0.000000000000000000000000000000000000000000000000000000000328612215200111
"ompR" 3.52400418368547 6.74601810605477 423.000583433258 0.00000000000000000000000000000000000000000000000000000000141261484279181 0.000000000000000000000000000000000000000000000000000000337238250135832
"degP" -4.38683429227177 9.65793423229607 407.327662157173 0.0000000000000000000000000000000000000000000000000000000323688245722916 0.00000000000000000000000000000000000000000000000000000724454754958601
"narU" 3.89797124205139 4.70410291192901 389.802723264041 0.00000000000000000000000000000000000000000000000000000117108377706826 0.000000000000000000000000000000000000000000000000000246685353275379
"tauB" -7.72745488473579 8.20989545150023 375.55130784219 0.0000000000000000000000000000000000000000000000000000232624583067502 0.00000000000000000000000000000000000000000000000000462793684424846
"narY" 3.25613408658343 5.48970789439154 363.956323052581 0.00000000000000000000000000000000000000000000000000027797758285777 0.0000000000000000000000000000000000000000000000000523914591691408
"rutA" 3.98605436768297 2.90477065689309 360.430127397383 0.000000000000000000000000000000000000000000000000000899379166776974 0.000000000000000000000000000000000000000000000000161033839811417
"lpxP" -2.80470370907293 7.4833858954856 353.092741133584 0.0000000000000000000000000000000000000000000000000029605513057382 0.000000000000000000000000000000000000000000000000504844486945167
"nac" 2.8904707153571 4.78594435071132 343.009207625585 0.0000000000000000000000000000000000000000000000000276100621968866 0.00000000000000000000000000000000000000000000000449416512395686
"yncJ" -4.09071794693971 4.32907563659248 328.010455276275 0.000000000000000000000000000000000000000000000000818944555921447 0.000000000000000000000000000000000000000000000127506106728465
"tauA" -7.69118900071305 8.53111667943908 322.833115073135 0.00000000000000000000000000000000000000000000000269146817569374 0.000000000000000000000000000000000000000000000401589480714969
