"logFC" "logCPM" "F" "PValue" "FDR"
"lacY" 7.04820037743236 7.3313045691468 266.831930374117 0.00000000000000000000000000000000000000000215562569614921 0.0000000000000000000000000000000000000074821767913339
"lacZ" 7.87814319419711 10.9368210910532 191.833406252785 0.00000000000000000000000000000000186096335708925 0.0000000000000000000000000000032297019062284
"melB" 1.66480763119239 5.2019843917748 133.36936599057 0.00000000000000000000000020382140321835 0.000000000000000000000235821363523631
"melA" 1.88784692864474 6.28684511840133 125.781861305377 0.00000000000000000000000273990888712746 0.00000000000000000000237755593680485
"galP" -1.12719264401599 6.99420166510025 38.5991834372912 0.00000000191790162919908 0.00000133140731099
"cynX" 2.05124908533786 3.67079972092519 37.5389587211512 0.00000000309095800501674 0.00000178811920590218
"galE" -0.97354663796761 6.70447973311568 28.2604297316919 0.000000219584972396236 0.0000988067356047887
"galK" -0.806361238599059 6.54354299510087 28.1826758917478 0.000000227730880103229 0.0000988067356047887
"galT" -0.862656990099912 6.00576702136795 22.9373956688135 0.00000273886746237946 0.00105628988465768
"ydhT" 1.37791902005786 3.50053528161807 20.5460018241828 0.0000131113624974602 0.00455095392286842
"recO" 0.564414092522907 5.8375267389753 14.328988358858 0.000188440649744435 0.0594615904784484
"gntK" 0.913155329017223 3.21065308722835 13.1341401472714 0.000345327173939407 0.0998858850619736
"pqiA" 0.417047403994226 6.62859471411557 12.6338909712433 0.00044574044167449 0.119012697927089
"dmsD" -1.2512957801022 4.77795000027206 13.0372363182999 0.000541728315552511 0.134309927377341
"ydcZ" -0.862530242740332 4.6511788296781 12.964244580665 0.000581053885352225 0.134455869070505
"hrpA" 0.406527068836705 8.30119551112908 11.6646661193331 0.000733086070950317 0.150950258676095
"nrdR" -0.698825462411253 6.56267521194449 11.4816201426179 0.000805684270721796 0.150950258676095
"zntR" 0.435609763367928 7.36540621835977 11.4543871010961 0.000817093852529839 0.150950258676095
"ycbZ" 0.451753728147843 8.51383752534444 11.432715754078 0.000826290669791358 0.150950258676095
"chiQ" -1.33432733573737 2.3709911849641 11.2769699329535 0.000895560304897864 0.155424490915024
"aceB" -0.807292498486808 10.5873656864461 10.7101884668388 0.00120158165446067 0.198604282030142
"mdaB" -0.524665893217992 6.242728497183 10.3097654062043 0.00148034515919061 0.221855485637703
"aceK" -0.622822599054039 7.96094784739731 10.3052737874464 0.00148382069741058 0.221855485637703
"araD" -1.33745267047374 8.56596311938649 10.2510447754051 0.00153400508651826 0.221855485637703
"yihD" -1.17796331032426 5.15897009124472 10.1074552894183 0.00164543732627003 0.228452518379331
"yciK" 0.449508680142234 6.38832683571294 9.9667882582352 0.00177118974182104 0.236453830533109
"aceA" -0.811648945391303 10.4690889742828 9.7710107910155 0.00196271996807856 0.252318555896321
"macA" 0.459240461087182 5.92422202584552 9.63862162814068 0.00210410029534439 0.260833290183585
"queF" -0.487357608596796 6.14695517660791 9.33049366162541 0.00247482633996388 0.296211111241884
"mlc" 0.510600444587269 7.36740908939424 9.19430423505039 0.00265933808854836 0.307685416845045
"dcuA" 0.405826421825797 8.06163053487577 8.77710946176233 0.00331702411183493 0.368503959887406
"yecM" -0.657468441215377 5.40779468109892 10.4424131963302 0.00351635270529651 0.368503959887406
"yacL" 0.529868034934416 6.09275440513395 8.64673734056977 0.00355500191795063 0.368503959887406
"ynfM" 0.486544994233419 7.80085696710604 8.61376945333316 0.00361790262393664 0.368503959887406
"phnL" -1.20045218207879 3.00058737310077 8.56522287433414 0.00371582788708131 0.368503959887406
"yeaY" 0.413246699845144 7.62655920024237 8.4368506534251 0.00397545670429227 0.38126018432
"yhhJ" 0.698905743163591 5.4505704788715 8.38631794275954 0.0040840847943529 0.38126018432
"tonB" -0.560435003131201 7.77166082473633 8.30036323206372 0.00427589351578175 0.38126018432
"mazF" 0.443493631761786 5.2954608293348 8.30251319494444 0.00428382229573034 0.38126018432
"mltB" -0.453815208650377 6.33338911427141 8.19214351450125 0.00453058271110839 0.39314131475643
"yeiR" -0.607536914568185 5.08815571812259 8.10333572268309 0.00475117594646118 0.396667219856196
"menI" 0.717645451772567 5.19208544673092 8.06566839194464 0.00484803681818716 0.396667219856196
"alsK" 0.525970459286883 3.64881746478836 8.14724207222231 0.00491405659862185 0.396667219856196
"rseB" 0.360197792263289 8.4141730771931 7.96301519444465 0.00512241904377954 0.404089011385427
"ybbA" 0.60373605031762 5.70021526604198 7.83745544749735 0.00547981247180841 0.422676201992155
"argO" -1.15515161142682 4.17390261327566 9.29728879317916 0.00562346861169618 0.42432738154777
"talB" -0.644818533779095 10.3336760591017 7.71837160985885 0.00584242978674417 0.426068407355087
"pldA" 0.756252825776642 6.04606183667688 7.70267115778962 0.00589204366264597 0.426068407355087
"dmsC" -0.509163008683953 4.28229429762726 7.50263285037432 0.00656341672093355 0.46493100894613
"yhdN" 0.386501889223525 7.92038810355985 7.41873118030006 0.00686795462263485 0.476773409903312
"ygjH" 0.528056750707039 3.56685665576391 7.34983392433547 0.00712887462384441 0.47853765178367
"ogt" -0.590773286468348 4.84647432479237 7.8081419778597 0.00716910339750817 0.47853765178367
"yneF" -0.62999991999145 4.44202392900106 7.72620929570676 0.00752277982447734 0.488877297854836
"tsaC" 0.37387763977278 6.28492586786348 7.2303755125074 0.00760569694156184 0.488877297854836
"dcp" -0.405210960523525 7.88216606163226 7.18628020759748 0.00778989056412789 0.491612911783416
"gmhA" -0.386579054115719 7.70244508041628 7.09678429572153 0.00817797815521626 0.500494934298181
"araB" -1.04862489412837 10.6522435820022 7.08757694078893 0.00821901793575232 0.500494934298181
"ybdJ" 0.511792741858614 4.17594848217298 7.01499943558467 0.00855003238872734 0.501293828627408
"ybhF" 0.443791634488442 7.64669279163917 6.98589321539966 0.00868661027861736 0.501293828627408
"bioD" -0.95732633685572 6.09364025052386 6.96883647936766 0.00876768958711276 0.501293828627408
"dgoR" 0.51078863011397 4.63819431937208 6.96003519867114 0.00880983104185304 0.501293828627408
"ydiE" 0.6909992802325 4.57865423040051 6.8859995531762 0.00917268859278888 0.513522614605971
"nlpC" -0.36877709323543 5.92843051781872 6.85191212358314 0.00934489929522172 0.514859451646263
"sapB" 0.322225484038341 5.91169599859743 6.79741575676945 0.00962717099427899 0.51509290597275
"yagG" -0.95380122631253 3.60856458534474 6.79385178808087 0.00964593456877809 0.51509290597275
"rtcB" 0.382363341849519 4.96674999496978 6.67146867716687 0.0103136774806692 0.531467353961495
"ycdY" 0.561332822435208 6.30797371762925 6.63266497190993 0.0105352125377619 0.531467353961495
"yjfF" -0.672282937779788 5.67417646135149 6.59280712050269 0.0107678829594065 0.531467353961495
"rseA" 0.493954930577333 10.2944348556217 6.56945314464778 0.0109066700102273 0.531467353961495
"yfdE" -0.503387595185254 3.50486306509755 6.52612303586746 0.0111750853393779 0.531467353961495
"pgpA" 0.320366102407441 7.21280070074164 6.52369675503655 0.0111839686438392 0.531467353961495
"dtpB" 0.363585197415295 7.13560624350619 6.51786371012391 0.0112198383078792 0.531467353961495
"arfA" 0.621931093922054 4.39411260627379 6.51570353447368 0.011233152194421 0.531467353961495
"ribC" -0.379721080283423 6.86033707096082 6.48671697066632 0.011413392818887 0.531467353961495
"araA" -0.940020318217151 10.6972139607411 6.45589837692415 0.0116270868450129 0.531467353961495
"pabC" -0.472727337721222 5.47267970957092 6.43715647418763 0.0117285152252066 0.531467353961495
"sdhE" -0.591341664776607 5.14464062357953 6.42765166008438 0.0117899701109292 0.531467353961495
"rfbB" -0.570637624036136 7.76802798204428 6.3721175406359 0.0121557477624383 0.540910412136743
"moaA" -0.306750058860547 7.73135768136265 6.3490477799643 0.0123111272137144 0.540910412136743
"adeQ" 0.588187072042256 2.69465067992695 6.28125391903391 0.0127861507095518 0.543278441136755
"kefC" 0.448712515461102 5.5882700425858 6.27352231847309 0.0128343263468408 0.543278441136755
"sapC" 0.305525709090016 5.40232056810856 6.27348627685807 0.012834581438552 0.543278441136755
"ynfK" 0.458138597547089 6.0260088531402 6.23552511586482 0.0131061924431342 0.544052415857331
"rpsP" -0.611664454820018 9.37368762878869 6.22722734018504 0.0131663505998317 0.544052415857331
"nei" -0.76590370153835 4.94180025326024 6.67402113720722 0.0136119117530655 0.555846419939886
"yibA" 0.505208350556748 3.62744043448141 6.03363130900739 0.0146540814276326 0.591445542271078
"yncD" 0.568399923493279 5.91427447499001 5.97655996929812 0.0151251071731653 0.603439620667317
"cobB" 0.336528883893464 6.39575148732541 5.93648240544307 0.0157169674853105 0.619927206153555
"yjbB" 0.349963445449605 5.8336963917784 5.88186771558267 0.0159415479676235 0.621720370737317
"djlC" -0.820215815062113 3.52452290903486 6.43907097860087 0.0170643360074817 0.634480475911826
"ybiH" 0.394950233153306 6.8204027646373 5.72273870350379 0.0174180806716821 0.634480475911826
"preT" 0.770622827704771 3.0490756151873 5.69988025665701 0.0176415613432326 0.634480475911826
"yehS" 0.433692437126677 5.12454504423156 5.69292955999181 0.0177101051538579 0.634480475911826
"bioB" -0.409298404965779 8.16429294523219 5.68925464595414 0.0177464567817351 0.634480475911826
"ycjF" 0.37354693664671 7.6133182844271 5.68809229012969 0.0177579707341019 0.634480475911826
"hflC" 0.367310112554686 9.0347362078649 5.68065089629315 0.0178318670499619 0.634480475911826
"aroE" 0.282768483090793 6.7964018137298 5.6740330190371 0.0178978538166916 0.634480475911826
"ygbM" 0.603406193328324 3.21884550714693 5.67318443157151 0.0179138826388242 0.634480475911826
"add" -0.489629516819425 6.31571139286171 5.59752893219009 0.0186793568253452 0.650531991302434
"dcuB" 0.706416621449227 2.69793209641302 5.58661176490783 0.0187937356326373 0.650531991302434
"yoaC" 0.581661038679713 4.73198785072189 5.57375802092341 0.018929337689872 0.650531991302434
"yfcH" 0.348294525700575 8.08296934879974 5.52722101636786 0.0194288543621009 0.661152485204434
"ydhQ" 0.328742423838709 8.84483189161779 5.44945647350752 0.0202943843040989 0.683901047762402
"modE" -0.456367025448483 5.67947515077647 7.08271439244088 0.0211086053740609 0.702113009195876
"loiP" 0.375599769590755 7.36170696725864 5.36840001101976 0.0212393736576108 0.702113009195876
"dsdA" -0.691223157693186 4.97860029888141 5.33359187446408 0.0216591391942609 0.708349754409292
"tehB" -0.660409612559074 5.77465837217162 5.31912034634971 0.0218361923715915 0.708349754409292
"chpB" 0.427383671812753 4.50966286652221 5.29892371744652 0.0220858147078347 0.709813544915686
"rnk" -0.348651964181196 6.45053828253265 5.2570455221204 0.022612936623933 0.718153287244035
"yqcC" -0.781300989998716 4.22131743322044 5.84439076898428 0.0227591073456767 0.718153287244035
"fadJ" 0.490199513390184 6.94998087247184 5.17208117497578 0.0237230934737735 0.728989522765304
"yidK" 0.680311844788171 2.54465068243966 5.17096601421713 0.0237465749689767 0.728989522765304
"secE" 0.311178824044607 8.57257924390582 5.14812118623038 0.0240463294329352 0.728989522765304
"yjfN" 0.580680578904471 7.96990770272888 5.13307676156063 0.024251634988469 0.728989522765304
"aroA" -0.514524827987802 8.24142595295977 5.12151163296245 0.0244107034867196 0.728989522765304
"sgcA" 0.573029746143989 4.61899727367528 5.11416736631285 0.0245122827968699 0.728989522765304
"yhdJ" -1.1970965194198 2.74377339209655 5.257241153809 0.0245920440815962 0.728989522765304
"rpsU" -0.697823416839175 9.19105234749167 5.09476959032837 0.0247827034532716 0.728989522765304
