"logFC" "logCPM" "F" "PValue" "FDR"
"putA" -4.30376565225529 9.37745448704455 238.942699982112 0.00000000000000000000000000000000000000329977775840142 0.00000000000000000000000000000000000113842332664849
"ynfM" 2.40501402326712 7.7987704585365 149.680944056506 0.000000000000000000000000000917532748143069 0.000000000000000000000000158274399054679
"uxuA" -1.95837200685817 7.74785124315709 137.895162824609 0.0000000000000000000000000803375279999909 0.00000000000000000000000923881571999895
"prpC" 2.19972267496316 4.50618771638581 84.1665188478032 0.0000000000000000154558862239836 0.00000000000000133307018681859
"mprA" -2.13120466495647 7.78347276805273 73.8341409290341 0.000000000000000651576978569252 0.0000000000000449588115212784
"metH" -1.31937322129412 8.42379434295467 60.4073247721811 0.000000000000155237695568054 0.00000000000892616749516312
"murD" -1.09668274286943 7.75138995482498 52.9897474790891 0.00000000000353798098058118 0.000000000174371919757215
"cra" -1.19115473126825 6.58498684557424 49.4627497401751 0.0000000000160804536473448 0.000000000693469563541742
"fimA" -1.86294357264445 9.02318419684012 44.1268705383021 0.000000000170303951120783 0.00000000652831812629669
"cyoB" -1.7933071363962 10.6858052926191 39.4732546786904 0.00000000129869510854308 0.0000000420298523865051
"yfgO" -1.09584172702997 6.12573167753211 39.4031863895737 0.00000000134008225000451 0.0000000420298523865051
"ispG" 0.767672172848772 8.93322890184537 38.8477133210183 0.00000000171896168980297 0.0000000494201485818355
"bhsA" -2.45311199073668 5.44068483827254 36.587283782295 0.00000000476068536437091 0.000000119459021838708
"alaA" -1.47999559734934 7.23802769554872 36.5473085545341 0.00000000484761248041133 0.000000119459021838708
"dfp" -1.11982257254137 6.96956704024862 35.666786442761 0.00000000722657861592389 0.000000166211308166249
"rpsP" -1.51638651543038 9.3708470084152 34.3863218172378 0.0000000129470360093156 0.000000279170463950867
"purA" -1.43606827198009 11.0430901732986 33.9463274382424 0.0000000158301525803581 0.000000321258978836678
"cyoC" -1.69884308057727 8.75178667072542 32.937101776741 0.0000000251387564151439 0.000000481826164623592
"selD" -0.940735894733787 8.50958444999837 32.6878089151317 0.0000000281893427947695 0.000000511859119168183
"mioC" -1.40237245527958 7.32321992158685 30.7641460881399 0.000000068489915185557 0.00000118145103695086
"trkA" 0.676180480945456 7.38076800341491 29.6590728680893 0.000000114421773797064 0.00000187978628380891
"yrfF" -0.997163815472368 6.94123483945208 29.0978576438665 0.000000148628323313803 0.00000233076234287555
"insH1" -1.01736498656159 9.84143509066696 25.6222875310861 0.000000761790537083794 0.0000114268580562569
"hflK" 0.94835568794316 9.90001816858403 25.2217433623471 0.000000921186227303304 0.0000129684414253221
"grxB" 1.13839648769753 9.23642444963167 25.1797414525758 0.000000939742132269721 0.0000129684414253221
"rng" 0.637751176271429 7.93493425955703 24.1539309914108 0.00000153134717358356 0.0000190962690691762
"uxaC" -0.957743234114789 8.64485542896519 24.1510912944245 0.00000153342359453359 0.0000190962690691762
"secA" -0.901820957236681 9.40429239131063 24.1287732615242 0.00000154984212735343 0.0000190962690691762
"lpd" -1.21799224550117 11.2481468720638 23.7180811187777 0.00000188577631913478 0.0000224342355207413
"yibA" 1.25941221985439 3.6544151569992 23.1705844876693 0.00000245097085079976 0.0000281861647841973
"rnc" 0.694998571965428 7.61118973721897 23.0966403394449 0.00000253943815147588 0.0000282614891051348
"acnA" 1.12209405321888 10.4623622388834 22.5141890707514 0.00000335919171217294 0.0000362162856468645
"iscA" -0.737950876803833 8.46505924260574 22.2452048723937 0.00000382351647225002 0.0000398509553384961
"adk" -1.44262960715551 8.86679796139588 22.1895879180668 0.00000392734052611266 0.0000398509553384961
"cspD" 1.35891789287294 10.5855134719971 21.8130583417113 0.00000470932092680091 0.0000459721588598453
"ydiK" 0.647277364007687 7.29387331739744 21.7748057107504 0.00000479709483754908 0.0000459721588598453
"hrpA" 0.591922526917326 8.29951525501338 21.356075494198 0.00000587316072812137 0.0000545213359259635
"hflX" 0.782648839459649 9.69062588941781 21.2653171734066 0.00000613687891287907 0.0000545213359259635
"aspC" -1.23176717625763 9.49325423169388 21.256448790761 0.00000616328145250022 0.0000545213359259635
"ypfJ" 0.592239392537718 8.13720079236907 20.4033365497256 0.00000932334798175981 0.0000804138763426784
"aceA" -1.19943152422304 10.4665199219193 19.7100413208162 0.0000130695396750553 0.000109975394826684
"aceK" -0.91667500485538 7.95875926443245 19.6143324453267 0.0000136947462786188 0.000112492558717226
"rpsO" -1.29446986279646 9.11641518799335 18.6998400400854 0.0000214291105950262 0.000171931236169397
"ptsP" -0.756774021940024 8.85620075230281 18.6264436015575 0.0000222153953267974 0.000174188895176025
"bolA" 1.17883191240458 9.28657604345548 18.4479616174193 0.0000242514761920566 0.000179735245890114
"aas" 0.545908136051059 7.16257803320984 18.4312780372362 0.0000244511947754201 0.000179735245890114
"hpf" 0.732786338789121 8.36461591998714 18.4284119953097 0.000024485671179233 0.000179735245890114
"sdhA" -1.20435261532251 9.2896875445466 18.1490332102019 0.000028093822543989 0.000201924349534921
"yaiA" 0.934576476502133 7.65184136288921 17.8620250721162 0.0000323624460192564 0.000227858038298846
"rplV" -1.45614403532493 10.4441165020572 17.6039614095507 0.0000367591622138264 0.000253638219275402
"wrbA" 1.06640807429263 9.87164657084555 17.5399522138305 0.0000379403395838648 0.000256655238361438
"bamC" -0.805508200240561 9.07755664888025 17.2099502826225 0.0000446683311245807 0.000296357196884237
"hspQ" 0.99278694430152 10.5768490113762 16.8584299997616 0.000053171415051321 0.000346115814956712
"slp" 1.08782862377015 9.38044588298352 16.8024444711509 0.0000546696682265434 0.000349278435891805
"rpoS" -1.05938663220511 12.4376387419174 16.5252889002843 0.0000627410917059693 0.000393557757064716
"ftsY" -0.664475869827718 8.12595889623938 16.1148839990758 0.0000769667556928911 0.000474170191322275
"rodZ" 0.620742202258737 8.85726429031364 16.0286464074327 0.0000803492702131956 0.000486324530237763
"gmk" 0.513046976457749 8.05302987911507 15.0677363211535 0.000129965944637833 0.000773073291380214
"nrdH" -1.08026161602717 7.6153214571497 14.9292863685856 0.000139325997204055 0.000814702865006764
"sspA" -0.604002992293274 9.13404670040688 14.5852774307967 0.000165654204749186 0.000952511677307819
"maeA" -0.61532545965758 8.47451439875826 14.5160406368824 0.000171535288539082 0.000970158599114478
"osmY" 0.955639327275224 11.210351295074 13.6989366154607 0.000259257014173359 0.0014426398369324
"rplB" -1.14410001289908 11.7415140263457 13.0938603973477 0.000352587062566983 0.0019049527177363
"seqA" -0.45671488795758 7.5060208266467 13.0894360837697 0.000353382533145285 0.0019049527177363
"fimE" -1.3680177665483 3.2127389496749 12.9317274147894 0.000385857371645479 0.00204801220334908
"mreB" -0.770021810612164 8.98593352037095 12.8776645871603 0.000393668894600926 0.00205781467632302
"ldtE" 0.977251412301132 10.4351312210515 12.8430163750191 0.000400691072699281 0.00206326000121271
