"logFC" "logCPM" "F" "PValue" "FDR"
"pspG" -8.39867597856523 8.56854749447887 859.774814739748 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000336551160543111 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000118028492002469
"ykfB" -4.35465775253052 7.11745866229803 816.462616107816 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000026324256914967 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000461595845003946
"zntR" -4.1905421416167 7.36544710873183 801.776540486741 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000169978593367601 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000198704975646726
"glcD" -5.34292327352398 6.36406482654639 729.246153993424 0.000000000000000000000000000000000000000000000000000000000000000000000000000000251491337629955 0.000000000000000000000000000000000000000000000000000000000000000000000000000220495030267063
"pspD" -6.4865060486109 7.70278537791108 687.866423481267 0.0000000000000000000000000000000000000000000000000000000000000000000000000000826075292002323 0.0000000000000000000000000000000000000000000000000000000000000000000000000579409209810429
"melA" -4.99824404677094 6.28726954281662 674.399043874322 0.000000000000000000000000000000000000000000000000000000000000000000000000000574725599656972 0.0000000000000000000000000000000000000000000000000000000000000000000000003359271129995
"yhdN" -4.22955046757973 7.92039329251165 669.822025875887 0.00000000000000000000000000000000000000000000000000000000000000000000000000111815193590641 0.000000000000000000000000000000000000000000000000000000000000000000000000560194119889112
"yaiY" -4.87807094817833 5.63033935926173 635.149530470655 0.000000000000000000000000000000000000000000000000000000000000000000000000410368693795586 0.00000000000000000000000000000000000000000000000000000000000000000000017989537614264
"hokD" -5.48419267346174 9.36625051343986 616.891709211002 0.00000000000000000000000000000000000000000000000000000000000000000000000313977207641867 0.00000000000000000000000000000000000000000000000000000000000000000000122346451911114
"ascF" -4.24261072371949 5.40949471571949 615.534857839534 0.00000000000000000000000000000000000000000000000000000000000000000000000387230608909848 0.00000000000000000000000000000000000000000000000000000000000000000000135801774544684
"pspB" -5.87110204238365 7.74124627960971 614.009044695027 0.00000000000000000000000000000000000000000000000000000000000000000000000490397434352393 0.00000000000000000000000000000000000000000000000000000000000000000000156347618388531
"melB" -3.67207279969757 5.20236135942392 600.452860998687 0.0000000000000000000000000000000000000000000000000000000000000000000000407135864262245 0.0000000000000000000000000000000000000000000000000000000000000000000118985456330641
