"logFC" "logCPM" "F" "PValue" "FDR"
"dtpA" 4.70564482642789 7.7853871049658 357.738585773277 0.00000000000000000000000000000000000000000000000000133787444103784 0.000000000000000000000000000000000000000000000000730479444806659
"ompC" 4.20363910815485 11.8017623673574 154.189076630141 0.00000000000000000000000000022231978010877 0.0000000000000000000000000606932999696941
"suhB" -2.00706860521918 7.02693100369335 57.2155326652131 0.000000000000595520027335034 0.000000000108384644974976
"tomB" 1.24692267097563 6.81675329486758 47.0331690959786 0.00000000004640539113901 0.00000000633433589047487
"purM" -1.73438998641544 8.85834491167835 45.5107586616492 0.000000000090192056681308 0.00000000984897258959883
"mltA" -0.990272943368413 6.63802785063045 40.254877663819 0.000000000919976706723345 0.0000000837178803118244
"pyrH" -1.18774355500795 8.39788514985544 39.1787067911283 0.00000000148839255231072 0.000000116094619080236
"rluC" -1.20340476350641 6.13142279832763 38.5688565226198 0.00000000195658108082751 0.000000133536658766477
"evgS" -1.34227635463993 5.91760559011533 37.6049566249855 0.0000000030185551477048 0.000000183125678960758
"carA" -2.51317525782692 9.6579606474456 36.9387901539292 0.00000000407703391461002 0.000000222606051737707
"udk" -1.07436469104254 5.95164784659809 36.7220399700617 0.00000000449668188114206 0.000000223198937009415
"glnA" -1.85303212461182 10.5883680654204 36.479051340859 0.00000000501918382403282 0.000000228372863993493
"yliE" -1.8027348394772 3.76311629284882 35.9213711350097 0.00000000646209843885644 0.000000271408134431971
"recQ" -1.02655293247244 6.51254090091343 35.4054368047137 0.00000000816794207786598 0.000000318549741036773
"mrcA" -0.984444352433505 6.61347519290461 34.3222131669599 0.0000000133780468492042 0.000000477194622744083
"pdhR" -1.43590086503079 7.52595457181359 34.2252288363302 0.0000000139837252086178 0.000000477194622744083
"xseA" -0.836098570634674 7.51131788916061 30.9517861701103 0.0000000629705937145377 0.00000202246730400809
"pyrI" -1.77203277052598 9.2924619915439 28.956501243773 0.000000159172239443266 0.00000482822459644572
"aroH" -1.73268462638169 8.38498035852664 28.7580695718819 0.000000174625370937184 0.00000501818171219486
"ybjG" -0.847390977958922 5.48529885541034 28.6023884990292 0.000000187802869192765 0.00000512701832896249
"sdhC" -1.84110864781261 7.80444409093601 27.2828667938978 0.000000348627934153394 0.00000906432628798823
"ymdB" 0.916235598174293 6.79368593205123 26.1640839855496 0.000000590735044332188 0.0000146609697366079
"ycgB" 1.57462371348825 10.4074968208669 25.7802539948835 0.000000708332056270269 0.0000168151870749377
"rob" 0.735509826824699 8.80152796742494 25.5100343565489 0.000000805058634065602 0.0000183150839249924
"kbl" 0.728437312319333 8.06251803323484 25.2187565604255 0.000000924332785834193 0.0000201874280426188
"ushA" 0.723551851537211 7.70948772042343 25.0721768358304 0.000000990953822732795 0.0000208100302773887
"prs" -1.05290130898395 9.43141453079076 24.8103150868784 0.00000112228098268167 0.000022199454887927
"tdh" 0.76575120125309 8.20644182053342 24.7802673877017 0.00000113843358399626 0.000022199454887927
"ychF" -0.810964942229624 7.49469824071044 24.3831893149629 0.00000137531975681538 0.0000258939512834896
"yhjG" 1.02713092654235 8.47758372798321 23.5220111691982 0.00000207486053454524 0.0000377624617287234
"hemA" -0.72953199403029 6.62453479159027 23.0801264688091 0.00000256397608437056 0.0000451590626473008
"ggt" 0.934581921239092 8.10435441862793 23.0006482092287 0.00000266359978101977 0.0000454476712636499
"emrA" -0.807560199130801 6.40795436506623 22.7225107915854 0.00000304407358589134 0.000050365581148384
"wbbI" -0.945705331636382 6.54033603683099 21.8929323593227 0.00000453822444510168 0.0000728785455007505
"putA" 1.14741809367748 9.37653294175916 21.7719082948054 0.00000481114105978004 0.0000750538005325686
"ytjA" 1.15280991996798 8.66929294087023 21.5974120103777 0.00000523411996392604 0.0000793841527862117
"yqhD" 0.659949924055485 6.36088658015641 20.9665987428176 0.00000710255254659837 0.000104810640282235
"rpmE" -1.53932266964432 8.82929868526672 20.8038073732648 0.00000768594809080222 0.000110434938357316
"malP" 0.798322996131428 8.60348025926137 20.6578419093754 0.00000825015405606959 0.000115502156784974
"glnL" -0.908536850401482 6.98094390215496 20.5866057678423 0.00000854053131525625 0.000116578252453248
"rhlE" -0.844495312430774 6.78763509769425 20.2180457989057 0.0000102164727960191 0.000136053515771376
"dkgA" 1.13797197773064 9.05253389363855 19.9866924322282 0.0000114347528012766 0.000148651786416596
"clpA" 1.1871627311786 11.3814449522264 19.8330499277175 0.0000123240237847932 0.000156486441546444
"nfo" 0.667215557625055 6.75501113538794 19.6037232308132 0.0000137832396888651 0.000171037474320917
"patA" 1.34398409991931 10.8511662810646 19.5170035093877 0.000014379536371203 0.000174471707970596
"hchA" 1.04527943186715 8.32562765183751 19.1052587321654 0.0000175872699913533 0.000208753248158237
"accA" -0.722681050902335 8.55871148763199 18.9618129388519 0.0000188674554591346 0.00021918363150399
"sbcD" -0.563405721322222 5.70372323456742 18.6789200773694 0.0000216753023513101 0.000246556564246152
"evgA" -0.82675190490513 5.80684419279221 18.4602790120872 0.0000241323201671362 0.000265898199935425
"sodC" 1.10307446459743 8.64863619226115 18.4420360922803 0.0000243496520087386 0.000265898199935425
"osmF" 0.849053984336892 7.63861623038597 18.1399829174692 0.0000282501912492847 0.000302443223962931
"cspA" -1.52303373403225 7.81185143914862 17.9288528405742 0.0000313468170405533 0.000327858254872203
"folD" -0.726335498034026 7.44518925280209 17.8981395449592 0.000031825068696386 0.000327858254872203
"acuI" 0.679327887603438 7.1597097174826 17.7030949896903 0.000035039467240344 0.000349264067309973
"ysgA" 0.845640662850799 8.32441298765785 17.6948550868711 0.0000351822778425797 0.000349264067309973
