"logFC" "logCPM" "F" "PValue" "FDR"
"araE" 3.27198128779852 8.93856123518463 210.4972730316 0.00000000000000000000000000000000000808337104380723 0.0000000000000000000000000000000234974267648775
"araA" 6.65342088821345 10.6971768493993 211.126314034243 0.0000000000000000000000000000000000126841709931862 0.0000000000000000000000000000000234974267648775
"araB" 7.34438880361465 10.6522076952796 202.496619335409 0.0000000000000000000000000000000000803859876814034 0.0000000000000000000000000000000992766947865332
"araJ" 1.78098289338925 6.51080433618315 165.045517163281 0.00000000000000000000000000000648031444441344 0.00000000000000000000000000600239125413795
"araF" 3.4946975231717 8.26884439655922 86.1172483163706 0.0000000000000000054935911426845 0.00000000000000407075103672922
"araG" 2.28266907156967 7.78853357792242 70.4332533305176 0.00000000000000252562393859959 0.00000000000155957278208524
"ygeA" 0.877772701613992 6.52284012739422 40.2162826573473 0.000000000928179134847857 0.000000491271956373044
"araH" 1.38559280415401 7.58579558908359 35.1334746907825 0.00000000918288366544744 0.00000425282299756035
"ynhF" 1.43407746180001 2.54459844499717 32.959253123321 0.0000000248194907201502 0.0000102173570131285
"yaaY" 1.1250621945844 5.19376574403402 24.0734490019014 0.00000158896158478178 0.000588710267161649
"leuL" 1.61595452684003 1.17982308112734 21.0964851295468 0.0000071454589131525 0.00240672047938454
"yciY" 1.09102297269301 3.94599398605359 16.5568286927081 0.000061894140892943 0.0191098160006961
"araC" 1.03876401729541 9.5185090831821 15.831532428051 0.0000890663958140358 0.0253839228070002
"azuC" 0.945791814050364 3.25620160836515 15.2048369229083 0.000121247089171376 0.0320871760985677
"tatE" 0.660062960475891 5.21991474945941 14.1535407762695 0.000205852778800284 0.0508456363636702
"proW" 0.581166905746775 6.92782469244052 13.3655634033682 0.000306907114977087 0.0710681788118817
"yneM" 1.13117969246984 4.30671014374602 12.6920851381032 0.000432596195930533 0.0942805238778015
"yaaJ" 0.527213191305928 4.76722609902496 12.4899688499542 0.000479708798271774 0.0987400609776068
"yjiG" 0.944565811775723 1.92722410983136 12.0998464342147 0.000594132137281321 0.115855766769858
"lysR" 0.500801537556285 4.79315561832258 11.9299129268739 0.000639400515802295 0.118448945552375
"yeaQ" 0.987507362546047 6.14993218454213 11.8271842206017 0.000674105838847755 0.118931530139568
"acrZ" 0.842745604368555 3.3801168138511 11.6291985031097 0.000746494567669677 0.125716471509825
"yoaH" 0.532158667583359 4.41393798803187 11.030030385033 0.00101757745099034 0.163918454605183
"polB" 0.420419572666477 7.31037828237837 10.8345493867374 0.00112922357872422 0.174323889965551
"quuQ" 0.784511388308654 2.47646098203887 10.120908675064 0.00163369457746161 0.233769775402952
"ftnA" 0.62553978636783 4.61355179625929 10.112974333189 0.00164048965195054 0.233769775402952
"proX" 0.466584519193057 7.398630745321 9.57868172314988 0.00217124446377596 0.297942990307035
"yqaE" 0.709933042138943 5.54855428824671 9.24414668451784 0.00258995898849084 0.34270707329852
"galR" 0.337460881309669 6.25836999338471 8.69342539836168 0.00346750449682988 0.43391813498908
"glgS" 0.789338013952556 5.92371980732158 8.66863696505443 0.00351350716590348 0.43391813498908
"entD" -0.776164023065451 6.13854217996044 8.55174400706598 0.00373900501989597 0.440410959790779
"glnK" -0.50252612990393 3.75867466118982 8.51947876825663 0.00380381935581779 0.440410959790779
"ybdZ" -0.660075097191135 5.45212915056479 7.61383570075499 0.0061805684721591 0.677868790667807
"yncL" 0.831878992884733 1.8899963382321 7.60314824314089 0.00622065826793669 0.677868790667807
"ribA" 0.297857139405978 6.77258545625219 7.40952911900635 0.00690173476747311 0.702290791397296
"kduI" 0.534121148500153 3.62499399608432 7.38523905308401 0.00699304662583602 0.702290791397296
"csgB" -0.563198310046067 1.18366418009832 7.38234601951744 0.00701343030545208 0.702290791397296
