"logFC" "logCPM" "F" "PValue" "FDR"
"alx" -5.75233531470371 6.31877274154421 534.950778400198 0.00000000000000000000000000000000000000000000000000000000000000000174046399217835 0.0000000000000000000000000000000000000000000000000000000000000063196247555996
"uhpT" -3.85828078816904 5.61193916696195 462.002854053313 0.000000000000000000000000000000000000000000000000000000000000779171247023464 0.0000000000000000000000000000000000000000000000000000000014145853989711
"ompR" 3.89722005660521 6.74603852508414 451.829825076653 0.00000000000000000000000000000000000000000000000000000000000529622852492114 0.00000000000000000000000000000000000000000000000000000000641020192466289
"degP" -3.7030391414655 9.65784762779325 293.270719112354 0.00000000000000000000000000000000000000000000293827294749411 0.00000000000000000000000000000000000000000266721726808778
"cpxP" -3.3133822318434 10.043887676284 270.173786299972 0.000000000000000000000000000000000000000000903327636172616 0.000000000000000000000000000000000000000655996529388553
"yebE" -2.26635233639231 8.13292736464283 244.800534717056 0.000000000000000000000000000000000000000651874499297238 0.000000000000000000000000000000000000394492717824712
"melB" 2.21839689127921 5.20265678781797 236.926797593602 0.0000000000000000000000000000000000000053677759729722 0.00000000000000000000000000000000000278434207969458
"gntP" -2.76847830100426 3.87668766357173 241.164226475359 0.00000000000000000000000000000000000000804316092564024 0.00000000000000000000000000000000000365058966512497
"ldtC" -2.54585197579198 6.50871519739576 232.071249300928 0.0000000000000000000000000000000000000200238460305242 0.00000000000000000000000000000000000807850943742592
"uxuA" -2.44847714073568 7.73916700478872 222.370053499044 0.00000000000000000000000000000000000090720965869808 0.000000000000000000000000000000000329407827073273
"envZ" 2.58118550437939 5.59587759576204 208.145946372669 0.0000000000000000000000000000000000159219299782792 0.00000000000000000000000000000000525568434101199
"melA" 2.43083161679112 6.28760181380936 203.193814672859 0.000000000000000000000000000000000066135604274356 0.0000000000000000000000000000000200115315933489
"grcA" -2.99392362779415 8.63433158828515 202.692678755696 0.0000000000000000000000000000000000764502982144114 0.0000000000000000000000000000000213531563705021
"ymdF" 3.6100777258851 8.94968622904086 188.285276405365 0.00000000000000000000000000000000527376324876975 0.00000000000000000000000000000136778816830593
"pspB" -2.57414738222215 7.74131855882898 181.883752406544 0.0000000000000000000000000000000361207622313468 0.00000000000000000000000000000874363251080135
"yeaY" -1.90879492092241 7.62654485901588 171.882595264284 0.000000000000000000000000000000771462493978045 0.000000000000000000000000000175073769727143
"pspG" -2.64808372596143 8.56858763079107 171.846105747527 0.000000000000000000000000000000910487780301561 0.000000000000000000000000000194469478251469
"pspD" -2.49850533506959 7.70286432818888 167.242317050109 0.00000000000000000000000000000326944618494467 0.000000000000000000000000000659519949863005
"uidA" -2.20696514836525 5.80162049057079 166.770172038772 0.00000000000000000000000000000379019023077099 0.000000000000000000000000000724325301469972
"pspE" -2.66477513606436 8.87593957140153 153.592690878726 0.00000000000000000000000000025048087086276 0.0000000000000000000000000454748021051341
"uxuB" -2.03363045987777 6.88466357909462 152.731337970635 0.00000000000000000000000000064745896861703 0.00000000000000000000000011194873881183
"pspC" -2.44808325853826 8.4662919568688 132.341585893288 0.00000000000000000000000028676313478817 0.000000000000000000000047328951927993
"prpB" 2.52139588192592 5.6296928176489 132.545034073245 0.000000000000000000000000460162598784207 0.0000000000000000000000726456693993676
"rstA" -1.97146448956146 7.15104186474381 128.941533162277 0.000000000000000000000000916158339637979 0.000000000000000000000138607122134396
"putA" -2.94710135062956 9.37891610101716 127.182930049345 0.0000000000000000000000016772233523393 0.00000000000000000000024359991969376
"nanA" -1.83229533734941 5.29729946673432 125.077324685469 0.00000000000000000000000347200708415124 0.000000000000000000000484879143175121
"rstB" -1.84920808829506 6.72402880669579 124.41491733112 0.00000000000000000000000436858348647903 0.000000000000000000000587493579237235
"yccA" -1.88969965240921 9.5309822489579 116.185061965892 0.0000000000000000000000783629250135567 0.0000000000000000000101619921687223
"narZ" 1.81561667223297 6.49490523104674 114.780576130842 0.000000000000000000000129055548732057 0.0000000000000000000161586447395206
"prpC" 2.46953974176947 4.4835677760012 115.647838443199 0.000000000000000000000161332771104116 0.0000000000000000000195266430626348
"htpX" -1.96773974812603 10.668878406327 114.000058781836 0.000000000000000000000170424439754787 0.000000000000000000019961649701601
"greB" 2.34444646148573 4.41009820733854 113.814308365192 0.000000000000000000000182098481838805 0.0000000000000000000206624871111469
"pspA" -2.89825919593983 11.2691491868707 105.745458580777 0.00000000000000000000334266166137898 0.000000000000000000367794075529305
"uidB" -2.1463144686033 3.06327215567167 104.679503070231 0.00000000000000000000530280096372425 0.000000000000000000566307949978905
"ybfA" -2.65708761089457 6.45056179573021 101.001918935969 0.0000000000000000000190548530258471 0.00000000000000000197680489533859
"galE" -1.5190571010042 6.70453214022244 99.6606933646283 0.0000000000000000000312987180377186 0.00000000000000000315682347763768
"lpxP" -1.65173105599173 7.48326413665985 97.9661605346192 0.0000000000000000000587441957557328 0.00000000000000000572220029241364
"ycbK" -1.39906406429368 8.05571780488621 97.892077430711 0.0000000000000000000603877329750774 0.00000000000000000572220029241364
"ftnB" -1.69161558566387 5.86683460050397 97.8447768280791 0.0000000000000000000614612534850267 0.00000000000000000572220029241364
"mprA" -1.66022497274524 7.78856081983715 88.6319928955427 0.0000000000000000019891498033085 0.000000000000000180565073395329
"mraY" -1.28823290255997 7.16478706962079 88.4402194064729 0.00000000000000000214053559338425 0.000000000000000189567920477517
"glcD" 1.82917672017547 6.36444834047211 85.1479972147167 0.00000000000000000758817423547294 0.000000000000000656015729738149
"ivy" -1.68441934092461 7.7878520942667 84.4906418938655 0.00000000000000000978379169646056 0.000000000000000826161573252286
"artJ" 2.6895015341024 6.20320939776229 83.5353958808541 0.0000000000000000141667424746665 0.00000000000000116907822557987
"prpD" 2.08897361755394 4.59920356629536 82.851827528447 0.0000000000000000252032797034112 0.00000000000000203362463562414
"murF" -1.25249422027004 7.83672435643133 81.7755449002466 0.0000000000000000280945397063313 0.00000000000000221763638421063
"inaA" 1.68483681232075 5.60677956911559 79.3427988491092 0.0000000000000000728137966414252 0.00000000000000562525309797904
"yncJ" -2.7417109720385 4.32907496302948 77.8033841433804 0.000000000000000133498214608988 0.0000000000000100985836926091
"narU" 2.02093284264263 4.70416456032244 77.7106768496508 0.000000000000000138474027217659 0.0000000000000102612080168841
"frc" -2.62751897738012 2.62243786841633 77.5789368770735 0.000000000000000145868043336886 0.0000000000000105929373071247
"murE" -1.26656072671948 8.11223995947027 76.7216485976721 0.00000000000000020473524625991 0.0000000000000145763466503869
"ftsL" -1.29944910199906 5.62284894946956 76.6576784513481 0.000000000000000209987842571473 0.0000000000000146628049303273
"argG" 2.22770217003675 8.28718458428936 75.6454034224647 0.000000000000000313737311100946 0.0000000000000214939655963686
"argI" 3.70171255237371 5.9981092555969 75.1519935328699 0.000000000000000381726742291206 0.0000000000000255170482006709
"galT" -1.21098777489259 6.00591688500421 75.1206581382852 0.000000000000000386515464345056 0.0000000000000255170482006709
"argF" 3.17322947887169 7.23075959790009 74.826881983935 0.000000000000000434462142810861 0.0000000000000281702150097542
"srlA" -2.92036732543987 3.37468787689907 74.8210392334133 0.000000000000000453983003468721 0.0000000000000289195137823671
"ompC" 2.5055555144536 11.8068953110112 74.5066064519424 0.000000000000000493593421730728 0.0000000000000309006502466254
"artQ" 1.28144655516698 6.47837755255145 70.7779109693262 0.00000000000000220057196717292 0.000000000000135337176040001
"spy" -1.45371484649759 8.10291534592942 70.7378977761404 0.00000000000000223636203866705 0.000000000000135337176040001
"artP" 1.19349780803194 7.95081000446789 69.3379596286928 0.00000000000000393753032743238 0.000000000000234379878998475
"narY" 1.80404605914461 5.4896589026278 67.4890948898249 0.00000000000000834308450574324 0.000000000000488608707102479
"argA" 2.16980104298563 6.76096188900624 66.801134366057 0.0000000000000110445856169265 0.000000000000636553815477147
"ftsI" -1.13744801460726 7.50424632679944 65.9992317717069 0.0000000000000153278241227575 0.000000000000869614521714572
"yrfF" -1.18919571468842 6.94331326333761 64.7605205292289 0.0000000000000254711300082402 0.00000000000142285650861416
"purC" -2.40444986845136 8.80136522597283 64.6207228120334 0.0000000000000269770897064709 0.00000000000148414867763933
"ydjL" -1.84751454181258 2.78721298161553 64.4530495103316 0.0000000000000289022018611159 0.00000000000156632679041361
"nanT" -1.24790849514327 5.26293607458447 64.3292138072865 0.0000000000000304123758275379 0.00000000000162393142102633
"argC" 2.53082469860367 6.62035824006088 63.825383551901 0.0000000000000374225712104499 0.00000000000196929501543686
"ftsW" -1.04544812617507 7.15545908310301 63.6291393431154 0.0000000000000405751821223843 0.00000000000210469266123396
"murD" -1.05772966030903 7.75399013626139 63.1203207716197 0.0000000000000500540190994171 0.00000000000253733555139386
"dhaK" -1.36004709543412 8.35841123659442 63.1078019150676 0.0000000000000503134562655902 0.00000000000253733555139386
"ycbL" -1.11822814444237 7.90085666932216 62.8895802906378 0.0000000000000550599173764658 0.00000000000273866520539654
"rsmH" -1.04656550071345 7.67248961440582 62.4661104155862 0.0000000000000655977034856063 0.00000000000321871974805725
"argB" 2.37593596249776 6.66217582264363 61.6633879364143 0.000000000000091482215425549 0.00000000000442895898946891
"srlE" -2.2251856260841 4.3875845944494 61.3662051056948 0.000000000000103492394140712 0.00000000000494448530427534
"fabR" -1.00031407245044 6.99061633251294 61.0466582690623 0.000000000000118186749912835 0.00000000000557319596017538
"metK" -2.3322253766854 9.47444627000796 60.7426773965257 0.000000000000134114414127693 0.0000000000062431979192007
"lrhA" -1.14446056144203 6.36795214970905 60.5773625721738 0.000000000000143667361317842 0.00000000000660324289803905
"dhaM" -1.17972748290217 7.8464989384332 60.3062885475194 0.000000000000160839445194832 0.00000000000730010031878045
"dgcZ" -1.39966501641742 5.38593625212727 60.1035377591293 0.00000000000017502341638415 0.00000000000781091589815577
"fkpA" -1.1321679319732 8.89088811826053 60.0847992719641 0.000000000000176396338102113 0.00000000000781091589815577
"glpA" -4.42003743882676 6.40404213561199 59.3010382597726 0.000000000000251633795966938 0.0000000000110082206404332
"ybiA" -1.40739837631645 3.31631251547825 57.9082522682234 0.000000000000438587224180812 0.0000000000189584548928634
"yniB" 1.20052204304382 7.23156324019673 57.7871910631309 0.000000000000461466583740419 0.0000000000197127666536642
"argE" 1.46532333715198 7.44090096601106 56.0032733645365 0.000000000000978561008823399 0.0000000000413157560818344
"yehU" -1.17143250096511 5.03166308105476 55.417142035842 0.00000000000125391292989633 0.0000000000523328488327995
"galS" -1.76723303379667 4.99026507932895 55.3094823507959 0.00000000000131240705717826 0.0000000000541517048251619
"ybgE" -1.02458436275422 5.95099445167163 54.6607182037099 0.00000000000172799304582317 0.0000000000704982331391452
"cpdB" -0.986373788376125 6.2508317441254 54.3844684005033 0.00000000000194309211960215 0.0000000000783929720697267
"astE" 1.95115716255726 5.12316775227938 54.2395554676959 0.00000000000206652129017122 0.0000000000824564703803484
"murG" -1.02598507346913 7.40344264800559 54.1553330604608 0.00000000000214185822799828 0.0000000000839511768888619
"glcE" 1.73887797068393 5.15885198473315 54.1461665653901 0.00000000000215022292775108 0.0000000000839511768888619
"ydiJ" -1.60151455017208 8.49189910860316 52.9691402326372 0.00000000000355039627263349 0.000000000137143498573747
"opgB" -0.975367186447028 6.92628249304495 52.4626742535499 0.00000000000440816294487020 0.00000000016848462792446
"metE" -3.09128379653843 10.5625483736831 52.2846783818769 0.00000000000475691203534659 0.000000000179920287503578
"ychN" -1.0860500192295 6.00796859759887 52.2246229382098 0.00000000000488074948355503 0.00000000018270104510091
"argD" 1.95149518087986 7.13117911421244 51.5755883106197 0.00000000000644548719950375 0.000000000238811877769369
"bdm" -1.49792555901279 4.45323731864448 51.5017227793435 0.00000000000665299468338407 0.000000000244010340357248
"eptB" -1.07446725044754 5.95351214639831 50.9714061096528 0.00000000000835446989532924 0.000000000303350801899405
"prpE" 1.46698983471826 4.90820684075812 51.0467023971933 0.00000000000926840769912135 0.000000000333203845104056
"narG" -1.06857874400068 7.17981750964452 50.5744607235198 0.00000000000990979614627607 0.000000000352769311834592
"yfbV" 1.06386164575095 7.84804561438381 50.4183273771054 0.0000000000105987984389498 0.00000000037363337021191
"murC" -1.04780124374036 8.04482882366912 49.6085096705699 0.0000000000150285731682216 0.000000000524699511286661
"srlD" -1.69240460808668 4.64520453959363 49.5055532286879 0.0000000000157119298738017 0.000000000543333498778801
"asr" -1.50662685014651 3.83261464230216 48.7719297544563 0.0000000000215792324031109 0.00000000073919049863864
"galK" -0.908103645729377 6.54358786494409 48.4736774637883 0.0000000000245561877082048 0.000000000833303902509269
"ygiM" -1.13226684616062 6.83445539764459 48.4189747497486 0.0000000000251455523397706 0.000000000845402782830621
"tnaA" -1.66820483499596 3.99598372938833 48.3060502226642 0.000000000026930021974979 0.000000000897090915515126
"yneE" 1.03367898131105 5.28204078658337 48.2216223023768 0.0000000000273928928538841 0.000000000904214490476846
"mliC" -1.33274103107983 4.07959106504314 48.1509564479597 0.0000000000282459345428853 0.000000000923972867794744
"chaA" -1.54854388605608 7.03697585675868 47.4864912699635 0.0000000000377003249456054 0.00000000122223107033476
"dhaL" -1.09122722301433 6.82587802424469 47.1799533439527 0.0000000000430813349834076 0.00000000138432148075003
"nanE" -1.15799807905115 4.12835489445576 47.0222632656755 0.0000000000461446286644118 0.00000000146974690070596
"aqpZ" 1.05480155377932 5.63401299346978 46.6562580787207 0.0000000000541285241107724 0.00000000170904931344534
"ypfG" -0.971584013626178 7.02677963751396 46.1664202965945 0.0000000000670377549138106 0.00000000209839731113833
"cutC" -1.13811653886604 7.49496038988848 45.2268879594439 0.00000000010114498043505 0.0000000031389523415356
"ycfJ" -1.1668950041551 7.6806860133999 44.8524048598234 0.000000000119208681585952 0.00000000366819256642873
"astD" 1.69469011685016 6.80299574223308 44.7111585894709 0.000000000126837981770359 0.00000000387015724208549
"alkB" 0.918541945937603 4.72126529745953 44.5962598685733 0.000000000133405962497355 0.00000000403664208189915
"dcuA" -0.876427087334555 8.06160263305903 44.5443264981436 0.000000000136486139622696 0.00000000409571217330586
"ycbZ" 0.886815348584453 8.51384868280616 43.1382903139817 0.00000000025362035892369 0.0000000075483239610813
"motA" 1.26553139495691 2.07652174080792 42.8937910938124 0.00000000028256436154298 0.00000000834139184359805
"recD" 1.01775447413562 6.46798685438289 41.144751619269 0.000000000613875116665682 0.0000000179756495855895
"ybaT" 1.28685325082645 8.39820088465669 41.0429549794357 0.000000000642330288437328 0.0000000186584102185275
"yjhI" -1.77757413064716 1.85787623652859 40.8062981998007 0.000000000724179671884861 0.0000000208690189572534
"slp" 1.57488801336985 9.38423611201242 40.6787372968622 0.000000000755485559715099 0.0000000215997485616183
"ppiA" -1.02373054853365 6.41091645534643 40.2910908641164 0.000000000898113751830605 0.0000000254769611945072
"srlR" -1.01377657892495 5.59792231309789 40.1907516634277 0.00000000093926760733152 0.0000000264378347458973
