"logFC" "logCPM" "F" "PValue" "FDR"
"lacZ" -7.76505200551158 10.9317479370808 170.887905543764 0.00000000000000000000000000000120465023825999 0.000000000000000000000000000668580882234294
"narG" -2.00756104612249 7.17563500846929 144.068436378846 0.00000000000000000000000000625737417470102 0.00000000000000000000000173642133347953
"fruB" -3.64959709737714 10.7035018907551 80.2772803144431 0.0000000000000000526300749219885 0.00000000000000973656386056787
"dhaK" -1.37971553839395 8.35053216257006 58.6642407775599 0.000000000000327378860857029 0.0000000000454238169439128
"qmcA" -1.02262824689128 6.62665374461979 42.2350230126407 0.000000000383528481212569 0.0000000425716614145951
"ilvC" -1.85464712586404 7.72165329136783 41.4607442346659 0.000000000540586569237032 0.0000000500042576544254
"araC" -1.43987868045916 9.52288308011266 24.8003428121816 0.00000114377603879849 0.0000906851002190233
"ada" -0.851801810572495 6.95258161402828 23.5319316273139 0.00000206883484470323 0.000143525417351287
"stpA" 1.38199494743502 5.43238501706419 22.4066428680973 0.00000354923836696351 0.000218869699296083
"yihG" 1.42176414107985 3.06499115506919 22.0019111090712 0.00000431288624890069 0.000239365186813988
"bcp" 0.789163357354132 7.75035651150113 21.5291576076671 0.00000541808911439732 0.000273367223499137
"rpsU" 1.39866080479116 9.18348219161033 19.7340919778823 0.0000129507748702379 0.000589083514567371
"proQ" 0.746255951058393 8.70198335680273 19.6041795162565 0.0000137983525934699 0.000589083514567371
"trxC" 0.864855776441621 5.95956014176613 17.6046945564918 0.0000368238301816369 0.00145980183934346
"gadE" -1.1695196397549 6.87584716496207 16.5732570816419 0.0000613788488852818 0.00227101740875543
"purU" 0.785726959944185 7.26284050633354 16.0159166962406 0.0000810056129483397 0.00244283199919633
"aroK" 0.639346470937049 8.10731375358689 15.9703436735676 0.0000828680424635059 0.00244283199919633
"rpsT" 1.4490206843717 8.86808243377363 15.9589899191024 0.0000833387477814368 0.00244283199919633
"ispU" 0.694956362442911 7.61267275892583 15.9520335541827 0.0000836284828553699 0.00244283199919633
"narZ" -0.639059862243535 6.48844045043029 15.432832808245 0.000108403995291983 0.00300821086935252
"epd" -0.767409206854508 9.46985104707709 15.0785784389329 0.00012946732953944 0.00342163656639948
"copA" -0.630061581776641 8.80608469995431 14.5835052323987 0.000166051923279704 0.00418903715546525
"proV" 0.87026602122982 7.49202280658336 14.4006385354937 0.000182079994320393 0.00429593080069437
"iscR" 0.715608909135496 9.0429563140429 14.3152225958718 0.000190095768069147 0.00429593080069437
"ubiF" -0.631265342498878 8.02262811147239 14.2799404103145 0.000193510396427674 0.00429593080069437
"slp" -0.963021275638202 9.37674597948666 14.0587534476633 0.000216381910491331 0.00461892155087265
"ispB" 0.549220899576556 7.86783410834821 13.9218737093327 0.000231891245058217 0.00476665337064113
"fimH" -0.619386942437088 4.57105863044134 13.2726783436791 0.000327032453690287 0.00648225042136105
"mtr" -1.70888923075877 10.9899100178463 13.0670668518569 0.00035787355947039 0.00679910692789032
