"logFC" "logCPM" "F" "PValue" "FDR"
"yebE" -4.99262599632157 8.13298886963902 1215.61196023355 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000551662013273619 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199646482603723
"ssuB" -5.53518167242048 6.98960765051861 890.720827437318 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000028100264479527 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000508474285757041
"ssuC" -7.49519094558172 6.71373257439136 846.848665118429 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000554538590269075 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000066895838606126
"ssuD" -7.44442827720779 7.49968274838573 716.487263032356 0.00000000000000000000000000000000000000000000000000000000000000000000000000000136615360539535 0.00000000000000000000000000000000000000000000000000000000000000000000000000123602747448144
"ssuA" -7.32413231531394 6.49384458887616 701.63313706718 0.0000000000000000000000000000000000000000000000000000000000000000000000000000109356421351964 0.00000000000000000000000000000000000000000000000000000000000000000000000000791521777745516
"tauD" -7.06473174768606 8.06959408952555 685.635378319813 0.000000000000000000000000000000000000000000000000000000000000000000000000000106478483212596 0.0000000000000000000000000000000000000000000000000000000000000000000000000642242717910639
"ssuE" -5.68405418220015 5.30517117922387 615.872967693436 0.00000000000000000000000000000000000000000000000000000000000000000000000346390076719299 0.00000000000000000000000000000000000000000000000000000000000000000000179083669663878
"acrD" -3.16916327914107 6.0436425074803 587.179132611781 0.000000000000000000000000000000000000000000000000000000000000000000000315645198435447 0.000000000000000000000000000000000000000000000000000000000000000000142789996642236
"modA" -3.36246029385071 5.97122282871309 567.196826044318 0.0000000000000000000000000000000000000000000000000000000000000000000079961280264583 0.00000000000000000000000000000000000000000000000000000000000000000321533192530584
"tauC" -8.05612712654309 7.95060062978879 531.827144938005 0.0000000000000000000000000000000000000000000000000000000000000000029602797764869 0.00000000000000000000000000000000000000000000000000000000000000107132525111061
"narZ" 3.50028712753186 6.49493997486148 497.967441286196 0.0000000000000000000000000000000000000000000000000000000000000010918265019958 0.000000000000000000000000000000000000000000000000000000000000359210919156619
"spy" -4.16210372426628 8.10295164383483 495.29113262924 0.00000000000000000000000000000000000000000000000000000000000000176125485909084 0.000000000000000000000000000000000000000000000000000000000000531165111254145
"ymdF" 6.32956614552047 8.94973337040649 478.28009221548 0.0000000000000000000000000000000000000000000000000000000000000382784769360113 0.0000000000000000000000000000000000000000000000000000000000106561390793404
"cspI" -4.69129920203432 5.52107663519073 468.436710234748 0.000000000000000000000000000000000000000000000000000000000000407965085163949 0.000000000000000000000000000000000000000000000000000000000105458974514881
"narY" 3.69747946716833 5.48968613304214 447.51164266617 0.0000000000000000000000000000000000000000000000000000000000120299085786559 0.00000000000000000000000000000000000000000000000000000000290241594307704
"degP" -4.43230360211297 9.65789570397822 416.712314393713 0.00000000000000000000000000000000000000000000000000000000488978841206541 0.00000000000000000000000000000000000000000000000000000110600901645405
"tauB" -8.08502337994029 8.20984094280554 409.038503886573 0.0000000000000000000000000000000000000000000000000000000227763984926542 0.00000000000000000000000000000000000000000000000000000484869330264208
