"logFC" "logCPM" "F" "PValue" "FDR"
"yjfY" -7.19787863263221 6.79004482176276 848.862765497925 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000114625127172595 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000413796709093069
"ybaA" -6.32876726585036 7.84037981303317 647.867539094488 0.0000000000000000000000000000000000000000000000000000000000000000000000000265002945380639 0.0000000000000000000000000000000000000000000000000000000000000000000000478330316412054
"gcvH" 4.88263402648412 7.62836607196114 638.316271391847 0.000000000000000000000000000000000000000000000000000000000000000000000000111166873181837 0.000000000000000000000000000000000000000000000000000000000000000000000133770804062144
"zntR" -3.43227825054957 7.36538466730412 605.542997682312 0.000000000000000000000000000000000000000000000000000000000000000000000017118528522392 0.0000000000000000000000000000000000000000000000000000000000000000000154494719914588
"gcvT" 5.19749762374564 8.72327264457838 585.115726095309 0.000000000000000000000000000000000000000000000000000000000000000000000435082766318076 0.000000000000000000000000000000000000000000000000000000000000000000314129757281651
"yafE" -2.66278481501424 6.08294321230667 553.591852392518 0.0000000000000000000000000000000000000000000000000000000000000000000748125458952792 0.0000000000000000000000000000000000000000000000000000000000000000450122151136597
"yhdN" -3.62321294136571 7.92038531982122 544.920051072259 0.000000000000000000000000000000000000000000000000000000000000000000319053949757349 0.000000000000000000000000000000000000000000000000000000000000000164540679803433
"hokD" -4.97217245491566 9.36624162612612 530.540578016692 0.0000000000000000000000000000000000000000000000000000000000000000036576668797523 0.00000000000000000000000000000000000000000000000000000000000000165052217948822
"relE" -4.9421377060816 9.25885381297495 514.606441757693 0.000000000000000000000000000000000000000000000000000000000000000057470831407664 0.0000000000000000000000000000000000000000000000000000000000000230521890424074
"yqfA" -3.62048932225315 8.35237890431572 508.939734083327 0.000000000000000000000000000000000000000000000000000000000000000155136306483392 0.0000000000000000000000000000000000000000000000000000000000000560042066405044
"proX" 3.89876372185714 7.3987312638255 489.201283218952 0.00000000000000000000000000000000000000000000000000000000000000522040873484157 0.00000000000000000000000000000000000000000000000000000000000171324323025255
"upp" 6.31407520612664 8.01054547668668 485.342092494656 0.0000000000000000000000000000000000000000000000000000000000000104923799401909 0.00000000000000000000000000000000000000000000000000000000000315645763200743
"relB" -4.4321865742813 7.69860268509321 475.452488666808 0.0000000000000000000000000000000000000000000000000000000000000638085286351652 0.0000000000000000000000000000000000000000000000000000000000177191375671497
"ykfB" -3.16696770740771 7.11721331547868 474.005204908238 0.0000000000000000000000000000000000000000000000000000000000000832686201962228 0.0000000000000000000000000000000000000000000000000000000000214714084934546
"livJ" 4.78044632009753 7.56968484410052 472.512615619089 0.000000000000000000000000000000000000000000000000000000000000109632088502723 0.0000000000000000000000000000000000000000000000000000000000263847892996553
"prpD" -4.94252542163718 4.59869716430794 487.671036675912 0.000000000000000000000000000000000000000000000000000000000000243942290697995 0.0000000000000000000000000000000000000000000000000000000000550394793387352
"pspG" -5.24354300577621 8.56846898530605 459.605489612703 0.00000000000000000000000000000000000000000000000000000000000208023462083286 0.000000000000000000000000000000000000000000000000000000000441743940070977
"fxsA" -4.06214826045828 7.00151620444661 453.539367937781 0.00000000000000000000000000000000000000000000000000000000000379859537842074 0.000000000000000000000000000000000000000000000000000000000761829406449936
"pspD" -4.98783274767094 7.70263122985764 444.793776898205 0.0000000000000000000000000000000000000000000000000000000000200873783130622 0.00000000000000000000000000000000000000000000000000000000381660187948181
"guaC" 3.80896917340406 7.99115927125123 439.035527662296 0.0000000000000000000000000000000000000000000000000000000000608115109655828 0.0000000000000000000000000000000000000000000000000000000109764777292877
