"logFC" "logCPM" "F" "PValue" "FDR"
"lacZ" 7.44214345467953 10.9333773866765 169.141348909731 0.00000000000000000000000000000203778571727716 0.00000000000000000000000000185438500272222
"cynX" 3.29454046603765 3.67688803185848 135.799266551054 0.0000000000000000000000000969356384543804 0.0000000000000000000000441057154967431
"galE" -2.02596237748493 6.7069058711286 116.127378765355 0.0000000000000000000000855969846278543 0.0000000000000000000259644186704491
"xylH" -1.15867903554692 3.85261829884196 43.8279958946371 0.00000000018954580465017 0.0000000431216705579136
"xylA" -1.02784409354811 7.21549663873642 37.9053274613978 0.00000000264468087270963 0.000000481331918833152
"xylB" -0.716853482688498 6.04141580966176 21.3747373650854 0.00000583528809937552 0.000885018695071954
"galM" -0.691616403203562 8.0797979401406 19.9815484592174 0.0000114744570373863 0.00149167941486023
"glcD" 0.499092911965309 6.40913321982597 6.64402829418722 0.0104740201169348 0.999845557585657
"purL" 0.768676097385595 10.0938884765878 6.05294672305024 0.0145030591868923 0.999845557585657
"allR" 0.530865173335545 9.29815091602488 6.02559014116562 0.0147244825988746 0.999845557585657
"argG" -0.624596115967127 8.28501157210685 5.6309809213988 0.0183388677120456 0.999845557585657
"pheS" -0.779261597238289 8.34508969904301 5.19945529979094 0.0233654567608611 0.999845557585657
"yodC" 0.605834334987552 7.57093145394618 5.11433637269905 0.0245161797061802 0.999845557585657
"fetA" -0.698044071676321 4.1019097346011 5.38895770892333 0.0310380466642921 0.999845557585657
"ygiF" -0.285927670074512 7.01218157483953 4.23452495412064 0.0405595141505564 0.999845557585657
"astB" 0.493107448905384 6.63660074720831 4.06829804016293 0.0446744407146209 0.999845557585657
"cybB" 0.597733785294092 5.85278482238761 3.95485623274454 0.0477349492695133 0.999845557585657
"yciG" 0.532817845042521 8.65434295749447 3.94977976281284 0.0478770010035175 0.999845557585657
"ybgL" -0.276930311676354 6.35263013861396 3.94486259667318 0.0480150228340268 0.999845557585657
"lolB" 0.24942124310507 7.37485719873819 3.91475721262556 0.0488693248170613 0.999845557585657
"iscS" -0.404269523180121 9.80595590738743 3.87759800594649 0.0499461124091379 0.999845557585657
"astE" 0.500209371695341 5.16125050590136 3.87726352409922 0.0499559186218045 0.999845557585657
"fimA" -0.45360831983154 9.02254090169182 3.68487872383706 0.0559740143992906 0.999845557585657
"hisG" -0.420699250296727 7.56910630456372 3.56188595135596 0.0601817295393551 0.999845557585657
"groS" -0.512784311626507 10.2996893972506 3.53718647074204 0.0610719767819673 0.999845557585657
"kdpA" 0.577999831609247 2.49072898261907 3.74420068141091 0.062157754771745 0.999845557585657
"cbdA" -0.373135490814121 6.0607292484101 3.49465178974613 0.0626382773373109 0.999845557585657
"lepB" 0.28999369290361 7.96604899297931 3.45968873247563 0.063957995793608 0.999845557585657
"ompC" -0.548872870113946 11.8024248266648 3.33453312098406 0.0689322914408796 0.999845557585657
"iscR" -0.3317739482324 9.04424186200821 3.26878164429596 0.071710938636238 0.999845557585657
"rlmI" 0.289876845026501 7.28362310512178 3.12495840250688 0.0782192937014863 0.999845557585657
"manA" 0.271507269130186 7.36249795631446 3.06570905538867 0.0810838936696153 0.999845557585657
"umuD" -0.487559215414923 2.65603800904044 3.03457253981397 0.0826347149122153 0.999845557585657
"ydcF" -0.276894303182887 6.62158653085475 3.02695529994288 0.0830189895043878 0.999845557585657
"srmB" -0.244081787054408 7.39402709558983 2.93440785882953 0.087846239015491 0.999845557585657
"tyrB" -0.51407979694585 8.65804932181 2.86110815027388 0.0918865655656928 0.999845557585657
"yphH" -0.288986783332441 4.8202565550648 2.7909157591503 0.0959465024801212 0.999845557585657
"csrD" -0.217934781720196 6.98862230785905 2.73386292108858 0.099391282100625 0.999845557585657
"uidA" -0.351926248505911 5.84460112009966 2.73245241657248 0.0994781471544555 0.999845557585657
"pheP" 0.440798555476063 5.64469611815604 2.57586434594208 0.109661434159004 0.999845557585657
"metG" -0.366726944264938 8.97127053964717 2.51819990803455 0.113696991667066 0.999845557585657
"pgpA" 0.214774958727797 7.21401537684399 2.48833050238165 0.115851819373477 0.999845557585657
"argH" -0.457117162845755 7.84855490636668 2.48304646273731 0.116237714478729 0.999845557585657
"murI" -0.257438946964249 6.07128828004311 2.47834872609387 0.116581990017478 0.999845557585657
"chbF" -0.546448701371021 3.09794987831916 2.60682494783032 0.11908823103267 0.999845557585657
"groL" -0.533043092564991 12.7564375030947 2.43874306657952 0.119529960417392 0.999845557585657
"baeS" 0.285639611715039 4.59792780474275 2.378532046245 0.124171888017653 0.999845557585657
"yeeA" 0.230570826820544 6.09542398839813 2.35751365424927 0.125839349831771 0.999845557585657
"deoB" -0.402962781717709 11.3922197984238 2.35003534185728 0.126438650945457 0.999845557585657
"lpxA" -0.217937492593407 8.64593187676044 2.26501195452964 0.133481730333298 0.999845557585657
"selB" -0.308380517128738 6.79204237534137 2.25121662184264 0.134665476059109 0.999845557585657
"rna" 0.180988775293145 6.89182740156698 2.23412044304906 0.136148867024199 0.999845557585657
"yidD" 0.864977885649887 5.63072742258262 2.2091090414857 0.138352290006373 0.999845557585657
"pphA" 0.232382899970512 5.50482329723696 2.20804294649101 0.138447098163412 0.999845557585657
"ybfA" 0.444109970498418 6.46767053170429 2.20359952319233 0.138843042632143 0.999845557585657
"yejG" 0.364841595060923 7.23430422459708 2.19320333285324 0.139774424185413 0.999845557585657
"osmY" -0.367908052035743 11.2094592045571 2.02348097906579 0.156025781983095 0.999845557585657
"malI" 0.313446430734895 4.39435237568575 2.19953040858245 0.161884694652073 0.999845557585657
"acrF" 0.243922033020667 4.51969085148884 1.95480267442729 0.163205554217866 0.999845557585657
"mtr" -0.731943263095498 10.9919521359362 1.95047412819874 0.163670599327848 0.999845557585657
"mukE" -0.284094468871983 6.48515594707957 1.93706029135356 0.165121429553721 0.999845557585657
"rpoH" -0.295441403353872 10.316736007857 1.9304396931895 0.165842950287137 0.999845557585657
"yheT" 0.208986678229391 5.64753077538614 1.92990779122678 0.16590107469224 0.999845557585657
"ydfG" -0.226316054060134 8.17296202038134 1.92619061760909 0.166307928955462 0.999845557585657
"hemN" 0.188973803892131 7.59397245051418 1.9206865760125 0.166912469797252 0.999845557585657
"ecnB" 0.472152622839938 7.64859406926189 1.89680135766239 0.16956539956875 0.999845557585657
"holA" 0.204439705343436 6.78063747794731 1.86909772348145 0.172703547358221 0.999845557585657
"pepQ" -0.198450141615562 8.19804427672443 1.85941656247625 0.173815964766598 0.999845557585657
"hupB" 0.335216836209858 8.67640438195756 1.83211205467356 0.176998340022841 0.999845557585657
"ykfB" 0.195982724603166 7.13181413661259 1.83106726558413 0.177121445764845 0.999845557585657
"dsbA" -0.264631928672685 7.75225913717056 1.82388010026966 0.177970993135373 0.999845557585657
"dnaK" -0.45871553605072 14.2028638899681 1.81470941258239 0.179061873320246 0.999845557585657
"yggS" -0.262670817963465 5.61863988487782 1.79872327749516 0.180982092540102 0.999845557585657
"argD" -0.376246049694579 7.13356257300595 1.78750018709725 0.18234449351746 0.999845557585657
"ppiB" -0.236806038772792 8.54884303220651 1.76951266895545 0.184553031510616 0.999845557585657
"emrB" 0.21616559796144 6.32767694609006 1.72735155393499 0.189853107275803 0.999845557585657
"yqjK" -0.283509464956892 7.8279405931796 1.72542679454543 0.190099285771471 0.999845557585657
"cfa" -0.316906489783952 11.0141481277075 1.71614766457679 0.191291354002689 0.999845557585657
"rspA" -0.373537855443675 9.59327143793365 1.70080810387338 0.193281265845978 0.999845557585657
"nrdA" -0.286472002182536 8.66213545401693 1.69781779561418 0.193672004734638 0.999845557585657
"ytfK" 0.416799176217349 9.14747734425282 1.67992928663925 0.196028945399152 0.999845557585657
"purD" 0.391954790376383 8.46139306228081 1.62616567404003 0.203318784415059 0.999845557585657
"araB" -0.480468323210778 10.6494135789253 1.61256625740489 0.205213205017735 0.999845557585657
"gltD" -0.32484152037018 9.74253441066141 1.61165018683466 0.205341565138532 0.999845557585657
"ompA" -0.413206095117669 14.5755352775825 1.61128541639687 0.205392703386582 0.999845557585657
"ybaP" -0.193279068445768 5.75373378622256 1.61119574139034 0.205405277503021 0.999845557585657
"lptC" 0.184863281740411 7.45600115507129 1.61086090128556 0.205452236426021 0.999845557585657
"clpB" -0.394824361605136 13.0731120745887 1.60707019380984 0.20598474462058 0.999845557585657
"yajQ" -0.19609901462138 8.12488935391575 1.60321803905034 0.206527562435801 0.999845557585657
"glsA" -0.298703889492124 9.21289108602702 1.58109727601353 0.209677744537341 0.999845557585657
"bcsC" 0.185274563901277 7.48370241509283 1.57544955915128 0.210491158772628 0.999845557585657
"gcvP" 0.292008903892887 9.68739416907905 1.54532619520303 0.214893734391533 0.999845557585657
"rpoS" -0.3256168238423 12.4365998651973 1.54155158707488 0.215453112693279 0.999845557585657
"araA" -0.439974518984795 10.6942595468902 1.52227684704683 0.218373001822915 0.999845557585657
"maeB" -0.229364101377644 9.08019884455402 1.52044149160757 0.218613825918231 0.999845557585657
"yhjK" 0.143704764954461 6.59003468159241 1.51853700129128 0.218901697487852 0.999845557585657
"phoR" 0.206552034261437 5.38591929728357 1.50378437777027 0.221147085542746 0.999845557585657
"ahpF" -0.18227491619251 8.43228248682867 1.47782106578914 0.225166360894805 0.999845557585657
"atpB" 0.283072328535807 9.35759212940132 1.47676538058016 0.225331639246463 0.999845557585657
"guaB" 0.36117232047452 9.33105333712219 1.45218562861672 0.229221554671201 0.999845557585657
"hldE" -0.188705122692534 7.8516150422048 1.44912843806105 0.229711028369207 0.999845557585657
"potF" -0.247533284483035 7.63671880044779 1.43732304475425 0.231613051788314 0.999845557585657
"cyoC" -0.296389324076205 8.75101826612272 1.39753498265105 0.238165794637313 0.999845557585657
"mdlA" 0.186634945118716 5.37689654545945 1.35974663085911 0.244599512023845 0.999845557585657
"yqeG" 0.231214922230972 4.96075718065238 1.35335912625915 0.2457079389664 0.999845557585657
"atoS" 0.243205848040037 4.83203450034208 1.34141352270706 0.247797456851244 0.999845557585657
"astD" 0.29794997402918 6.8236340710868 1.33897686189727 0.248226352983497 0.999845557585657
"ispE" 0.1865238414577 8.04255018300451 1.33560092885383 0.248822087416655 0.999845557585657
"purB" 0.349035324426075 8.87035006907114 1.31186308395797 0.253061089218583 0.999845557585657
"yjbJ" 0.409459968208153 9.90702919658682 1.3003948580053 0.255140955429861 0.999845557585657
"aceE" -0.335788536715194 12.0665013579689 1.28791697119435 0.257428015142141 0.999845557585657
"purA" -0.278731697603926 11.0419370749646 1.27949935219559 0.258985237152884 0.999845557585657
"poxB" -0.290693026164696 10.1079077212135 1.27890417591009 0.25909578407713 0.999845557585657
"rpsR" -0.280643094813956 9.40134430683852 1.27290750268908 0.260212871926793 0.999845557585657
"ompX" -0.322643953195545 12.6162697454879 1.2617582681333 0.262305767168039 0.999845557585657
"accC" -0.263138553539961 9.67546063593305 1.26039464900797 0.262563176896767 0.999845557585657
"sad" -0.19742681493644 5.16149352897718 1.25824288384951 0.262970005039336 0.999845557585657
"aceF" -0.308603533579552 11.3187309300258 1.24669982150721 0.265165888212045 0.999845557585657
"fepD" -0.23482043090487 5.5146015370338 1.23144392808491 0.268103339215013 0.999845557585657
"mreB" -0.217051719193188 8.98486416187461 1.22080651488798 0.270175656989253 0.999845557585657
"sfmD" 0.435796634774938 2.36468757092801 1.21771350237786 0.270781986393102 0.999845557585657
"proA" -0.149790219507049 8.00847695777103 1.19796925712473 0.274693063799557 0.999845557585657
"yqcE" -0.470889534714105 2.27849618518608 1.19640078442089 0.275006797504561 0.999845557585657
"frwA" -0.320855410159436 3.16658059951408 1.19599666937601 0.275087703772679 0.999845557585657
"apt" -0.271210575760293 7.24930996051005 1.19523982958953 0.275239308405456 0.999845557585657
"yfiF" -0.171409865227909 7.36185023444477 1.19068276379689 0.276154377496682 0.999845557585657
"ssb" -0.18745842172322 8.50809939525023 1.18189052894353 0.277930757352082 0.999845557585657
"tonB" -0.199300005344187 7.76789440046202 1.18159092309214 0.277991543602736 0.999845557585657
"flc" 0.195554473974608 5.75751101616944 1.18089665522903 0.278132466416568 0.999845557585657
"yfdK" 0.274238415661602 3.24741019752474 1.17684605841257 0.278956462221375 0.999845557585657
"hslR" -0.184225789725785 7.93086095436989 1.17107781257069 0.280135212208412 0.999845557585657
"tabA" -0.202626039205799 5.42381331445967 1.16275636521597 0.281846856205458 0.999845557585657
"gadC" -0.381508671984962 10.485782912766 1.15308162599944 0.283853582147466 0.999845557585657
"pyrC" 0.390862116089641 8.86954975436903 1.1525404501097 0.28396636776348 0.999845557585657
"malQ" 0.172574800123688 7.98541696883842 1.12045399110678 0.290756781931835 0.999845557585657
"cvrA" 0.151030569093073 5.87603391247514 1.11728070655385 0.291439562906283 0.999845557585657
"gcvA" 0.137821986386889 6.03374943181412 1.10653858116784 0.293766206531146 0.999845557585657
"yebV" 0.342416054109379 10.3103142739296 1.09579534475125 0.296117001840755 0.999845557585657
"ygiW" -0.304725321143373 10.2796209482374 1.08573238379425 0.298340949641474 0.999845557585657
"rluD" -0.140744246274638 7.5419041722125 1.08042993487239 0.299521477246482 0.999845557585657
"htpG" -0.293878143254915 11.6881210351287 1.07779060564962 0.300111341804951 0.999845557585657
"gspO" 0.183939507849432 4.52713186450844 1.06877549951068 0.302137494685391 0.999845557585657
"topA" -0.221782826183183 10.4825622320997 1.06762761285558 0.302396752630812 0.999845557585657
"asnB" -0.269370830119804 8.45422091950714 1.05322763465243 0.30567373318736 0.999845557585657
"soxR" 0.164823998844743 4.67472891236584 1.0529137285452 0.30574568066048 0.999845557585657
"panC" -0.194201107747212 8.24544572374592 1.04484205321686 0.307603304192099 0.999845557585657
"yegE" 0.133246154256803 6.80740181759484 1.03715596557164 0.309385876336615 0.999845557585657
"ymdF" -0.250668297048295 8.94370477086911 1.03383184030149 0.310160988525476 0.999845557585657
"gltB" -0.279118393631872 11.2480969440891 1.00459908028092 0.317088138679581 0.999845557585657
"gatY" -0.335604546923075 12.3959980758511 1.00003075780249 0.318188968332607 0.999845557585657
"maeA" -0.157678457280672 8.47366262650743 0.995609952524613 0.319259049250012 0.999845557585657
"yicC" 0.152333750066211 7.76351255214112 0.987330601171699 0.321275920416346 0.999845557585657
"rplJ" -0.254610343333544 12.0306205124435 0.984747327565059 0.321908656796017 0.999845557585657
"nfuA" -0.178447470640689 9.34380852018464 0.982107457630059 0.322556959678314 0.999845557585657
"folE" -0.201600394540416 8.28602896627865 0.973025980274006 0.324800452633841 0.999845557585657
"proW" 0.286970331526887 6.92114671859914 0.970755422620295 0.325364604085964 0.999845557585657
"pncB" -0.213925052960667 9.07760858836724 0.970512990146415 0.325424916625609 0.999845557585657
"cyoB" -0.264384194354089 10.6849082539162 0.969171959475954 0.32575880763097 0.999845557585657
"gpmA" -0.254571037633424 11.5384280916868 0.95952196694902 0.328174952735097 0.999845557585657
"yjdN" 0.216584265743598 8.40447626655074 0.958637193568413 0.328397672491417 0.999845557585657
"ysgA" -0.205525667221796 8.32479800296133 0.954340461927317 0.329482137311179 0.999845557585657
"sspA" -0.152751681879653 9.13319653986234 0.951367690151806 0.33023524085339 0.999845557585657
"pepA" -0.154686050602799 9.05372465714433 0.949627322735673 0.330677201313267 0.999845557585657
"lon" -0.242721323428442 11.3583090068849 0.945958283671285 0.331611533541825 0.999845557585657
"btuB" -0.19908881813183 7.10190146532415 0.945133349115341 0.331822091448062 0.999845557585657
"gadX" -0.225859078038713 7.85127330572348 0.941487232028619 0.332754878649017 0.999845557585657
"murA" -0.195671575215222 8.07070912303716 0.939012527355473 0.333389983572875 0.999845557585657
"aspC" -0.234489144687483 9.49233823562812 0.930473224868201 0.33559401688505 0.999845557585657
"yfaD" -0.226530317442629 4.54117529159132 0.928727207847396 0.336047078339392 0.999845557585657
"hdeB" -0.299636905347793 9.42925424957979 0.924864076240698 0.337052420244351 0.999845557585657
"ldtE" -0.261894837841124 10.4342428883482 0.923654031626375 0.337368154248256 0.999845557585657
"clpP" -0.180690471775575 10.087822204298 0.921690591483592 0.337881317417116 0.999845557585657
"hemC" -0.13898349028922 7.97125309885739 0.91098872386625 0.340696922884685 0.999845557585657
"pgi" -0.207754490502476 10.4672291622364 0.902778519395014 0.342878503487317 0.999845557585657
"pgm" -0.160328046881791 9.30195647671395 0.901794023535845 0.343141367647118 0.999845557585657
"atoB" -0.19965707914941 3.93220839229047 0.895089071676606 0.344938901036088 0.999845557585657
"yibT" 0.22044990848674 8.22446006702452 0.894188917064223 0.34518119581331 0.999845557585657
