"logFC" "logCPM" "F" "PValue" "FDR"
"narG" -1.2441793265904 7.17563515317714 64.0058717784491 0.0000000000000357509549923335 0.0000000000198417800207451
"araC" 1.18969621909141 9.52288298327194 17.355731586399 0.0000419111987747822 0.00816078144652816
"fimH" 0.686779583573499 4.5710580347044 17.2867248214206 0.0000441123321433955 0.00816078144652816
"dhaK" -0.704996537860776 8.35053240367636 15.3780474126354 0.000111418994633733 0.0154593855054304
"yfjW" 1.07902527511774 3.02125399421481 13.6028949842817 0.00027255962627488 0.0302541185165116
"yebK" -0.456534456965694 6.49565305873507 9.39117848624474 0.00239888839795401 0.199380373753107
"waaU" 1.16259590850653 3.39506779010747 9.30176344502222 0.00251470741670585 0.199380373753107
"epd" -0.559447547714192 9.46985126165492 7.94402506812356 0.00517812938929642 0.350641228085096
"gadE" 0.789280065746305 6.87584746481954 7.76987677184134 0.0056860739689475 0.350641228085096
"ompF" -0.661348226111947 9.50199076793848 7.45933011381065 0.00672257319040002 0.373102812067201
"intA" -0.37767400979514 6.10276247574642 6.90146988384902 0.0091000471950007 0.454057441116357
"fruB" -0.970796010862732 10.7035020899351 6.69600759532692 0.0101807719923851 0.454057441116357
"pcnB" 0.40169487705466 8.41186954598111 6.52728500871888 0.0111668970851505 0.454057441116357
"yjgL" 1.01744851127543 2.35152332475507 6.48109397555251 0.0114537012173495 0.454057441116357
"rpmE" -0.907964597417675 8.82799245563316 6.29876979912263 0.0126621738014159 0.456589894344589
"ptsG" -0.564695688811667 9.75386153627558 6.22843328774011 0.0131629519090332 0.456589894344589
"wbbI" 0.512230462167806 6.53847834710544 6.06200891348725 0.0144311643431884 0.471135071204093
"malE" -0.575673429536595 6.1657134302457 5.92103955833692 0.0156042249203609 0.477048040336825
"pyrD" 0.774668650455372 7.00281838754168 5.78543281453093 0.0168261303063443 0.477048040336825
"purM" 0.644548022594525 8.85776567273499 5.67704470551171 0.0178739963424819 0.477048040336825
"gnsB" 0.787438707682565 3.20687018915028 5.66020801810081 0.0180504663911231 0.477048040336825
"ycaI" -0.373636323934415 4.70446896024298 5.23130852417711 0.0229503050464454 0.562688206673922
"recQ" 0.406286063924338 6.51033353428738 5.20307792317207 0.0233186103666671 0.562688206673922
"rimO" 0.560599159570968 6.19308443256405 5.08388994221988 0.0249429035537028 0.576804644679378
"folK" 0.447190850050497 4.51321446421296 4.85586713165915 0.0283885484820872 0.595554928257084
"yhcB" -0.35581396405309 8.13283766195567 4.83985464182766 0.0286485172495235 0.595554928257084
"hisG" -0.448896252418214 7.56741637415962 4.82008416493708 0.02897294245575 0.595554928257084
"gntR" -0.285015028781527 7.11700134934179 4.57901573553299 0.0332536823823363 0.659135490078451
"sxy" -0.367464984683253 4.3471464885758 4.16720893786342 0.0421765056472528 0.746752747874238
"metE" 0.80177423286577 10.556554860118 4.08114220725978 0.0443423464761136 0.746752747874238
"carA" 0.826169138258262 9.6575207993412 4.01203242818646 0.0461666448537446 0.746752747874238
"nei" 0.304621812745687 4.92591416691375 4.00156475270519 0.0464498250058491 0.746752747874238
"nanA" -0.443770220150601 5.35306008283013 3.87527394896649 0.0500154146090055 0.746752747874238
"tusC" 0.338561321004647 4.51283960020626 3.82546670286934 0.0515005946111872 0.746752747874238
"hflD" 0.360760621846125 6.63559675697787 3.77772416120475 0.0529683106015009 0.746752747874238
"sucD" -0.415930435814742 9.38831668859691 3.73423893194931 0.0543439414372709 0.746752747874238
"qmcA" -0.296784937725393 6.62665374804734 3.7076797108486 0.0552028167395264 0.746752747874238
"gatZ" -0.701901460591381 12.0807629782828 3.69120173928334 0.0557429506223687 0.746752747874238
"rlmH" 0.417358935020391 5.8121323478799 3.68594046901998 0.0559165957540538 0.746752747874238
"rpsQ" -0.44791910755659 9.79078119576073 3.66720994261723 0.0565394859219803 0.746752747874238
"rlmC" 0.380622835856647 4.95282847221654 3.65310153484196 0.0570135545839506 0.746752747874238
"folE" 0.362642342108988 8.28443007658653 3.61417500786679 0.0583437068164603 0.746752747874238
"hisD" -0.394397155053435 8.06103330850328 3.59857700931914 0.0588859742919471 0.746752747874238
"rpsC" -0.532373231653618 11.4787126855374 3.58955681516798 0.0592020196512909 0.746752747874238
"hemF" 0.269961064850714 5.39045434150252 3.40540669630944 0.06606758626262 0.777895115399238
"sucB" -0.419914965194253 9.96552230997893 3.38117668515338 0.0670326985426035 0.777895115399238
"rpmC" -0.433268822588667 9.19535965627367 3.37330741812621 0.067349391690837 0.777895115399238
"yhbT" -0.268459009524606 6.83907860046721 3.36589483584204 0.0676491772004734 0.777895115399238
"metB" 0.433215217199446 6.642622172668 3.32830715271876 0.069191576999699 0.777895115399238
"pntB" -0.336544609086749 8.90858504863967 3.30704842869336 0.0700806410269584 0.777895115399238
"thiI" 0.330235625131517 7.16109898403452 3.2022678866194 0.0746462822815623 0.812327189534649
"atpD" -0.422370960045271 11.0198113561011 3.11298508511719 0.0787904621368685 0.828446356529843
"rfbB" 0.320787295926025 7.76233749111666 3.06880634172619 0.0809326079808485 0.828446356529843
"ribE" 0.266782944280188 7.78234609429584 3.0191585375451 0.0834155824686889 0.828446356529843
"rpsE" -0.45616040897852 11.1179552062752 2.92419354888388 0.0883987157254801 0.828446356529843
"adhE" -0.514413487029308 12.1609398650249 2.91107966511347 0.0891119415827474 0.828446356529843
"pheL" 0.562311270093071 3.09761917600511 2.85263640736739 0.0923677221301995 0.828446356529843
"rhsA" -0.228247875522227 5.41511669203468 2.81713127920429 0.0944089531286943 0.828446356529843
"ydgA" -0.326445426866877 9.9755108828299 2.79985537004695 0.0954199659394599 0.828446356529843
"hns" -0.353965340542305 10.6000616705133 2.78929952213398 0.0960435396010665 0.828446356529843
"secY" -0.474336216712753 12.6262818869532 2.77690937294234 0.0967811721042655 0.828446356529843
"crr" -0.406002871293954 10.7028411335779 2.75987994365204 0.097805146861164 0.828446356529843
"dnaG" 0.27423493049437 8.675383236421 2.75940156259813 0.0978340827485312 0.828446356529843
"leuC" -0.361337272828707 7.5747052733422 2.74548830140278 0.0986925754439807 0.828446356529843
"lacZ" -0.717163272753501 10.9317481007954 2.72301990140464 0.100062465013844 0.828446356529843
"mtlA" -0.416012774559863 8.62546997114768 2.67781512780877 0.102909265979389 0.828446356529843
"ybjD" -0.182454489152667 6.71794415071464 2.66439343995244 0.103771565684978 0.828446356529843
"proV" 0.366104297786459 7.49202299229345 2.63040247947105 0.105991175734105 0.828446356529843
"uspA" -0.376035798628285 10.3179328235132 2.59769593158753 0.108176413157838 0.828446356529843
"rplP" -0.415108914803784 10.7552979045862 2.55375008994711 0.111191306647569 0.828446356529843
"intD" -0.262795021798077 5.7855570284902 2.53641751755853 0.112405855204767 0.828446356529843
"atpG" -0.359569358095407 10.190396341601 2.53180814394269 0.112731315487293 0.828446356529843
"mdh" -0.288960561749526 9.94998387603012 2.51393121579492 0.114003486354065 0.828446356529843
"smpB" -0.260485708104651 6.92385529546617 2.50348175841973 0.114754460840447 0.828446356529843
