"logFC" "logCPM" "F" "PValue" "FDR"
"inaA" 4.02577739217213 5.60679518988824 498.650016008604 0.000000000000000000000000000000000000000000000000000000000000000984208462585819 0.00000000000000000000000000000000000000000000000000000000000359432930536341
"araJ" -3.07330392858126 6.51095055382408 469.806864128414 0.000000000000000000000000000000000000000000000000000000000000185192942185344 0.000000000000000000000000000000000000000000000000000000000338162312430439
"araE" -3.8559646744506 8.93853748654474 287.420061104795 0.0000000000000000000000000000000000000000000123673289980273 0.0000000000000000000000000000000000000000150551618335986
"araD" -7.04359550391516 8.56601521604742 283.646719073731 0.000000000000000000000000000000000000000000109425851383798 0.0000000000000000000000000000000000000000999058023134077
"araB" -8.30284081078206 10.6521263636851 252.951497133051 0.0000000000000000000000000000000000000000765773941001802 0.0000000000000000000000000000000000000559321286507716
"araA" -7.25950996326867 10.6970927080228 240.951701838297 0.00000000000000000000000000000000000000389270490086686 0.00000000000000000000000000000000000236935971632763
"Circuit_PhlF" -5.74474071134598 11.0294836939569 341.863058178393 0.0000000000000000000000000000000000397362731394052 0.0000000000000000000000000000000207309813578725
"ygeA" -1.87791213288707 6.52291771113137 167.008732717674 0.00000000000000000000000000000353193622522936 0.0000000000000000000000000016123288868172
"araF" -4.2946738680694 8.26894180550624 132.843900851098 0.000000000000000000000000269333558267053 0.000000000000000000000109289572754586
"cspG" 2.72571369637378 3.85015820810205 90.7267930115265 0.000000000000000000896468619911116 0.000000000000000327390339991539
"cspA" 2.58984293307565 7.81948859768173 56.1924585339027 0.000000000000904034724255733 0.000000000300139528452903
"yhjX" 1.83036939215727 7.92116909044569 52.8468215870415 0.00000000000374314599991172 0.00000000113916409930647
"araG" -1.82096339251162 7.7887316107176 47.6840926498892 0.0000000000346144341786189 0.00000000972399335540894
"yjbE" -1.08142198641403 6.09296686868282 42.38353823972 0.000000000354312097499416 0.000000092424841433419
"ygaP" 1.14683555987589 4.0876288620916 41.7424692439885 0.000000000470832315127481 0.000000114631974323037
"lysR" -1.05151783866542 4.79334446285086 41.1486659063489 0.000000000613058132897007 0.000000139930518833742
"cspB" 2.15897268852585 2.61714571842107 30.8301244986135 0.0000000708074530407139 0.000015211106970864
"ycjM" 1.69008271960169 1.7508815404076 30.4007202466334 0.0000000816176392322227 0.0000165593121375598
"ybdL" -1.12483726949671 5.14264781995314 29.5743306722567 0.000000118830578862631 0.0000228404881055963
"ygaV" 1.15309111407733 2.88785884419371 29.0689239765273 0.000000150408377341043 0.0000274645697024744
"ybaP" -0.653900753655656 5.76014110901092 27.8639646315382 0.000000264348536421583 0.0000459714692862677
"yfiM" -0.668667155080254 5.97792541819575 24.9784434440697 0.00000103279828221903 0.000171444514848358
"metR" -1.15676327026596 5.25793688475099 23.389492008083 0.00000220452037734738 0.00035003949643794
"yegE" -0.552297526214117 6.80427188080152 22.6111575436306 0.00000320290226788568 0.00048737496176327
"araH" -1.03947163518129 7.58604678706757 20.8218954801211 0.00000760147542241763 0.00111042352970677
"maa" 1.04964986808368 5.20564404524024 20.2219811579534 0.0000101749361234593 0.00142918718164897
"ytfF" -0.800014847929886 4.74164442925239 19.4969934674897 0.0000144914905869487 0.00196010828235321
"mdtB" -0.521885662334463 6.02510346490342 18.8233291226945 0.0000201545585425858 0.00262873027848298
"nfrA" -0.467184570701784 6.14756931820683 18.5125021102245 0.0000234777679599129 0.002956579606538
"metB" -0.929527568893157 6.65331357739656 18.1594430253978 0.0000279312169680672 0.00340016014557938
"tqsA" -0.597246959076369 4.34337659606113 17.5521941246477 0.0000376874469173926 0.00443982439168767
"rstB" -0.594062678172707 6.72384374663184 17.4056308008095 0.0000405199799313032 0.00462434270965998
"yqaE" -0.882812139409283 5.54858625596197 17.0234210234463 0.000048963785747268 0.00541865895603099
"greA" 0.576500817246168 6.58017406144597 16.5936077067994 0.0000606108200290668 0.0065103151395927
"ynaI" 0.735579389796396 5.16377487480511 16.5324729711869 0.0000624815850461895 0.00651950710253383
"rimP" 0.597674804914832 7.37262944750742 16.1654809811177 0.0000750084709574896 0.00760919266490978
"ycjN" 1.45929568968028 1.34537355384941 15.8479745150596 0.0000878857694518943 0.00867456297400859
"opgE" 0.651964603569376 4.80274434282395 15.7242741723279 0.0000934898976422166 0.00898487121550987
"xylE" -0.642058536253923 5.33117727857103 14.8055402588078 0.000148199994356545 0.0138775994715411
"uxaA" -0.631931579298617 8.02176650325837 14.7523626502327 0.00015221859614231 0.0138975578277929
"rutR" -0.534512111342873 4.85273350676903 14.6589699002514 0.00015954559999121 0.0142112324675097
"metN" -0.919595027234822 6.77219303525901 14.5553086779756 0.000168097959692846 0.0146165178285304
"creD" 0.640933222311313 3.92617005119395 14.1497579981456 0.000206273677268575 0.0173923472502469
"acrD" -0.432845991245004 6.04341785380184 14.1186139875418 0.000209546352412613 0.0173923472502469
"araC" -0.976544763542313 9.51862312929426 14.0497045484989 0.000217903373613756 0.0176840693430541
"mdtC" -0.452090208541512 5.66968259095598 13.9782558543123 0.000224961793702237 0.0178600102304472
"metC" -0.542905802949497 6.69893124951999 13.8051300680936 0.000245571702534631 0.019081443779925
"mcbA" -0.788825137103086 8.08988073017125 13.7370354454657 0.000254194044885223 0.0193399302483507
"rpmG" 0.848397870087606 7.58013128781167 13.4416232763682 0.000295305589722861 0.021849423282709
"mdtA" -0.54182046249265 5.25973531526715 13.4162105249401 0.000299143254144428 0.021849423282709
"asr" -0.569388645979969 3.83299101726565 13.2558754356871 0.000324551558260461 0.0227268448360242
"metJ" -0.584571935605311 6.88138271698675 13.2473415294112 0.000325963776867933 0.0227268448360242
"ylaC" 0.900661916308414 5.32986361009329 13.2241956837814 0.000329825513775817 0.0227268448360242
"ybhS" -0.518249079050817 5.86751771778882 13.0194624508411 0.000366072820220763 0.0244984020521001
"yrbN" 0.7187093385488 4.51355445417943 12.9445629110315 0.000380322512388942 0.0244984020521001
"moaD" -0.829031772423335 4.64263657026477 12.9362894741029 0.000381930701887115 0.0244984020521001
"gadE" 0.96286824420958 6.88648548854449 12.9340445050231 0.000382368268611639 0.0244984020521001
"ynfD" -0.623526074480491 6.48693310162225 12.7547097456521 0.000419019458421606 0.026383776933719
"yciU" 0.410251601446153 5.85489102528461 12.4092616987565 0.000500000250757924 0.0309491680638634
