"logFC" "logCPM" "F" "PValue" "FDR"
"lamB" -0.992085913516365 6.23466960469224 25.6891154147015 0.000000736787069977758 0.00272832252012764
"thrL" 1.41421848692804 6.88543096917986 23.2555577038693 0.00000234979205303166 0.00333821705016057
"wcaG" -0.757641454066737 4.03208901945043 22.9625027760462 0.00000270446965986543 0.00333821705016057
"malM" -0.706684396304033 5.44635298721744 21.1955253521157 0.00000634014980526989 0.00483395885921475
"yhaH" 0.871859425389272 6.79368979041863 21.0596710476779 0.00000677152958682077 0.00483395885921475
"yciY" 1.27425405039318 3.94598816229634 20.7684403775128 0.00000783250152721807 0.00483395885921475
"rcnB" 0.666427108963731 5.19679232365263 18.6278049642554 0.0000221794238682656 0.0117329152263125
"malF" -0.653052032564257 4.65561269477481 17.9394610961132 0.0000311222415554946 0.0144057075599996
"ydbJ" 0.608505507139043 6.65838318175483 16.8763310394218 0.0000526592833608409 0.0216663695872438
"gntT" -0.692872903084206 5.89833616033639 15.8970357943477 0.0000857429885467715 0.0317506286588695
"ilvL" 1.26403016071805 4.4598230073015 15.6768850431275 0.0000957147051340452 0.0322210502828518
"yaiO" 1.04003937720675 3.8223733323443 15.4455880351687 0.000107461403675551 0.0331607981508806
"ybgE" -0.482372095953886 5.95099596092044 15.1668599570421 0.000123577403957303 0.0352005482195303
"malK" -0.744887892377006 5.10115975862496 15.0064638651335 0.000133940992466366 0.0354273925073537
"ldrC" 0.871975297410976 2.94952034597688 14.400884660386 0.000181681421767647 0.0448510869870398
"alkA" 0.543771531098138 5.12660117865951 14.2208695927663 0.000198964747283573 0.0460479036994418
"gmd" -0.631916790123441 4.59268159683687 14.0004360219156 0.000222419422456578 0.0484481836092182
"ybiW" 0.645688079512813 4.25463121859727 13.5757796600767 0.000275821391776874 0.0552521794927562
"clpS" 0.443453009359915 7.31858256701934 13.5217062606439 0.000283497545331452 0.0552521794927562
"yhbP" 0.546900575780953 4.47920582633054 13.3733090910568 0.000305696861410507 0.0565997738901554
"hisL" -1.24250143632208 1.5791211700434 13.2273817956927 0.000329870983793208 0.0577300185628454
"wza" -0.768772032778643 2.84478452154222 13.147107796734 0.000342981476743883 0.0577300185628454
"pspG" 0.897664538619985 8.56863330857753 12.6583774346956 0.00044087640814021 0.0703283355598943
"yhcC" 1.19311031127663 2.4432539672862 12.5898012545336 0.00045581421912975 0.0703283355598943
"malE" -0.673781111834937 6.18324871270413 12.5099968464765 0.000474810554483148 0.0703289393300439
"hisF" -0.522972681647157 7.04264036092579 12.3485793207408 0.000515730402353845 0.073451910766011
