"logFC" "logCPM" "F" "PValue" "FDR"
"sslE" -3.27986502370329 7.20504362993 622.408053094465 0.00000000000000000000000000000000000000000000000000000000000000000000000124310412877747 0.00000000000000000000000000000000000000000000000000000000000000000000459326975583276
"fecA_Part2" -3.75685047138481 5.95307890796894 680.963638731164 0.0000000000000000000000000000000000000000000000000000000001156170176571 0.000000000000000000000000000000000000000000000000000000213602440121493
"yddB" -3.95439772817863 4.59837150193736 302.52872508635 0.000000000000000000000000000000000000000000000313057163337602 0.000000000000000000000000000000000000000000385582072844146
"ybdZ" -4.26269693432032 5.45195889220924 254.12127402396 0.0000000000000000000000000000000000000000556122714190004 0.0000000000000000000000000000000000000497944609209774
"pqqL" -3.30580138996283 4.81873971683658 253.386420566161 0.0000000000000000000000000000000000000000673808672814309 0.0000000000000000000000000000000000000497944609209774
"fecI" -3.56859300951945 7.61512014529811 234.459607502567 0.0000000000000000000000000000000000000103977194800578 0.00000000000000000000000000000000000640326224646891
"fes" -3.82521679520101 8.30705124997164 230.239637462872 0.0000000000000000000000000000000000000328123684718075 0.0000000000000000000000000000000000173202430719041
"nrdI" -4.1397244423624 7.69902377998943 210.903630185086 0.00000000000000000000000000000000000721192160123463 0.00000000000000000000000000000000333100628957025
"fecR" -3.69024700894373 7.36501078248086 206.051281293999 0.0000000000000000000000000000000000288767222763567 0.0000000000000000000000000000000118554987567931
"bluF" 2.44845939816093 5.77047193650493 205.53748257553 0.000000000000000000000000000000000033473670325551 0.0000000000000000000000000000000123369994193278
"nrdH" -4.18293109629994 7.61403986357295 205.215141729286 0.0000000000000000000000000000000000367271971887972 0.0000000000000000000000000000000123369994193278
"yddA" -3.95859660281651 2.68675032858683 204.200605725957 0.0000000000000000000000000000000000897539285951289 0.0000000000000000000000000000000276367305132501
"entD" -4.32963910852085 6.13832524535263 200.311439713062 0.000000000000000000000000000000000151781502054008 0.0000000000000000000000000000000431409730838122
"feoA" -3.06413537182512 6.70434153172341 192.358536311542 0.00000000000000000000000000000000156468457325105 0.000000000000000000000000000000412964964154473
"ybiU" 1.70243282603479 6.25614521677373 189.417948803595 0.00000000000000000000000000000000374526420748679 0.000000000000000000000000000000922583416444245
"stpA" -3.60187979871748 5.44182286750164 187.084522955028 0.00000000000000000000000000000000751629993222884 0.0000000000000000000000000000017357955155991
"fhuE" -4.14697218377653 8.32112228863599 183.457230963058 0.0000000000000000000000000000000223539855128675 0.00000000000000000000000000000485870449823796
"ybiX" -3.74993329156995 7.34047345025981 175.831412128926 0.000000000000000000000000000000227505386458091 0.0000000000000000000000000000458152074888293
"feoB" -2.7874401188987 8.43100330341948 175.717688864626 0.000000000000000000000000000000235585640673277 0.0000000000000000000000000000458152074888293
"cirA" -6.49072003550603 11.4033250920939 174.177260614251 0.000000000000000000000000000000378304088881829 0.0000000000000000000000000000698916804209178
"puuC" 2.64033344762726 5.81539192320877 171.978499636902 0.000000000000000000000000000000745902189591329 0.000000000000000000000000000131243266216189
"zinT" -9.818669618976 10.2415991545175 169.917665182405 0.00000000000000000000000000000141372704460762 0.00000000000000000000000000023690726334598
"nrdF" -3.80749225744632 7.91755085473261 169.668001402058 0.00000000000000000000000000000152789894369685 0.00000000000000000000000000023690726334598
"yliE" -3.95923728991279 3.76525700637859 169.636787246435 0.00000000000000000000000000000154281179193753 0.00000000000000000000000000023690726334598
"nrdE" -3.98457007768373 9.71066000523281 169.514040981913 0.00000000000000000000000000000160289082101475 0.00000000000000000000000000023690726334598
"borD" -4.26859146175899 4.21601647299668 168.038536768845 0.00000000000000000000000000000294833778949053 0.000000000000000000000000000419004158929519
"entC" -3.87787938638283 9.34016155342053 167.025851546942 0.00000000000000000000000000000348518179277733 0.000000000000000000000000000476953582381935
"entH" -3.5809946079984 7.60917112898048 166.815955493909 0.00000000000000000000000000000372193586791186 0.000000000000000000000000000491162608283369
"fimI" -2.14785559929953 5.44146367874337 164.281944908906 0.0000000000000000000000000000128190365554587 0.00000000000000000000000000163332207146275
"fepB" -2.29454292342026 7.10283067136443 160.839867783191 0.0000000000000000000000000000245060904825181 0.00000000000000000000000000301833347776348
"puuB" 2.64230620294481 5.1795019556862 160.188858011204 0.0000000000000000000000000000301387912437691 0.00000000000000000000000000359234947244281
"fepA" -5.05755290924283 10.5661934879314 159.76025873966 0.0000000000000000000000000000345426195990622 0.00000000000000000000000000398859310682921
"puuE" 2.49751388173822 5.16651516309547 158.253956420882 0.0000000000000000000000000000558453808715873 0.00000000000000000000000000625299037334894
"znuA" -5.16420897476047 11.3046297915297 156.466321019825 0.0000000000000000000000000000989791754870299 0.000000000000000000000000010756707453664
"fimD" -2.2290841739829 4.90314650490412 158.278580984232 0.000000000000000000000000000130409441092467 0.0000000000000000000000000137675109953333
"entE" -4.0680155948664 9.67056944284305 155.096720158008 0.000000000000000000000000000153703943031321 0.0000000000000000000000000157760019305758
"ybiI" -3.09415315715551 6.26616918606354 154.020692730331 0.000000000000000000000000000217415041606327 0.0000000000000000000000000217121237496048
"betI" -2.12093018969699 5.52101767191271 153.237430545048 0.000000000000000000000000000280000880166279 0.000000000000000000000000026743160059334
"fimA" -2.54290870887713 9.02521253293972 154.032774305457 0.000000000000000000000000000282268807121522 0.000000000000000000000000026743160059334
"yliF" -3.7627136159456 3.00727319382023 150.507858578564 0.000000000000000000000000000770485292312547 0.0000000000000000000000000711735788773716
"yncE" -3.77349887237294 10.0405454951831 149.655523739158 0.000000000000000000000000000895816088387028 0.0000000000000000000000000807326938192699
"entA" -3.66297511793304 8.45655615557034 146.646879151731 0.00000000000000000000000000239776791671257 0.000000000000000000000000210946486958404
