"logFC" "logCPM" "F" "PValue" "FDR"
"Circuit_PhlF" 1.50931841812554 11.0295425660153 30.6417168940527 0.000000222993141523019 0.000784266878736459
"prpC" 0.770893715074784 4.48405412557805 12.2747251788671 0.000541391528475986 0.952037002825022
"pgpB" 0.44755149549525 6.23629235241113 10.2571310572632 0.00152162528991372 0.999809247698171
"yacH" 0.608940592581812 5.22323134784139 10.441960675168 0.00201911297365106 0.999809247698171
"prpD" 0.706478207176429 4.59954993154664 9.43315716115344 0.00235982353871761 0.999809247698171
"prpB" 0.610878925098911 5.63029550198218 8.91578379394827 0.00309680481334784 0.999809247698171
"nohD" 0.987244688285138 2.33511913529176 8.76480847752778 0.00333880735829158 0.999809247698171
"insQ" -0.498274914281536 6.64421436824204 8.53265153400792 0.0037776128732735 0.999809247698171
"abrB" -0.876400987129971 4.10702237980513 8.56661534109481 0.00406853470890858 0.999809247698171
"yejB" 0.930329414008356 4.12013848412151 8.62884776494462 0.00572725780996335 0.999809247698171
"holA" 0.420804255798247 6.78581795254955 7.49727479869356 0.0065825079044116 0.999809247698171
"araD" 0.964047425126062 8.56600280819386 7.19671140220311 0.00776642770029453 0.999809247698171
"nhaR" 0.42890063319873 6.3921886289968 7.1664456172216 0.00787430498896044 0.999809247698171
"ygbI" -0.473440880648932 4.64753707422532 7.05081631953367 0.00838506888446788 0.999809247698171
"plsC" 0.47397563724648 6.10976939276058 6.83007447580469 0.00945705044659009 0.999809247698171
"prpE" 0.591019589015061 4.90841519350056 6.77037625901713 0.00980613778483437 0.999809247698171
"araG" 0.652552276230135 7.78866292668418 6.68073173013238 0.0102615898689405 0.999809247698171
"araH" 0.582351903431561 7.58595962293117 6.40455800499792 0.0119407646869344 0.999809247698171
"yciC" -0.299186970914412 6.42695257764895 6.33836356640335 0.0123838720447499 0.999809247698171
"araF" 0.735681807550949 8.2689081011043 6.16402838290704 0.013640746943709 0.999809247698171
"gspA" -1.16405993011923 2.33111961875786 6.40560551986299 0.0137784625779272 0.999809247698171
"nikR" 0.674582509030256 4.20355704876313 6.95429386930293 0.0138005226004975 0.999809247698171
"cheZ" -0.700351662400701 3.26310170453825 6.62789142980524 0.014188582781649 0.999809247698171
"kdsD" 0.291719312737488 7.07066225203831 6.03822096841896 0.0146169660162104 0.999809247698171
"ldcA" -0.388416804316164 5.78746610654581 6.01421999530554 0.0148126576101131 0.999809247698171
"yjgH" 0.599925310885164 5.2098385029168 5.91941004736977 0.0156126236696867 0.999809247698171
"nfo" 0.418149958305803 6.7599505670923 5.83870993305706 0.0163287929837423 0.999809247698171
"eutK" 0.662301818422621 3.76364320007774 5.83462012549599 0.016365982605981 0.999809247698171
"nanA" 0.411026644186341 5.2979510535516 5.71038970882467 0.0175385526587579 0.999809247698171
"rstB" -0.476342729291811 6.72391851113829 5.69254621829004 0.0177140007757165 0.999809247698171
"waaP" 0.602708931387258 5.59134263519449 5.5026788946597 0.0196978980481754 0.999809247698171
"yeaX" 0.762607509643769 2.77167240804134 5.63710018437915 0.0204586443062196 0.999809247698171
