"logFC" "logCPM" "F" "PValue" "FDR"
"lacZ" -9.17731705448266 10.9326027338309 211.110268836796 0.00000000000000000000000000000000000779115107616501 0.00000000000000000000000000000000430071539404309
"ilvC" -1.94102257705099 7.72266267601115 47.8234561033398 0.0000000000329609253015236 0.00000000909721538322052
"add" -0.90030855385627 6.3139979591104 27.5833318343145 0.000000302890001193074 0.0000557317602195255
"cdd" -1.33298835017364 8.36099701220192 26.5353881974081 0.000000495990624471097 0.0000684467061770114
"iscR" 0.815862198448883 9.04363875985585 19.9765435266228 0.0000114949211610557 0.00126903929618054
"yigI" 0.904018229516101 5.18390532312849 19.0071314925737 0.0000184582412761951 0.00169815819740995
"xseA" 0.649820913540344 7.51107054549228 18.6335367922591 0.0000221695076175443 0.00174822402926921
"tyrA" -2.25302766562157 10.5281040694044 17.0762423202246 0.0000477849108355188 0.0032971588476508
"ymdB" -0.720049206417372 6.79405390044551 15.0589762251244 0.000130664301440016 0.00733504517053907
"ybjG" 0.592628202395342 5.48484494963662 15.0254639365358 0.000132881253089476 0.00733504517053907
"rluC" 0.728816372330671 6.13094326789937 14.8165741090704 0.000147586459207051 0.00740615686202656
"aroF" -2.15504163806459 11.2075170198454 13.5597721084831 0.000278441246260571 0.012149383270015
"tomB" -0.669824250736245 6.8166481477536 13.5061237068024 0.000286126779909773 0.012149383270015
"rob" -0.527378513904559 8.80142724160756 13.2922820091663 0.00031896323343007 0.0125762646323856
"greA" 0.559927772004602 6.57163210305688 12.9473084374307 0.000380207405794773 0.0139916325332476
"yafK" 0.623179606760736 7.15700483705998 12.4186614416082 0.000498105511033634 0.0171846401306604
"coaA" 0.604505178658344 5.7659723386518 12.1565195813705 0.000569739975720064 0.0174935733892809
"mcrC" 1.15453790837645 1.73418174772378 12.1049753395535 0.000594493617469214 0.0174935733892809
"accC" 0.752093134134935 9.67487283486693 12.0488018625125 0.00060213386666003 0.0174935733892809
"udk" 0.595514069122513 5.95115730749519 11.8960313030102 0.000651316619650711 0.0179763387023596
"ybjP" -0.658255476621233 7.77257073522474 11.5773058547228 0.000767501280663356 0.0201743193774368
"sodC" -0.860070808031326 8.64852735870114 11.3524768545226 0.000861958595013247 0.0216273247476051
"iscS" 0.696472673937884 9.80542664711979 11.1319474550796 0.000966117469904226 0.0231868192777014
"yeaV" -1.08749123273133 2.01560661153548 10.9632599895704 0.00105437540967037 0.0242506344224184
"nrdD" -0.635272361606621 9.33590520375719 10.5448483872465 0.00131047338445201 0.0289352523287004
"ysgA" -0.626391717181568 8.32424510835573 9.95499888654178 0.00178329132544293 0.0376362048786333
"suhB" 0.800885026666726 7.02651522068553 9.89432769122497 0.00184090132558533 0.0376362048786333
"sdhC" 1.01798350984624 7.80458451223034 9.76331188137431 0.00197187313119429 0.0388740703006874
"ycgB" -0.933222707448331 10.4072299704501 9.65444281736443 0.00208792051714387 0.0397424870849454
"ycfQ" -0.44130378532091 5.70512982143896 9.50454588286389 0.00225921009110028 0.0407280884318564
"mgsA" -0.413397025928735 6.87031544130456 9.48110493236162 0.00228726583584701 0.0407280884318564
"mltA" 0.470221636534991 6.63770810067217 9.21806085204259 0.002627615170323 0.0453263616880717
"fimA" -0.599316676840996 9.0220459447866 9.15262786139385 0.00272548273494861 0.0455898930209586
"aspA" -0.96888168296686 9.85172460383952 8.81352543460904 0.00325516408786733 0.0528485463677284
"gadE" -0.83498403419711 6.87745108571042 8.58655211930767 0.00367247167590581 0.057920124717143
"osmC" -0.863030560517268 10.3356957036879 8.41281566652019 0.00402863515905276 0.0614234107460225
"nfo" -0.435190098472027 6.7547346097353 8.37207928918815 0.00411714890870078 0.0614234107460225
"rimJ" -0.387936313113021 6.4574013158126 8.07447536236747 0.00482731055296715 0.0701230375062597
"nepI" 0.461023228389508 5.06954702086999 7.98697178345616 0.00505915186760023 0.0716064572029572
"hpf" -0.445802355674068 8.36265261710219 7.87846014530931 0.00536260050767019 0.0737298910081232
