"logFC" "logCPM" "F" "PValue" "FDR"
"yebE" 5.13932536799661 8.13291139954302 1291.71438673482 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000572564283208762 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000207840834804781
"ssuB" 5.97435605150104 6.98951487160311 1017.21454028749 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190986851280181 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000346641135073529
"ssuC" 8.23134757394314 6.71362870058481 966.373117960369 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048138077979394 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000582470743550667
"ssuD" 8.32595473096544 7.49958929626224 831.197798757076 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000380804419816284 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000345580010983277
"narK" 5.76636744515728 5.77184619607266 831.924947739883 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000916934520713446 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000665694462037962
"tauD" 7.68042700315691 8.06950963536245 770.329624703357 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000927798806070082 0.0000000000000000000000000000000000000000000000000000000000000000000000000000005613182776724
"ssuE" 5.94764357481358 5.30512674959624 728.876355892098 0.000000000000000000000000000000000000000000000000000000000000000000000000000000244886665227135 0.000000000000000000000000000000000000000000000000000000000000000000000000000126991227824929
"gcvH" -5.25857775721697 7.62817702531323 721.304991833169 0.000000000000000000000000000000000000000000000000000000000000000000000000000000695099669436633 0.000000000000000000000000000000000000000000000000000000000000000000000000000315401475006872
"gcvT" -5.81349491611662 8.72317828761577 685.126637240371 0.000000000000000000000000000000000000000000000000000000000000000000000000000113696911917039 0.0000000000000000000000000000000000000000000000000000000000000000000000000458577544732056
"zntR" 3.64244834828266 7.36548784701589 667.727019116146 0.00000000000000000000000000000000000000000000000000000000000000000000000000141364289564696 0.000000000000000000000000000000000000000000000000000000000000000000000000513152371119845
"yjfY" 6.26593481961673 6.78988530368136 660.651733636077 0.00000000000000000000000000000000000000000000000000000000000000000000000000875023760324741 0.00000000000000000000000000000000000000000000000000000000000000000000000288757840907165
"tauC" 9.54607390213494 7.95051133645098 631.701352926694 0.00000000000000000000000000000000000000000000000000000000000000000000000030373323531509 0.0000000000000000000000000000000000000000000000000000000000000000000000918793036828148
