"logFC" "logCPM" "F" "PValue" "FDR"
"araJ" -3.45320773457439 6.51072286316113 612.050070437092 0.00000000000000000000000000000000000000000000000000000000000000000000000675646575633614 0.0000000000000000000000000000000000000000000000000000000000000000000229111753797358
"araD" -8.28638858190138 8.56595902197069 434.508867722061 0.00000000000000000000000000000000000000000000000000000000123772910641193 0.00000000000000000000000000000000000000000000000000000209856969992143
"araE" -4.67131009572418 8.93857397936298 394.152199488785 0.000000000000000000000000000000000000000000000000000000496487613739956 0.000000000000000000000000000000000000000000000000000561196499397397
"araA" -8.1231635535258 10.6972232849489 289.510927341916 0.000000000000000000000000000000000000000000019743776016926 0.000000000000000000000000000000000000000016737786118349
"araB" -8.3800025179245 10.652252599939 265.925660651564 0.00000000000000000000000000000000000000000273707220547062 0.00000000000000000000000000000000000000185628236975017
"inaA" 2.53110534129372 5.60676686064128 233.124366647719 0.0000000000000000000000000000000000000153973261143487 0.00000000000000000000000000000000000870205547562605
"Circuit_PhlF" -5.77574734594835 11.0297459171263 342.753218972646 0.0000000000000000000000000000000000385071833626894 0.0000000000000000000000000000000186539798261257
"ygeA" -1.76441325939312 6.52279672745317 161.167910466161 0.0000000000000000000000000000224796013052817 0.00000000000000000000000000952854100327627
"araF" -4.38367807175454 8.26878961838253 152.92985239064 0.000000000000000000000000000358168739726865 0.000000000000000000000000134950021823756
"araG" -2.85226770213559 7.78842283172502 117.569981880678 0.0000000000000000000000484227086622633 0.0000000000000000000164201405073735
"araH" -2.16831584279088 7.58565526587136 87.6471666111725 0.00000000000000000291615898073524 0.000000000000000898972282152109
"polB" -1.08878689854727 7.31025231530914 72.6868572731801 0.00000000000000111129303844515 0.000000000000314032891113959
"Actuator_YFP" 4.92257352926045 15.8101713725755 66.4623179269338 0.0000000000000363805295213108 0.00000000000948972120052037
"lysR" -0.979212655105228 4.79305092120582 48.7014775490834 0.0000000000222924268552722 0.00000000539954424758773
"thiH" 0.646408076721448 5.4330906626065 24.2761898083705 0.00000144352878143866 0.000326333739857234
"thiF" 0.656719035765644 4.81046514835561 20.3650788671271 0.000009493361394749 0.00201199928059962
"thiG" 0.621534372479804 4.92856898869451 18.4780684079622 0.0000238845345835778 0.00476426216311249
"thiC" 0.659416079624964 6.73089427443799 17.160126974082 0.0000457663437700104 0.00862187065133919
"thiE" 0.553188479657351 4.56256161399032 14.8503253370168 0.000144923745116237 0.0258650747204822
"thiS" 0.693395192393485 2.63671399880533 12.5149327092246 0.000474539487369209 0.0804581700834494
"malM" 0.552077108908137 5.44672800029515 11.7262756449323 0.000710206959729455 0.11468151430679
"malE" 0.669359648957243 6.18364637296779 11.4773713407647 0.000807486049923763 0.121494419349663
"ibsC" -0.750714705453263 3.97758763213588 11.4380376974105 0.000824055336196475 0.121494419349663
"lamB" 0.66943490577385 6.23503846715418 11.0048553392415 0.00103113517308896 0.142982021080227
"yaaJ" -0.487248383199553 4.76715295933578 10.9623333637611 0.00105412873105446 0.142982021080227
"malK" 0.616155046241164 5.10181659676884 9.3500905410169 0.00244944191335551 0.319463751084174
"ybiU" 0.35996895690226 6.25655114591045 9.07225368269965 0.00283670057603743 0.346484330221098
"yjiK" -0.682807569324847 2.39411549319088 9.07187106349455 0.00286097353175781 0.346484330221098
"mdtE" 0.62664001929384 6.83462093916311 8.65068117419085 0.00354763848504478 0.414829038027133
"yabI" -0.508475300898297 6.27289380411704 8.37426324583926 0.00412848485838697 0.466656405159674
"ybiA" -0.494900003443218 3.31595929157435 7.99319516010141 0.00504024278722184 0.551337525531266
"hybB" 0.620207437933893 2.52934116026605 7.60056162688781 0.00622556659021571 0.659715509606921
"araC" -0.69210963621525 9.51844559818871 7.23829967849117 0.00758308132942215 0.779219054183955
"mdtF" 0.589884878838087 7.86704864382425 7.1551695265083 0.00792273898392648 0.790176702779255
"malF" 0.432689036090352 4.65596621402989 6.90445873715262 0.00908094825299758 0.850737398975406
"galR" -0.306044523988374 6.25840287325999 6.8923891007114 0.00914092222899533 0.850737398975406
"yjbE" -0.533488900108144 6.09307096198384 6.86419857673033 0.00928259621412269 0.850737398975406
"ppsA" 0.459713809153808 9.0376546925354 6.47747432067707 0.0114716570092035 0.999606382964224
"yihD" -0.403058936612571 5.15899798233263 6.30862830279779 0.0125885042195153 0.999606382964224
"grxA" -0.611155659900121 3.11029886858849 6.03823740965009 0.0146169229537271 0.999606382964224
"dsrB" -0.555549426760016 4.92533287106031 5.93931182434424 0.0154411574085339 0.999606382964224
"gadA" 0.775162340968898 10.9071348965452 5.90655592757552 0.0157245722515814 0.999606382964224
"yhiM" 0.575443077020575 6.74964000148289 5.85676666577563 0.0161657381224326 0.999606382964224
"hdfR" -0.300040336868926 5.88879156198239 5.83394867590619 0.0163721917126911 0.999606382964224
"nsrR" -0.324447485721032 6.19235793605443 5.62559420064581 0.0183888358198198 0.999606382964224
"ytfQ" -0.864530854404409 9.11049133926995 5.50875991886423 0.0196310068264023 0.999606382964224
"yafE" -0.27612304842572 6.08294798183123 5.34666361247069 0.021500721864295 0.999606382964224
"ycgZ" -0.440444910963679 3.3111669312463 5.33389272186121 0.0216556994543533 0.999606382964224
"manZ" 0.496956654385704 8.96865696581502 5.24865474953904 0.0227203492338024 0.999606382964224
"nrfE" -0.505945028366357 2.69580170629287 5.16106294366028 0.0238714043203104 0.999606382964224
"proV" -0.436496530452491 7.49962837127054 5.15333203861892 0.0239758775785095 0.999606382964224
"yobH" -0.443455673803995 4.17050041057214 5.08262049614342 0.0249538956004508 0.999606382964224
"ygaC" -0.378549263670678 4.90590363241475 4.97856657706087 0.0264695245001874 0.999606382964224
"psd" 0.280840657736434 8.00489607193937 4.934442007049 0.0271410087930389 0.999606382964224
"cheR" -0.672303835485897 1.81735700726125 4.91191626605167 0.0274997173148932 0.999606382964224
"hyaD" 0.468147284371994 2.94014972550961 4.83769956559786 0.0286763720008351 0.999606382964224
"ybjS" 0.246237557698203 6.17206270607628 4.83594125601293 0.0287051044386896 0.999606382964224
"fadB" 0.642824039787791 6.68510339981907 4.82002513979084 0.0289665647362101 0.999606382964224
"sdhE" -0.309530637279536 5.14467259922336 4.80879176640207 0.0291526006716416 0.999606382964224
"ldtC" 0.290539283886499 6.50882254656458 4.80432128164587 0.0292269842006971 0.999606382964224
"aaeX" -0.388817556898319 3.26424803717315 4.76997619639886 0.029805120808201 0.999606382964224
"yjeT" -0.457219092913594 2.7998291109699 4.72772462816342 0.0305328360956995 0.999606382964224
"queE" -0.297906688030356 6.42250627237581 4.69130682066399 0.0311750252728103 0.999606382964224
"rdgC" 0.307184802068424 6.51578019189776 4.67865733162715 0.031401388156611 0.999606382964224
"elfC" -0.359839946867602 3.39489521527426 4.66345494725927 0.0316757192735452 0.999606382964224
"manY" 0.486748322726165 8.80427456603762 4.61065461199784 0.032648222802749 0.999606382964224
"gadB" 0.714945514286515 11.1391058273176 4.54334282072652 0.0339336915616534 0.999606382964224
"sucD" 0.419537745018343 9.39131013726599 4.53668569461511 0.0340636834346092 0.999606382964224
"ygaP" -0.380305818949324 4.08769903496725 4.51677713931411 0.0344555658444541 0.999606382964224
"aidB" 0.526354467738711 8.55142757390842 4.48580338281443 0.0350747114290463 0.999606382964224
"yeaO" -0.368712842778593 5.36250652177325 4.47843459275502 0.0352237252171364 0.999606382964224
"lacA" 0.435595619975795 6.26129118230819 4.43279853395182 0.0361615552784686 0.999606382964224
