"logFC" "logCPM" "F" "PValue" "FDR"
"Actuator_YFP" 4.80015418927919 15.8085428648056 53.4090602389418 0.00000000000623077695230037 0.000000000822462557703648
"glpD" 1.26295377133446 9.69653315624593 9.72390799002353 0.00201315934204079 0.132868516574692
"acrF" -0.470641706950564 4.52853025414104 4.86749026914879 0.0281992312456872 0.99573090311784
"murD" 0.32788755575584 7.74731935035006 4.57959153168828 0.0332404049268294 0.99573090311784
"dnaE" 0.325598316470177 8.62743996076476 4.30369092198888 0.0389657323678919 0.99573090311784
"thyA" 0.32872722221543 7.2033681224951 2.55556215292543 0.111062184337435 0.99573090311784
"rho" 0.321650514456078 9.7839989917369 1.93121406368566 0.165756705153427 0.99573090311784
"mreB" 0.299437205243345 8.9812233816949 1.80339398351758 0.180416952490129 0.99573090311784
"sra" 0.543198693697501 9.84040028460095 1.77922121114868 0.183355517522044 0.99573090311784
"rplB" 0.44182598830332 11.7375442850292 1.77734182483173 0.18358631030583 0.99573090311784
"rplV" 0.461263376356362 10.4398128114058 1.72855117518093 0.18969823953174 0.99573090311784
"rpoC" 0.368220009875486 12.7337876915137 1.66499751778323 0.198020576794661 0.99573090311784
"ribF" 0.190276135779453 8.32767608549463 1.65699112901928 0.199099180414642 0.99573090311784
"nagC" -0.162011743239137 7.48457176463011 1.60795618917449 0.205858546035623 0.99573090311784
"waaH" 0.759247336101385 3.37645522509625 1.71353935693313 0.209030599448882 0.99573090311784
"hrpA" 0.16324918856108 8.29658060273397 1.42428815359389 0.233733856866741 0.99573090311784
"ychH" -0.433746744866431 11.0137076119934 1.41292670905987 0.235603003206999 0.99573090311784
"rpoB" 0.317830279750478 12.8535751185742 1.21008280581994 0.272283745790233 0.99573090311784
"adeD" -0.278142906278902 4.9533821926371 1.17417365211921 0.279500383138597 0.99573090311784
"dnaG" -0.186597164493782 8.67403028369676 1.17266950739273 0.279807911565714 0.99573090311784
"rplJ" 0.278212422593625 12.0275959864922 1.08356072380108 0.298822361060921 0.99573090311784
"rplM" 0.287101497843149 10.8586200778216 1.01848323973313 0.313771739961818 0.99573090311784
"ahpC" 0.252998923560331 11.108338943834 0.989018065186148 0.320862191331655 0.99573090311784
"rpsD" 0.260156217983317 11.8274029910559 0.939653582928436 0.333224045381138 0.99573090311784
"ypfJ" -0.135677640195212 8.1382086527635 0.932560982922031 0.335052097775707 0.99573090311784
"exuR" -0.154121737102969 8.66097820506557 0.927457907348318 0.336375701685316 0.99573090311784
"uvrA" 0.179696604802814 9.77952288202565 0.901234415211558 0.343289671096118 0.99573090311784
"aceA" 0.264686122342522 10.4623102655752 0.871722515519785 0.351303050682422 0.99573090311784
"nrdA" 0.235370716880252 8.65835889241496 0.865571622967843 0.35300527273111 0.99573090311784
"cfa" 0.233412072913048 11.0100184167416 0.855829699731487 0.355724507470751 0.99573090311784
"mhpR" -0.19949328260493 6.72951331903673 0.769849860555761 0.381034163256328 0.99573090311784
"aspC" 0.234530246443176 9.4892265200501 0.728593439427104 0.394087014398478 0.99573090311784
"metH" -0.148036936056406 8.41974420058543 0.705712873101346 0.401605034408998 0.99573090311784
"purA" 0.217248935595742 11.0380570888216 0.692875804819526 0.405914716888632 0.99573090311784
"fusA" 0.240938193725429 13.4740997026025 0.636846911688368 0.425547765703364 0.99573090311784
"ydbC" -0.184911373884508 6.84599030099055 0.625525292253991 0.429687249501818 0.99573090311784
"gltS" -0.154027008404054 6.73419961308826 0.602191224097134 0.438414229566957 0.99573090311784
"rpsP" 0.19726883396405 9.36645689106395 0.560193687566286 0.454825849554238 0.99573090311784
"araA" -0.323164113911661 10.6915892530056 0.528156935711193 0.468025942994746 0.99573090311784
"leuS" 0.158923994561143 10.3727849761204 0.52782996165265 0.468142418720227 0.99573090311784
"gltA" 0.1699603838942 10.3462879971606 0.522976167176155 0.470193355041167 0.99573090311784
"hslO" -0.1259592553428 8.92848131236027 0.502271691278171 0.47910774723913 0.99573090311784
"rpoS" 0.182886417235879 12.4332833168098 0.464663557262446 0.496029732948572 0.99573090311784
"dfp" -0.127461953752182 6.96436670324427 0.481525387827959 0.517050234213729 0.99573090311784
"raiA" 0.205582986256986 10.3791085464161 0.408104213317803 0.523468327907709 0.99573090311784
"avtA" 0.1667294404324 7.8297715582346 0.406300251138518 0.524386988637333 0.99573090311784
"ldtD" 0.130637363347067 9.44987670763594 0.382692578862146 0.536680986629763 0.99573090311784
"trpB" 0.387496854917291 10.8005743763786 0.378641966155006 0.538842993906121 0.99573090311784
"oppB" 0.186744826311468 9.02181527920734 0.378042055860854 0.539164550442192 0.99573090311784
"agp" -0.180694383236872 8.61477489772177 0.376719018673363 0.539874953859598 0.99573090311784
"osmY" 0.152431735323004 11.2064347245883 0.320533347063998 0.571751894972479 0.99573090311784
"mrcA" -0.158090933437726 6.60844112599907 0.311231886211108 0.577381934719084 0.99573090311784
"mtlA" 0.142469588301737 8.6254051126106 0.309022237332416 0.578735613881137 0.99573090311784
"maeA" -0.0924371166712732 8.47080453450239 0.294626006954113 0.587713598642703 0.99573090311784
"gabD" 0.176853650915773 9.95648142138705 0.293598583256148 0.588365138634641 0.99573090311784
"yehX" 0.133557042704135 5.41275368161954 0.291561796958049 0.589661139374345 0.99573090311784
"aceK" 0.113859699723819 7.95527513699661 0.278005182085482 0.598439434643501 0.99573090311784
"ybhF" -0.0994024610763695 7.64081520203598 0.258880187419427 0.611301037981722 0.99573090311784
"ugpQ" -0.0939406365248189 6.29229706846467 0.258707087367357 0.611420150643107 0.99573090311784
"fdoG" 0.166286774738463 10.6924596779534 0.258637295629155 0.611468189549023 0.99573090311784
"sspA" 0.0842556082255136 9.13018637902714 0.249945710762926 0.617515604257637 0.99573090311784
"atpA" 0.155416364127129 11.2663175445445 0.252494323125735 0.631716200014449 0.99573090311784
"htpG" -0.134096953015588 11.6845270756149 0.216864231344361 0.6418105776721 0.99573090311784
"gshA" 0.125884800762299 9.22108063632545 0.522641354653952 0.643904621972998 0.99573090311784
"aspA" -0.146395289862926 9.85066781877153 0.211245943815444 0.646157996778281 0.99573090311784
"iscA" -0.0755104429614678 8.46355616941775 0.206627153992987 0.64978479022203 0.99573090311784
"clpB" -0.142376594012642 13.0706477289247 0.200988920089532 0.654279021639807 0.99573090311784
"yheS" -0.103484965683923 7.06349140344026 0.377678573303431 0.656797049898717 0.99573090311784
"cspD" 0.133087582356588 10.5818903522513 0.196869908900913 0.657610397697517 0.99573090311784
"evgS" 0.203146214903806 5.91112077798924 0.190961374379721 0.662462759746052 0.99573090311784
"znuA" 0.154818287009398 11.2955419043739 0.165718882486393 0.684263596924084 0.99573090311784
"ldtE" 0.108228061422748 10.4310077464644 0.141756900165599 0.706832767983393 0.99573090311784
"ygaU" 0.103321134011077 9.85325039755932 0.140778982088396 0.707798849852498 0.99573090311784
"dadA" 0.0959080754593837 10.6743675828852 0.134136091956174 0.714464924654719 0.99573090311784
"dnaK" -0.126601675417769 14.2013938768771 0.134058518149602 0.714543865109912 0.99573090311784
"acnA" 0.0899847689469153 10.4586445311984 0.131104563477516 0.717569345911552 0.99573090311784
"pgi" 0.125720330087046 10.4630294316191 0.279581954896509 0.732584216636915 0.99573090311784
"lacZ" 0.151214758362806 10.9301111368206 0.116893709372646 0.732691002200095 0.99573090311784
