"logFC" "logCPM" "F" "PValue" "FDR"
"lacY" 7.98562526072268 7.3408467712645 351.917206021414 0.00000000000000000000000000000000000000000000000000504704254628549 0.00000000000000000000000000000000000000000000000407801037739867
"lacZ" 8.31688592142377 10.9335159882604 196.593989739722 0.000000000000000000000000000000000514755674082443 0.000000000000000000000000000000207961292329307
"melA" 1.48253053727348 6.32519227345152 67.7681536905288 0.00000000000000763250867321174 0.00000000000205568900265169
"glpK" 2.97933367210716 9.10078308130866 54.0998334882675 0.00000000000222990328792308 0.000000000450440464160462
"glpF" 2.81545873118669 8.40001428263819 46.3668027235893 0.000000000062205376671013 0.0000000100523888700357
"galT" -1.22581081410638 6.01342965917712 45.7644058333905 0.0000000000809245824281909 0.0000000108978437669964
"lsrG" -1.34484422301541 6.67263867730323 27.3353387334089 0.000000340476515230905 0.0000393007177580816
"araD" -1.68139329212039 8.56669364635193 17.1401545019624 0.0000468966339229342 0.00473656002621635
"araA" -1.72059906653701 10.6943752738714 16.8504801533989 0.0000539452771412976 0.00484308710335206
"glpX" 0.905232467789641 6.17697232608165 16.331709383583 0.0000691750513510942 0.00558934414916841
"Circuit_PhlF" -1.22373698364185 11.0241532364948 16.7075940469781 0.0000854541618858671 0.00627699661852551
"lsrF" -1.12918317234633 7.76758556845401 15.3263591022378 0.000114285328875343 0.00769521214427307
"araG" -1.07264412373211 7.79356275067465 15.0943071938011 0.00012838828231624 0.00797982554704012
"ytfQ" -1.3655147413518 9.11305596057002 14.5143224243296 0.000171863996952532 0.00954972888247847
"araF" -1.25164903086539 8.27099336403213 14.4510875819921 0.000177829507444747 0.00954972888247847
"glpD" 1.46914425687618 9.69978821159992 14.3247364575365 0.000189103542227296 0.00954972888247847
"lsrB" -1.00248786930817 7.89795645171285 12.2098091580949 0.000554435632714856 0.0263519994843296
"yneE" -0.627071312499751 5.28789798473741 10.658880063093 0.00123506911466953 0.0554408802584991
"gatD" 1.00096248689151 8.0655017786551 10.0477204459064 0.0016989095683139 0.0722483647998751
"lsrK" -0.75111076505133 7.87488931013721 9.9386242529654 0.00179879224687213 0.0722838514753776
"araB" -1.4165828210506 10.6495234430403 9.85574219906221 0.00187866445666204 0.0722838514753776
"thyA" 0.549641148673801 7.20910871789027 9.1092699639643 0.00278329669273963 0.102222896715165
"nuoH" 0.744233780178263 7.44568215647393 8.08135572559992 0.00480980118787916 0.168970406948103
"dppA" 0.766002971978786 10.4926609116516 7.71261557646282 0.00586320418876101 0.197394541021621
"phoU" 0.552812057988354 6.39539130880603 7.55689838299801 0.00637663602224814 0.20609287623906
"ddlB" 0.396624324822048 7.62137832986143 7.01857536412879 0.00853665630014401 0.265293011173706
"murD" 0.35459757895834 7.75060260969393 6.45081491632803 0.0116446095869094 0.348475723934176
"nuoN" 0.533395766284223 8.00019346615755 6.25252344649628 0.0129878844088859 0.37479323579928
"macB" -0.422227577719843 8.58563148149175 5.85168189452571 0.0162158117005446 0.446964313374853
"rplV" 0.762394258237556 10.4432974817738 5.81010387601479 0.0165952096550069 0.446964313374853
"gatB" 0.767822539901837 6.89318103921771 5.55825598553164 0.0190990833231961 0.497808365327176
