"logFC" "logCPM" "F" "PValue" "FDR"
"Actuator_YFP" 5.27202682432005 15.8090300415208 71.6112787693105 0.00000000000000537342398964195 0.00000000000294463634632379
"suhB" 2.29185650635355 7.02649849781937 64.2069497328763 0.0000000000000326547762006777 0.00000000000894740867898568
"recC" 0.934548284509799 7.63897868202251 56.0140983029777 0.000000000000990265988879786 0.000000000180888587302041
"pdhR" 1.46070873477476 7.52562343003125 32.3073507226675 0.0000000337159824215405 0.00000461908959175105
"udk" 1.04922363358512 5.95113754073664 31.7392936202096 0.0000000438016913786469 0.00000480066537509971
"ychF" 0.928371242665322 7.49440104871485 29.9194262339196 0.000000101723199125215 0.0000092907188534363
"xseA" 0.849801231993314 7.51106055646525 29.4309052157416 0.000000127681943123431 0.00000999567211880572
"rluC" 1.09500563111376 6.13092392681404 28.9331086210425 0.000000161037264716105 0.000010272971252602
"sdhC" 2.05708717499071 7.80459010265279 28.8333213492861 0.000000168716681155873 0.000010272971252602
"mltA" 0.856664329058332 6.63769520197299 27.9491169142945 0.000000255160517483879 0.0000129291104538011
"purM" 1.37603992263263 8.85821289916748 27.9129306291794 0.00000025952593976608 0.0000129291104538011
"recQ" 0.919936324055679 6.51203513122762 26.1133341848925 0.000000605442401150814 0.0000276485363192205
"rhlE" 0.972597196569931 6.78725150944393 24.0609037368026 0.00000160463927028074 0.0000676417169318341
"mrcA" 0.845713820195293 6.61299326547071 23.5657191739069 0.00000203294523356495 0.000079575284856685
"folD" 0.820260751507355 7.44483962395051 21.7129737445429 0.00000495213596711551 0.00018091803399862
"emrA" 0.807021753746268 6.40763298857398 20.6030771617841 0.00000847582388664541 0.000290296968117605
"carA" 1.84080571262889 9.65786506423753 19.9328930137421 0.0000117428644182377 0.000378534688305543
"accA" 0.735399169533124 8.5585012454023 18.9561661233448 0.000018926144061358 0.000576195941423566
"rho" 0.817178185542885 9.78615031131963 18.3370310975249 0.0000256478484827353 0.000727672538314511
"glnA" 1.30346890092453 10.5881165746767 18.2661788554542 0.0000265573919092887 0.000727672538314511
"yliE" 1.30748472631435 3.76295636403517 17.7646514832338 0.0000340012207451797 0.000887269950874213
"ybjG" 0.694436611931406 5.48482659684851 17.5048940651776 0.0000386543979269802 0.000962845911999326
"rsmF" 0.754927954556032 5.40894006274046 17.3848400250643 0.000041017918466214 0.000977296492151533
"ilvC" -1.1630443120485 7.72265140645124 17.1100232647663 0.0000469943288713977 0.00107303717589691
