"logFC" "logCPM" "F" "PValue" "FDR"
"lacZ" -7.44289883349705 10.9366878117261 175.333358730509 0.000000000000000000000000000000267346752875066 0.000000000000000000000000000975548301241117
"lacY" -4.78114875928457 7.33177285983963 133.466135999126 0.000000000000000000000000196281628006172 0.000000000000000000000358115830297261
"Actuator_YFP" 7.00283701891965 15.8101234599218 111.490292467492 0.00000000000000000000466803090031373 0.00000000000000000538773903158225
"lacA" -4.38098689148945 6.26141993755802 104.192795723115 0.00000000000000000000590598962080817 0.00000000000000000538773903158225
"yfiM" 0.956928890025554 5.97792186593772 49.2386644842442 0.0000000000176425757466979 0.0000000128755517799402
"galE" 1.04468054506694 6.7046059762763 37.3602807328037 0.00000000334856018830857 0.00000203648268785633
"galT" 0.896105523597386 6.00612907598844 29.0031799561345 0.000000155095562510943 0.0000719023213980815
"yhjX" -1.33834006443326 7.92118044451327 28.9683672962392 0.000000157637317397822 0.0000719023213980815
"yciU" -0.589223481967443 5.85489705370026 25.9393450060321 0.000000654733228371863 0.000251815200613973
"galP" 0.812225713515225 6.99413949887664 25.8019830449079 0.000000698727418803977 0.000251815200613973
"wzxB" -1.11728157422629 5.34094139342079 25.6270563920032 0.000000759103098589669 0.000251815200613973
"waaQ" -0.624411025748214 6.74034330881161 23.6947092314363 0.00000190486460137346 0.000541974320987412
"waaG" -0.645816737532194 6.38171217560797 23.6663850758046 0.00000193084849899599 0.000541974320987412
"wbbI" -0.903763757067927 6.54806871119689 22.8772047892724 0.00000281851097033101 0.000734624752195561
"acpT" 0.572337323199709 5.99192931854508 22.2609804563317 0.00000379083392462417 0.000906642490065944
"wbbK" -1.00866658774197 5.40901319181337 22.1623071938249 0.00000397541239820639 0.000906642490065944
"waaR" -0.784754293759371 5.00034831801374 21.2020203268229 0.00000632214754522181 0.00133357489844193
"waaY" -0.951210354236154 3.95430756288451 21.0885853786131 0.00000667929768316485 0.00133357489844193
