"logFC" "logCPM" "F" "PValue" "FDR"
"fecA_Part2" 3.36068774060652 5.94982445711925 448.698013940173 0.0000000000000000000000000000000000000000000000196435031217168 0.0000000000000000000000000000000000000000000280116354515681
"yddB" 3.84317362513605 4.5951786442724 203.401726891526 0.0000000000000000000000000000000000693860086784611 0.0000000000000000000000000000000494722241877428
"yjjZ" 3.98681495556849 8.07338049301619 164.579332078679 0.000000000000000000000000000008166996952674 0.00000000000000000000000000388204588483771
"zinT" 9.8250665505541 10.2402776131837 156.949358800718 0.000000000000000000000000000091644015930293 0.0000000000000000000000000298201237222442
"feoB" 2.82261868125617 8.42903328420403 156.537221306339 0.000000000000000000000000000104558638577294 0.0000000000000000000000000298201237222442
"fimI" 2.36117929405671 5.43793507232492 152.942537427986 0.000000000000000000000000000495474339002645 0.000000000000000000000000117757734569629
"fes" 3.10815449103049 8.30559196332002 147.558949651536 0.00000000000000000000000000190855423833419 0.000000000000000000000000388799763409221
"fimA" 2.48088512264916 9.02433208461259 143.674174403944 0.00000000000000000000000000870290211557893 0.00000000000000000000000155129230210194
"fecI" 2.98414012049691 7.61392919175241 142.398461544638 0.0000000000000000000000000104266788295238 0.00000000000000000000000165204933454455
"znuA" 4.93946854784409 11.3031367438769 139.835668237037 0.000000000000000000000000024425652809727 0.00000000000000000000000330039974137444
"grcA" 2.60606848152026 8.63328258382574 139.711347361061 0.0000000000000000000000000254589040358477 0.00000000000000000000000330039974137444
"nrdH" 3.72671570160948 7.614673059877 131.745613108668 0.000000000000000000000000371900810803284 0.0000000000000000000000441942130171236
"mepM" 3.27836310792035 9.36074568919017 130.982493547249 0.000000000000000000000000482191867882836 0.0000000000000000000000498460524945145
"fhuE" 3.55026553129657 8.31892227326025 130.939106161612 0.000000000000000000000000489372184378122 0.0000000000000000000000498460524945145
"betB" 2.36083597602694 6.67249192522428 130.448757698919 0.000000000000000000000000578412904229875 0.0000000000000000000000549877867621201
