"logFC" "logCPM" "F" "PValue" "FDR"
"narG" -4.31394186622022 7.17986869643304 718.361088915238 0.00000000000000000000000000000000000000000000000000000000000000000000000000000116332145658646 0.0000000000000000000000000000000000000000000000000000000000000000000000000039273732374359
"sslE" -3.28904619540522 7.20511946378999 558.945499347376 0.0000000000000000000000000000000000000000000000000000000000000000000335811499316955 0.0000000000000000000000000000000000000000000000000000000000000000566849810847019
"nirB" -5.53043371904935 8.20040161075671 508.503122233729 0.000000000000000000000000000000000000000000000000000000000000000181238819476247 0.000000000000000000000000000000000000000000000000000000000000203954084850604
"feoB" -4.68522191495478 8.43121550801509 397.854923219388 0.000000000000000000000000000000000000000000000000000000233505893883999 0.000000000000000000000000000000000000000000000000000197078974438096
"grcA" -4.07333993422526 8.63440000748714 329.968811625545 0.000000000000000000000000000000000000000000000000544074044757631 0.000000000000000000000000000000000000000000000367358795020353
"fecA_Part2" -3.24029001452814 5.95342879871689 465.148436208583 0.00000000000000000000000000000000000000000000000161819115072437 0.000000000000000000000000000000000000000000000910502220807577
"bluF" 3.17140106181768 5.77090434067792 310.25557711931 0.0000000000000000000000000000000000000000000000524536504429267 0.0000000000000000000000000000000000000000000252976462707601
"ynfK" -3.74143517736256 6.02590787185927 279.254594621301 0.0000000000000000000000000000000000000000000955540697229429 0.0000000000000000000000000000000000000000403238174230819
"puuD" 3.4938738335115 5.93401457833921 231.448857271596 0.0000000000000000000000000000000000000243717729164626 0.00000000000000000000000000000000000914212281844198
"yedA" 2.72927440677826 4.06239995066152 222.286257667418 0.000000000000000000000000000000000000303219453862028 0.000000000000000000000000000000000101571352530339
"focA" -2.63778249849089 9.09182358976616 221.971234675073 0.000000000000000000000000000000000000330949312154542 0.000000000000000000000000000000000101571352530339
"pqqL" -3.31160170189895 4.81899423994123 219.931073065836 0.000000000000000000000000000000000000584086905599375 0.000000000000000000000000000000000164323116108624
"betA" -2.78221587505269 5.81244327555604 199.703156868501 0.000000000000000000000000000000000186111162173473 0.0000000000000000000000000000000483316371921266
"ycgZ" 4.06807083308537 3.31116687326897 191.398184376991 0.00000000000000000000000000000000213275748472785 0.000000000000000000000000000000514299233460088
"ravA" -1.71734594137878 6.51469457543254 186.847458979568 0.00000000000000000000000000000000826879477207909 0.0000000000000000000000000000018610300767026
"fimA" -2.81432655225748 9.02531050635724 180.343018996155 0.0000000000000000000000000000000820527537305132 0.0000000000000000000000000000173131310371383
"ydcI" 2.72431434272188 6.6102041682516 176.937184610721 0.000000000000000000000000000000165818485934413 0.0000000000000000000000000000329296005008575
"znuA" -5.59662170087068 11.3047899211179 170.583890513246 0.00000000000000000000000000000117425985489602 0.000000000000000000000000000220238959451609
"betB" -2.53083249329511 6.67436922086717 166.367187339473 0.00000000000000000000000000000437339194299989 0.000000000000000000000000000777082694714085
"betI" -2.33340080764045 5.52116555061469 165.384545724355 0.00000000000000000000000000000595237291259472 0.00000000000000000000000000100476054764599
"yjjZ" -3.94261491506918 8.07460130872195 164.945118610599 0.00000000000000000000000000000683367591917005 0.00000000000000000000000000109859475729134
"zinT" -10.1871405170396 10.2417408778143 164.611786928019 0.0000000000000000000000000000075889454131985 0.00000000000000000000000000116455816886173
"mepM" -3.56548739521333 9.36236437355915 153.894325939265 0.000000000000000000000000000230675110709475 0.0000000000000000000000000338590945110951
"fes" -3.07572160761701 8.30720834424417 150.804915033013 0.000000000000000000000000000627250683694923 0.0000000000000000000000000882332628397526
"puuR" 2.16076633578944 5.90960153304691 149.775685360185 0.000000000000000000000000000876772276306703 0.000000000000000000000000118399328192457
"yhbU" -2.74367655829967 2.99618675193327 149.232965771905 0.00000000000000000000000000104646774122259 0.000000000000000000000000135879811321825
"yjjI" -1.95989866293565 6.09147661353056 146.025550050313 0.00000000000000000000000000299151415128969 0.000000000000000000000000374050065731629
"sufE" -2.44770321051398 6.40488972885578 145.829134716394 0.00000000000000000000000000319110137889446 0.00000000000000000000000038475565196956
