"logFC" "logCPM" "F" "PValue" "FDR"
"araE" 5.7420705928771 8.93693562899004 436.042658971861 0.00000000000000000000000000000000000000000000000000000000015114271725028 0.0000000000000000000000000000000000000000000000000000000835819226394047
"araB" 8.68445905116991 10.6488012510646 194.397983589319 0.000000000000000000000000000000000967350271877825 0.000000000000000000000000000000267472350174219
"Circuit_PhlF" 6.23182607064056 11.022690841544 272.737705517407 0.00000000000000000000000000000052848398012094 0.0000000000000000000000000000974172136689599
"Actuator_YFP" -6.98555537967775 15.8090311220458 108.274243564505 0.0000000000000000000144112220964977 0.00000000000000000199235145484081
"araC" 1.76055284120437 9.52234543859784 39.5647648693016 0.00000000128926506506714 0.000000142592716196425
"suhB" -1.41791943618834 7.02650728796909 30.074659547724 0.0000000946309403675843 0.00000872181833721236
"aroF" -3.04533732626271 11.2075102004428 25.3907882309919 0.000000852284727032743 0.0000673304934355867
"tyrA" -2.62546320521055 10.5280963438639 22.5988591148236 0.00000323165021924905 0.000223387821405591
"xseA" -0.634127332419395 7.51106580746139 17.9147058129445 0.0000315740328272064 0.00178247437994729
"aspA" 1.41908702578214 9.85172314009102 17.8728222511223 0.0000322328097639655 0.00178247437994729
"recQ" -0.584726962009519 6.51204542435788 11.6686964792262 0.000732180188424267 0.0368086949271472
"rluC" -0.58942021507125 6.13093409372301 9.59302065387119 0.002156445318354 0.0993761884208136
"leuD" 0.515461621649633 6.44470294035853 9.03043682937116 0.00290731262370007 0.123672606223549
"yagU" 0.484642383842345 6.02455401288054 8.59181855245961 0.00366219322690534 0.144656632462761
"yqhD" 0.417457022077553 6.36116835823248 8.39229703482225 0.00407297240205638 0.150156915889145
"yigI" -0.640633933698233 5.18392097787664 8.24419647613295 0.00440818349783115 0.152357842143789
"gpmM" 0.441111406658283 9.35202406133255 7.79427815061447 0.00561083610680363 0.182517198062494
"ychF" -0.450105729269693 7.49440709505884 7.54358975980652 0.00642230855757794 0.197307590685589
"yafK" -0.466453456234279 7.15699846100989 7.01854678895192 0.00853644016536011 0.248455337444428
"adhE" 0.802992393243357 12.1618862572586 6.80956684200678 0.00956656440001417 0.264515505660392
"cysB" -0.688896594364421 6.96976974220451 6.28325898595045 0.0127691828404042 0.322142894659804
"insI1" 0.329705511152919 6.60522723256613 6.26036988406349 0.0129313649874901 0.322142894659804
"tktA" 0.688546974425876 10.6053831626573 6.13124053786384 0.0138871120452526 0.322142894659804
"insD1" 0.308984838737697 7.65422875196132 6.11906989183718 0.0139808851208595 0.322142894659804
"rpsC" 0.689231414042547 11.4795580499832 5.98966560745638 0.0150194463680719 0.332230153661751
"rpmJ" 0.509973079708765 9.65367027908313 5.52999663062603 0.0194030415721839 0.412687768823757
"sdhC" -0.773430151838681 7.80458716468394 5.38762073092998 0.0210157398075362 0.422052414367398
"trpA" 1.06921855887601 10.27419694878 5.26066097865631 0.0225715732080309 0.422052414367398
"leuC" 0.478001305069645 7.57568790423938 5.20971652432676 0.0232377711790975 0.422052414367398
"purM" -0.576574283297252 8.85821558897229 5.14814302937219 0.0240508156013906 0.422052414367398
"rpsE" 0.606059534221136 11.1188691873532 5.12867141318454 0.0243169035589214 0.422052414367398
"tsf" 0.489599198177295 10.4931088748354 5.03005696768946 0.0257125258137789 0.422052414367398
"yciA" -0.503249243353369 4.73091503201878 5.00341378784643 0.0261037710029322 0.422052414367398
"rpsQ" 0.511166562264198 9.79163384750672 4.94953417144252 0.0269141145378823 0.422052414367398
"trpB" 1.05197270979761 10.8031586162603 4.8957550644294 0.0277492231125409 0.422052414367398
"gadE" -0.624188718657373 6.87744247083548 4.86836377602544 0.0281849499989452 0.422052414367398
"rsmA" -0.284389222210146 8.00209154965432 4.86502256918942 0.0282385883030628 0.422052414367398
"rplO" 0.597428553608824 11.2720585047469 4.79796884013848 0.0293379455994516 0.42694431359202
"trpC" 1.11920169829478 10.3760900591176 4.72775718312213 0.0305372655823073 0.431991935149271
"mioC" -0.345800652251324 7.32023229186171 4.68754767315692 0.0312471562494952 0.431991935149271
"secY" 0.614608873036069 12.6270163913343 4.56425941012282 0.0335338130872947 0.440225323408873
"ugpB" -0.58572585338956 7.74903396578915 4.51925445617933 0.0344117643404993 0.440225323408873
"mltF" -0.423326795966224 4.35277096774684 4.4950955438541 0.0348929926359835 0.440225323408873
"sbcD" -0.273675219898671 5.70388674997406 4.48843189216168 0.0350269696744854 0.440225323408873
"fusA" 0.625234225207111 13.4755912216941 4.44151470761075 0.0359857277949102 0.442224610457451
"atpD" 0.502309162541514 11.0206431219826 4.38181207570327 0.0372458757417544 0.44504481556648
"udk" -0.553204534560941 5.95114793122611 10.0917478163075 0.0378247854098093 0.44504481556648
"rhlE" -0.38103546330524 6.78725931601338 4.21974439245138 0.0409069181437363 0.471281786114295
"rplL" 0.488635557196732 11.0631419485169 4.13489158305569 0.0429735252960432 0.474530829669209
"katG" 0.30494586680028 8.50338296536466 4.06186458408063 0.0448405596647631 0.474530829669209
"rplI" 0.46933354854133 10.2649740581197 4.04126846538904 0.0453825163495723 0.474530829669209
"gpmA" 0.523013894777128 11.537493866345 4.00375025657269 0.046387669549353 0.474530829669209
"rplV" 0.568336963279754 10.4423516039726 3.99226296910339 0.0467001247817879 0.474530829669209
"rplF" 0.512352590942212 11.2308925951958 3.97710726825897 0.0471157801139158 0.474530829669209
"ptsI" 0.535460772351385 11.6541401366289 3.9563777124602 0.0476906681069674 0.474530829669209
"trpD" 1.18270575413143 10.8880160372097 3.90032278427682 0.0492828320818946 0.474530829669209
"carA" -0.786323177194749 9.6578670386117 3.89993337373229 0.0492940881674495 0.474530829669209
"fnr" -0.327721510289115 9.42564623305408 3.88355616042697 0.0497699604354686 0.474530829669209
"folE" -0.360017125685946 8.28525166573105 3.82846152744999 0.0514070169953401 0.481831871159713
"iscR" -0.346525784425095 9.04363522952714 3.7158183782446 0.0549350840384212 0.502107469094162
"fhuA" 0.352292807721782 9.70585939590387 3.70197436431875 0.0553861765185242 0.502107469094162
"folD" -0.324670498849673 7.44484673484053 3.58810383683067 0.0592500257802757 0.528472004136975
"gadA" -0.630442872012446 10.9015242784197 3.53272880245251 0.0612322287389536 0.537482896708593
"rplB" 0.534619414020507 11.739848011477 3.4603968793601 0.0639290412917182 0.541790858400748
"malP" 0.323534041998292 8.60313750476791 3.45393560843407 0.0641760630850509 0.541790858400748
"rplN" 0.459953951011741 11.0832041961324 3.39536904998376 0.0664624247452 0.541790858400748
"rplP" 0.476060471459725 10.7561304433374 3.38421476390428 0.0669077070751247 0.541790858400748
"ompT" 0.454356521156187 10.0937530101078 3.30598112674441 0.0701224161434701 0.541790858400748
"yicL" -0.400195939271065 4.95041138836359 3.2964013497252 0.0705273427570551 0.541790858400748
"hsdR" 0.301457245931578 7.56279616981771 3.29059004882004 0.0707988160145395 0.541790858400748
"ubiB" 0.230401669908687 7.02908167421641 3.26396812527906 0.07191706855487 0.541790858400748
"ileS" 0.389821779437109 10.7549684924307 3.24686088291906 0.0726619604939832 0.541790858400748
"trxB" -0.300395378273026 8.01583691172988 3.22599943315712 0.073581600672516 0.541790858400748
