"logFC" "logCPM" "F" "PValue" "FDR"
"Actuator_YFP" -7.26615032399937 15.8098057691826 115.184921177069 0.0000000000000000000015253875801415 0.00000000000000000217672807686192
"dhaK" 1.58175592185704 8.35656849113197 75.389268037479 0.000000000000000356286289865277 0.000000000000254210267818875
"ravA" 1.2286789793609 6.51568219932573 73.8883656591414 0.000000000000000647375630294965 0.000000000000307935008143638
"rsuA" -1.38509016526584 6.75611288231743 72.1002950463605 0.00000000000000132339884369939 0.000000000000472122537489757
"feoB" 1.8224787932694 8.42885355801404 70.4739017027613 0.00000000000000254467293851397 0.000000000000726249656651887
"ynfK" 2.07437030304075 6.03656169582938 68.896518644514 0.00000000000000481266116315175 0.00000000000114461124663626
"grcA" 1.70196504596118 8.63318781219929 63.044584605281 0.0000000000000526212466905873 0.000000000010727217003924
"ilvC" 2.50265268731641 7.72651001885736 60.4117736442893 0.000000000000156627662326731 0.0000000000279384592675307
"focA" 1.27188484250739 9.09014284238203 50.0660399498837 0.000000000012492089628568 0.00000000198069021110739
"raiA" 2.2367575239985 10.3869693161452 43.9120100736564 0.000000000182081288341028 0.0000000259829998462646
"aspA" 2.25883072204003 9.85225157031083 40.5545662844174 0.000000000805435402994693 0.000000104486938188493
"ndk" -1.75613348427843 7.27504781769503 39.7826776657265 0.00000000113666114030927 0.000000135167953935111
"gpmM" 1.00246896511459 9.35545653562705 39.4342311951814 0.0000000013283288601649 0.00000014580963718887
"xseA" -0.975578621808609 7.51459911313704 38.3206657582962 0.00000000218865909567333 0.000000223086894966131
"araF" 1.96720218458661 8.26983391927528 34.2479430338101 0.0000000139959657603002 0.00000133148287599656
"moaA" 0.734455653270014 7.73077734219861 33.2752616866833 0.0000000216063998967431 0.00000192702079079078
"yieP" 0.835729790911006 6.21130290287637 32.4774603401343 0.000000031164216592593 0.00000261596100456648
"yfeX" 0.791909106580592 7.33781613003938 31.8074792603179 0.0000000424273052551564 0.00000336354247772823
"epd" 1.07677896211133 9.47507430191657 31.1293987076382 0.0000000580273520929345 0.00000435815954929566
"rnr" 0.891677093926874 9.39761026470689 30.8229959049998 0.0000000668662854764406 0.00000477090946874404
"rob" 0.84382240554961 8.80251826977702 30.2558241049875 0.0000000869750922414481 0.00000591016460135935
"ycaD" -1.21466327312992 5.3912052190103 29.6585403127077 0.000000114799976543212 0.00000724017158808611
"tsaA" -1.077345548613 5.44295434338237 29.6233546779043 0.000000116695127208115 0.00000724017158808611
"rpiA" 0.769663858699339 8.01936178156815 29.4841886270871 0.000000124505433571298 0.00000740288557109342
"udk" -1.00332252999607 5.95831452690237 29.0898019981803 0.000000149628370069653 0.00000840847838266916
"cdd" 1.64877184310902 8.35678014801368 29.0391953357506 0.000000153202829677224 0.00000840847838266916
"panB" 0.806064559547126 7.65721797181506 28.7339602019756 0.000000176666684072245 0.00000933716141374418
"pepT" 0.960391234214358 8.11575427433931 28.5677042504997 0.000000190940632925166 0.00000960547847061033
"polA" 0.690365803125738 8.72889386930594 28.5204530738573 0.000000195205939486825 0.00000960547847061033
"glpG" -0.857352199428552 6.15144215387524 28.2378353319505 0.000000222803408618221 0.00001059801546994
"yeeJ" 0.646499182334615 6.69883420922037 25.6969866268802 0.000000737032844149676 0.0000339272860839222
"udp" 1.24713173213524 8.86392440459377 24.5410438855372 0.0000012760443449034 0.0000561526080496409
"yojI" -0.893234067491323 6.59461303930053 24.5043216515922 0.00000129855365496717 0.0000561526080496409
"cydA" 0.993227655313725 10.1159298503323 24.189128310701 0.00000150902447495134 0.0000633346448751635
"yeeY" 0.992682471423834 7.14288279315156 22.755935647492 0.00000299629478323939 0.000122163218733789
"accB" -0.924597876639725 8.49137469994202 22.5690925683443 0.00000327774133789737 0.000129926024699432
"yafK" -0.863988934604892 7.16174158496279 22.3712693399921 0.00000360492193012179 0.000139033070115778
"dcuS" 0.737707687727524 5.26611470064545 21.8818572290209 0.00000456353391638269 0.00017137270785995
"yciH" -1.44191383505409 4.87919345400058 21.7344073055449 0.00000490008879657301 0.000179292992633582
"smg" 0.717607198004627 8.46236541936571 21.5049469862222 0.00000547445564240513 0.000189986651290626
"mltD" -0.890148018330772 8.59983397476766 21.4871783142695 0.00000552167562214843 0.000189986651290626
"adhE" 1.42439723738659 12.1656166125833 21.4158816071806 0.00000571532242517142 0.000189986651290626
"exuR" 0.756221441443726 8.66376419860836 21.4124205900254 0.00000572489558899573 0.000189986651290626
"frlR" 0.678971687296107 5.31803080835024 21.148820919329 0.0000065037449587153 0.000208224583510018
"ispU" -0.770287289701346 7.61751728589386 21.1290543737455 0.00000656629730760393 0.000208224583510018
"pfkA" 0.887778623293701 9.9805377339295 20.9787695729794 0.00000706220852972004 0.000219081990693706
"yqgA" 1.11722218744542 4.00192944311957 20.6568537047057 0.0000082557396890193 0.000250658309281501
