"logFC" "logCPM" "F" "PValue" "FDR"
"glcD" -5.15876425912834 6.36232345352787 639.829430472981 0.0000000000000000000000000000000000000000000000000000000000000000000000000911026060315366 0.00000000000000000000000000000000000000000000000000000000000000000000031485060644499
"glcE" -4.61074106730706 5.1555710966779 467.921829501376 0.000000000000000000000000000000000000000000000000000000000000261833004134692 0.000000000000000000000000000000000000000000000000000000000452447431144748
"gltD" 6.41675151462795 9.74682903012853 462.187274350129 0.000000000000000000000000000000000000000000000000000000000000762009713034493 0.000000000000000000000000000000000000000000000000000000000877835189415735
"lsrG" -6.82337507143774 6.63309570184095 443.553719292028 0.0000000000000000000000000000000000000000000000000000000000259920391373491 0.0000000000000000000000000000000000000000000000000000000224571218146696
"yjcB" 5.08867717404969 7.26121691008939 440.918669245799 0.000000000000000000000000000000000000000000000000000000000043134429705424 0.0000000000000000000000000000000000000000000000000000000298145178123891
"lsrD" -7.09145429366023 6.63507004202527 430.638776843778 0.000000000000000000000000000000000000000000000000000000000524529368384354 0.000000000000000000000000000000000000000000000000000000302128916189388
"yeiQ" -4.01997493074344 6.55703603785968 426.721529477796 0.000000000000000000000000000000000000000000000000000000000682673340932102 0.000000000000000000000000000000000000000000000000000000337045580894478
"rspA" -8.19868280565768 9.59240596302968 424.325008410705 0.00000000000000000000000000000000000000000000000000000000109414023647365 0.000000000000000000000000000000000000000000000000000000472668582156616
"gltB" 6.88707083476199 11.2524210771924 422.174852350937 0.00000000000000000000000000000000000000000000000000000000167291422876033 0.000000000000000000000000000000000000000000000000000000642399063843966
"lsrB" -7.5227579649731 7.87985044760588 407.037804097767 0.0000000000000000000000000000000000000000000000000000000345169526379875 0.0000000000000000000000000000000000000000000000000000119290588316885
"lsrF" -7.24740857588573 7.74824159393671 392.095869099314 0.000000000000000000000000000000000000000000000000000000732297002643319 0.000000000000000000000000000000000000000000000000000230074403739574
"ascB" -2.54586251213566 5.59481292747237 386.490857572374 0.00000000000000000000000000000000000000000000000000000234449952746365 0.000000000000000000000000000000000000000000000000000675215863909532
"ascF" -3.38378031361584 5.40784819483448 381.77119458829 0.00000000000000000000000000000000000000000000000000000629409344627213 0.00000000000000000000000000000000000000000000000000167326053463973
"lsrC" -6.95132156350767 7.30451019457628 382.163691758862 0.00000000000000000000000000000000000000000000000000000900003547465232 0.0000000000000000000000000000000000000000000000000022217230428856
"lsrK" -5.17418659903572 7.85943163536718 369.724944638304 0.0000000000000000000000000000000000000000000000000000808689258253599 0.0000000000000000000000000000000000000000000000000186322005101629
"yejG" -5.42554391611349 7.21892146667355 364.028462974358 0.000000000000000000000000000000000000000000000000000275045831291515 0.0000000000000000000000000000000000000000000000000594098995589673
"yibH" -3.49474789599707 6.71807070486718 363.674986657182 0.000000000000000000000000000000000000000000000000000296858754776373 0.0000000000000000000000000000000000000000000000000603496386180674
"lsrR" -4.93401190038258 7.52190878526182 362.906951306773 0.000000000000000000000000000000000000000000000000000350453670945058 0.0000000000000000000000000000000000000000000000000672871048214511
"ydcH" -5.60107519840283 6.42568793817141 341.532066454753 0.0000000000000000000000000000000000000000000000000385880013798484 0.00000000000000000000000000000000000000000000000701895435625033
"lsrA" -8.7042144489217 8.68248416348215 339.395190780005 0.0000000000000000000000000000000000000000000000000622978820918873 0.0000000000000000000000000000000000000000000000107650740254781
"ygeV" -5.78699587280022 7.07822936435885 336.337775159915 0.000000000000000000000000000000000000000000000000123986659781123 0.0000000000000000000000000000000000000000000000204046617239791
"ycdZ" -2.5839491127533 6.20842519770229 331.69624723216 0.000000000000000000000000000000000000000000000000354836006949445 0.0000000000000000000000000000000000000000000000557415109098765
"yqgE" 2.48972694282873 7.13287038617051 328.967769247892 0.00000000000000000000000000000000000000000000000066085802599497 0.0000000000000000000000000000000000000000000000993011016451572
"yghB" -2.56798642656098 6.69893803727267 325.046622247161 0.00000000000000000000000000000000000000000000000162330928931839 0.000000000000000000000000000000000000000000000233756537661848
"rspB" -8.12476521945877 9.5239794135531 320.037687788125 0.0000000000000000000000000000000000000000000000073675662744674 0.00000000000000000000000000000000000000000000101849236178237
"rbsD" -6.84630641926314 7.7590592851314 303.43554683111 0.000000000000000000000000000000000000000000000256191995565139 0.0000000000000000000000000000000000000000000340538283335815
"waaG" 3.23735125866998 6.3822003981707 295.933931495175 0.0000000000000000000000000000000000000000000015522092579475 0.00000000000000000000000000000000000000000019868278501728
"dnaX" 2.48667199583971 8.0446099079762 289.838072176498 0.00000000000000000000000000000000000000000000682928495216888 0.000000000000000000000000000000000000000000838520871679368
"argG" 4.93857951687127 8.28726410912665 289.71593584102 0.00000000000000000000000000000000000000000000703619944406877 0.000000000000000000000000000000000000000000838520871679368
"fadE" -5.11802574318052 8.98422879032923 282.173954509313 0.0000000000000000000000000000000000000000000450110685320294 0.00000000000000000000000000000000000000000518527509488979
"argA" 5.52341594868032 6.76059259743082 280.970214578342 0.0000000000000000000000000000000000000000000606699165518729 0.00000000000000000000000000000000000000000676371714849266
"yjfY" 3.44712257025512 6.79017209223387 280.52201517798 0.0000000000000000000000000000000000000000000917061827015103 0.00000000000000000000000000000000000000000990426773176311
"dtpA" 3.67761130677011 7.79228906891721 278.99648941012 0.0000000000000000000000000000000000000000000991230770264542 0.0000000000000000000000000000000000000000101162787230973
"argF" 8.3463975230796 7.23059642989403 278.980306852709 0.0000000000000000000000000000000000000000000995235754008416 0.0000000000000000000000000000000000000000101162787230973
"yibI" -3.42484524758578 5.44377371643606 278.644143688969 0.000000000000000000000000000000000000000000108221985504419 0.0000000000000000000000000000000000000000106861480543792
"nac" 3.09935179361812 4.78625669488258 276.964651037764 0.000000000000000000000000000000000000000000164609038087249 0.0000000000000000000000000000000000000000158024676563759
"deaD" 4.22333925968311 9.92185241748197 271.393422935541 0.000000000000000000000000000000000000000000667827253785175 0.0000000000000000000000000000000000000000623786753805829
"ybhQ" -3.80456109224963 6.14220467669334 268.275084005406 0.00000000000000000000000000000000000000000147171668625567 0.000000000000000000000000000000000000000133848759676305
"ybaE" -4.44119745544047 6.83101794190489 265.94922039059 0.00000000000000000000000000000000000000000266115136577527 0.000000000000000000000000000000000000000235818951797932
"proP" 3.73886436242091 10.4012974847334 265.516074789883 0.00000000000000000000000000000000000000000297234620269765 0.000000000000000000000000000000000000000256810711913077
"yhjX" 5.55235197128557 7.92183058007657 264.827862040563 0.00000000000000000000000000000000000000000354398911436762 0.000000000000000000000000000000000000000298732350713524
"msrB" -3.78036156885671 6.47765674859982 262.408636792903 0.00000000000000000000000000000000000000000658888301129885 0.000000000000000000000000000000000000000542170944929734
"rbsA" -5.54008327003074 7.61927932253503 260.931675178629 0.00000000000000000000000000000000000000000963462943033928 0.000000000000000000000000000000000000000774355332819827
"ptsP" 2.59100078882654 8.85953732690718 260.72518659537 0.0000000000000000000000000000000000000000101611484698341 0.000000000000000000000000000000000000000798112025266967
"ytfQ" -7.17426286317061 9.11040864803029 251.497152789444 0.000000000000000000000000000000000000000111918853815702 0.00000000000000000000000000000000000000859536797304593
"uxaB" -3.99242010956486 8.44862598585395 250.221139163356 0.000000000000000000000000000000000000000156468697300802 0.0000000000000000000000000000000000000117555612580776
"fadH" -6.12003500623369 6.26264087929802 250.08749439814 0.000000000000000000000000000000000000000162065182006174 0.0000000000000000000000000000000000000119169631704966
"insQ" 2.38691449961742 6.64455911881243 249.907569610066 0.00000000000000000000000000000000000000016991954878382 0.000000000000000000000000000000000000012234207512435
"yecA" 2.64344411128282 8.00592779785982 244.101447795587 0.000000000000000000000000000000000000000789483213871997 0.0000000000000000000000000000000000000556827344314617
"fadD" -4.95665338826878 8.23898418763091 240.686424532612 0.00000000000000000000000000000000000000196443229468328 0.000000000000000000000000000000000000135781560208509
"ydcJ" -5.833411710171 8.76204824543985 240.34257756438 0.00000000000000000000000000000000000000215399485270154 0.000000000000000000000000000000000000145964827665422
"argE" 3.25629618343784 7.44105937184031 240.011875943518 0.0000000000000000000000000000000000000023536840083414 0.00000000000000000000000000000000000015642946024669
"ynfK" -3.29624367928005 6.02524860404898 238.491993493035 0.00000000000000000000000000000000000000354020826896515 0.000000000000000000000000000000000000230848297689501
"nudB" 2.30510387212817 7.33782718083967 236.120058052311 0.00000000000000000000000000000000000000671048328770294 0.000000000000000000000000000000000000429470930412988
"mprA" 3.2861713689648 7.78885872423529 234.234905300983 0.0000000000000000000000000000000000000111792076155565 0.000000000000000000000000000000000000702460754897517
"ygjR" -3.71655402182711 8.01356489257502 234.0131723374 0.0000000000000000000000000000000000000118723550381191 0.00000000000000000000000000000000000073269391092392
"msbA" 2.56022012561823 7.82658249944979 233.767036254147 0.0000000000000000000000000000000000000126926262557881 0.000000000000000000000000000000000000769573970877256
"melA" -2.91603199367388 6.28576123366667 232.485065603965 0.0000000000000000000000000000000000000179845662378334 0.00000000000000000000000000000000000107163208479228
"ompC" 4.86621072818216 11.807085152086 230.066284416624 0.0000000000000000000000000000000000000347946636752094 0.00000000000000000000000000000000000203814165528006
"argC" 6.09568283768321 6.62016054138635 229.931463486146 0.0000000000000000000000000000000000000361018054416458 0.0000000000000000000000000000000000020794639934388
"oppD" 3.41850550743471 9.4625106755723 229.827169293115 0.0000000000000000000000000000000000000371468237172016 0.0000000000000000000000000000000000021045807010926
"argT" -4.11559405792459 7.4967362759796 225.912270512447 0.000000000000000000000000000000000000108889956726136 0.00000000000000000000000000000000000606973694266977
"gpr" -4.80268271547019 7.75849051749986 225.37133293341 0.000000000000000000000000000000000000126419403634302 0.00000000000000000000000000000000000693500728508169
"fadB" -5.75171497114373 6.68442842438669 222.944612811177 0.000000000000000000000000000000000000247459811613394 0.0000000000000000000000000000000000133628298271233
"aldA" -5.03508851221283 8.9912825257588 222.572441922013 0.00000000000000000000000000000000000027438877712534 0.0000000000000000000000000000000000145890402114642
"cydA" 3.0618569936041 10.118101586822 222.204352347555 0.000000000000000000000000000000000000303927062370209 0.0000000000000000000000000000000000159147261750219
"yqeF" -4.50353528495339 5.9983260681199 220.258124975841 0.000000000000000000000000000000000000522513743836682 0.0000000000000000000000000000000000269523507268593
"cdd" -3.93088440391048 8.35423791951336 220.069366866482 0.000000000000000000000000000000000000550771007199033 0.00000000000000000000000000000000002774191160476
"tesB" -2.02858258868858 6.49709320355523 220.018639349229 0.000000000000000000000000000000000000558624059832304 0.00000000000000000000000000000000002774191160476
"nirB" 3.72410827557844 8.20058078879028 219.99767643036 0.000000000000000000000000000000000000561902144772339 0.00000000000000000000000000000000002774191160476
"ubiB" 2.19332759265745 7.03827915687764 219.945792681877 0.000000000000000000000000000000000000570099062508488 0.0000000000000000000000000000000000277501740849202
"acs" -6.81986154342555 9.91846427859755 222.198438795727 0.000000000000000000000000000000000000598339106412638 0.0000000000000000000000000000000000287202771078066
"yagE" -4.60131428438246 7.22834292225111 218.827771862047 0.000000000000000000000000000000000000779192902444247 0.0000000000000000000000000000000000368889132992783
"uidA" -3.34703298598923 5.79959643756457 218.492172376895 0.000000000000000000000000000000000000855928262734902 0.0000000000000000000000000000000000399741631893489
"ftnB" -3.40192736680632 5.86612000459595 218.261751600667 0.000000000000000000000000000000000000912980310568369 0.0000000000000000000000000000000000420701327109905
"uxuA" -2.62714570263401 7.73860222549166 221.12214004875 0.00000000000000000000000000000000000127936284833031 0.0000000000000000000000000000000000581773421556521
"yeaC" -3.36513268779311 6.08182248558344 215.762492631664 0.00000000000000000000000000000000000184194321190698 0.0000000000000000000000000000000000826721524720846
"tyrB" 5.23113324309436 8.66454506866724 215.66668043183 0.0000000000000000000000000000000000018923125348877 0.0000000000000000000000000000000000838440015457936
"mglB" -7.20833529327127 7.4593811501271 214.45191593532 0.00000000000000000000000000000000000266528703934746 0.000000000000000000000000000000000116597873518795
"yagI" 5.90387400460549 5.44438144431922 213.607835917652 0.00000000000000000000000000000000000338316762837169 0.000000000000000000000000000000000146152841545657
"oppF" 3.26034749872187 9.55468922782331 213.358440456972 0.00000000000000000000000000000000000363046413743923 0.000000000000000000000000000000000154899803197407
"fadL" -5.40167699519825 8.14197153958476 212.822741083716 0.0000000000000000000000000000000000042250042065273 0.000000000000000000000000000000000178068469972663
"fadI" -4.61752952767949 6.44936924739646 212.409631910665 0.00000000000000000000000000000000000474973534274934 0.00000000000000000000000000000000019777211258484
"argI" 8.13707698726145 5.99744216747737 212.069802224257 0.00000000000000000000000000000000000523028851857808 0.000000000000000000000000000000000215189013335784
"uvrD" 2.4378183220379 7.82711887308979 211.412052779963 0.00000000000000000000000000000000000630410408492798 0.000000000000000000000000000000000256317455500131
"argB" 5.02732207926593 6.66205866637731 210.762955825285 0.00000000000000000000000000000000000758163651548605 0.000000000000000000000000000000000304675997645579
"artJ" 6.01208897348378 6.20288088979715 210.559938181089 0.00000000000000000000000000000000000803249336709645 0.000000000000000000000000000000000319083874444659
"ytfR" -5.47226433578032 7.74048682653109 210.220558554294 0.00000000000000000000000000000000000884732675354596 0.000000000000000000000000000000000347458650684714
"ppc" 3.66938192403174 10.4895674218995 207.758378877592 0.0000000000000000000000000000000000178703285284847 0.000000000000000000000000000000000693930959488127
"narZ" 2.24809595814581 6.49508490873197 206.791308605504 0.0000000000000000000000000000000000235767431210216 0.000000000000000000000000000000000905346935847229
"feaR" -4.69261893278988 4.70776718039666 206.111730174524 0.0000000000000000000000000000000000286551734334794 0.00000000000000000000000000000000108826680644071
"ucpA" -3.33968921416894 7.51409817941421 205.821813335304 0.0000000000000000000000000000000000311445565898597 0.00000000000000000000000000000000116995203885386
"yhfK" 2.75768655425578 6.55198133159369 204.843682213855 0.0000000000000000000000000000000000412674191750046 0.00000000000000000000000000000000153355054482598
