"logFC" "logCPM" "F" "PValue" "FDR"
"argI" 6.14133096418256 5.99776258321309 193.995000418941 0.000000000000000000000000000000000968379060760536 0.00000000000000000000000000000217075806959473
"ilvN" 4.80280409603595 3.96250979984894 193.239980848579 0.00000000000000000000000000000000121001007223787 0.00000000000000000000000000000217075806959473
"ilvB" 4.23229749878841 7.2241677392603 183.670098831959 0.0000000000000000000000000000000210320122104265 0.0000000000000000000000000000251542866036701
"araB" -6.61347385188365 10.6522559996259 171.389780832409 0.000000000000000000000000000000897739116381096 0.000000000000000000000000000805271987393843
"argA" 3.53949950862373 6.76077007358894 165.717899627861 0.0000000000000000000000000000052665990874101 0.00000000000000000000000000377931150512549
"yagI" 3.82297658291576 5.44449759758846 163.731347539548 0.00000000000000000000000000000984071785282893 0.0000000000000000000000000058847492759917
"argG" 3.27339026594626 8.28722614670783 155.516807181917 0.00000000000000000000000000013461613439637 0.0000000000000000000000000690003843163108
"argF" 4.61069761320425 7.23067507655959 149.241762180826 0.00000000000000000000000000102772880977768 0.000000000000000000000000460936371185288
"araA" -4.91982770863012 10.6972267999449 128.973478990192 0.00000000000000000000000123025940830028 0.000000000000000000000490463417442378
"araD" -5.31475409233537 8.56595747393424 124.299556755378 0.00000000000000000000000670722384681946 0.00000000000000000000240655191623882
"argE" 2.11807669429959 7.44098351356151 122.529036828174 0.00000000000000000000000841421632575069 0.0000000000000000000027445643797085
"artJ" 3.20205837835812 6.20303860216442 120.032538985151 0.0000000000000000000000201544216203434 0.00000000000000000000602617206448269
"argC" 3.43923381809324 6.62025572477848 117.087933796863 0.0000000000000000000000568842645136613 0.0000000000000000000157000570057705
"argB" 3.03588282866239 6.66211517708028 107.028432326765 0.00000000000000000000209454508909608 0.000000000000000000536801984262625
"ivbL" 3.20734328295963 4.29733384717748 100.850863981071 0.000000000000000000020138941159024 0.00000000000000000481723472523855
"argH" 2.81893508036786 7.84934803635427 99.6355929249613 0.0000000000000000000315768863480715 0.00000000000000000708111676355503
"recD" 1.29796054489214 6.46807772932576 83.6403486406485 0.0000000000000000135967865192393 0.00000000000000286972176653121
"carA" 4.04683135580571 9.65940641320285 83.2361080966663 0.0000000000000000159068142798094 0.00000000000000317075831310867
"leuB" 1.98631212754356 6.91860936024821 76.7623749198192 0.000000000000000230012453433194 0.0000000000000434360359430684
"argD" 2.30951748205991 7.13111013442367 72.8586177498444 0.000000000000000953358120111212 0.000000000000171032446747951
"uhpA" 1.79405066938974 5.48251343285653 70.4968002499567 0.00000000000000246414469097445 0.000000000000421016721486492
"carB" 3.48558216547299 10.8266394300396 66.5440889098792 0.0000000000000122640140474801 0.00000000000200014920010722
"araE" -1.76682123739158 8.93857493348063 66.204717284111 0.0000000000000140888004185992 0.00000000000219785286530148
"araJ" -1.12216792021541 6.51071667324249 65.3080851853534 0.0000000000000203396434123917 0.00000000000304077669015256
"leuA" 1.77444608751652 7.23330013081423 59.3601080394618 0.000000000000238671768142099 0.0000000000342541721637541
"yagH" 1.77754298107225 4.51321526840724 55.0716968231668 0.00000000000145129273082175 0.000000000200278396853402
"araF" -3.2527386527018 8.26878544207851 52.0920690904208 0.00000000000528167179968408 0.000000000701875496935796
"mtr" -3.47252590150182 10.9966382151032 50.278734150785 0.000000000011254001734317 0.00000000144211993652605
"leuC" 1.42611642601104 7.58162852290481 47.1935695800302 0.0000000000436336575017781 0.00000000539853665918551
"glyA" -1.90586071736857 11.0300374060369 45.2690106422276 0.0000000000992821907472675 0.0000000118741500133732
"leuD" 1.13866740157938 6.45129558105191 43.5751811001415 0.000000000216121949096548 0.0000000250143726889811
"aroH" -2.11354075573425 8.38886986953249 42.1487532781461 0.000000000392956262048852 0.0000000440602208822275
"cysS" -1.16349624404137 7.20826162756382 39.9984231916806 0.00000000102344576631194 0.000000111276466955371
"mnmA" -1.12204350243404 7.90267564957364 39.2300474924362 0.00000000144351148185598 0.000000152332917555861
"pldA" -1.03442362157924 6.04611293987898 37.2385338485287 0.00000000353628867272431 0.000000362520107363852
"ibpB" 1.45395993081789 8.18593634021616 35.5041914862897 0.00000000775986078184999 0.000000773399457924383
"yhfK" 0.86400957934173 6.55177326038743 35.1498983841429 0.00000000911717220002463 0.000000884119293342929
"ygeA" -0.925031987952218 6.52279342522726 34.1385582656152 0.0000000144621765448563 0.00000136553393270906
"mipA" -1.2865049496355 8.91118874618676 34.0731452143188 0.0000000149012060608883 0.00000137091095760172
"pspG" 1.14401895710229 8.56847176660907 33.7304959196971 0.0000000176115752954111 0.00000157975830399838
"yceA" -1.27852131964292 6.84057910564651 33.1890578401666 0.0000000223403850242448 0.00000195505613334123
"mdtM" -0.966356099305744 4.99609489462503 32.4759780082466 0.0000000329542293505321 0.00000281523273594546
"ybiV" -0.973656375061484 5.51081644748736 31.6025568059987 0.0000000463736053529208 0.00000384251763544111
"fsr" -0.877929552415167 4.87773025219015 31.5679324502837 0.0000000471211750165577 0.00000384251763544111
"pspE" 1.15746450183059 8.87589928347295 31.436711657708 0.000000050066417495147 0.00000399196235494638
"aroA" -1.02140149420799 8.24145433864072 31.2342922685373 0.0000000549783218888996 0.00000428830910733417
"nudK" -0.811668335894695 5.5206437891184 30.6558519513011 0.000000071866837896462 0.00000548634498664906
"sppA" -0.829209788775377 7.10036391580427 30.2238314594687 0.0000000878215646135316 0.00000655714752925473
