"logFC" "logCPM" "F" "PValue" "FDR"
"ompR" 4.28480600599156 6.74602435456893 566.870312470505 0.00000000000000000000000000000000000000000000000000000000000000000000824764115903839 0.0000000000000000000000000000000000000000000000000000000000000000303183289006251
"envZ" 3.69465303273203 5.59591027200911 532.776444977342 0.00000000000000000000000000000000000000000000000000000000000000000246475752921088 0.00000000000000000000000000000000000000000000000000000000000000453022433868961
"dtpA" 3.70899311646657 7.79209477564068 320.311265500861 0.00000000000000000000000000000000000000000000000474440980232051 0.00000000000000000000000000000000000000000000581348347777673
"narZ" 2.60342124564245 6.49494872269624 278.562447034551 0.000000000000000000000000000000000000000000108547977216975 0.0000000000000000000000000000000000000000914531434072547
"narU" 3.88855161829811 4.70412175828539 278.016521264062 0.000000000000000000000000000000000000000000124392197235112 0.0000000000000000000000000000000000000000914531434072547
"ymdF" 4.36629559316164 8.94974524072249 248.078049155081 0.000000000000000000000000000000000000000271118363439268 0.000000000000000000000000000000000000166105184000458
"narY" 2.71485127473818 5.48969297828839 213.33608222935 0.00000000000000000000000000000000000360930768078819 0.00000000000000000000000000000000189540214779677
"ompC" 4.07251177834691 11.806941197543 178.947143260743 0.0000000000000000000000000000000876065078803285 0.0000000000000000000000000000402551903710109
"csgD" 3.33770811375936 3.35614480105865 176.381289922768 0.000000000000000000000000000000265090320907609 0.000000000000000000000000000108274668850708
"csgG" 2.42567075358537 3.9421198482468 167.668536144844 0.00000000000000000000000000000284634241578491 0.00000000000000000000000000104631547204253
"narW" 3.02305390970735 3.71904339149384 136.669930520313 0.0000000000000000000000000660451974617854 0.0000000000000000000000220711041699566
"wcaG" -2.18170943730376 4.03247065448523 128.965420366043 0.000000000000000000000000905440097048887 0.000000000000000000000277366483062642
"ompF" 2.64780687545745 9.50316293732096 123.106542465307 0.00000000000000000000000686183051551038 0.0000000000000000000019403145365397
"greB" 1.85842338070157 4.41011996341589 117.41022743746 0.0000000000000000000000506312701202654 0.000000000000000000013294324925864
"yecD" 1.40001165510401 5.54363475729243 114.472699261672 0.000000000000000000000143579103143938 0.0000000000000000000351864522104745
"narV" 2.53529555534734 3.78970284170124 111.104700448811 0.000000000000000000000479110373561601 0.000000000000000000110075608325778
"csgE" 3.08210584713213 1.99781394523611 112.165126032274 0.000000000000000000000866468170601084 0.000000000000000000187360999713505
"malM" -1.58279801115242 5.44659388949824 96.9418197532387 0.0000000000000000000858807509703286 0.0000000000000000175387578092738
"yfaZ" 1.93499694909876 3.6145013402283 89.7568478896483 0.00000000000000000129211975723005 0.000000000000000249991169872508
"gmd" -1.83584286544843 4.59305459992994 89.2046106213055 0.00000000000000000159512359271843 0.000000000000000293183716341648
"lamB" -1.89327052490939 6.23490650644676 86.9311591607284 0.00000000000000000381045146116822 0.000000000000000667010455774017
"malF" -1.51505639856441 4.65583983463615 85.8950731265049 0.00000000000000000567740034042749 0.000000000000000948641984155066
"malK" -1.86327768832555 5.1015817536929 84.4493046863346 0.00000000000000000992356896720999 0.00000000000000158604519667234
"ybiX" 2.41965807125074 7.34068602416023 79.8507206202147 0.0000000000000000595523535768738 0.0000000000000091214354895245
"ybiI" 2.20517102413602 6.26603411466721 73.9992707884309 0.000000000000000603438464957728 0.0000000000000887295918873843
"fecI" 1.92601961928491 7.61520544299892 72.1468600207636 0.00000000000000126688727984925 0.000000000000179118370797148
"entD" 2.56190938889154 6.1386275000046 71.278631037428 0.00000000000000179612778549258 0.000000000000244539471832249
"bglJ" 1.46804357607185 5.86357207749977 70.7380981558963 0.0000000000000022331729342752 0.000000000000293183703799844
