"logFC" "logCPM" "F" "PValue" "FDR"
"envZ" 3.89842185839912 5.59590949041941 650.900074789028 0.0000000000000000000000000000000000000000000000000000000000000000000000000164219026343256 0.0000000000000000000000000000000000000000000000000000000000000000000000607446178443704
"ompR" 4.1724876773153 6.7460246945594 600.236776337695 0.000000000000000000000000000000000000000000000000000000000000000000000038433169247752 0.0000000000000000000000000000000000000000000000000000000000000000000710821465237173
"dtpA" 3.83138968133789 7.79209329615286 348.129705088528 0.00000000000000000000000000000000000000000000000000863683992923531 0.0000000000000000000000000000000000000000000000106492236327471
"narZ" 2.80413955355193 6.49494768277124 338.110953285261 0.0000000000000000000000000000000000000000000000000808906079849525 0.0000000000000000000000000000000000000000000000748035897340848
"narU" 3.54554766775205 4.7041227842182 311.698961284515 0.0000000000000000000000000000000000000000000000352893342217955 0.0000000000000000000000000000000000000000000261070494572843
"ymdF" 4.15167275398926 8.94974382958169 244.670130760867 0.000000000000000000000000000000000000000666428115147996 0.000000000000000000000000000000000000407075536254783
"csgD" 3.6546286824288 3.35614405092831 246.053225189671 0.000000000000000000000000000000000000000770351109430516 0.000000000000000000000000000000000000407075536254783
"narY" 2.66517841714247 5.48969216476837 239.372551059842 0.00000000000000000000000000000000000000274513978688995 0.00000000000000000000000000000000000126928400896324
"csgG" 2.45105745913439 3.94211968967347 200.526477633415 0.000000000000000000000000000000000141928101256958 0.0000000000000000000000000000000583324496166098
"ompC" 4.18713762537455 11.8069400998706 187.349746728955 0.00000000000000000000000000000000691401861670096 0.00000000000000000000000000000255749548631769
"csgE" 3.63877335095943 1.9978122661989 178.613041856732 0.000000000000000000000000000000680620544140184 0.000000000000000000000000000228874126615867
"ompF" 3.02031978998858 9.50316282890477 155.897455108822 0.000000000000000000000000000118433502281824 0.0000000000000000000000000365071270783723
"csgF" 3.40999696471288 1.647597290659 150.004360474256 0.00000000000000000000000000133793270793086 0.000000000000000000000000380693314356635
"narW" 2.48773592426817 3.71904441121028 136.718748061816 0.0000000000000000000000000648681109680467 0.0000000000000000000000171390816050575
"bglJ" 1.92383480209399 5.86356951039912 123.955327469738 0.0000000000000000000000051005384113921 0.00000000000000000000119939384592033
"yecD" 1.40221554720525 5.54363272425574 123.906425264678 0.0000000000000000000000051879701364491 0.00000000000000000000119939384592033
"greB" 1.73945922699045 4.41011944322871 120.959071617367 0.0000000000000000000000145077275125047 0.00000000000000000000315671082757381
"ybiX" 2.98410086895851 7.34068361129348 118.127196333065 0.0000000000000000000000392576182026237 0.00000000000000000000806744054063918
"entD" 3.11014181450897 6.13862407132016 108.405275356565 0.00000000000000000000126713769479443 0.00000000000000000024669170173919
"fhuE" 3.02254540088901 8.32128095334689 106.986277566752 0.00000000000000000000212005469841689 0.000000000000000000392104116472204
"feoA" 2.23944049532816 6.70453875802767 100.561829543576 0.0000000000000000000223445715350631 0.00000000000000000393583667181898
"ybiI" 2.37911348216083 6.26603564889381 93.0438548647465 0.000000000000000000370961237786226 0.0000000000000000623720735714204
"ybdZ" 2.62218325707176 5.45219337497018 92.7680771470592 0.000000000000000000411696426468493 0.0000000000000000662115252829112
"narV" 1.88211837788222 3.78970391589301 91.1719383155183 0.000000000000000000753633700041647 0.000000000000000111964408503036
"fes" 2.27067377883659 8.30715564022946 91.1611711797356 0.00000000000000000075672079280235 0.000000000000000111964408503036
"fepB" 1.67814377024682 7.10293923821474 88.4543353642636 0.00000000000000000212319463355557 0.000000000000000302065267289309
"fecI" 2.05440310340466 7.61520447645217 85.1314255814528 0.00000000000000000761732561653305 0.00000000000000104357360946503
"nrdI" 2.48897813909651 7.69901023780205 82.8689577926095 0.000000000000000018307455638065 0.00000000000000241854565732866
"yecE" 1.13594053270417 4.79768065844923 80.4979963519455 0.0000000000000000461776636866099 0.00000000000000589004061988862
"feoB" 1.83081876506537 8.43114431236386 80.2362337556092 0.000000000000000051164040597661 0.0000000000000063085262056916
"nrdF" 2.50559454125098 7.91766473480184 79.8939842827079 0.0000000000000000585117020784391 0.0000000000000069817672899402
"nrdE" 2.52009336482586 9.71075814753953 76.7543152870779 0.000000000000000201668297099598 0.0000000000000233115947178567
"entC" 2.46912958868416 9.34027292904987 76.1613994705839 0.000000000000000255087964958598 0.0000000000000285930418903592
"nrdH" 2.43918422020464 7.61398914140137 75.1023439310886 0.000000000000000388532541746904 0.0000000000000422700550565234
"entH" 2.2757420079331 7.60935135018799 73.9580159205173 0.00000000000000061310680835771 0.0000000000000647966309747191
"fepA" 3.11451131582257 10.5662787021419 72.7037768955675 0.00000000000000101266136205676 0.000000000000104050954951332
"fecR" 2.0819791389664 7.36511310324165 71.8346778251336 0.00000000000000143536474174706 0.000000000000143497680533037
"bfd" 1.35840283611962 6.38380582374749 67.310464390027 0.00000000000000895740106566904 0.000000000000871932277418678
"fiu" 3.10810230646999 10.7793518120686 66.7532419950823 0.0000000000000112434461315331 0.00000000000106639762155233
"entE" 2.48998711238382 9.67066797686285 66.6650789841222 0.0000000000000116555872363585 0.00000000000107785042968225
"efeB" 1.33408339842533 6.76894727834915 64.6499415845944 0.0000000000000266120967263225 0.00000000000240093038513822
"dacD" 1.13109248983052 4.2086687208397 63.4714554326732 0.0000000000000432336441741875 0.00000000000380764880476951
"efeO" 1.54611806563962 7.42515127651604 63.2404798530481 0.0000000000000475574483334168 0.00000000000409104654384439
"entB" 2.47784483820407 8.93288337723985 62.7316088395698 0.0000000000000586852158424237 0.00000000000493355939548012
"exbD" 1.42242975140429 8.26264685511898 61.7380594587724 0.0000000000000885597412306501 0.00000000000727961072915944
"entA" 2.2256920036724 8.45669695851243 60.6255032491702 0.000000000000140613412214204 0.0000000000113071524300074
"cirA" 3.28332679552582 11.403392800176 60.1970186677007 0.000000000000168093304246301 0.0000000000132293006895121
"fecB" 1.59133174135428 4.62687250764819 60.0412197546814 0.000000000000179376271056975 0.0000000000138231838883281
"fepC" 1.28727141010789 5.5014405425329 57.7374786628271 0.000000000000470581138915361 0.0000000000355240741397535
"glnK" 1.33288735833664 3.75877236064998 55.7273425471944 0.00000000000109827516198619 0.0000000000812503964837383
"wcaG" -1.42404431506174 4.03246573776737 54.8853427017822 0.00000000000156898428980262 0.000000000113797507607449
"csgA" 1.48707334220099 3.23481527273463 54.2584911384922 0.00000000000204751132151487 0.000000000145648930351606
"yfaZ" 1.29844662088417 3.61449758664388 53.0634640895189 0.00000000000340638305314871 0.000000000237739828558435
"livJ" 1.3176835395555 7.56956841547759 52.7685304477745 0.00000000000386357915609016 0.000000000264655172192176
"livM" 1.1931254995701 5.74288281832211 51.1967772508519 0.00000000000757527492341655 0.000000000509471671667597
"yncE" 2.03968788231573 10.0406367623627 50.7922560321637 0.00000000000901381396360192 0.000000000595394604488634
"livK" 1.28092879141794 6.33432533135737 49.8808187979937 0.0000000000133483025957274 0.000000000866234584238519
"fhuF" 1.38528452439119 10.0944019601483 49.476024028107 0.000000000015897504653673 0.00000000101387706403338
"bdm" -1.24983898185027 4.45333456235631 47.7586912227263 0.000000000033460295107251 0.00000000209779036613087
"exbB" 1.30293705452016 9.20653120703065 47.6586042782341 0.0000000000349482662838395 0.00000000215456061639871
"entF" 2.28930758971701 10.5516809194798 47.2459387143552 0.0000000000418219713950187 0.00000000253605692115039
"yqjH" 1.30770835026389 6.6449083444721 46.7738868592681 0.0000000000513740257738111 0.00000000306504066673108
"livF" 1.11345167514341 4.97748858056504 44.9308915294537 0.000000000115072428757994 0.00000000675639545993365
"livG" 1.10319720795243 5.06370540886902 44.5802471072737 0.000000000134234732209583 0.00000000775834803817576
"mepM" 1.73093883562819 9.3623122831656 44.0641520094999 0.000000000168451512786434 0.00000000944107668789959
"fhuC" 1.00595923564786 6.04987709519974 44.0641195172698 0.000000000168453923060658 0.00000000944107668789959
"feoC" 1.44498462310025 4.25988760538088 42.3893506106811 0.000000000352975477711617 0.0000000193042099041829
"yiaD" 1.03832786314612 4.06900865099238 42.3772304319832 0.000000000354875986343455 0.0000000193042099041829
"entS" 1.25566466834685 6.36121483209911 40.7594756717358 0.000000000728256123050723 0.0000000390408608574583
"gmd" -1.20393263580881 4.59304979305349 39.0930796828259 0.0000000015340465072545 0.0000000810634004333485
"amtB" 0.776492847716892 6.11119803206227 37.7707369906176 0.00000000277993691710324 0.00000014483079797697
"livH" 1.07891682476542 5.20025122631064 37.6886276072432 0.00000000288476292035012 0.000000148204695032987
"yjbE" -1.39096207251254 6.09304711157893 37.5331698131462 0.00000000309427634648856 0.000000156790797337825
"ldtC" -0.816517125993997 6.50876677661888 37.4536190390856 0.00000000320735789966819 0.00000016032455230909
"proW" -0.944072594954422 6.92786833938195 35.1300268141372 0.0000000091956558044448 0.000000453529744275218
"wzc" -1.2772839564285 3.79810850158026 34.8372506594615 0.000000010507871733809 0.000000511429178202097
"rcsA" -1.10268084266192 4.41381909560346 34.7459153892878 0.000000010954715262079 0.000000526253139667925
"fhuA" 1.0338130577438 9.71077548664812 34.6077414598974 0.0000000116674213760307 0.000000553305021409458
"fecE" 1.10953821408717 4.06457768403961 34.1614209273598 0.0000000143053460039551 0.000000669816137577593
"cpsB" -1.1638775896365 3.93362974129885 33.4845735844182 0.0000000195004803270184 0.000000901653459120515
"wcaA" -1.56852380234232 2.93394298822763 32.9328048435357 0.0000000251188188704919 0.00000114709272841913
"tonB" 0.928640537886316 7.77163386387529 32.5124838673267 0.0000000304735858972429 0.0000013746560272427
"fhuD" 0.872860328932997 5.36611854166034 31.9824347902956 0.0000000389011089185808 0.00000173367713120278
"malK" -1.11839049092107 5.1015763135647 31.3721577180178 0.0000000515627699634148 0.00000227060340588894
"ygbE" 2.46835712217013 4.83707368193244 30.7746717959292 0.0000000679900501981359 0.00000295876700803417
"fepG" 0.982071960811364 5.01201108159119 30.5542599150138 0.0000000753059121595397 0.0000032390298730016
"malM" -0.876119353194807 5.44659078322755 30.4970692690755 0.0000000773307258630973 0.00000328788913755859
"yccT" -1.1636720812041 6.28438766097436 30.1368658803326 0.0000000914094457960981 0.00000384231295454281
"nac" 0.736944277674457 4.78589073984866 29.4584743928904 0.000000125342089348844 0.00000520944256743116
"malF" -0.862011077026229 4.65583690684871 28.4659212565147 0.000000199257363390099 0.00000818947763533305
"fkpA" 0.715290986348803 8.89092764757747 26.327183071692 0.000000544746993183893 0.0000221430673383211
"wcaI" -1.15461851174618 3.47368991037583 26.13387447556 0.000000596869397987016 0.0000239980424255867
"malG" -0.881857081453805 3.91193170337853 25.7906174938651 0.00000070215505047757 0.0000278909457316969
"yqjA" -0.589878524898228 7.46868235203246 25.7708144485986 0.000000708772343546772 0.0000278909457316969
"ypfG" -0.750458334045523 7.02674559006226 24.2949023890769 0.00000142947598841733 0.0000556592808542705
"alaE" -1.22326075271921 6.74734219058288 24.2727673796952 0.00000144464870256048 0.0000556641203205334
"gltJ" 0.738994289081745 5.48466899161918 24.1027891805708 0.00000156671594766123 0.000059745178251535
"wzxC" -1.05618727524011 3.08733018044026 24.0082993791382 0.00000163902528687885 0.0000618648422057639
"flgG" 1.06560426284738 3.7893278535314 23.7860026240122 0.00000182272346477049 0.000068103576729152
"ftnA" -0.944550049437267 4.61362435816463 23.6824709230292 0.00000191524544305676 0.0000708449289386694
"gltI" 0.857633946572085 8.31973019339475 23.5683152136833 0.00000202277311404601 0.0000740815618698632
"wza" -1.3264577685195 2.84520542334737 23.4819272902269 0.00000210818243693076 0.0000757858524225445
"shiA" 1.02264581961506 7.73031422069349 23.4798458757098 0.00000211028461733498 0.0000757858524225445
"sbmA" 0.568628010825565 5.14887248745077 23.2446176213083 0.00000236203516614902 0.0000840112315344734
"spy" -0.873768990509912 8.10295969530855 23.0516770535643 0.00000259104301721787 0.0000912787440065608
"yddB" 1.18377277629257 4.5985972618203 22.4193167012423 0.00000351123172019257 0.000122528737103701
"fimC" 0.98969085846349 4.18855376586526 22.2632500215003 0.00000390372367445581 0.000134952092259926
"ldrC" -1.10043154613349 2.94936273178627 22.0472746452217 0.00000420054855308708 0.000143868787943233
"paoB" -0.823048477350881 5.07357295194582 21.8673283313762 0.0000045815312427723 0.000155477835477199
"hda" 0.714038111431038 5.87657126802314 21.7735253089584 0.00000479379130327382 0.000161202127552817
"malE" -0.898591370555462 6.18350081708268 21.3718165288161 0.00000582124120316085 0.000193988929824252
"gltK" 0.66884915206964 4.93133672649212 21.152255827462 0.0000064741826611329 0.00021382144342438
"ygiM" 0.655937389983738 6.83450846051759 20.8597488042243 0.00000746063001065058 0.000244220092118553
"degP" 0.866256695810048 9.65790637345377 20.8354600480665 0.00000754907965404569 0.000244947768774693
"ddpF" -0.744567717517707 5.78602056592578 20.7034050130335 0.00000804885582970652 0.000258893197513778
"yjjZ" 1.23452770280145 8.07456257381712 20.6206055781775 0.00000837915079891469 0.000267193782803323
"lamB" -0.901187328441531 6.23490345062939 20.5554300064516 0.0000086487558944674 0.000273433744048162
"yiaU" 0.701726117903977 4.23034282207902 20.1102569853202 0.0000107404832908265 0.000336686844853959
"yfeK" 0.91888577343526 2.89796726461935 20.0892954872848 0.0000108507252517776 0.000337284308456516
"yfeY" 0.563123132013571 5.93035958729688 20.0261848382634 0.0000111895977381658 0.00034491935027896
"mzrA" -0.613468920154507 5.3169016219117 19.7258494226676 0.0000129549338898612 0.000396035540980136
"ilvC" 1.16954812433579 7.72806591922043 19.6736724014883 0.0000132891925646903 0.000402923961449093
"wcaH" -1.12773813436674 2.45018077094474 19.3126711695231 0.0000158537040178009 0.000476771147657281
"dacA" 0.644927159881604 7.83921497457221 19.2783535953635 0.0000161221712793153 0.000480934770662801
"ymgG" -1.13914177895267 2.79186385886337 19.0789513588616 0.0000177756646600316 0.000526017468619655
"glnD" 0.583120388674609 7.48765457417127 18.7740368924123 0.0000206422409531606 0.000605997216553501
"flgE" 0.953587329456547 4.53814190719775 18.7525708784341 0.0000208608600238161 0.000607593080536188
"rseB" 0.534280914648287 8.41414944777953 18.6840001025619 0.0000215750315927492 0.000623484702043589
