"logFC" "logCPM" "F" "PValue" "FDR"
"ompR" 4.90595254471727 6.74605190004273 739.884697737774 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000565140388574539 0.000000000000000000000000000000000000000000000000000000000000000000000000000205937157596562
"envZ" 3.90047432556814 5.59584656333293 581.824892495844 0.000000000000000000000000000000000000000000000000000000000000000000000761993580000817 0.00000000000000000000000000000000000000000000000000000000000000000138835230276149
"dtpA" 4.52051377607205 7.7919743022264 421.576890560077 0.0000000000000000000000000000000000000000000000000000000018903738493446 0.00000000000000000000000000000000000000000000000000000172406206655132
"ymdF" 5.94036088286933 8.94963015655818 421.571227508449 0.00000000000000000000000000000000000000000000000000000000189249403573142 0.00000000000000000000000000000000000000000000000000000172406206655132
"yecD" 1.9728181018532 5.54346910670285 238.569388736625 0.00000000000000000000000000000000000000347397165152287 0.00000000000000000000000000000000000253183053962987
"csgG" 2.92406770976062 3.94210680849058 219.882218176792 0.000000000000000000000000000000000000581310483321246 0.000000000000000000000000000000000353049233537103
"ompC" 4.44956330133982 11.8068517410998 205.505568717546 0.0000000000000000000000000000000000341629261059807 0.0000000000000000000000000000000177842432471705
"narZ" 2.26597493676048 6.49486389881754 200.817207991565 0.000000000000000000000000000000000132456843347947 0.00000000000000000000000000000006033409214499
"greB" 2.00336407949251 4.41007752985303 153.345611578912 0.000000000000000000000000000272370502203883 0.000000000000000000000000110279790003439
"narY" 2.30628068273567 5.48962641910424 140.413673060964 0.0000000000000000000000000189860384925865 0.0000000000000000000000069185124266985
"ompF" 2.64837919135411 9.50315402055799 121.360018990213 0.0000000000000000000000127004768473796 0.00000000000000000000420732160289556
"yecE" 1.29123292791876 4.79771322641992 99.7198895932941 0.0000000000000000000306814921357084 0.00000000000000000931694644521012
"queE" 1.30043076453366 6.42259084854447 90.6265914026411 0.000000000000000000931401434337643 0.000000000000000261078986671259
"phoH" 1.700542197806 7.8773033904297 85.5764265244475 0.0000000000000000064417197864391 0.00000000000000167668763584172
"fecB" 1.92277634523784 4.6270733169366 84.4713143452719 0.00000000000000000987245895373696 0.00000000000000239834936182783
