"logFC" "logCPM" "F" "PValue" "FDR"
"sslE" -2.98136494962409 7.2051925838898 442.149714878351 0.0000000000000000000000000000000000000000000000000000000000384340196544077 0.000000000000000000000000000000000000000000000000000000117415930044216
"bluF" 3.90079970245724 5.77132514183672 431.023977576775 0.000000000000000000000000000000000000000000000000000000000330732353797555 0.000000000000000000000000000000000000000000000000000000505193670425765
"narG" -3.13504555414945 7.17994491391174 372.159377857979 0.0000000000000000000000000000000000000000000000000000531354603375934 0.0000000000000000000000000000000000000000000000000541096104437826
"znuC" -3.38245368885711 7.84727219551942 281.847209834426 0.0000000000000000000000000000000000000000000523999511635392 0.000000000000000000000000000000000000000040020462701153
"yedA" 2.98901248795514 4.06294628579531 260.703219329214 0.0000000000000000000000000000000000000000108965971859353 0.00000000000000000000000000000000000000665782088060644
"sdhD" 4.70765988207714 6.18694151332619 247.019374886315 0.000000000000000000000000000000000000000386481147878377 0.00000000000000000000000000000000000019678331779474
"nac" 2.48002925220663 4.78636456701514 239.39335307645 0.00000000000000000000000000000000000000294269050216819 0.00000000000000000000000000000000000128427421201769
"amtB" 2.18607577910204 6.11166264149389 234.346600426589 0.0000000000000000000000000000000000000114674671899746 0.00000000000000000000000000000000000437913903317154
"feoA" -3.28854777330165 6.70492616678904 232.296113478459 0.0000000000000000000000000000000000000200063461356632 0.00000000000000000000000000000000000679104304938346
"yqhD" -2.16293322259686 6.35446384945047 215.597595109677 0.0000000000000000000000000000000000020279516227927 0.00000000000000000000000000000000061953922076317
"yedL" 2.88067903145826 3.75172062921781 211.177135345088 0.00000000000000000000000000000000000707327464273165 0.00000000000000000000000000000000196444127577684
"pyrF" 3.05616215365882 6.51524119981457 209.57850569986 0.0000000000000000000000000000000000111445939486619 0.00000000000000000000000000000000283722787609685
"sdhC" 5.06649789857444 7.80092467707013 207.366596008768 0.0000000000000000000000000000000000209576469299768 0.00000000000000000000000000000000492504702854455
"grcA" -3.19105548891101 8.63450220479646 204.676461954794 0.0000000000000000000000000000000000453566807594687 0.00000000000000000000000000000000989747569429835
"ispU" 2.29073452689359 7.61953419144725 202.810116321041 0.0000000000000000000000000000000000776931990922492 0.0000000000000000000000000000000158235148817881
"ndk" 3.79305953416783 7.27700616980996 193.179380024254 0.00000000000000000000000000000000129248306862631 0.000000000000000000000000000000246783485915836
"gpt" 3.50145672444402 6.34910484995312 188.686314377997 0.00000000000000000000000000000000489569130159447 0.000000000000000000000000000000879784525080654
"pliG" -6.01118767043894 8.05482683061432 186.575679162653 0.00000000000000000000000000000000919345013339476 0.00000000000000000000000000000156033278652894
"pyrD" 4.21769738458053 7.01400069377844 185.515280454912 0.0000000000000000000000000000000126313217522183 0.00000000000000000000000000000203098357647509
"suhB" 3.58011895217159 7.03588915696875 184.895101285054 0.0000000000000000000000000000000152156580021529 0.00000000000000000000000000000232419175982886
"dhaK" -2.37626048078464 8.35869294922188 181.56578505191 0.0000000000000000000000000000000415120681161634 0.00000000000000000000000000000603901752832758
"pyrL" 3.38490926870583 4.6453619503783 175.133173760009 0.000000000000000000000000000000294823040005643 0.0000000000000000000000000000409401994189655
"focA" -2.32110136190811 9.09196692412022 170.238196633959 0.0000000000000000000000000000013358341515861 0.000000000000000000000000000177433623178067
"rhlE" 2.31060548962179 6.79537882061055 168.146924908901 0.00000000000000000000000000000256054895544829 0.000000000000000000000000000317460546870665
"feoB" -2.79602182964849 8.4314213268586 168.100522164587 0.00000000000000000000000000000259787681563556 0.000000000000000000000000000317460546870665
"yecJ" 2.74597932277572 4.93008277326061 161.182793685448 0.0000000000000000000000000000228677092089172 0.00000000000000000000000000268695583204777
"ydcI" 2.57172846038128 6.6100623101748 158.716323246559 0.0000000000000000000000000000500846169947073 0.0000000000000000000000000056669816636604
"pth" 1.85229140933743 5.56744859348049 155.788934037708 0.000000000000000000000000000127755581436817 0.0000000000000000000000000139390464746241
"thiB" 1.94587367035082 5.72477133849565 157.487879563302 0.000000000000000000000000000150091604798366 0.000000000000000000000000015811374229621
"nadB" 2.51411009459452 8.30605762158555 155.110947702541 0.000000000000000000000000000158842824159641 0.0000000000000000000000000161754942602568
"yciH" 3.26821443633324 4.88613529439358 153.622121222144 0.000000000000000000000000000256573482403111 0.0000000000000000000000000252849028626292
"upp" 2.90545806385121 8.01066775627882 153.507512149549 0.000000000000000000000000000266239704775437 0.00000000000000000000000002541757181528
"yidD" 3.31543259423067 5.64567819675931 153.395402496176 0.000000000000000000000000000276050061767832 0.0000000000000000000000000255555435969918
"znuA" -5.22618291676377 11.3049450886006 152.713378970467 0.000000000000000000000000000344097242961237 0.0000000000000000000000000309181493307818
"ugd" 2.11775926323816 5.5170210365178 150.27884192111 0.000000000000000000000000000757772334523252 0.0000000000000000000000000661426994848153
"glnG" 1.96524735618206 7.11172673072106 149.360907076471 0.00000000000000000000000000102171959146667 0.0000000000000000000000000867042597758524
"azuC" 4.32142436611121 3.25766297670648 147.310899945969 0.00000000000000000000000000199633053650386 0.000000000000000000000000161695927195089
"purN" 2.46566498311772 7.73077295737406 147.288131225928 0.00000000000000000000000000201127503548719 0.000000000000000000000000161695927195089
"yifB" 2.31300494893751 4.13626926114317 144.669330095244 0.00000000000000000000000000475563141174314 0.000000000000000000000000372524460586546
"cbdB" -2.28543834151039 5.21294394280977 143.234300071005 0.00000000000000000000000000763864024531166 0.000000000000000000000000583401148735678
"lpxP" 2.00989700961492 7.48369321493721 143.066058542021 0.00000000000000000000000000807591913476045 0.00000000000000000000000060175446235837
"rsxA" 1.88065303804919 5.12462899391598 142.520194516388 0.00000000000000000000000000967608685072338 0.000000000000000000000000703820126879998
"eutC" -2.1209678232163 4.45189961517727 141.594339464241 0.0000000000000000000000000131552440647851 0.000000000000000000000000926859835844046
"yaaY" 3.22630806511829 5.19430303656049 141.550273823291 0.0000000000000000000000000133492087650206 0.000000000000000000000000926859835844046
"rluB" 2.1710217872646 7.28354340834175 141.019361078083 0.0000000000000000000000000159255879375 0.00000000000000000000000108117046997917
"sufA" -2.69885218589702 7.79259260184035 140.832119710344 0.0000000000000000000000000169491742160963 0.00000000000000000000000112564624413422
"yibQ" 1.86870964674537 5.54352235547114 140.177220342333 0.0000000000000000000000000210798679557604 0.00000000000000000000000136969745081369
"yceA" 2.38951082384012 6.84082628678838 140.115139527628 0.0000000000000000000000000215206146118027 0.00000000000000000000000136969745081369
"purE" 3.10215687142818 6.99708509637158 137.676878256853 0.0000000000000000000000000486302304804284 0.00000000000000000000000303194600240222
"glnL" 2.27731197767153 6.98653522444966 137.274307474 0.0000000000000000000000000556631546274518 0.00000000000000000000000340101874773731
"ubiX" 2.26120079087505 4.89915761337972 136.853714352344 0.0000000000000000000000000641088583563809 0.00000000000000000000000384024631919105
"cvpA" 2.49020923016239 7.67075122245387 135.415233065819 0.000000000000000000000000104046804821155 0.00000000000000000000000611274978324289
"rnpA" 2.97343098786743 7.23061881668559 134.580770794084 0.000000000000000000000000137903607106128 0.0000000000000000000000079489720699853
"pdhR" 2.80907010654114 7.53276566598447 134.219550721458 0.000000000000000000000000155817397479183 0.00000000000000000000000881522498701676
"yebQ" 2.36312601377542 3.96360368792824 134.036252262843 0.000000000000000000000000165786508781019 0.00000000000000000000000906926863058144
"znuB" -2.02646342380187 6.56135961694963 134.028088159545 0.000000000000000000000000166245186027025 0.00000000000000000000000906926863058144
"rlmG" 2.19531776836809 5.2897648742275 132.772045487005 0.000000000000000000000000254474520030395 0.0000000000000000000000136389413805764
