"logFC" "logCPM" "F" "PValue" "FDR"
"araB" -6.96923423588492 10.6523331477363 161.06788598022 0.0000000000000000000000000000236784747434392 0.000000000000000000000000072669238987615
"araE" -2.83307878944452 8.938596176165 139.560473501975 0.0000000000000000000000000258615173250149 0.0000000000000000000000396844983352354
"araJ" -1.14695113867492 6.51057538188641 63.9268537486005 0.0000000000000361713872628027 0.0000000000370033291698472
"araG" -1.89175461254849 7.78822163862897 45.1617366926343 0.000000000104520356552664 0.0000000801932435650311
"araH" -1.53790318704965 7.5854006157706 38.2219207829504 0.00000000227743141611544 0.00000139788740321166
"ygeA" -0.71572348026715 6.52271786203208 24.2809257386583 0.00000144145423234196 0.000737303839842911
"araC" -1.23610657174507 9.51833079157056 19.8692868102475 0.0000121909743155621 0.00534487145349432
"proX" -0.603207797256205 7.39888559124573 15.229256281994 0.000119852206782579 0.0459783028269669
"proW" -0.598240302540175 6.92817399333741 13.2419875804097 0.000326987101211687 0.111502601513185
"ymgC" 0.869869789798859 1.3910568262369 12.3638389321031 0.000513700697645631 0.146389069215436
"ymgA" 0.700025079177149 2.90959421181729 12.0086679728504 0.000614299467573457 0.146389069215436
"ycgZ" 0.659431457773722 3.31121693985227 12.0052445912391 0.000615381114663432 0.146389069215436
"yaaY" 0.791525476981126 5.19429008081535 11.9904103195605 0.000620090550603019 0.146389069215436
"leuL" 0.919707618124165 1.18034317538082 11.0194970191933 0.00104655540999648 0.2294198966628
"csgB" 0.681223899306238 1.18387573770541 9.81647984587853 0.00192110098239014 0.393057260997022
"galP" -0.493489503226551 6.99424996854976 8.90175130053099 0.00310523053649261 0.595622032280989
"acrZ" 0.717611122145795 3.38023831373789 8.77602799138384 0.00331944357771277 0.599257196470618
"polB" -0.370392873117655 7.31002434021232 7.66271758609231 0.00602969759216768 0.97437106952636
"ynhF" 0.611199510097202 2.54500937793226 7.65924387532137 0.00603227446106251 0.97437106952636
"yoeI" 0.692573808926517 2.98781836772272 7.46832176734824 0.00672667903356773 0.999716555244288
"wzxB" 0.567924171125174 5.34154667126794 7.32664402208833 0.00721978397705505 0.999716555244288
"ydiV" 0.424119960202281 4.47838922638962 6.4265066351023 0.0117984510652919 0.999716555244288
"proV" -0.497851670890382 7.49981603703772 6.42337104555086 0.0118188117864414 0.999716555244288
"yafT" 0.687725381566903 1.63408190808874 6.37197750438888 0.012164046442714 0.999716555244288
"ymfI" 0.486399970212544 3.86224075126415 6.28075935086154 0.0128252980908761 0.999716555244288
"wcaH" 0.706104833296379 2.45086745940724 6.00876885718255 0.0148585642015507 0.999716555244288
"yibB" 0.418940516852242 4.83007767937511 5.88053270857531 0.0159546029971125 0.999716555244288
"chbA" 0.595299960842267 1.97825286005567 5.34656866630361 0.0215030452801031 0.999716555244288
"lysR" -0.337297097309675 4.79286234737166 5.12678557198821 0.0243395052559701 0.999716555244288
"yneM" 0.678771180818316 4.30700765081415 4.94816761526454 0.0269315352925683 0.999716555244288
"cheZ" -0.413162046445556 3.26256057053242 4.91563571286049 0.0274338948178113 0.999716555244288
"yciY" 0.570294267777515 3.94601462777639 4.85884157170673 0.0283437593409911 0.999716555244288
"rhsA" -0.275369744169208 5.4012069761323 4.8348382997817 0.0287244663338587 0.999716555244288
"yfdX" 0.753346202611161 2.17892013310397 4.69327418826998 0.0311413375627496 0.999716555244288
"betI" -0.410061952378336 5.52130327842022 4.68002686113806 0.0313781654262172 0.999716555244288
"sugE" -0.305317611032403 5.39146999548987 4.67977803207093 0.0313826318847738 0.999716555244288
"galR" -0.252474397479335 6.25846187464872 4.51385712800377 0.0345148571640052 0.999716555244288
"glnK" 0.366044988326532 3.75945031343703 4.23967116355298 0.0404329766422117 0.999716555244288
"waaG" 0.282467017602377 6.38226147699484 4.22004294304809 0.0408958023449216 0.999716555244288
"yfgF" 0.395641898745147 3.25761322285248 4.19607787067933 0.0414684888787181 0.999716555244288
"mmuM" -0.345458246996435 5.37723877153126 4.1685851865385 0.0421359275799783 0.999716555244288
"nanS" 0.424163444640758 3.07634972987934 4.14114924513652 0.0428133206629782 0.999716555244288
"folB" 0.375482826225884 3.31696293029382 4.13031508127511 0.0430839794902735 0.999716555244288
"yajL" -0.241559371574752 6.30156875956364 4.01205779002151 0.0461589000281361 0.999716555244288
"thrL" 0.584524634229638 6.88616697453978 3.97693828167746 0.0471162262628055 0.999716555244288
"kch" 0.32491751179472 5.08707433650206 3.87376246977647 0.0500525828702744 0.999716555244288
"mdtI" -0.511224022183968 2.37537809687223 3.8003895518009 0.0522587392362551 0.999716555244288
"tatD" -0.279628426715272 4.76134233834957 3.7883931648106 0.0526291765772308 0.999716555244288
"rfbC" 0.37077337838339 5.49911620707085 3.78710276653204 0.0526691890704552 0.999716555244288
"frlD" -0.399988030319533 3.2016983258012 3.73091335891826 0.0544433109358974 0.999716555244288
"cbrB" 0.391597807793833 2.96404671778427 3.68901696604036 0.0558075528160293 0.999716555244288
"ytfT" -0.898100208256105 5.95961090226635 3.6456396849467 0.057258518651331 0.999716555244288
"yrbN" 0.364236372926155 4.51403687775384 3.64432644747645 0.0573030695280898 0.999716555244288
"waaB" 0.276139196273827 5.56537817812366 3.60461460876928 0.0586679137195001 0.999716555244288
"acrR" 0.236662504106643 5.83721527857437 3.55565952319888 0.0603984346261728 0.999716555244288
"mtgA" -0.21539648776254 6.56658649366128 3.55397252479253 0.0604590333349646 0.999716555244288
"fetB" 0.249677725820708 4.45342935568738 3.45698928630722 0.0640546398941979 0.999716555244288
