"logFC" "logCPM" "F" "PValue" "FDR"
"dtpA" 4.68060806833059 7.78785029819581 301.864908863805 0.000000000000000000000000000000000000000000000480814111353237 0.000000000000000000000000000000000000000000539473432938332
"ompC" 3.95978797465087 11.8037057015183 153.102032665115 0.000000000000000000000000000325353491509702 0.000000000000000000000000182523308736943
"ompF" 3.1917244322146 9.50272345640483 135.564699178828 0.000000000000000000000000104831899371058 0.0000000000000000000000392071303647758
"greB" 2.07104697234176 4.4085347527851 97.7977296106579 0.0000000000000000000658344261397552 0.0000000000000000184665565322013
"phoH" 1.32396181501278 7.87660707896892 42.56184553616 0.000000000331343014139865 0.0000000743533723729858
"yccT" -1.242649379215 6.29689700173995 27.8612657903799 0.0000002661647561197 0.0000497728093943839
"fimA" -0.988133354961138 9.02325284207261 24.7376317015215 0.00000117755558078795 0.000188745337377725
"yqjA" -0.597339538838604 7.46746275238745 21.0291843898 0.00000689745938343272 0.000967368678526439
"yobB" -0.631030737135651 6.27972644907114 19.5083897096476 0.0000144531453780727 0.00180182545713306
"yojI" -0.803861428976428 6.59228614930169 19.0170014318763 0.000018379876002567 0.00206222208748802
"yfiL" 1.10320209846664 5.19261521685013 18.5816319133477 0.0000227544021204504 0.00223370367554242
"malQ" 0.635673604445305 7.98691944803886 18.4824831327313 0.0000238898788828066 0.00223370367554242
"znuC" 0.744121266299522 7.84517044138076 16.0770882983533 0.000078549583931674 0.00677943332087217
"ypfG" 0.730535095966849 7.02873986501082 15.5945832547366 0.0000999489090081576 0.0080101911362252
"purE" -1.11758047498217 6.98986655742896 15.4318033677333 0.000108430927511813 0.00811063337788362
"yceA" -0.848106354480746 6.83492072854178 14.9391047831132 0.000138823508064988 0.00973499850305731
"feoB" 0.793928499762897 8.42644003283342 14.6171038734188 0.000163226927177656 0.0107729771937253
"ugpB" 1.08644964622464 7.74588289359417 14.3821767732351 0.000183739810444952 0.0114531148510687
"purK" -1.00828404776807 7.85784879554534 13.9557227791604 0.000227903264955709 0.0134582875410687
"purN" -0.749677243037391 7.72656507714089 12.5332098695474 0.000469872188672656 0.026359829784536
"rob" 0.496970583855944 8.80213083230799 11.4462709677724 0.000821382406429668 0.0438852885720994
"purM" -0.866650457335348 8.85925219498189 11.0522682907696 0.00100704637036719 0.0478706085802526
"carA" -1.35601911193286 9.65854972859663 11.0438800866225 0.00101143319959785 0.0478706085802526
"gudD" 0.55798708974813 4.5518036252088 11.0201102431273 0.00102397023701075 0.0478706085802526
"pcnB" -0.492142394086607 8.41411289340505 10.5466463465151 0.00130950798929036 0.0587707185593514
"avtA" -0.625329601393522 7.83440305172887 10.1731861013497 0.00159117701921938 0.0662264234669692
"malP" 0.560873649272764 8.60582339471255 10.1687105351704 0.00159490352628536 0.0662264234669692
"mdtE" -0.715346282935465 6.8269707455771 10.1006190241696 0.00165270932003132 0.0662264234669692
"yjjU" -0.611215106346057 7.74585117639024 9.89020730121668 0.00184520969465735 0.0683200689137518
"serB" -0.490021632833227 6.62070528154264 9.87322111541045 0.00186171480852665 0.0683200689137518
"mdh" 0.563202021417677 9.9526303872179 9.84685702439454 0.00188763113754573 0.0683200689137518
"yqaE" 0.73534651143893 5.54918139022957 9.74579544612899 0.0019904346888475 0.0697896162777156
"purH" -0.775826417359654 8.80812656452584 9.50418168429817 0.00226001704064441 0.07684057938191
"katG" 0.466451406342624 8.50455621477678 9.25048117881201 0.00258342102237809 0.085252893738477
"mscL" 0.633073681160641 7.363375879066 9.14359149099745 0.002733490333672 0.0876278901251425
"putA" 0.722076882888698 9.37751203349174 9.03939481886109 0.00288836130757412 0.0900205940860601
"efp" -0.552501168003894 8.75631053483548 8.97967300886007 0.00298114360537998 0.0904011655469279
"betB" -0.562975668888364 6.67025658320143 8.70665936559587 0.00344572589266263 0.101739590830723
"upp" -0.702343262928668 8.00781494515643 8.57550119462031 0.00369464398495343 0.103127277444528
"ispU" -0.498684949743643 7.61574860880836 8.54605744262241 0.00375300971176524 0.103127277444528
"yqfA" 0.4767142769772 8.35177431534411 8.5383389131481 0.00376846557506741 0.103127277444528
"clpA" 0.742256381948179 11.3834510251176 8.37276097718041 0.00411619457530426 0.108615068625661
"adk" -0.679432091724278 8.86690106217265 8.31109710030785 0.00425394708984599 0.108615068625661
"yhiM" -0.718302716982159 6.74428289599567 8.30869207235997 0.00425941445590829 0.108615068625661
"yqjG" 0.613317174919153 8.06158858574654 8.17714549461651 0.00456969807476906 0.112673906933117
"proW" -0.505864812629718 6.92289885314452 8.15618934986488 0.00462122661265038 0.112673906933117
"trpE" -1.74097907919333 11.0378472231148 8.11673921009459 0.00471985171644965 0.112673906933117
"dksA" 0.525330001152413 9.5064775838559 7.98089283165223 0.00507629160783604 0.118658316333167
"ycjF" -0.538447484699004 7.6177830289576 7.82675362988385 0.00551435019909891 0.126267365783448
"rlmL" -0.441683578857704 7.52717497548704 7.78857859436398 0.00562871714649219 0.126308412767285
"gltA" 0.605223123852236 10.351102713146 7.58800433707552 0.0062709054802311 0.137510909944856
"sbmC" 0.523061268147375 7.32908560006319 7.55805718315609 0.00637305464985073 0.137510909944856
"pyrI" -0.901120009985061 9.29344343529768 7.50223789317102 0.00656804088051676 0.139044186187543
"degP" 0.545283327305845 9.65362678722988 7.30952018692302 0.00728966974873866 0.147073112885439
"cirA" -1.08053913383485 11.4011163044375 7.28390645835117 0.00739153974195712 0.147073112885439
"ugd" -0.600280784402882 5.5138269398845 7.27652844788257 0.00742115410153174 0.147073112885439
"glnA" -0.816565562410892 10.5900020553068 7.26402291389209 0.00747162872947418 0.147073112885439
"kbl" 0.393633409706795 8.06283400879876 7.19300878878149 0.00776502918804459 0.148445968388696
"mdtF" -0.615641789144023 7.86180886328828 7.18331673666359 0.00780598229494927 0.148445968388696
"potH" 0.579941323238549 5.08640473238839 7.12199994903733 0.00807027613384591 0.150914163702919
"hisI" 0.402925820550008 6.96417148948227 6.98791959900604 0.00868079009825541 0.15966961459414
"htpX" -0.517963268517913 10.6651158592964 6.93639574866435 0.0089278732330178 0.161565705926548
"pyrB" -0.937150615144202 10.180983149588 6.83146892601294 0.00945371067554652 0.166083237644807
"ptrB" 0.390691479448693 7.47898673114569 6.8276281144296 0.00947355366244888 0.166083237644807
"proV" -0.570103970608972 7.49545470447326 6.79483070905007 0.00964475544133235 0.166483317002691
