"logFC" "logCPM" "F" "PValue" "FDR"
"ompR" 4.57860274850738 6.7460084502808 576.524254230909 0.00000000000000000000000000000000000000000000000000000000000000000000185239807450839 0.00000000000000000000000000000000000000000000000000000000000000000639262575512845
"envZ" 3.78127538880397 5.59594670324077 452.986496517889 0.00000000000000000000000000000000000000000000000000000000000443554188934837 0.00000000000000000000000000000000000000000000000000000000765352753007062
"dtpA" 4.85809521500659 7.7921637785005 400.435724974248 0.000000000000000000000000000000000000000000000000000000135490276612644 0.000000000000000000000000000000000000000000000000000155858981530078
"ymdF" 5.006093694507 8.94981099620452 293.576115771658 0.00000000000000000000000000000000000000000000279765249699736 0.00000000000000000000000000000000000000000241367469178448
"yecD" 2.26799204843193 5.54372954265711 265.965560922333 0.0000000000000000000000000000000000000000026923306987923 0.00000000000000000000000000000000000000185824664830644
"narZ" 2.60103119194632 6.49499717569016 225.90588556564 0.000000000000000000000000000000000000110479583165985 0.0000000000000000000000000000000000635441735843026
"ompC" 4.16869578669775 11.8069923675054 184.170876317058 0.0000000000000000000000000000000183512985778953 0.00000000000000000000000000000904719019890237
"narY" 2.60335512570102 5.4897308137649 147.49403119607 0.00000000000000000000000000183942554500564 0.00000000000000000000000079348219447681
"csgG" 2.5994551496647 3.94212720090271 142.699082442187 0.00000000000000000000000000893135839922615 0.00000000000000000000000342467975952549
"yecE" 1.75911159003398 4.7976613523779 140.090496693259 0.0000000000000000000000000212632398382763 0.00000000000000000000000733794406818914
"ompF" 2.89864175933672 9.50316796399205 138.415815954254 0.0000000000000000000000000372176561921126 0.0000000000000000000000116761937744528
"greB" 1.95382266520689 4.41014419927039 124.023985766418 0.00000000000000000000000504098586657532 0.00000000000000000000144970351879595
"fecB" 2.58920846295418 4.62675364365933 112.90464578073 0.000000000000000000000253632159283649 0.0000000000000000000673295832067595
"apbE" 2.45626174780126 4.29506982349423 93.5968029211959 0.000000000000000000303435519775562 0.000000000000000074796855624676
"puuE" 1.91257216001305 5.1671010456485 78.1404089232291 0.000000000000000117289944855779 0.0000000000000269845066464863
"puuC" 1.80804830264785 5.81594305401986 69.7930414558248 0.0000000000000032847562565256 0.000000000000708480865079366
"puuB" 1.82185447673232 5.18015597163476 67.1625597663013 0.00000000000000955645181407702 0.00000000000193995971825764
