"logFC" "logCPM" "F" "PValue" "FDR"
"sslE" -2.73875652852006 7.20508414444062 439.097579142545 0.0000000000000000000000000000000000000000000000000000000000607519672302796 0.00000000000000000000000000000000000000000000000000000022168392842329
"znuC" -3.01551416725398 7.84715719281709 266.699879803214 0.00000000000000000000000000000000000000000218703417488547 0.00000000000000000000000000000000000000399024385207853
"znuB" -2.65678555773904 6.56124673505718 263.807801412004 0.0000000000000000000000000000000000000000045799728347692 0.00000000000000000000000000000000000000557077362469093
"bluF" 2.51091611265528 5.77070244531736 206.498933973693 0.0000000000000000000000000000000000255535970308455 0.0000000000000000000000000000000233112688913888
"nac" 2.40732934608025 4.78584312230098 202.058613191126 0.0000000000000000000000000000000000919572246950662 0.0000000000000000000000000000000671103825824593
"zinT" -10.8895475966909 10.2416747815378 197.312051031219 0.000000000000000000000000000000000366345716094032 0.000000000000000000000000000000222799253004521
"amtB" 2.01635400218413 6.11115141962222 190.404195201909 0.00000000000000000000000000000000280885077331225 0.00000000000000000000000000000146421378168806
"pliG" -5.39676585157805 8.05473147879675 185.975617612413 0.0000000000000000000000000000000105361016626082 0.00000000000000000000000000000480577937085717
"sdhB" 3.23607368302669 7.98471567933223 172.171677569654 0.000000000000000000000000000000706052879542441 0.000000000000000000000000000286265217494485
"sdhD" 3.67936636113379 6.18686475667511 170.778493460767 0.00000000000000000000000000000108720071911366 0.000000000000000000000000000396719542404576
"yedA" 2.42012737671782 4.06213678125165 166.215008470029 0.00000000000000000000000000000451418092475359 0.00000000000000000000000000140340852648976
"betI" -2.21312290668646 5.52109662209807 166.144433189038 0.00000000000000000000000000000461521028168734 0.00000000000000000000000000140340852648976
"znuA" -5.16730828152028 11.3047152412032 156.979846560368 0.0000000000000000000000000000843110518226746 0.0000000000000000000000000236654637000723
"upp" 2.91380931304545 8.01047582466176 154.868712937205 0.000000000000000000000000000166103251170293 0.0000000000000000000000000432936259657428
"nadB" 2.49960796998903 8.30589294565461 153.875708227121 0.000000000000000000000000000228773976385978 0.0000000000000000000000000536760590248031
"yifB" 2.47150658035464 4.13556882932397 153.787824898261 0.00000000000000000000000000023535679484704 0.0000000000000000000000000536760590248031
