"logFC" "logCPM" "F" "PValue" "FDR"
"araE" 6.62687557447793 8.93730947426028 651.833130707519 0.0000000000000000000000000000000000000000000000000000000000000000000000000279664835795987 0.0000000000000000000000000000000000000000000000000000000000000000000000252537346723776
"araG" 5.44307015519258 7.79371914948498 361.769611178158 0.000000000000000000000000000000000000000000000000000621963942730379 0.000000000000000000000000000000000000000000000000280816720142766
"araA" 7.4013318875843 10.6942527343618 242.328366140104 0.00000000000000000000000000000000000000332773768832695 0.00000000000000000000000000000000000100164904418641
"araB" 7.52815796693415 10.649407113962 220.273015459092 0.000000000000000000000000000000000000619209685713142 0.000000000000000000000000000000000139786586549742
"glcD" -2.09641595998007 6.4092230204632 122.338866966986 0.00000000000000000000000970246262029418 0.00000000000000000000175226474922513
"argD" 3.26717322088598 7.13356637711292 108.010922614032 0.00000000000000000000156111036009243 0.00000000000000000023494710919391
"gltB" 2.89557502078388 11.2480874334614 91.3885925948842 0.000000000000000000729895398396172 0.0000000000000000941565063931061
"rplC" 3.34914089084824 11.6763248969604 90.3870252787964 0.00000000000000000106695570341599 0.000000000000000120432625023079
"tonB" 1.85439928043998 7.76788577178285 89.5741576188104 0.00000000000000000145316715526533 0.000000000000000145801104578288
"proP" 2.14503403040715 10.3964017798617 88.1452649998217 0.00000000000000000250568314925257 0.000000000000000226263188377507
"rpsJ" 3.12071385440687 10.844046961445 83.1757298985635 0.0000000000000000169636617125746 0.00000000000000139256241149589
"tktA" 2.68382870802391 10.6059147584141 75.5666672226647 0.000000000000000335080110218598 0.0000000000000252147782939495
"bioB" 1.52696896048958 8.16216512935308 72.4964500937112 0.00000000000000113868883756515 0.0000000000000790950784862561
"yfcH" -1.41982986804454 8.08833500154456 71.1296192360733 0.00000000000000197028312047182 0.000000000000127083261270433
"rplD" 3.09248168673269 11.1575292989796 70.8717844325261 0.00000000000000218554757661554 0.000000000000131569964112255
"rho" 1.7245575168382 9.7868372272403 70.01539683163 0.00000000000000308595301894449 0.00000000000017416347350668
"manA" 1.37656422952626 7.36248627819382 67.3321671733224 0.00000000000000915017240788746 0.000000000000469359934605959
"dapA" 1.56400365926978 9.30819637382849 67.2774828734901 0.00000000000000935601198550084 0.000000000000469359934605959
"fadD" -2.52994544407673 8.24865634530308 66.5937186906295 0.0000000000000123605310045007 0.000000000000584096394453869
"msbA" 1.48346387291569 7.82181826830511 66.4819791066334 0.0000000000000129367972193548 0.000000000000584096394453869
"pncB" 1.8335257157364 9.07759913852167 65.2597890301607 0.0000000000000213176793472393 0.00000000000091666021193129
"guaB" 2.80367892524908 9.3310447940756 64.4029378291497 0.0000000000000302911311359185 0.00000000000124331324616975
"fadE" -2.27643353960002 8.98895915862395 63.2592851774851 0.0000000000000484854346132337 0.00000000000190358032416304
"srlD" -2.12030614953239 4.71848181566256 61.2608686184365 0.000000000000110765135193601 0.00000000000416753821165923
"rpsS" 2.62868116363486 10.1897250245955 60.6398731866498 0.000000000000143340205730343 0.00000000000517744823098
"accD" 1.45114251600696 9.03839978196695 60.5291769445295 0.000000000000150089452912013 0.00000000000521272215305952
"gdhA" 2.38321747585488 8.80959951652774 60.3653276563992 0.000000000000160672061028553 0.00000000000537358781884382
"ygeV" -2.17931667000249 7.10797273895183 60.12549294284 0.000000000000177533993480851 0.00000000000572547128975745
"lipA" 1.6388730352267 8.41526872421304 59.6550127779157 0.000000000000215974114046369 0.00000000000672498706840936
"rplW" 2.65183427451954 10.3570258870836 59.4433088632399 0.0000000000002359099464348 0.00000000000710088938768749
"exbD" 1.65305731120596 8.25675984211438 58.972045309297 0.000000000000287209340538773 0.00000000000836613014537135
"avtA" 1.73406976943168 7.83319036053289 58.4237715840996 0.000000000000361227748100481 0.0000000000101933955167104
"argG" 2.06474579807102 8.28500600517012 57.2059326117608 0.000000000000602033044334076 0.0000000000164738133040506
"gabT" -2.55211259806878 9.91561596776017 55.8324468595501 0.00000000000107371144314572 0.0000000000285165127400172
"ackA" -1.86880000988212 9.87980332746811 55.2924927251325 0.00000000000134890914140145 0.0000000000348018558481575
"glnA" 2.41092637178866 10.588924216371 55.151101599602 0.00000000000143205958589846 0.0000000000359208279462864
"hslR" -1.27600380202265 7.93086599453517 54.5842029952508 0.00000000000182072149276563 0.0000000000444354461612802
"gltD" 2.16012906365913 9.74252500214612 54.2189597051046 0.00000000000212586763612597 0.0000000000505173283005725
"ydbC" -1.73109924353044 6.83241643655157 54.0794615614328 0.00000000000225558557994623 0.0000000000522254815049088
"hrpB" 1.0017337720237 6.68263390487805 54.0019063023838 0.00000000000233112480990471 0.0000000000526251425835988
"csiD" -2.87183412445814 10.1832264919045 53.824806483179 0.00000000000251332266926183 0.0000000000553543992766691
"ydiH" 1.92419120442443 8.0918151601093 53.5970519706648 0.00000000000276890294352987 0.0000000000595314132858923
"htpX" -1.47662332413362 10.6635538231127 53.3877898741024 0.00000000000302677945434446 0.0000000000635623685412337
"ppc" 1.85905869080057 10.4851023675085 53.1231547692548 0.00000000000338786719751194 0.0000000000695282745307565
"cyoA" 1.97735602923204 9.9823408793382 52.5737328545081 0.00000000000428237982453085 0.000000000085933088478919
"ybbN" -1.27294649897654 9.76678733738695 51.9337192878722 0.00000000000562940766922067 0.000000000110507720115354
"lhgO" -2.49725375150667 9.48866004269481 51.4446061686349 0.00000000000694081401626694 0.00000000013317450219433
"rplN" 1.88940686979571 11.0840239445788 51.3985906215046 0.0000000000070790433060109 0.00000000013317450219433
"yaeH" -1.62464704827616 8.04775495069476 50.661494865194 0.00000000000971277642016564 0.000000000178992594028767
"fadH" -2.28911170317728 6.30798205272258 50.582198640802 0.0000000000100494476431805 0.000000000181493024435839
"nagE" -1.70800482929621 7.36549490787487 50.4572268660672 0.0000000000106040919932281 0.000000000187754805291862
"pspB" -1.49148218768347 7.74908749025094 49.8305266498601 0.0000000000138875524900067 0.000000000240793210307303
"bsmA" -2.37108096628587 8.80784547725989 49.7898822205865 0.0000000000141329348242382 0.000000000240793210307303
"fadL" -2.44115400088177 8.14831241639516 49.4701133623064 0.0000000000162223888110563 0.000000000269863926439982
"ygaZ" 1.6847112807018 6.25468931964641 49.4396676670531 0.0000000000164368947444064 0.000000000269863926439982
"lpd" 1.77223305361445 11.247301232554 48.6471156995239 0.0000000000231495426910143 0.000000000373286375892605
"cbdA" -1.37882645842672 6.0607792223415 48.5067368719772 0.0000000000245995652982727 0.000000000389708902883162
"pqiA" -0.905321704251522 6.63714028312258 48.4242325227922 0.0000000000254941564961852 0.000000000396917643380263
"gabD" -2.35811178773963 9.95875316577044 47.7512942980684 0.0000000000341303051267599 0.000000000521318021160458
"astB" -1.67491382645294 6.63664401969065 47.7172058938134 0.0000000000346390711734524 0.000000000521318021160458
"ptsP" 1.15532432028743 8.85508446321445 47.5754767636113 0.0000000000368376670014539 0.000000000544903731458396
"priB" 1.83116302014729 9.83342041933069 47.5397897618511 0.0000000000374131022706761 0.000000000544903731458396
"rplK" 1.81329358420315 10.4445884339915 47.2926287204014 0.0000000000416551493263282 0.000000000597057140344037
"rplR" 1.80130685097794 10.3531504973641 47.232618385341 0.0000000000427563044270222 0.000000000603264732775016
"pspC" -1.60160692671294 8.46923181521191 47.1266661493826 0.0000000000447726165380697 0.000000000621994965136568
"ykfB" -0.998228776548665 7.13184171565339 46.4862473164139 0.000000000059174541241884 0.000000000807879045047736
"ydcJ" -2.33414156596232 8.76937803914586 46.4421502570594 0.000000000060323300643685 0.000000000807879045047736
"yjgR" -1.19844082453494 7.10519439813729 46.4227057905697 0.0000000000608369602029303 0.000000000807879045047736
"astD" -1.75775399077522 6.82367502327079 46.3827638972736 0.0000000000619059700040974 0.000000000810160737879709
"ycjF" -1.19676320743211 7.61919136863085 46.2898726413697 0.0000000000644659465297022 0.000000000831610710233159
"aspA" -2.27379105792156 9.85194856498102 45.7785304469108 0.0000000000805946178098817 0.00000000102502732228624
"hslO" -1.19308911104648 8.92990133563641 45.4636778657762 0.0000000000924923117543695 0.00000000116000774325272
"murA" 1.51680919600051 8.07069970321935 45.2926688366201 0.0000000000996812348637991 0.00000000123304322030151
"aspC" 1.71723849442672 9.49233025215972 44.9975387444966 0.000000000113439084906227 0.00000000137394220819426
"rfbA" 1.63551799447757 7.31909636519356 44.9839892070388 0.000000000114114801345038 0.00000000137394220819426
"cyoB" 1.88620527175823 10.6849003904011 44.9488791157075 0.000000000115884687096575 0.00000000137689305852905
"icd" 2.09527604013891 11.627002871658 44.8577963898042 0.000000000120606254880418 0.00000000141438244359763
"ypfJ" -0.928400180017387 8.13759672934254 44.750040581835 0.000000000126443292993683 0.00000000146382427658071
"rseA" -1.41346498492914 10.2893896983866 44.2491483077357 0.000000000157548171750777 0.00000000180083543153104
"lrp" 1.21650910218319 8.53726779943451 44.1832464847683 0.000000000162178529856554 0.00000000183059015575586
"mtn" 1.15648328051543 7.93126585713603 43.8951147409658 0.000000000184089923400594 0.00000000205226173865107
"gph" 1.35270146041942 7.31176789853931 43.6981306497221 0.000000000200765662278058 0.00000000221087064679374
"nhaA" -1.22878650634067 9.26050391953108 43.4050198829814 0.000000000228442138710945 0.00000000248534037657811
"yafK" 1.44433989647716 7.15811571212289 43.3323822726526 0.000000000235876500646271 0.00000000253567238194741
"ycjX" -1.25902066286549 8.97823599671755 43.0716639009439 0.000000000264628526773272 0.00000000281128893736782
"panC" 1.31596993823795 8.24543442392065 42.8566759349392 0.000000000290979730930077 0.00000000305528717476581
"rpsF" 1.79108476994879 10.8009494252727 42.6628909769863 0.000000000316993747686905 0.000000003280908742313
"rplB" 2.05746563066228 11.7405914536816 42.6434180474563 0.000000000319734185297391 0.000000003280908742313
"pspG" -1.41484037961923 8.57253044978823 42.5473200690901 0.000000000338962247995479 0.00000000343913381954963
"ppsA" 1.29383668261645 9.03530416220491 42.4013710779664 0.000000000355859908001612 0.00000000357046107694951
"rplV" 2.13551277210059 10.4431456518274 42.2861006459139 0.000000000374484270369652 0.00000000371603622136039
"manZ" -1.57740316503285 8.96745159081967 42.0758666881956 0.000000000411020876263063 0.00000000403425925288637
"fmt" -1.03517515642873 8.85907230072643 42.0281783053704 0.000000000419796904573996 0.00000000407609252505719
"serA" 1.78554923495627 10.7733419091961 41.9854480728899 0.000000000427820895441356 0.00000000410981136791005
"dtpB" -1.02965860280487 7.14700320698774 41.9593565340827 0.000000000432796295243911 0.00000000411384268005528
"rplX" 1.76241800859447 10.7984391911122 41.4293697872616 0.000000000547505855912173 0.00000000514997695717388
"pqiB" -0.805811829145988 7.006367896265 41.3345380097737 0.000000000571057458306397 0.00000000531613283351213
"tldD" -0.889871060548166 8.85985089957153 40.680812783058 0.000000000763738780200129 0.00000000703730733184405
"sbmC" -1.11797453437134 7.33113885887518 40.5636999768055 0.00000000080463197305591 0.00000000733921890575239
"tyrB" 2.29514495472714 8.65803557846542 40.5014569081967 0.000000000827257333999059 0.0000000074701337260115
"rpsP" 1.57793822935468 9.36984882617785 40.2761167353063 0.000000000914670912054015 0.00000000817770132262154
"astE" -1.50697627173465 5.16133252633794 40.0451375495273 0.00000000101395569109391 0.00000000897649008880196
"ibpB" -1.74099810961209 8.18906256984323 39.6497837540471 0.00000000120979584727081 0.0000000106062684474324
"ubiG" 1.2317588790178 6.6489691283814 39.6235942475277 0.00000000122404255169658 0.0000000106279848479039
"hda" 1.88725339997385 5.86710903378477 39.509119426089 0.00000000128832823878413 0.0000000110796228535435
"ompC" 1.93659257604534 11.8024147543037 39.4236129405727 0.00000000133855863251087 0.0000000114030041995973
"topA" -1.37154453402259 10.4825530764128 39.3658881961901 0.00000000137358107097119 0.0000000115919972624952
"secE" -0.951200833220015 8.56969583498726 39.0599938493092 0.00000000157519968899669 0.0000000130985863026038
"fimA" 1.67515035534309 9.02253548766918 39.1134206233171 0.00000000158111396122238 0.0000000130985863026038
"lysP" -1.12364827153099 8.37997529467068 39.0090377575028 0.00000000161157584163856 0.0000000132295725909056
"ydhQ" -0.954343630204704 8.84322231842003 38.5749821745059 0.00000000195788802277939 0.0000000159276836447729
"lysS" 1.39784409511545 9.74316356368884 38.54995067993 0.00000000198000945171122 0.0000000159638262044217
"macB" -1.11668734761668 8.58571145888491 38.5022246971151 0.00000000202288793765685 0.0000000161652018380897
"yibT" -1.47680509764884 8.22446033247948 38.1667657967889 0.00000000235190629519627 0.0000000186295735487915
"rpsH" 1.65125161940441 10.5329349088868 37.8373888798644 0.0000000027274909259355 0.0000000214167330966935
"osmF" -1.28338370860933 7.63824695595702 37.7287772236411 0.00000000286416648877429 0.0000000222960546496826
"csiE" -1.94612113448646 9.89035737469634 37.5322329162117 0.00000000312930342179243 0.0000000241518033322954
"yjfF" 1.6545683716594 5.71167454933212 37.2535752640882 0.00000000354822037901432 0.0000000271529067987282
"rpmB" 1.56387159584788 10.4984593811239 37.1890723105244 0.00000000365299459284938 0.0000000277197824986806
"metG" 1.48218748519216 8.97126128455907 37.1506633351613 0.00000000371686016184769 0.0000000278736447907728
"purA" 1.52464118438895 11.0419270276524 37.1398713470526 0.00000000373500666631618 0.0000000278736447907728
"arcA" -1.43651728173218 10.0236237140506 37.037291298956 0.00000000391201767528076 0.0000000289553439408076
"can" 1.1564777019261 9.30065829535253 36.8219145788438 0.0000000043116995335207 0.0000000316541843802373
"rimM" 1.5482414049977 10.8672421749659 36.7530932180291 0.00000000444790731689646 0.0000000323908089286896
"cspC" -1.74767217335952 9.69847813307082 36.0954639405896 0.00000000598974136856432 0.0000000432698916465087
"nlpI" 1.19947700053353 10.1479198833432 35.93366482678 0.00000000644554186851268 0.0000000461930500576742
"tatB" 1.09466868055142 7.23663545282684 35.7620333248811 0.00000000696736336855164 0.0000000492135213642796
"rplF" 1.63498364647209 11.2316496958403 35.7526778534735 0.00000000699700225171374 0.0000000492135213642796
"pspA" -1.75148763477588 11.2649777293723 35.7259861261836 0.00000000708226469222374 0.0000000492135213642796
"malY" 1.16396474371667 5.96862900663669 35.7251342463731 0.00000000708500307569916 0.0000000492135213642796
"ychH" -2.21985060833367 11.0164551003198 35.6465185566795 0.00000000734236719467916 0.0000000504487655054439
"cspD" -1.78787838095463 10.5847493927755 35.6368778477605 0.00000000737457037288882 0.0000000504487655054439
"ispG" -0.731586827171966 8.93292600120103 35.5864377696506 0.00000000754539437889999 0.0000000512292565725315
"lptC" -0.878413147184513 7.45600706689009 35.5480116742845 0.00000000767820501530696 0.0000000517419337971805
"katG" -0.988601917836032 8.50389158395794 35.1686005706615 0.00000000912310258977124 0.0000000610234195449143
"kdsC" -0.750227710187041 6.9226727526254 35.1105834555871 0.00000000936705481079961 0.0000000621944889275886
"cstA" -1.72811168528175 9.1316830811609 34.6518039273394 0.0000000115430801989759 0.0000000760832220414251
"dnaB" 1.28936883408091 7.63798114450396 34.5638845472573 0.0000000120150535261952 0.0000000786202415518423
"xerD" -0.740618478305886 6.56901942222402 34.470285221847 0.0000000125389386769658 0.0000000814579973043175
"atpB" 1.46323307879145 9.3575833904251 33.9916279554585 0.0000000156011163725424 0.000000100627200602898
"grpE" -1.36299244214075 10.2856704612664 33.8386364110152 0.0000000167311204948611 0.000000107150367424536
"rplE" 1.69942018226647 11.6005160106969 33.7578449363704 0.0000000173608088390373 0.000000110400073110216
"manY" -1.49354237124978 8.80284618557876 33.6560241637494 0.0000000181885748840325 0.000000114855126715254
"ybaP" 0.987736846558469 5.75371940742903 33.537046278088 0.0000000192064242609311 0.000000120440285469589
"mraZ" -0.898516123772827 7.52604325695144 33.4088084504591 0.0000000203679623671989 0.000000126843241500556
"yobF" -1.9878602313448 8.61796385544626 33.0753989706775 0.0000000237307030715585 0.000000146424693832806
"ybiT" 1.00124088794053 8.08438793936257 33.0656927643051 0.0000000238365780658056 0.000000146424693832806
"mreB" 1.16997912204343 8.98485483712954 32.9706152758512 0.0000000248992169989288 0.000000151918871284005
"aldB" -2.17266675284876 9.84365770491841 32.9423885658079 0.0000000252238025455871 0.000000152582537643557
"dadX" -1.23690436109557 9.31897053580076 32.9318622965568 0.0000000253459364856408 0.000000152582537643557
