"logFC" "logCPM" "F" "PValue" "FDR"
"lacZ" -7.34607103403942 10.9367022362654 172.656837072707 0.000000000000000000000000000000607469828265787 0.00000000000000000000000000222212463179625
"lacY" -4.04598629516689 7.33172258451568 101.716237354627 0.0000000000000000000146433154839646 0.0000000000000000267826240201712
"cspG" 1.44456489662235 3.85025147197716 35.5315444714145 0.00000000766482264388217 0.00000767448547512175
"galT" 0.950008159006974 6.00609014435724 35.3322463708946 0.00000000839200161303636 0.00000767448547512175
"galE" 0.962245741539275 6.70459246164129 34.3292460339187 0.0000000132567749441026 0.00000969865654910544
"narK" -0.832452069704779 5.77172118329223 30.8870746641519 0.0000000651417994697857 0.0000397147837434127
"nirD" -0.982793486599404 2.86217560882176 26.577272071925 0.000000484238591926841 0.000253049252752626
"narG" -0.659002251660713 7.17976734884691 24.5825117367795 0.00000124673569567685 0.000570069896848238
"maa" 1.13413112786439 5.20565548615673 23.926516430629 0.00000170482679323283 0.000692917378849521
"galP" 0.755283169525628 6.99414625134833 22.8434383820592 0.00000286423784377791 0.00104773820325396
"ylaC" 1.12603830465715 5.32983712701085 20.4578354553096 0.00000907095551233251 0.00301650502401021
"ygaV" 0.918446205614344 2.88783573040207 20.1148955604645 0.0000107185306647845 0.00326736543098182
"arsR" 1.21809109599691 2.50850926237819 17.5897865618252 0.0000369908805436486 0.0104086646945128
"ygiS" 0.798354663284803 6.11648714749613 17.4278944593366 0.0000400731193974611 0.0104705336254223
"nirB" -0.789754091147781 8.2000615195082 17.1069165697454 0.000046975137178441 0.0114556701199158
"ycjM" 1.12448818125012 1.75082464682498 16.3085251847372 0.0000700370007541379 0.0160122092974148
"yfiM" 0.508451013856868 5.97790806786214 12.8929141414797 0.000390458306635436 0.0840174403336721
"cspA" 1.14563560278388 7.81952915105548 12.4663069136645 0.000485585118725993 0.0986816869055379
"aer" 0.501463610879358 5.02821075186958 11.4883458720163 0.000802809085621933 0.154561875537107
"ygaP" 0.554211243282081 4.087637572263 11.029436520375 0.00101794144418725 0.186181490141848
"yhjX" -0.770417290277177 7.92122453614486 9.96164012520801 0.0017758326062788 0.309333127322278
"feoC" -0.613194404058809 4.25984074325876 9.36381612927922 0.00243153346378352 0.404297700478187
"cydB" -0.472819755875651 9.12507526154353 9.05720492289291 0.00285911504885442 0.454723602117803
"galK" 0.399052381479758 6.54363953725965 8.41232419366994 0.00402756909330125 0.613868655970665
"yiaD" 0.628502723557018 4.06879092774704 8.09102667092245 0.00478234605387235 0.699752874602602
"arsB" 0.540281244452875 3.97241148953467 7.91130032154837 0.0052663541651527 0.74093552062033
"sthA" 0.580112617764975 8.16918657421472 7.69608033687236 0.00591270283008995 0.801061738980334
"yagN" 0.451465161388687 5.63383344627589 7.05127754893858 0.008382530838962 0.999560240411811
"yagA" -0.804652318929045 3.42047659635747 6.99084376426309 0.00867345774334289 0.999560240411811
"fimD" 0.931499111081203 4.90303280197151 6.90262208316953 0.00912370322508343 0.999560240411811
"yacH" -0.29910898556864 5.22322540076833 6.89247910157569 0.00913994757136049 0.999560240411811
"dhaM" -0.369360109861004 7.84641692530032 6.63420717666932 0.0105259078278252 0.999560240411811
"yejG" 0.671719828437241 7.21997519997822 6.62654159736305 0.0105702097146382 0.999560240411811
"yfbP" 0.917115003097226 2.85464956859394 6.46197983474699 0.0115691443721542 0.999560240411811
"torY" 0.748982650474922 1.83690849469169 6.36126401607721 0.0122281548535238 0.999560240411811
"mazF" 0.324830035177797 5.29576799723139 6.34898592791416 0.0123111055489622 0.999560240411811
"xanP" 0.641437371668398 7.28298876058397 6.28427962137991 0.0127579742898463 0.999560240411811
"ghxP" 0.59872802709615 7.09028879603268 6.24361485420737 0.013047362267799 0.999560240411811
"yfhH" -0.487446041003007 4.46167127607169 6.19161932089471 0.0134273065993595 0.999560240411811
"tap" -0.779698243606506 2.25711148377523 6.18913452359932 0.013445747726625 0.999560240411811
"trxC" -0.405261738345406 5.95405607097238 6.16571164218592 0.0136208759447411 0.999560240411811
"wecD" -0.391916195868792 5.31212727590652 6.14034197814184 0.0138132253042899 0.999560240411811
"cybB" 0.434043614114585 5.86604205587703 5.95670291173638 0.0152921585293206 0.999560240411811
"ybjM" -0.366183755010597 4.70742748405107 5.92942290015584 0.0155254696594213 0.999560240411811
"opgE" 0.387072593925573 4.80273931847368 5.89916895823283 0.015788535695675 0.999560240411811
"ccmE" 0.672503680662887 2.71840665830439 5.8986144302208 0.015793400366713 0.999560240411811
"pqqL" 0.805682476186252 4.81866931925898 5.73699165045535 0.0172797039399936 0.999560240411811
"hypB" -0.461767953018023 4.03035607321981 5.68490948606011 0.0177890120245798 0.999560240411811
"alx" 0.437842546277856 6.31883407647921 5.6672740571459 0.0179649804700542 0.999560240411811
"purK" 0.687259714233198 7.8611268268742 5.66231541406659 0.018014783382708 0.999560240411811
"rfaH" 0.413122608670157 5.27120935491955 5.63660590561369 0.0182753104746408 0.999560240411811
