"logFC" "logCPM" "F" "PValue" "FDR"
"pspG" 1.42233812856412 8.56860917300358 24.569932207289 0.00000126122159481353 0.00275924809393711
"ldrC" 1.3284921121489 2.9494813583794 24.2014461913049 0.00000149471727732238 0.00275924809393711
"thrL" 1.23980689396642 6.88548819489566 17.7229609151512 0.0000346309341394135 0.0426191362809049
"mdtH" 0.695890458283282 4.51591043559464 16.8535711765402 0.0000532573002546932 0.0491564881350818
"pspD" 1.15068168750946 7.70290674381207 14.8699196041118 0.000143455094607128 0.0925907360023602
"satP" 0.533158239790556 5.57319765860227 14.0715216984647 0.000214563593186981 0.0925907360023602
"torI" 0.98880821088306 3.82471064592825 14.0131883685868 0.000220988450387729 0.0925907360023602
"yciY" 1.09024987682415 3.9459902599388 13.988472933917 0.000224237334096734 0.0925907360023602
"yoaF" 0.726257871797719 3.79655748989463 13.9714174874791 0.000225708728066425 0.0925907360023602
"yjeI" 0.500299406967756 7.04684611181418 13.5358403291321 0.000281469670823842 0.103918602468163
"fimI" -0.636376462459731 5.44154943507622 12.9855286169837 0.000374503747995104 0.125697076145266
"yncJ" 1.12526347346809 4.3290746806958 12.75617402679 0.000418654509801897 0.128806037515717
"rhsD" 0.50644018617545 5.33905428067313 12.3555919975829 0.000513879172653229 0.145941685033517
"KanR" -1.92885788884736 13.0697020101705 11.8711200246705 0.000692438096893423 0.16499281746132
"fimC" -0.767562530186128 4.18835342593055 11.4474332395608 0.000827490470910119 0.16499281746132
"ilvL" 1.1122214225167 4.45987732204202 11.386686195434 0.000846035151177497 0.16499281746132
"idnT" 0.507378784380907 4.24956395804312 11.3782241475445 0.000849743001881508 0.16499281746132
"ydbJ" 0.504044548223189 6.65837358540497 11.3385703439959 0.000867339810910297 0.16499281746132
"alsC" 0.973624348685037 2.32911549981627 11.301686473448 0.000885297389880637 0.16499281746132
"eamB" 0.79923947496032 3.60794416618924 11.2071251017613 0.000928367160715209 0.16499281746132
"yqaE" 0.81342538810149 5.54856311386751 11.1862064281943 0.000938474855549218 0.16499281746132
"fimA" -0.651152449548931 9.0252345308844 11.0028055241092 0.00103486145064847 0.173668567081553
"gspB" -0.746338381163707 2.85906878730795 10.849990378994 0.0011172118753886 0.179336793214553
"mcrB" -0.636942304990458 3.91674411955859 10.280751675377 0.00151419918178813 0.232934307465074
"yjeH" 0.355103072597241 5.9230660294645 10.1251312200312 0.00163007388490985 0.240729311323486
"rmf" 1.37822723010255 10.0339732558617 10.0207478793677 0.00172160438482252 0.244467822644798
"ydhW" 0.885555208889025 2.61813494226608 11.2463336165256 0.00182240940368822 0.249197611793219
"ybgE" -0.397027445361307 5.95099516963124 9.69226684471452 0.00204534549073971 0.269693412564678
"alsK" 0.571761820991235 3.64911058281643 9.60751012812572 0.00213854580618291 0.272259004014735
"priC" 0.451550036880448 4.72049619177601 9.28744118762109 0.00253140477322782 0.305506920514885
"hyuA" 0.797166782483528 2.67366285729556 9.26232152011082 0.00256519895340234 0.305506920514885
"fimD" -0.587505461179378 4.90323916991686 9.06127684354408 0.00287018913273035 0.323941049929765
"mntR" 0.383522155072852 5.62272192706077 9.03325767733433 0.00289546442244914 0.323941049929765
"hicB" -0.512183652906444 4.39761992112721 8.85837296144597 0.00317665872857296 0.344947765467393
"flgE" -0.677071899067669 4.53794253053631 8.71502815646743 0.00342789060855024 0.353113265862416
"ligB" 0.585410133897072 3.56513002900206 8.70667588661822 0.00344314127059777 0.353113265862416
"flgG" -0.689117065841683 3.78918889965226 8.6438344680868 0.00356013461735006 0.355243702898822
"betI" 0.597010522507391 5.52105099389931 8.50552535021314 0.00383217633714097 0.37232618517696
"yrbN" -0.574545554157789 4.51369252570412 8.32794828005271 0.00421295238977214 0.392592743191604
"waaY" -0.589327542329234 3.9544838595009 8.22925671684151 0.00444112001038155 0.392592743191604
"uhpC" 0.58447114537215 3.81929069430633 8.16354072882842 0.00460003930717512 0.392592743191604
"ynhF" 0.8174978158992 2.54452532354649 8.14238480218168 0.00465243108360343 0.392592743191604
"torS" 0.440023889364067 4.27885981473214 8.09032193612185 0.00478398346837402 0.392592743191604
"yjdP" 0.501991625439184 4.02580871940121 8.08574566604628 0.00479572761959151 0.392592743191604
"yigI" 0.49031969003071 5.16785005752023 8.06086485142552 0.00486009889640804 0.392592743191604
"ynjC" 0.468617395031423 3.85072723541233 8.04886571395224 0.00489145888050211 0.392592743191604
"yjhB" -0.777115731433744 2.43509552807046 7.90119632292063 0.00529483339181809 0.410015707234856
"rpmD" -0.536448783738801 8.91502209583231 7.79649522077256 0.00560138515289749 0.410015707234856
"ypfG" 0.430171290987027 7.02679365984114 7.74028068460517 0.00577343152938509 0.410015707234856
"yhaL" 0.53591827973228 4.12237122526184 7.73365783827502 0.00579405508798037 0.410015707234856
"yeaQ" 0.823242590409523 6.14990795964168 7.71037277992858 0.00586716718532818 0.410015707234856
"waaQ" -0.359240422976131 6.74047025501927 7.69532481504888 0.00591491910117923 0.410015707234856
"yigM" 0.40930717974554 5.4283395452828 7.67865899501258 0.00596827093367931 0.410015707234856
"yidQ" 0.441329964725948 6.28195120675332 7.62712245460039 0.0061364018198923 0.410015707234856
"yahI" 0.858653214347699 2.34233106316826 7.60105358318807 0.00625599562107318 0.410015707234856
"ygaM" 0.780337551513814 8.53944637683232 7.57608020349352 0.0063077180798285 0.410015707234856
"rhtB" 0.475957546129315 4.37129556488134 7.5695039177161 0.0063301449925208 0.410015707234856
"ybdJ" 0.554136040676205 4.17624007412515 7.51385910339815 0.00652321910100081 0.415236636567155
"dsrB" 0.639261836689107 4.9254279755507 7.48183317190542 0.00663707470470882 0.415323386606525
"slyX" 0.45882350857263 4.86143378211827 7.37732006159786 0.00702304398007511 0.426968991370495
"fetA" -0.39786399417268 4.11603736257093 7.35077859275767 0.0071246872654371 0.426968991370495
"pspB" 0.736017776617693 7.74135738846792 7.33904107688489 0.00717011848997039 0.426968991370495
"cho" 0.415656757825798 4.46786835276334 7.22535905237214 0.00762586111251458 0.44405557837029
"mgrB" 0.576646117268453 4.67504734677422 7.14892380539166 0.00794894850744738 0.44405557837029
"yjhG" 0.406830434737952 4.98088742419215 7.10144220177056 0.00815671323617631 0.44405557837029
"marR" -0.452924042627394 3.6275684814967 7.10072104390736 0.00815991153927346 0.44405557837029
"hyfF" 0.583974640800528 3.45217207596092 7.04242346819083 0.00842277719806967 0.44405557837029
"yciN" 0.452316303461063 6.01893687812038 7.03229727640075 0.00846931790547637 0.44405557837029
"yhaH" 0.506942127867895 6.79361806236833 7.02836709825985 0.00848745255112401 0.44405557837029
"ybaZ" 0.392604454705325 5.07955119059648 7.00215557454142 0.00860942503616158 0.44405557837029
"yafO" -0.746300280440355 2.11283001350963 6.96913660636882 0.00876564925363558 0.44405557837029
"waaO" -0.387733105510323 5.48361928897774 6.95539587457836 0.00883151912832742 0.44405557837029
"ydcY" 0.442824865563303 6.27974707263018 6.88647443488647 0.00916969090628174 0.44405557837029
"glgS" 0.734814414527874 5.9239542358396 6.83247016032671 0.00944397800793464 0.44405557837029
"betT" 0.422918229878004 6.63337312885781 6.82336783643118 0.00949103495029006 0.44405557837029
"yjcZ" 0.672268038617163 2.45339125537727 6.81735549954776 0.00952224986223335 0.44405557837029
"marA" -0.460420043613108 4.24717381964269 6.79337530646402 0.00964780717207255 0.44405557837029
"rtcA" 0.424543954943702 5.06995649015081 6.78669252846923 0.00968310059193329 0.44405557837029
"ydhZ" 0.700061030013115 4.08055464453187 6.77182544176021 0.00976209571510202 0.44405557837029
"yciE" -0.624137816372396 5.16550274337723 6.76382103219554 0.00980490143575861 0.44405557837029
"casE" -0.600103186791202 2.7976862222872 6.72855508425859 0.00999581315148914 0.44405557837029
"mazF" -0.31679718330947 5.29563681208822 6.71517235085738 0.0100692602192414 0.44405557837029
"allA" 0.722159165676046 2.25272812249704 6.69026813772545 0.0102131387525954 0.44405557837029
"opgG" -0.347752956480159 8.93413465126986 6.68525983174223 0.0102354456435307 0.44405557837029
"asr" 0.844757438460209 3.83267452048843 6.63902792973196 0.0104978840305348 0.44405557837029
"yheO" -0.312170638805719 7.26265305723603 6.62408284332039 0.0105841979930493 0.44405557837029
"cyoD" -0.465447642664433 8.05620221302072 6.61162779940165 0.0106566903373716 0.44405557837029
"ydjX" 0.732923056275473 2.64565540617039 6.60781720015975 0.0106789714666119 0.44405557837029
"yceI" -0.398681835224789 5.58918247161404 6.60006051212327 0.0107244746254075 0.44405557837029
"yegE" 0.29217850399743 6.80418899922209 6.57538965116815 0.0108705367251117 0.44405557837029
"yfbK" 0.863361128684552 2.60731163486161 6.56293837145943 0.0109450318612395 0.44405557837029
"minE" -0.380689620888465 6.02718024472977 6.5073096485292 0.0112843484516107 0.452845809601593
"uof" -0.526837130457764 4.36699824860419 6.41219405337954 0.0118899133491212 0.472016775107047
"rcnB" 0.397301229316927 5.19683066053896 6.39216865953882 0.0120216303320253 0.472168714742951
"envY" 0.672356917226904 2.69445611705383 6.36781539411665 0.0121901058277294 0.472367764652683
"yaiE" 0.424586405838657 6.69582600761986 6.3228287969507 0.0124894828380622 0.472367764652683
"cydX" -0.485257737037842 3.76674134649339 6.31403739661895 0.0125501307459957 0.472367764652683
"pspC" 0.639094277464825 8.46630862988324 6.29793732534189 0.0126619885855985 0.472367764652683
"fepD" 0.437535066045865 5.52183460289365 6.2973030700195 0.0126664162244354 0.472367764652683
"wbbK" -0.493013157330085 5.40920463084896 6.24872436674306 0.0130103395101213 0.480341734713679
"flgK" -0.387077390281023 4.18067538869974 6.206118196069 0.0133199278326271 0.482965867745984
"ppiC" 0.430124844830443 5.35860336638695 6.20297811168066 0.0133430440168176 0.482965867745984
"clpS" 0.301227486838659 7.31858260520109 6.12755291371302 0.013910952913589 0.498633380164764
"yaiO" 0.67913587793952 3.82216843541002 6.1077429399528 0.0140642197525247 0.499279801214628
"yadG" -0.309568425795957 6.71410881422783 6.04986916708923 0.0145220761122271 0.499901881018687
"dsbB" 0.307178111312821 6.12380563579807 5.99003117925171 0.0150117306293066 0.499901881018687
"narV" 0.737853082569362 3.78976564768588 5.98335692938835 0.0150673965191994 0.499901881018687
"ygdR" 0.665423634605663 6.49370367879493 5.97090406476306 0.0151718309611513 0.499901881018687
"yrbG" 0.268243260584263 5.9538520117321 5.95953278518617 0.0152678501047005 0.499901881018687
"fliL" -0.735630935264276 2.21504667928004 5.93992922531675 0.0154348642826232 0.499901881018687
"ydcO" 0.451155584163575 3.88271702688399 5.93619389699629 0.0154669019310856 0.499901881018687
"ydcZ" 0.359579202456624 4.6511167944881 5.92963995291209 0.0155232813409061 0.499901881018687
"yfeR" 0.400224613101927 4.00176066646458 5.92595045028012 0.0155551134672298 0.499901881018687
"folX" -0.305145175179902 6.19321306834193 5.90745971549007 0.0157156695440718 0.499901881018687
"ygaV" 0.725566715604504 2.88777065974803 5.90726314747362 0.0157173855547828 0.499901881018687
"ydhL" 0.601467893086071 3.96537749905176 5.90150533828736 0.0157677366933032 0.499901881018687
"ygjV" -0.436239156544023 3.38829356232506 5.88668258300521 0.0158981303635356 0.499901881018687
"glrK" 0.266226588015527 6.26150885463081 5.8667269024696 0.0160754460970573 0.499901881018687
"rfbB" -0.394051065448286 7.76793805118149 5.84892792338221 0.0162353290602482 0.499901881018687
"yjhP" 0.605888688448465 2.67762268666148 5.8398224488275 0.0163177577084434 0.499901881018687
"cyoC" -0.475422703466516 8.75409598354549 5.81477926691027 0.0165467114582885 0.499901881018687
"hofC" 0.469820950966474 3.28426708408453 5.80410598826704 0.0166453009811218 0.499901881018687
"atoB" 0.563641159592153 3.91386486915871 6.26332816963702 0.0168915343774717 0.499901881018687
"prfB" -0.356408612821522 6.45516849250431 5.75357818608562 0.0171203705022671 0.499901881018687
"lptA" -0.276342449251431 7.70262289046032 5.74262300762869 0.0172252163760674 0.499901881018687
"dsbC" -0.242714404342802 6.69188121360075 5.74130463876337 0.0172378786037988 0.499901881018687
"leuL" 1.03323922496678 1.17973059386692 5.74378773703902 0.0173350007335291 0.499901881018687
"vsr" 0.428899380635167 3.34882733166186 5.73016642557344 0.0173452416471852 0.499901881018687
"citE" 0.857189559724721 1.95829463551366 5.71840825156578 0.0174667775328848 0.499901881018687
"glnH" -0.382936046176883 8.62368906010912 5.6954718542647 0.017684140134741 0.502028590803571
"yjaG" -0.282458240481517 6.54012341191892 5.68245666504018 0.0178130404645904 0.502028590803571
"ydaU" -0.601133005158742 2.7672795843692 5.61810820486326 0.0184648320925753 0.5143025872689
"yjiJ" 0.375003470930421 4.17400410086728 5.59516127458277 0.0187608069595601 0.5143025872689
"pspE" 0.545175882628961 8.87594700309813 5.58820874967645 0.0187760725962831 0.5143025872689
"yfdK" 0.592380894261187 3.23080287290646 5.58538419976142 0.0188057554933103 0.5143025872689
"rfbC" -0.453419624373648 5.49854751111196 5.55439641725779 0.0191346246030124 0.517669311322717
"casC" -0.502870164259392 3.08952512093614 5.54743826541412 0.0192092891796349 0.517669311322717
"yrdB" -0.311093640792843 4.84859340783351 5.50669484353356 0.019652611010306 0.525778549638042
"holE" 0.400870894639197 5.16769203472348 5.4453456291285 0.0203403221873087 0.540262370615422
"rplX" -0.567321683983856 10.8021854953007 5.4306926019092 0.0205082545694183 0.540831970502087
"yahD" -0.48345914299248 2.68958241545202 5.38278255163343 0.0210674785053154 0.543898847992182
"gntX" 0.287310576714808 6.01863184681885 5.38143529968497 0.0210834317391403 0.543898847992182
"mmuM" 0.395666045476729 5.37794491229353 5.37038814251993 0.0212147200695951 0.543898847992182
"seqA" -0.25697712590295 7.50653639471952 5.36957126652775 0.0212244618589111 0.543898847992182
"hrpB" 0.244422871623382 6.68647153605781 5.3550330341914 0.0213986214921708 0.543898847992182
"trkG" -0.422117737352728 3.44678867696633 5.34592739686093 0.0215084593193008 0.543898847992182
"umuC" 0.421316888442637 4.10504109611004 5.26143438577622 0.0225561237523351 0.560917879505146
"rpmJ" -0.470763438228063 9.6580495209467 5.25465475126288 0.0226424606119294 0.560917879505146
"smf" 0.32613016017127 5.98694330687909 5.24708544243464 0.0227392609916219 0.560917879505146
"dctR" -0.400332736727384 5.04919978666363 5.24319452473183 0.0227891879538927 0.560917879505146
"gfcC" 0.838468082690024 1.64645998434607 5.2081679615505 0.0232438172059153 0.565623493951176
"tatE" 0.45168336894548 5.21982558068835 5.20489537534436 0.0232867743988566 0.565623493951176
"yqjK" 0.446322379858694 7.82928001138386 5.17747087515309 0.0236500301920525 0.567548659475769
"chbR" -0.447998976563873 3.37610600376892 5.1757155182057 0.0236734814624237 0.567548659475769
"thiP" 0.365694968446686 4.6159088164404 5.14073559916851 0.0242102102283817 0.573581866100218
"narH" -0.371953084693881 4.69707516276548 5.13415624805637 0.0242358534971923 0.573581866100218
"flgA" -0.549170819670333 3.00428813791063 5.09749290663934 0.0247435531415703 0.581867504450175
"cadC" -0.449668120178623 3.8813943039128 5.08344238093071 0.0249410518931785 0.582799769554526
"ynfA" 0.513643496998095 3.26283709403291 5.05339464790621 0.0253689586151189 0.583103277514539
"cyoA" -0.507872600931379 9.98548187306561 5.05118253043383 0.0254007627492425 0.583103277514539
