"logFC" "logCPM" "F" "PValue" "FDR"
"uhpT" 1.04758403177933 5.61233894482907 37.8484226633872 0.00000000268863689030715 0.00000946937912766178
"degP" 0.917763930745295 9.65777810087169 21.8392173861284 0.00000464690312491587 0.00769785489655419
"alx" 0.907050636974407 6.31880862933666 21.1271995745795 0.00000655694624919437 0.00769785489655419
"zraP" 1.24229875999436 3.49116928801477 16.496165965844 0.0000638092523978683 0.056184046736323
"Actuator_YFP" 2.12615370168894 15.8101370520888 16.0835378306152 0.0000851452064832334 0.0599762834467896
"eutK" 1.08218899574183 3.76363160116286 15.4789097002908 0.000105714361657422 0.0620543302929068
"araF" 1.08007140610496 8.26889627899181 13.2530572282789 0.000325666008335922 0.163856525908445
"yeaY" 0.492095472538487 7.62653497039518 12.798565497953 0.000409775535635532 0.164543713810407
"araG" 0.8967357445538 7.7886388763934 12.7481185004585 0.000420469456074294 0.164543713810407
"tatD" 1.14603637762784 4.76063686545051 11.558001306363 0.000884958548298672 0.311682400710792
"yjhQ" 1.06837812556258 2.05548873761692 10.593393499251 0.00127687282473254 0.408831462609818
"ybaQ" -0.536731826304144 6.59394266821215 9.93387122714039 0.0018020149782574 0.528891396118545
"rhmT" 0.792633399846866 3.13855116584445 9.54181986603498 0.00221403211860881 0.599832393980017
"mgtA" 0.970370606491127 8.09155927606395 9.30634706796322 0.00250657074459909 0.622067883532104
"dgt" 0.564123463541319 6.10954638576007 9.20143224195138 0.00264935214451492 0.622067883532104
"hisG" 0.655191816821119 7.57298480726209 8.94740358207509 0.00303051779061748 0.667092728659672
"ymfI" -1.45648343756615 3.86161908427035 8.58610185451169 0.00369192263742189 0.74695096023421
"envZ" 0.730560372775855 5.59583984702077 8.32045234153639 0.00423026840841814 0.74695096023421
"ulaE" 1.2751516911705 2.695110946002 8.13757658180065 0.00466486372611366 0.74695096023421
"hyuA" -0.964304501643441 2.67368869048995 8.10239041416249 0.00475359831724845 0.74695096023421
"yceH" 0.417914596859489 6.69546079046628 8.08636580802399 0.00479458183583614 0.74695096023421
"cheZ" -0.769033947939481 3.26307165202633 8.8938418062932 0.00484622648837252 0.74695096023421
"yhiI" 0.48831446517894 6.79019857292367 7.9594542742879 0.00513223464407309 0.74695096023421
"yggN" 0.368014145981969 6.71595371556264 7.94967561007103 0.00515924253587903 0.74695096023421
"ybiU" 0.491951414711263 6.2561394871843 7.89883201566136 0.00530203691250859 0.74695096023421
"yceG" -0.479291510157386 5.66189001541757 7.79213780664158 0.00609448754475667 0.825568658947423
"yraN" -0.813126072688965 4.81618638717958 8.47134513783443 0.0069621240804198 0.869461191047413
"ldcA" -0.415578993337555 5.78747319943539 7.34893436279883 0.00713236810268542 0.869461191047413
"usg" 0.472598702409888 7.21758727155975 7.34202428454981 0.00715910691095257 0.869461191047413
"hisD" 0.579497257991797 8.06673065001537 7.15634029231567 0.00791758716364556 0.929524733011989
"racR" -0.661345629034157 6.1071714042265 6.9350924495148 0.00893041966889519 0.976367640762223
"mraY" -0.352612181572228 7.16473551669454 6.88820776260233 0.00916166919851156 0.976367640762223
"ydeE" -0.530485781616886 4.79495928712347 6.80195060970226 0.00960337400271981 0.976367640762223
"aaeA" -0.668903178291622 3.81177434819714 6.71563248402881 0.0100674032918246 0.976367640762223
"dnaT" 0.352857248429737 5.81407728016559 6.69994920285459 0.0101541656471839 0.976367640762223
"yacG" -0.479207788547702 4.75748390756576 6.69493550390484 0.0101820646230416 0.976367640762223
"ygfM" 1.16876309963297 2.23716724434444 6.6710896562062 0.0103216031556759 0.976367640762223
"rbbA" 0.476497951990686 6.96640939046105 6.59438963083571 0.0107585698362834 0.976367640762223
"yjhP" 0.792373485067751 2.67765982765171 6.58542727181015 0.0108115667205357 0.976367640762223
"ybjN" -0.472501552949927 5.74504005846452 6.5382626236268 0.0110949391077416 0.976909388436647
"speC" 0.663374958037737 6.41500716061398 6.45873712978434 0.0115902338337371 0.995629355181025
"yfeH" -0.44397284092851 5.59069176533055 6.34189482395443 0.0123597466360224 0.999891395950898
"tusE" -0.366453380532699 5.33428110091477 6.30652666802499 0.0126029453059345 0.999891395950898
"yqiA" -0.331824031069036 6.47673011082299 6.22827600570684 0.0131587599750122 0.999891395950898
"mdtC" -0.340459704637811 5.66960348704922 6.19747872082756 0.0133844119490607 0.999891395950898
"flgL" 0.461472028183443 4.52455673182566 6.13717702761773 0.0138379138849379 0.999891395950898
"araH" 0.553952478829711 7.58592911196592 6.03723499140139 0.0146248834692502 0.999891395950898
"hycE" -0.744988135982796 3.04036270504341 6.79855019307065 0.0146278145549369 0.999891395950898
"yqiB" -0.337096844497492 6.07524556685444 6.0055183004219 0.0148842061690481 0.999891395950898
"yegX" -0.880109775746693 2.96216640383246 5.91327147698723 0.0156658666371767 0.999891395950898
"ung" 0.361056728381076 5.80669095858979 5.837593685263 0.0163388621631948 0.999891395950898
"hda" -0.767814712256893 5.87635504039526 5.77376586641201 0.016929773630484 0.999891395950898
"rstB" -0.462664005511945 6.72394460225519 5.68711941646819 0.0177676458361938 0.999891395950898
"cynT" 0.899897235568672 2.714335220937 6.23986556900802 0.0187376570055306 0.999891395950898
"ybgE" -0.344085326948854 5.95099647308444 5.58792588955616 0.0187799620929153 0.999891395950898
"arnA" 0.415192447264912 5.78164603123113 5.56558388756749 0.0190654162782261 0.999891395950898
"pitB" 1.07563084395756 2.03240102529415 5.4803246295212 0.0199461463560365 0.999891395950898
"mzrA" -0.455461150487528 5.31676270640972 5.46343165082217 0.0201359651494888 0.999891395950898
"plsY" 0.506227889290426 5.27857808034981 5.99959819383484 0.0202054212661473 0.999891395950898
"ygeA" -0.663768951802685 6.52288138420299 5.4148872032357 0.0206919721550838 0.999891395950898
"yqgA" -0.447687359297898 3.99600779639757 5.26842219499871 0.0224684891065976 0.999891395950898
"uvrY" -0.418595074683557 7.35996763112754 5.2256589621437 0.0230166253848285 0.999891395950898
"zapC" -0.476590634631387 5.53185874231623 5.16931144870787 0.0237602624711976 0.999891395950898
"paaC" -0.891362196963437 1.52180074458175 5.12281912849054 0.0243927024093054 0.999891395950898
"yddW" 0.50664616841309 5.40335278223768 5.57154018016592 0.0244098191356812 0.999891395950898
"yegH" -0.26288046918392 6.48339306118474 5.11130510445577 0.0245520274587473 0.999891395950898
"umpH" -0.326313008048329 6.82486817892267 4.94796434146806 0.0269331459641916 0.999891395950898
"dgcZ" -0.446477257421028 5.38592116417106 4.91102442133697 0.027504381411953 0.999891395950898
"hybD" -0.427608838794505 4.89701340170123 4.90252233753133 0.0276376426171572 0.999891395950898
"yhbX" 0.912863285702233 2.57522249546104 4.88991970843542 0.0278364200485564 0.999891395950898
"ibpB" 0.534631590633072 8.18607712205735 4.87676005799379 0.0280455810152736 0.999891395950898
"yffO" 0.981338209261883 1.92969797313744 5.49326423804898 0.0286629922039091 0.999891395950898
"waaL" -0.903504032025391 5.24113481297419 4.82330848334682 0.0289122107093775 0.999891395950898
"yjeH" -0.26202203249642 5.92309942977818 4.80126944619682 0.0292776625020316 0.999891395950898
"ygdB" -1.10508701410752 2.25020243839864 4.78790962461816 0.029501548692605 0.999891395950898
"rhsC" 0.365131751679412 5.63933661099713 4.78587959042035 0.029535725058711 0.999891395950898
"ybcH" -0.471278795889817 3.70489184752642 4.70530236703572 0.0309263491567933 0.999891395950898
"ydiY" 0.979710915370784 4.75663470109791 4.70431269793374 0.030943849834308 0.999891395950898
"yebK" -0.279386301925907 6.47996875770804 4.69748486241633 0.0310648723674831 0.999891395950898
"yhaM" 0.470559779139313 4.09704023840858 4.62557995649689 0.0323699590726041 0.999891395950898
"ybbY" 0.609347462827487 3.37895634678677 4.59704399421928 0.0329037344525536 0.999891395950898
"pstC" 0.557872713387589 5.74851083190183 4.57913688217024 0.0332434081834425 0.999891395950898
"hisB" 0.426189977521631 7.92662057539823 4.57659861980234 0.0332918529045993 0.999891395950898
"trg" 0.437917004659213 4.25576878574883 4.59875075420634 0.0333682107586022 0.999891395950898
"rutF" -0.967726732489463 2.11039830205867 4.57045142330432 0.0334094845874931 0.999891395950898
"yegL" 1.1327443251366 2.11232904162541 4.55594126077695 0.0336888842539572 0.999891395950898
"cybB" 0.741746055455862 5.86616195544423 4.54757069286628 0.0338511793020447 0.999891395950898
"flgJ" 1.04748947509437 2.52994449031736 4.51394403181996 0.0345114890619538 0.999891395950898
"purC" 0.879894700306484 8.80131859038958 4.50630994007313 0.0346632738304813 0.999891395950898
"tsaB" -0.532195534801842 5.91198493795159 4.4802577320748 0.0351865655352978 0.999891395950898
"mdlA" -0.348259939783567 5.37721189964638 4.45439342396979 0.0357143113883798 0.999891395950898
"hemF" -0.412058932115308 5.39788038595224 4.4490017949762 0.0358253699251348 0.999891395950898
"rhsD" 0.33416187747171 5.33911419632418 4.4370617340875 0.0360726111990544 0.999891395950898
"yeaX" 0.629119985561588 2.77164010431788 4.49403590814783 0.0361058800968698 0.999891395950898
"bax" -0.342124620304817 7.93876407480322 4.41509013474864 0.0365322804807406 0.999891395950898
"cvrA" -0.328808153473434 5.88155499162474 4.39861283514238 0.0368810488307694 0.999891395950898
"tusD" 0.361121306267945 5.63523169918278 4.32208883366735 0.0385474044510003 0.999891395950898
"thiK" -0.312948165673745 5.55079842312235 4.31228920134161 0.0387664623488985 0.999891395950898
"yaaX" 0.81358879215424 4.12461750744329 4.29177776979822 0.0392292301101053 0.999891395950898
"ddpD" 0.681180146726075 3.13829434303976 4.26529745576402 0.03983530108996 0.999891395950898
"opgB" -0.274717987931872 6.92629320690803 4.24982024800713 0.0401941066301459 0.999891395950898
"yaeI" 0.735597463569704 3.48345606488607 5.80643314103765 0.0413852506127183 0.999891395950898
"malF" 0.624141076964109 4.65557622751556 4.19945620464546 0.0413855000338876 0.999891395950898
"wbbJ" -0.612334238610062 5.92643260541963 4.18518681909622 0.0417297921763464 0.999891395950898
"glrR" -0.362484339076852 5.64436859630428 4.82756452421546 0.0419003117752212 0.999891395950898
"hemD" -0.249399518497394 6.67569490481703 4.15040688949873 0.0425817082220582 0.999891395950898
"adiY" 0.530815457869843 2.45785536926799 4.14487299960489 0.0427189448924324 0.999891395950898
"ygdQ" -0.378151870321756 5.31272383874215 4.13886608250093 0.0428684419234788 0.999891395950898
"menB" 0.293953569231017 7.35202239729921 4.13686983807908 0.0429396882414992 0.999891395950898
"murG" -0.277059386431719 7.40340360022974 4.10979933858728 0.04359969889026 0.999891395950898
"rtcR" 0.371225371398571 4.673176855058 4.21003223275576 0.044759828781863 0.999891395950898
"ispD" 0.569837656461622 6.00326183962876 4.06211850900651 0.0448279807640718 0.999891395950898
"php" 0.796743058448735 2.28782939820498 4.05966612092854 0.044892138051532 0.999891395950898
"yjbT" 0.695858915287084 2.54697267548692 4.05451682246669 0.0450271663048959 0.999891395950898
"cheW" -0.463598604775896 2.92806213435001 4.00806629717484 0.0462648503532757 0.999891395950898
"kdsA" 0.255888415403118 8.05383680817037 3.98919213710454 0.0467780138104763 0.999891395950898
"tusC" -0.479286127343722 4.5259355595623 4.07262723873991 0.0469257417723305 0.999891395950898
"ydaU" 0.718055322703852 2.76733763429792 3.93732043188951 0.04821968059361 0.999891395950898
"yfjP" -0.560631320085569 3.20218562112858 3.93352752948235 0.0483269302412319 0.999891395950898
"atoD" 0.428088915049598 3.602514346318 3.93306711503083 0.0483399663315568 0.999891395950898
"ydjE" 0.989030339718159 2.32164323502119 3.91977400816623 0.0487179593887656 0.999891395950898
"yggR" -0.663776085899625 3.51036196187193 3.90359281841351 0.0491823160012919 0.999891395950898
"yhbY" -0.352838256621578 7.91142048647936 3.88345114066129 0.0497669056708148 0.999891395950898
"yciQ" 0.374844707310586 5.00507142462108 3.88321417386996 0.0497738271443742 0.999891395950898
"araD" 0.671294718851509 8.5659984509117 3.87084215393443 0.0501825257068216 0.999891395950898
"fkpB" -0.298038569124084 6.94146664219198 3.86839596686921 0.0502086851528013 0.999891395950898
"clcB" -0.502081509617833 3.58882095230236 3.8630436350676 0.0503667468363194 0.999891395950898
"yneE" -0.322585534749558 5.28211475538576 3.85717598704641 0.0505406344787761 0.999891395950898
"pgpB" 0.264493354242149 6.23627711905387 3.83241827596771 0.0512813881811417 0.999891395950898
"ybeF" 0.62632643537798 3.29394077860063 3.82494859518094 0.0515071427382373 0.999891395950898
"lysA" 0.616279107416185 5.52578977222481 3.82345652728004 0.0515523637307186 0.999891395950898
"yejA" -0.304648163483608 5.84180468245605 3.81585949830873 0.0517832673648055 0.999891395950898
"dnaC" 0.283409200542093 5.81363663584874 3.81349093821819 0.0518554820488245 0.999891395950898
"tap" 0.78040785674317 2.25705980881332 3.79652676993959 0.0523758429901806 0.999891395950898
"envY" 0.661521664053926 2.69447824777267 3.967854612768 0.0523987368458921 0.999891395950898
"recX" -0.579085990193853 3.14445785534402 3.76817418955198 0.0532579811170471 0.999891395950898
"flk" 0.506837433197272 5.46362248568216 3.7324615780016 0.0543916936563843 0.999891395950898
"acrD" 0.35033079770669 6.04351104490465 3.7282422160271 0.0545273282190931 0.999891395950898
"ybiB" 0.302183961767714 7.54868729301756 3.70214069192405 0.0553744363836454 0.999891395950898
"viaA" -0.278652248141497 5.79282065197134 3.69717154816435 0.0555372909757778 0.999891395950898
"ydhX" -0.785122416928798 2.49632988974642 3.67762540672347 0.0561828544399248 0.999891395950898
"yhfW" -0.81839579143429 2.17114855896729 3.67420940257577 0.0562964966396454 0.999891395950898
"yrfF" -0.300696967412645 6.94328109394816 3.65319315008399 0.0570010762343018 0.999891395950898
"rsmG" 0.394230294790856 5.545110071587 3.63667610904152 0.0575614233877554 0.999891395950898
"alaC" 0.323795967384553 7.7798118917104 3.63571784642113 0.0575941128561923 0.999891395950898
"narZ" 0.43369089299089 6.49485494969532 3.60489459158928 0.0586562449272547 0.999891395950898
"araB" 0.708988720059416 10.6521646167669 3.58665619461641 0.0592945599891947 0.999891395950898
"nudC" 0.219502265132752 7.07717730068476 3.58069991517689 0.0595046258046491 0.999891395950898
"dnaQ" 0.216197185751038 6.7546667670805 3.54769945695544 0.0606829990093657 0.999891395950898
"araA" 0.667848588208006 10.6971322885795 3.54425839219748 0.0608430350378663 0.999891395950898
"purT" 0.942670803234259 7.98927518774245 3.49329595949384 0.062680500442913 0.999891395950898
"mukE" 0.400976764943695 6.49223188488362 3.47802883699094 0.0632536278003743 0.999891395950898
"ruvA" -0.254572397629738 5.92393874880903 3.4728058890732 0.0634509845617844 0.999891395950898
"rlmB" -0.269842133952366 6.50560868095513 3.44179801825773 0.0646363428240447 0.999891395950898
"murF" -0.254695566622948 7.83667829299592 3.44010300216411 0.0647018203909775 0.999891395950898
"yfgF" -0.670016022528869 3.25730336528494 3.43908193563883 0.0647412979925791 0.999891395950898
"yedA" -0.698212383662419 4.06182748455722 3.82210887081642 0.0649862029593583 0.999891395950898
"dacD" -0.51721171398212 4.20852487912958 3.61836127867121 0.0652077911385161 0.999891395950898
"yieP" -0.296567423719871 6.21389199650095 3.42436013499853 0.0653133707260064 0.999891395950898
"murI" -0.274495921660853 6.07350452988562 3.42194355527599 0.0654077935895258 0.999891395950898
"mdtB" -0.235151598379919 6.02498981803022 3.40177526216574 0.0662015675589722 0.999891395950898
"fucK" 0.39959819037189 4.32761654179158 3.39736178295676 0.0663766469902463 0.999891395950898
"nrdG" -0.267192870171207 5.0121118791582 3.3636562126272 0.067730242989162 0.999891395950898
"ycgY" -0.602197086581408 2.38948251032465 3.35759088430568 0.0679769576571852 0.999891395950898
"lysC" -0.520272316461481 6.33313885410549 3.34548084984316 0.0684724439179681 0.999891395950898
"yqjA" -0.215245150967249 7.46865184176906 3.32357958027266 0.0693784363809377 0.999891395950898
"ycjU" -0.78611111821464 1.57304047456351 3.31558614003768 0.0697242943985798 0.999891395950898
"thrA" 0.51795600158536 9.68049121965561 3.30934005330658 0.0699743998699935 0.999891395950898
"yffM" 1.00881141797962 1.04012911541107 3.35379750051491 0.0701165026488541 0.999891395950898
"yjfP" 0.292300416666451 5.04177086395712 3.26328553399203 0.0719399663635068 0.999891395950898
"murC" -0.265357503096243 8.04478558189481 3.25359496885978 0.072361080697671 0.999891395950898
"ybgC" -0.47906662565591 5.43439658086869 3.25325695629273 0.0723758173011472 0.999891395950898
"intZ" -0.457369190784089 5.66221463483527 3.25307569716361 0.0723837211329845 0.999891395950898
"rcsC" -0.233212814062408 7.2122078608908 3.21483991056442 0.0740719983172494 0.999891395950898
"norW" -0.485762941044422 3.59935268544317 3.20291796452851 0.075012275223253 0.999891395950898
"nudJ" -0.468164555574037 4.71415618858837 3.18763696813884 0.0752989852261446 0.999891395950898
"pinR" -0.561938287737305 3.33909126450723 3.17737210783465 0.0757676713454402 0.999891395950898
"ftsI" -0.243825333088341 7.50421167971564 3.15739953233862 0.076688665817924 0.999891395950898
"cueO" 0.231646233340454 6.50615622276145 3.12730584105516 0.0780993170126283 0.999891395950898
"puuB" 0.846854452880788 5.17949295386425 3.10275674369244 0.0792708667182705 0.999891395950898
"pgrR" 0.490786739540072 3.91810829538564 3.15267853933413 0.0796495718616202 0.999891395950898
"mokB" -0.52779101971726 2.14453845267835 3.08230419443747 0.0802614575158534 0.999891395950898
"kdpB" 0.384069868775015 3.67110217653188 3.07298406422254 0.0807173075497495 0.999891395950898
"mscK" -0.275956318586891 7.29347894591593 3.06430974767996 0.0811440934624038 0.999891395950898
"ulaD" 0.786096952062969 2.90928364383617 3.46865875920628 0.0815166843127517 0.999891395950898
"menE" 0.298049439981619 6.1007358917673 3.04913843533796 0.0819473683168326 0.999891395950898
"yqaA" -0.229791347431038 6.01841131678768 3.6199414375497 0.0828488156449374 0.999891395950898
"yhjX" 0.630143172001952 7.92130602636965 3.02878993164032 0.0829174179508999 0.999891395950898
"yqiI" 0.737080323945179 2.40692348316022 3.02075180089125 0.0833245304589942 0.999891395950898
"rihA" -0.315197490351974 5.2095141047026 3.01028871146813 0.0838577167647092 0.999891395950898
"lsrD" -0.395713722821754 6.63754382162948 2.98886187919131 0.0849735818333457 0.999891395950898
"nadK" -0.216743203842562 6.52460128804577 2.97935179816525 0.0854560301753201 0.999891395950898
"yciZ" 0.576691541499143 4.79488571996417 2.97302756047881 0.0857868234381706 0.999891395950898
"rsmJ" 0.240734432913872 6.28662686110323 2.97039792534584 0.0859247779181054 0.999891395950898
"narY" 0.610525934807237 5.48961937311469 2.96964734920539 0.0859641984922943 0.999891395950898
"bcsA" -0.489159097018564 4.43313484808534 2.95566077715857 0.0867023906101212 0.999891395950898
"ydcY" -0.347807051310106 6.27971387893828 2.94056236518191 0.0875070162235921 0.999891395950898
"dppF" 0.785412008454247 6.71783701651132 2.92467029051583 0.0883627309531972 0.999891395950898
"yggF" 0.570601284829323 2.56326419996822 3.02855096931957 0.0883822877429719 0.999891395950898
"xseA" -0.273191490413805 7.51599769827626 2.91623377089891 0.0888206996547117 0.999891395950898
"rclA" 0.422071272096518 4.79073342545328 2.91073386931401 0.0891206493653669 0.999891395950898
"yjhH" -0.4096664192629 3.43437125579736 2.90051422180559 0.0896809378881378 0.999891395950898
"ymgA" 0.716157795148237 2.90952642645726 2.89976091658791 0.089722389312438 0.999891395950898
"yegD" 0.430561661356495 5.32673853046658 2.88091148411253 0.0907664337423473 0.999891395950898
"waaR" -0.607775875688896 5.00045603821317 2.88003908704282 0.0908150745163702 0.999891395950898
"torZ" 0.341743090311464 4.4863674921181 2.87391123026712 0.0911575379065962 0.999891395950898
"yiaV" -0.569494201363383 2.53857394272395 2.86887811342093 0.0914398748261336 0.999891395950898
"hisC" 0.351089701100176 7.64166663485001 2.86776717839573 0.091502322193307 0.999891395950898
"ynfM" -0.300083415076485 7.80078604516921 2.86699648330484 0.091545671506297 0.999891395950898
"yaeF" 0.501141471941416 3.77058262522267 2.8733218560824 0.0920705098050142 0.999891395950898
"fhuC" -0.348003374297003 6.04978477640428 2.84580632545658 0.0927463853878738 0.999891395950898
"nudG" 0.510481394548998 3.17785945611556 3.40911071424137 0.0933378239153076 0.999891395950898
"murA" 0.343947766797115 8.07511575293766 2.83002625364368 0.0936517209991055 0.999891395950898
"greA" -0.347039331654489 6.58028280605023 2.81452662506951 0.0945503814820331 0.999891395950898
