"logFC" "logCPM" "F" "PValue" "FDR"
"lacA" 6.87562279742599 6.26138149663046 549.701712703122 0.000000000000000000000000000000000000000000000000000000000000000000139787961965683 0.000000000000000000000000000000000000000000000000000000000000000520570370360203
"lacY" 7.02479747691503 7.33162253721782 360.912474391946 0.000000000000000000000000000000000000000000000000000523546155867057 0.00000000000000000000000000000000000000000000000097484294222446
"lacZ" 8.93488209064186 10.9367308575658 238.966465373048 0.00000000000000000000000000000000000000306017354032258 0.00000000000000000000000000000000000379869542138709
"cynX" 2.28562495989783 3.67095924108988 151.594043264522 0.000000000000000000000000000475234514448083 0.000000000000000000000000442443332951166
"galE" -0.82024128593093 6.70456553971395 29.1810471718046 0.000000142650598636237 0.00010624616586427
"acpT" -0.587627283539303 5.99183564343377 26.7599650511474 0.000000444087613595529 0.000275630378838292
"ilvL" -1.52747828581581 4.45979466198103 24.4667129148888 0.00000131703348649872 0.000700661814817318
"galT" -0.690869173138011 6.00601271518908 23.1201639516138 0.00000250726616912593 0.00116713240172812
"thrL" -1.36798352557194 6.88540111566768 22.2959481794241 0.00000372608680668044 0.00154177191867533
"yciY" -1.15036582120538 3.94598706530623 19.8683735972783 0.000012132372122969 0.00451809537859365
"ymgC" 1.19432388637033 1.39088727862492 16.9075363386311 0.0000521584245541574 0.017657997549062
"ymgA" 0.840382204332553 2.90952708787994 16.4782374897703 0.0000641757779085055 0.0199158830776062
"galP" -0.613244911488796 6.99415963219415 16.2734437557236 0.0000710641017825227 0.0203571319260088
"ariR" 0.970773654797069 2.4361074989494 15.1551750104292 0.000124300859822393 0.0330640287127565
"phnL" -0.789064339385932 3.00072332523312 12.4092019154838 0.000500790321855312 0.124329543905945
"dsrB" -0.731886635061545 4.92545488530946 11.3722205510564 0.000852371804010231 0.198389537383381
"yhaL" -0.576915166158972 4.12228680290029 10.8826239980416 0.00109842562904283 0.240619826032677
"ycgZ" 0.621066375204357 3.3111150744038 10.4098663180562 0.0014047900578572 0.290635454192234
"eamB" -0.620387304192623 3.60800704007076 10.1635211054221 0.0015976545298493 0.313140287850462
"atoB" -0.592830023980813 3.91399839661021 10.0017544041355 0.00173879551462272 0.32376372482275
"galK" -0.406233166727962 6.54361647198573 9.68379753662445 0.0020544476953481 0.364322057975063
"ppiC" -0.480079070370291 5.35848946079552 8.41659101894385 0.00401822744040727 0.680176317639849
"ydcY" -0.458098458460777 6.27971660764449 7.9174364208672 0.00524881175593754 0.849851086048322
"torI" -0.620151074025066 3.82462273860998 7.73035631570058 0.00580432380162677 0.900637576552421
"yoaH" -0.417907411929619 4.4138278801611 7.3815114415249 0.00700708446133089 0.999677181557429
"yfaZ" -0.521009878992628 3.61417265643504 7.20383023733403 0.00771542361308029 0.999677181557429
"glgS" -0.691657018660069 5.92415404229614 7.19570704561789 0.00774951578864239 0.999677181557429
"ynaJ" -0.538327407428852 5.98112249026601 7.0658601185155 0.0083160185247494 0.999677181557429
"yfaP" -0.593923664255441 3.18241063769749 6.92254767289844 0.00899635025388127 0.999677181557429
"lpp" -1.01091714309772 11.8977239547032 6.86415394672255 0.00928199460955996 0.999677181557429
"yoaF" -0.436920518826837 3.79653950358122 6.8123527198173 0.00954825069951046 0.999677181557429
"gntT" 0.446700367879612 5.898360707623 6.77051166469065 0.00976905429131197 0.999677181557429
"ibsC" -0.548546155235344 3.97819518651104 6.67506491970972 0.0102926745844099 0.999677181557429
"ycaK" -0.769839250278387 1.57439413363299 6.64026607763549 0.0104907098719508 0.999677181557429
"ygdR" -0.659356681138285 6.49371943915054 6.51232857707451 0.0112532356172882 0.999677181557429
"yshB" -0.415920120626707 6.24492771684849 6.42834503241325 0.0117847076656295 0.999677181557429
