"logFC" "logCPM" "F" "PValue" "FDR"
"Circuit_PhlF" -4.74627173842365 11.0203168954136 173.000710710619 0.00000000000000000000000577152786832656 0.00000000000000000000225666739651568
"gadC" -1.36233737233696 10.4826691565391 14.4456905873108 0.00017788581165475 0.0347766761785036
"cysB" 1.1115583524125 6.96750068395347 13.1206125544756 0.000348075202801159 0.0431842759242532
"yicL" 0.922120892458889 4.94718124457149 12.1432668712054 0.000573626692537888 0.0431842759242532
"ychF" 0.626965999603053 7.49264276078221 12.103617056895 0.000585420570512252 0.0431842759242532
"rluC" 0.755740949310446 6.12793762254406 11.8624171191832 0.000662674310858105 0.0431842759242532
"gadA" -1.15621849171599 10.8996531171771 11.3446754655964 0.000865439094237196 0.045395995403773
"gadB" -1.20295497844211 11.1312333567141 11.2080055143451 0.000928818320281801 0.045395995403773
"glnA" 1.03932824973336 10.5865409559007 10.7599796282658 0.00117172585211826 0.0478126680846364
"ybaT" -0.723504328540026 8.39204328581928 10.639836641726 0.00124725594384656 0.0478126680846364
"nuoB" 0.634150240602994 7.90806036323696 10.4500812518845 0.00137679558666361 0.0478126680846364
"xseA" 0.535688536592688 7.50950485266175 10.3278851840249 0.00146739646295559 0.0478126680846364
"purM" 0.865202665013703 8.85742051516828 9.96255350464668 0.00177624512815317 0.0534239880852222
"sdhA" 0.950446902441222 9.2888955228095 9.51531534267609 0.00224643539646166 0.0585502441577806
"pdhR" 0.831981275617377 7.52366870410358 9.43480633796177 0.00234372603589874 0.0585502441577806
"fdoG" 1.04125446093683 10.693186878483 9.39301239369794 0.00239591791949997 0.0585502441577806
"metE" -1.25549727500507 10.5558069151771 9.25319338364174 0.0025793145564 0.0593242347972
"yafK" 0.557324027186738 7.15489486113438 7.93421101735621 0.00520442593095001 0.111032189319963
"rho" 0.563567370315176 9.7848260237863 7.86709964274374 0.0053954260794867 0.111032189319963
"kdsD" 0.329737876697664 7.0633811629842 7.58980678074831 0.00626411062638095 0.122463362745748
"carA" 1.15683208678629 9.65723267431876 7.30371928745684 0.00731184930401579 0.128371072852277
"hdeA" -0.852858928249233 10.7028092499783 7.2461924769856 0.0075434294296136 0.128371072852277
"prs" 0.597815696862462 9.4299598001224 7.18638202566474 0.00779221441244519 0.128371072852277
"ushA" -0.41181328834602 7.7082992235597 7.10982196708463 0.00812304398395975 0.128371072852277
"hchA" -0.663393157450709 8.32601356703578 6.95746718140815 0.00882511360865156 0.128371072852277
"osmC" -0.803370431019626 10.3336701315743 6.82772852331818 0.00947215453884066 0.128371072852277
"wrbA" -0.707003185823496 9.86863552968811 6.82528004795972 0.00948482529158231 0.128371072852277
"fdhE" 0.522958758536672 7.36074575478289 6.73247835414162 0.00997818275499859 0.128371072852277
"hdeB" -0.787022598864751 9.426074331521 6.72053839636093 0.0100435530965031 0.128371072852277
"aroH" 0.897531566795642 8.38351521553311 6.69056625131754 0.0102096018317002 0.128371072852277
"poxB" -0.713716520520933 10.1051583649216 6.65596961050683 0.0104047972117674 0.128371072852277
"tpiA" -0.486222652468454 9.85967283957981 6.6382824228878 0.0105060724584983 0.128371072852277
"rpmB" 0.6382022183507 10.4963773831633 6.51696665815016 0.0112287103296939 0.133043204209403
"ggt" -0.517401570497155 8.10196907618271 6.37761936339831 0.0121224702110599 0.137241402767121
"pyrI" 0.869917090045748 9.29137795954545 6.353418224394 0.0122850360533228 0.137241402767121
"pliG" -0.907076138632067 8.05038493492791 6.28171996131197 0.0127800133503248 0.138805144999361
"ybjP" -0.515994835226318 7.77206511707669 6.21337319256485 0.0132710683217172 0.139091442014125
"ytjA" -0.643097744928573 8.66747889559642 6.17875213074989 0.0135272209450261 0.139091442014125
"nlpA" 0.977273891192711 6.98773974155113 6.13300394334675 0.0138735709425854 0.139091442014125
"rpmE" 0.890236751471172 8.82718771008749 6.04864637631737 0.0145365055370555 0.139739952149599
"tktB" -0.806960825175321 11.3125390164743 6.01641240591042 0.0147984085538157 0.139739952149599
"osmF" -0.522793173264211 7.63954716451463 5.96489304745726 0.015227204044996 0.139739952149599
"yidC" 0.584514751917143 9.31653997060659 5.94832490376684 0.0153678208246363 0.139739952149599
"cdd" -0.661975455825164 8.3622711871876 5.87189894862687 0.0160341046329249 0.142484884351673
"sbcD" 0.35903855863108 5.7048749194123 5.71255151697423 0.0175214673697466 0.15224208314602
"katE" -0.611446479270796 10.0521505089591 5.63081951130464 0.0183392605011501 0.155883714259776
"artI" -0.451823581493493 8.37951895998041 5.47387636546309 0.0200227601872611 0.16289913227341
"accD" 0.424182942418132 9.03635533715307 5.45867090991691 0.0201941929959932 0.16289913227341
"nuoI" 0.497677036328365 6.84631626536463 5.39163686369549 0.0209683767315286 0.16289913227341
"glmS" 0.41548457913353 9.56866302207057 5.37792631900439 0.0211304925771586 0.16289913227341
"dkgA" -0.612538658539794 9.05100761658052 5.36808077104746 0.0212477129052273 0.16289913227341
"fabF" 0.482288736778608 10.0466216261566 5.30308185479596 0.0220387796551699 0.164557610656077
"hpf" -0.390059602191559 8.36090256965453 5.26823821874626 0.0224754207577414 0.164557610656077
"fepB" 0.472659816465086 7.09468367993501 5.2485105450164 0.0227266265356219 0.164557610656077
"typA" 0.52784383387169 10.7309902834622 5.11281182178116 0.024535891270789 0.171741376095612
"nuoG" 0.474917440395745 9.3741330904409 5.10839621603292 0.0245972303359444 0.171741376095612
"cfa" -0.575546861144496 11.0112089710013 5.01448247407468 0.0259404700784497 0.177942522818839
"rplU" 0.539098462376048 10.1977631280829 4.90649187815273 0.0275803446596071 0.185929564860455
"elaB" -0.707883705889789 10.2510805322107 4.87019805179783 0.0281555371756676 0.18659008535061
"patA" -0.676810975749522 10.8491574581301 4.74849401726211 0.0301777799822621 0.196658532884408
"kbl" -0.33606321471166 8.06198285847551 4.68592027819818 0.0312762376024799 0.20047555577983
"sdaC" 0.594671265469246 7.80250380102231 4.48412314829673 0.0351138753033436 0.221443955542054
"ygaU" -0.594452873380071 9.85436554606462 4.3848497592585 0.0371806369314107 0.230756016510819
"mepM" -0.567948666598245 9.35412698791462 4.14745151350055 0.0426607788143376 0.254939173045631
"pfkB" -0.383049493942072 8.3227087382683 4.14725349904698 0.0426656905111121 0.254939173045631
"dppF" 0.500965265161339 6.70203496831565 4.12372848416464 0.043253500739909 0.254939173045631
"rplL" 0.499508474509034 11.0614771970965 4.10666452458833 0.0436852291408115 0.254939173045631
"atpE" 0.418676358633689 9.1157352349723 4.0665533157173 0.0447181296353793 0.257129245403431
"sufA" -0.456252199587531 7.79229259431985 3.97363702724721 0.0472114910783207 0.267531782777151
