"logFC" "logCPM" "F" "PValue" "FDR"
"ygeA" 6.11028718598263 6.52289793974518 942.184200874461 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000773649083989504 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000276502182617849
"glcD" -4.91923691577541 6.36535868184268 648.009947295591 0.000000000000000000000000000000000000000000000000000000000000000000000000027286366332737 0.000000000000000000000000000000000000000000000000000000000000000000000048760736636601
"araE" 6.16401159547884 8.93854365828635 600.788069004478 0.0000000000000000000000000000000000000000000000000000000000000000000000378410998344023 0.000000000000000000000000000000000000000000000000000000000000000000045081363602718
"glcE" -4.80407173494728 5.16026201237446 535.631779131926 0.00000000000000000000000000000000000000000000000000000000000000000159995800363223 0.00000000000000000000000000000000000000000000000000000000000000142956247624539
"xylF" 4.6405036923471 3.55224840435563 466.354692652959 0.00000000000000000000000000000000000000000000000000000000000035560372043139 0.000000000000000000000000000000000000000000000000000000000254185539364358
"lysR" 3.77958847957539 4.7932961297896 412.130268354782 0.0000000000000000000000000000000000000000000000000000000125378449586792 0.00000000000000000000000000000000000000000000000000000746837631371989
"araJ" 2.70600432800194 6.51091322091891 362.590391981678 0.000000000000000000000000000000000000000000000000000379544068273711 0.000000000000000000000000000000000000000000000000193784357144321
"araD" 6.35507900100289 8.56600610304879 321.974876628887 0.0000000000000000000000000000000000000000000000144019180232369 0.00000000000000000000000000000000000000000000643405687688108
"araH" 3.59369293957951 7.58598272828953 250.946646145583 0.000000000000000000000000000000000000000130236074668311 0.0000000000000000000000000000000000000517181923182825
"glcF" -2.47404520472483 5.8079675367703 214.447761124359 0.00000000000000000000000000000000000268380863885706 0.000000000000000000000000000000000959193207527513
"araG" 3.71577482282031 7.78868113670976 212.54046363892 0.00000000000000000000000000000000000460288893626611 0.00000000000000000000000000000000149552045983773
"inaA" -2.55607018458157 5.60679057860455 198.618091659849 0.00000000000000000000000000000000025219777504179 0.0000000000000000000000000000000751129039999464
"Circuit_PhlF" 5.52463965645726 11.0295269882032 322.2798075588 0.000000000000000000000000000000000446021019766998 0.000000000000000000000000000000122621471126712
"xylG" 3.151189400018 3.25198986407679 190.360206234566 0.00000000000000000000000000000000286831056621858 0.000000000000000000000000000000732238711690372
"araA" 5.73374606394397 10.6971142906279 183.753985455858 0.0000000000000000000000000000000347845147788046 0.00000000000000000000000000000828799038796317
"astE" -3.34245672349757 5.12389326639433 181.598891764873 0.0000000000000000000000000000000397027380402421 0.00000000000000000000000000000886859910973909
"astA" -3.60621760721346 6.93630994568559 180.859533481534 0.0000000000000000000000000000000496749392321603 0.0000000000000000000000000000104434254597495
"xylE" 2.72430534678284 5.33112899919759 175.416374339252 0.000000000000000000000000000000261545067245986 0.0000000000000000000000000000519312261298419
"astD" -3.34362507409107 6.80342027439171 173.947013330582 0.000000000000000000000000000000410963683352904 0.0000000000000000000000000000773044318054356
"ydiJ" 3.27648903793244 8.49181344822853 171.794507656244 0.000000000000000000000000000000798885534784275 0.00000000000000000000000000014276084506595
"galE" 2.04544334933184 6.7045865718672 170.049491476817 0.00000000000000000000000000000137262814218467 0.000000000000000000000000000233608237150858
"astB" -3.08799276386163 6.61548903456531 169.368604571586 0.00000000000000000000000000000169639815463729 0.000000000000000000000000000275587591121531
"galT" 1.88803858397939 6.00607319082117 167.120345268731 0.00000000000000000000000000000342171495877583 0.000000000000000000000000000531704750550644
"prpB" -2.835806492139 5.63040346881824 166.573347155457 0.0000000000000000000000000000087103110539034 0.00000000000000000000000000129711048777711
"araB" 5.64032935810094 10.6521472211783 160.921207633584 0.0000000000000000000000000000241356020488041 0.00000000000000000000000000345042566889703
"nadB" 2.86163491628055 8.30580785168909 160.776100194922 0.0000000000000000000000000000252734197454751 0.00000000000000000000000000347412316039723
"glcB" -2.18614322928978 7.41855460672734 160.086940674658 0.0000000000000000000000000000314608539879656 0.00000000000000000000000000416448489455515
"araF" 3.84536595054115 8.2689170454272 154.972399247507 0.000000000000000000000000000184529168586946 0.0000000000000000000000000235538303046337
"ycbK" 1.80473419041046 8.05563523310796 152.661709023282 0.000000000000000000000000000340645026873495 0.000000000000000000000000041981562967099
"astC" -3.56071069067043 7.58215672249601 152.369942827022 0.0000000000000000000000000003743905748219 0.0000000000000000000000000446023971471157
"rstB" 2.14485504402388 6.7238987254971 151.618819616336 0.000000000000000000000000000477601222954278 0.0000000000000000000000000550627990593093
"galK" 1.6601337692284 6.54363449072967 149.256109523495 0.00000000000000000000000000103019422908974 0.00000000000000000000000011505981796146
"prpC" -2.79885642112061 4.48414131597634 148.768287639459 0.00000000000000000000000000264039940080481 0.000000000000000000000000285963256317466
"glcG" -2.57244120377835 4.51830752139 146.023406104827 0.00000000000000000000000000297018496839026 0.00000000000000000000000031221885520667
"rstA" 2.06846677259154 7.15093487719205 134.914216992376 0.000000000000000000000000120504872728301 0.0000000000000000000000123052690037414
"proP" 2.52838379199622 10.4010161426255 132.995837082069 0.000000000000000000000000230789926038297 0.0000000000000000000000229123109905798
"yeaR" 2.34001449925098 4.95923881439813 132.873444540351 0.000000000000000000000000240584670950067 0.0000000000000000000000232391787560957
"ycdZ" -1.55837157208338 6.20940511148903 130.86813088963 0.000000000000000000000000476226166525009 0.0000000000000000000000447903241884312
"rhtC" 2.3890303416323 6.04532914615178 127.158976620552 0.00000000000000000000000169938511911959 0.000000000000000000000155733395275216
"galP" 1.82555824246828 6.99414918670376 126.480554240188 0.00000000000000000000000214736876002586 0.00000000000000000000019186739870831
"uhpT" 1.7575186171207 5.61255642494347 123.676721508383 0.00000000000000000000000567205941405277 0.000000000000000000000494437569410356
"mocA" -2.75806129974372 4.56502455024753 121.486566922018 0.0000000000000000000000121721525950441 0.00000000000000000000103579222320685
"yghB" -1.51059077933093 6.70013478037898 118.834195650067 0.0000000000000000000000308677829605931 0.00000000000000000000256561526281767
"ycbL" 1.54999378874455 7.90076697430994 112.661537583581 0.000000000000000000000276024653064312 0.0000000000000000000224207297739057
"glnA" 3.36511874394113 10.592488105581 109.883041652759 0.00000000000000000000074871441956065 0.000000000000000000059464563011328
"gntP" 1.70942380749939 3.8774000697844 107.138889253505 0.00000000000000000000323818262062723 0.000000000000000000251592710567863
"yfcH" -1.5481030793748 8.08319708831555 104.886943941128 0.00000000000000000000458923727617404 0.00000000000000000034897731968183
