"logFC" "logCPM" "F" "PValue" "FDR"
"pspG" -9.8859575715734 8.56872866487282 1071.25839940489 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000231686913712994 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000848669164930698
"uhpT" -7.0958066345977 5.61285806335751 1003.70814970818 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000839101005464269 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000153681349150781
"pspD" -7.7556870321089 7.70314254490997 886.304444525534 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000483660604314684 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000590549597868229
"pspB" -6.91073099918342 7.74157322825382 807.537022744168 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000769643305876287 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000704800857356209
"uidA" -5.94459406888497 5.80291203314142 737.73616917381 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000748117806103231 0.0000000000000000000000000000000000000000000000000000000000000000000000000000548071104751227
"yaiY" -5.07437737414357 5.63152992536753 710.648797241892 0.00000000000000000000000000000000000000000000000000000000000000000000000000000726585053919744 0.00000000000000000000000000000000000000000000000000000000000000000000000000443580175418004
"uxuA" -4.88196849312024 7.73952586348662 694.88689916499 0.00000000000000000000000000000000000000000000000000000000000000000000000000193502557185069 0.00000000000000000000000000000000000000000000000000000000000000000000000101257123852701
"pspC" -6.71774722913132 8.4664010411057 640.143672161241 0.000000000000000000000000000000000000000000000000000000000000000000000000086546364364279 0.0000000000000000000000000000000000000000000000000000000000000000000000396274165832943
"hokD" -5.42444135585629 9.36626974729048 599.720508426082 0.0000000000000000000000000000000000000000000000000000000000000000000000437378103894635 0.0000000000000000000000000000000000000000000000000000000000000000000178012888285117
"ypfG" -3.91442900451501 7.02687141577685 580.288198015337 0.000000000000000000000000000000000000000000000000000000000000000000000967012047237577 0.000000000000000000000000000000000000000000000000000000000000000000354216512903124
"ycfJ" -5.05198884503511 7.68070285648936 570.146109518428 0.00000000000000000000000000000000000000000000000000000000000000000000500497194881317 0.00000000000000000000000000000000000000000000000000000000000000000166665565895478
"pspE" -6.0366682767478 8.87598788259357 566.655791765431 0.00000000000000000000000000000000000000000000000000000000000000000000885311839202071 0.00000000000000000000000000000000000000000000000000000000000000000270241438916432
"yeaR" -6.19140651477279 4.95952217195412 556.304946118777 0.0000000000000000000000000000000000000000000000000000000000000000000487255227846172 0.0000000000000000000000000000000000000000000000000000000000000000137293530738502
"gcvH" 4.65038870993345 7.62798598997423 534.99028018256 0.00000000000000000000000000000000000000000000000000000000000000000174784501372207 0.000000000000000000000000000000000000000000000000000000000000000457311163233138
"xylF" -5.23150355744791 3.55260294402787 525.49350130335 0.00000000000000000000000000000000000000000000000000000000000000000888130584575394 0.00000000000000000000000000000000000000000000000000000000000000216881488753311
"proX" 4.49952962269808 7.39846108321386 518.517400876313 0.000000000000000000000000000000000000000000000000000000000000000029678244554784 0.00000000000000000000000000000000000000000000000000000000000000679446311276085
"nanT" -4.10259861944866 5.26406485515661 515.833529011155 0.0000000000000000000000000000000000000000000000000000000000000000473423475393779 0.0000000000000000000000000000000000000000000000000000000000000102008834727495
"alx" -4.91089202267939 6.31885501688281 503.343812987332 0.000000000000000000000000000000000000000000000000000000000000000424842158019751 0.0000000000000000000000000000000000000000000000000000000000000864553791570193
"nanA" -4.05572292669607 5.29844361670703 498.958916436262 0.000000000000000000000000000000000000000000000000000000000000000925636045741768 0.000000000000000000000000000000000000000000000000000000000000178452886081689
"yafE" -2.79390273883267 6.08307418380454 492.438833990512 0.00000000000000000000000000000000000000000000000000000000000000297106379633747 0.000000000000000000000000000000000000000000000000000000000000544150334299208
"cpxP" -4.79103134019023 10.0437524084498 484.43579998309 0.0000000000000000000000000000000000000000000000000000000000000126040267660314 0.00000000000000000000000000000000000000000000000000000000000219850238304633
"relE" -4.7474852545341 9.25887565526339 480.443339015968 0.000000000000000000000000000000000000000000000000000000000000026066454352046 0.00000000000000000000000000000000000000000000000000000000000434006464961567
"livJ" 5.43152327191324 7.56922637121177 477.727439742874 0.0000000000000000000000000000000000000000000000000000000000000428262271888199 0.00000000000000000000000000000000000000000000000000000000000682054218228901
"uxuB" -4.00809657706318 6.8852023670363 491.822791398907 0.000000000000000000000000000000000000000000000000000000000000065542315066632 0.0000000000000000000000000000000000000000000000000000000000100033958370447
"rspA" -8.89920212073103 9.59252824746399 474.43047560669 0.0000000000000000000000000000000000000000000000000000000000000784372064130179 0.0000000000000000000000000000000000000000000000000000000000114926194836354
"uxaB" -6.19199788873998 8.44920746810315 465.609012530016 0.000000000000000000000000000000000000000000000000000000000000401286422056143 0.0000000000000000000000000000000000000000000000000000000000565350832304481
"alaE" -4.48657942451629 6.74818709752295 463.393778633568 0.000000000000000000000000000000000000000000000000000000000000606472541684138 0.000000000000000000000000000000000000000000000000000000000082278108155148
"lsrD" -7.26626327317308 6.63824058169513 451.544244585063 0.00000000000000000000000000000000000000000000000000000000000959719204213891 0.00000000000000000000000000000000000000000000000000000000125551837322696
"yhdN" -3.34421259997377 7.92041059215025 447.243417840349 0.0000000000000000000000000000000000000000000000000000000000127930278532382 0.00000000000000000000000000000000000000000000000000000000161589175953143
"gcvT" 4.52709349540347 8.72308294257178 442.713059916298 0.0000000000000000000000000000000000000000000000000000000000304616468875096 0.00000000000000000000000000000000000000000000000000000000371936708496492
"zntR" -2.94624083891261 7.36559125892983 436.040014696229 0.000000000000000000000000000000000000000000000000000000000110434427822818 0.0000000000000000000000000000000000000000000000000000000130490744875801
"lsrC" -7.93976696324139 7.30661832250356 431.802060486857 0.000000000000000000000000000000000000000000000000000000000417476152368177 0.0000000000000000000000000000000000000000000000000000000477879733163947
"proW" 4.34995687530716 6.92759175528318 422.467213105093 0.00000000000000000000000000000000000000000000000000000000157487699242226 0.000000000000000000000000000000000000000000000000000000174811346158871
"pspA" -7.02438034771162 11.2690388109217 419.649073109127 0.00000000000000000000000000000000000000000000000000000000275237076699734 0.000000000000000000000000000000000000000000000000000000296527474103272
"spy" -3.93908655250458 8.10279430591616 412.989609370413 0.0000000000000000000000000000000000000000000000000000000103896967298707 0.00000000000000000000000000000000000000000000000000000108735597490047
"gntP" -3.90813515005425 3.87774935458507 424.769510962057 0.0000000000000000000000000000000000000000000000000000000216111512605349 0.00000000000000000000000000000000000000000000000000000219893464075942
"xylA" -3.46682818798635 7.20190883875502 406.586865484692 0.0000000000000000000000000000000000000000000000000000000377197396871741 0.00000000000000000000000000000000000000000000000000000373425422903023
"guaC" 3.77090644336514 7.99085295715267 405.864688287228 0.0000000000000000000000000000000000000000000000000000000436575448713568 0.00000000000000000000000000000000000000000000000000000420835754904684
"lsrR" -5.14940661709934 7.52337333471218 405.170888096619 0.0000000000000000000000000000000000000000000000000000000502480073802889 0.00000000000000000000000000000000000000000000000000000471944746241021
"lsrG" -6.42894651359001 6.6361663646603 403.67965849346 0.0000000000000000000000000000000000000000000000000000000680095518198875 0.0000000000000000000000000000000000000000000000000000062279747079062
"ybdR" -3.89821285271611 8.5074925435433 390.575824094789 0.00000000000000000000000000000000000000000000000000000100067183321111 0.0000000000000000000000000000000000000000000000000000894014859768849
"ydeI" -4.45924057403516 7.33916951472836 390.277600626078 0.00000000000000000000000000000000000000000000000000000106447402563383 0.0000000000000000000000000000000000000000000000000000928373418070646
"ykfB" -2.92502905075106 7.11802838651254 384.795780095539 0.00000000000000000000000000000000000000000000000000000333213784359733 0.000000000000000000000000000000000000000000000000000283851649327838
"uxaA" -3.66043631731922 8.02177414856017 383.406316409401 0.00000000000000000000000000000000000000000000000000000445651269783517 0.000000000000000000000000000000000000000000000000000371004682094778
"nirB" 4.47321680155789 8.2000038639769 382.640897508428 0.00000000000000000000000000000000000000000000000000000523202134022202 0.000000000000000000000000000000000000000000000000000425886537094072
"lsrK" -5.23416260018934 7.86067450901839 379.277472777407 0.0000000000000000000000000000000000000000000000000000106121311817479 0.00000000000000000000000000000000000000000000000000084504861997266
"araH" -4.519691415084 7.58605694172794 376.517813858997 0.0000000000000000000000000000000000000000000000000000190102941166759 0.00000000000000000000000000000000000000000000000000146516469439821
"relB" -3.86712974989237 7.69903698615526 376.471025175938 0.0000000000000000000000000000000000000000000000000000191995373549315 0.00000000000000000000000000000000000000000000000000146516469439821
"rspB" -9.10760200891497 9.52409143248813 375.886358866101 0.0000000000000000000000000000000000000000000000000000334586866739058 0.00000000000000000000000000000000000000000000000000250120753645953
"lsrB" -6.99923628042481 7.88130314079045 369.835547800039 0.0000000000000000000000000000000000000000000000000000788034205865612 0.00000000000000000000000000000000000000000000000000577313859217148
"yhbO" -4.29337360795719 8.21240429297042 368.32896187742 0.000000000000000000000000000000000000000000000000000108809594454774 0.00000000000000000000000000000000000000000000000000781508910760463
"atpC" 4.05462761318037 9.24375283720599 364.889717804952 0.000000000000000000000000000000000000000000000000000227917504268621 0.000000000000000000000000000000000000000000000000016055034964153
"gcvP" 4.27774404680065 9.69102512485525 357.403320990716 0.00000000000000000000000000000000000000000000000000115555940964168 0.0000000000000000000000000000000000000000000000000798644173116502
"tusB" -2.85547943924327 6.67311440475343 356.277698280236 0.00000000000000000000000000000000000000000000000000147747348045175 0.000000000000000000000000000000000000000000000000100221951090644
"nrdD" -3.73200267182638 9.33574997855764 355.873748219911 0.00000000000000000000000000000000000000000000000000161386563383869 0.000000000000000000000000000000000000000000000000107483451213656
"nrdG" -3.29804068595325 5.01267605341339 354.783590968667 0.00000000000000000000000000000000000000000000000000204871300008621 0.000000000000000000000000000000000000000000000000134007780702068
"ycjX" -3.74644004029227 8.97845029627606 354.322715181958 0.00000000000000000000000000000000000000000000000000226641352835218 0.000000000000000000000000000000000000000000000000145646890427264
"mcbA" -5.18770128057429 8.08988415182529 351.130602999453 0.00000000000000000000000000000000000000000000000000457084680899506 0.000000000000000000000000000000000000000000000000288672618299119
"cybB" 3.58646659894245 5.86594308309851 344.967887681083 0.0000000000000000000000000000000000000000000000000178900021828906 0.00000000000000000000000000000000000000000000000111069623721912
"exuT" -4.16050037198482 7.50583990651655 344.461174621208 0.0000000000000000000000000000000000000000000000000200262452698065 0.00000000000000000000000000000000000000000000000122260227372168
"atpH" 4.24124813062458 9.22827938840623 339.800932336993 0.0000000000000000000000000000000000000000000000000567610136282953 0.00000000000000000000000000000000000000000000000340845234295812
"livK" 4.77661615878301 6.33385311351114 339.667538802874 0.0000000000000000000000000000000000000000000000000584859628326918 0.00000000000000000000000000000000000000000000000345538841703468
"yebW" -3.56601681944587 6.48741775932003 337.603806069684 0.0000000000000000000000000000000000000000000000000930165122416238 0.00000000000000000000000000000000000000000000000540824578319155
"yagU" 3.37368320370297 6.03731789990877 333.553109296391 0.000000000000000000000000000000000000000000000000232312293593336 0.0000000000000000000000000000000000000000000000132962489286311
"lpxP" -3.07332071141155 7.48303931082329 331.216523237775 0.000000000000000000000000000000000000000000000000394986668900282 0.0000000000000000000000000000000000000000000000222590179720267
"lsrA" -8.25833529280808 8.68322677941517 326.538709956063 0.0000000000000000000000000000000000000000000000011501548011088 0.0000000000000000000000000000000000000000000000638335914615387
"ydcH" -4.62133524339516 6.42858454811253 325.396376513138 0.00000000000000000000000000000000000000000000000149506422280726 0.0000000000000000000000000000000000000000000000817376156439255
"macB" -3.22748592507794 8.58282124902281 322.122671756193 0.00000000000000000000000000000000000000000000000317903949430676 0.000000000000000000000000000000000000000000000171247377465377
"potD" 3.58676812282995 8.60258120129816 318.733905144413 0.00000000000000000000000000000000000000000000000697196215754535 0.00000000000000000000000000000000000000000000037012025192882
"yafD" -3.05099550409497 9.37432186696056 317.933970998129 0.00000000000000000000000000000000000000000000000839748222426215 0.000000000000000000000000000000000000000000000439428248392461
"atpF" 4.40389976252886 9.69816293044454 316.466503993885 0.0000000000000000000000000000000000000000000000118208826096775 0.000000000000000000000000000000000000000000000609857647876741
"atpG" 4.3980420590742 10.1950006490389 315.506803722504 0.0000000000000000000000000000000000000000000000147899793472474 0.000000000000000000000000000000000000000000000752440199291212
"feoA" 3.80156104723212 6.70419536851596 313.700908796912 0.0000000000000000000000000000000000000000000000225696520153394 0.00000000000000000000000000000000000000000000113250185386559
"lsrF" -6.08675506523591 7.749789589939 311.981343840025 0.000000000000000000000000000000000000000000000033793583902197 0.00000000000000000000000000000000000000000000167278240315875
"atpE" 3.86163474557537 9.12105035427784 310.521567771623 0.0000000000000000000000000000000000000000000000476501143037783 0.00000000000000000000000000000000000000000000232723158259653
"ompT" 4.99648540502508 10.0978407433706 307.626580305059 0.0000000000000000000000000000000000000000000000944326152959849 0.00000000000000000000000000000000000000000000455140355038412
"uxaC" -3.6745582001179 8.64332961641879 305.985304764385 0.000000000000000000000000000000000000000000000139378323636162 0.00000000000000000000000000000000000000000000663042596726313
"yebE" -2.38253964457976 8.13272271098939 305.355265650056 0.000000000000000000000000000000000000000000000161891954096817 0.00000000000000000000000000000000000000000000760269522893128
"ycjF" -2.97066256854774 7.61363082549826 302.451545244063 0.000000000000000000000000000000000000000000000323486267171179 0.0000000000000000000000000000000000000000000149991164132662
"ghrA" 2.21981288228923 6.59384165627374 300.831672080054 0.000000000000000000000000000000000000000000000476680493816051 0.0000000000000000000000000000000000000000000218260081106024
"narK" 3.3122953250207 5.77167309530075 299.938808838266 0.000000000000000000000000000000000000000000000820135908372463 0.0000000000000000000000000000000000000000000370883683008436
"nanE" -3.09610468913449 4.12914193491718 296.063261919743 0.00000000000000000000000000000000000000000000150190012330761 0.0000000000000000000000000000000000000000000670909774594608
"yjdN" -4.18197307173935 8.40033708589063 294.771631832398 0.00000000000000000000000000000000000000000000205290179196719 0.0000000000000000000000000000000000000000000905997501683835
"paoA" -3.23659114080895 4.87848317984087 294.436458346908 0.00000000000000000000000000000000000000000000222658597713958 0.0000000000000000000000000000000000000000000970950527888366
"yibH" -3.32736687284279 6.72032483081931 293.419864029511 0.0000000000000000000000000000000000000000000028493550850145 0.00000000000000000000000000000000000000000012279044325186
"narL" 2.63141545026079 5.90919058275056 292.16759076376 0.00000000000000000000000000000000000000000000386322266240599 0.000000000000000000000000000000000000000000164546332702246
"livM" 4.21057596491684 5.74230420334151 289.259695508096 0.00000000000000000000000000000000000000000000785369527304886 0.000000000000000000000000000000000000000000330667652703195
"pntA" 2.84929734739826 9.16458168142783 288.522666863519 0.00000000000000000000000000000000000000000000940641948375658 0.000000000000000000000000000000000000000000391542211011368
"fklB" 2.33844295424237 7.71898788000501 288.264695956022 0.0000000000000000000000000000000000000000000100201094606238 0.000000000000000000000000000000000000000000412400684879382
"ybeD" -4.02191243390918 8.9783970638801 283.221344185825 0.0000000000000000000000000000000000000000000346770106316285 0.00000000000000000000000000000000000000000141135433270728
"atpD" 4.41318630606373 11.0248118501377 282.911438781171 0.0000000000000000000000000000000000000000000374397008613704 0.00000000000000000000000000000000000000000150705081599121
"thrC" 4.05640690407975 8.48802441586643 279.363023735879 0.0000000000000000000000000000000000000000000903322801917892 0.0000000000000000000000000000000000000000035965993732883
"fadE" -5.09399654570568 8.98464487292116 279.256249910955 0.0000000000000000000000000000000000000000000927664826555311 0.00000000000000000000000000000000000000000365380242975495
"fucO" -2.99914758996559 5.24823394740369 277.50043659218 0.000000000000000000000000000000000000000000143751645334296 0.0000000000000000000000000000000000000000055492247770961
"ilvI" 3.49354131440045 7.63021175916155 278.694889575994 0.000000000000000000000000000000000000000000143919288513276 0.0000000000000000000000000000000000000000055492247770961
"purT" 4.91002933105323 7.98918894064948 276.021373780588 0.000000000000000000000000000000000000000000208125204980055 0.00000000000000000000000000000000000000000794127735252022
"hslR" -2.69925038010468 7.92774616948853 272.785494392731 0.00000000000000000000000000000000000000000046929739094512 0.0000000000000000000000000000000000000000177220241549688
"galS" -5.15909853225033 4.99147510948183 272.616228536098 0.000000000000000000000000000000000000000000489753394064544 0.0000000000000000000000000000000000000000183057824740656
"pyrI" 7.76855719983899 9.29499334025653 272.443027707695 0.000000000000000000000000000000000000000000511615266204058 0.0000000000000000000000000000000000000000189297648495501
"yciM" -1.97332324228376 7.56445714210408 272.334607399356 0.000000000000000000000000000000000000000000525798009516363 0.0000000000000000000000000000000000000000192599810885844
"ybaE" -4.11734728713682 6.83326562644939 268.888547469407 0.00000000000000000000000000000000000000000125750676691506 0.0000000000000000000000000000000000000000456064087842562
"yeiQ" -2.86409800915217 6.55938000466893 268.26180819493 0.00000000000000000000000000000000000000000147449392120418 0.0000000000000000000000000000000000000000529516787585385
"ybhQ" -3.66636434392903 6.1447757906222 265.430146341634 0.00000000000000000000000000000000000000000303385418455607 0.000000000000000000000000000000000000000107893280369212
"livH" 4.79602384299282 5.19958564779028 265.317232228748 0.00000000000000000000000000000000000000000312265521166733 0.000000000000000000000000000000000000000109983519618629
"atoB" -3.08240420129684 3.91430121562483 263.685520327827 0.00000000000000000000000000000000000000000474110153077502 0.00000000000000000000000000000000000000016539671340218
"sslE" 2.09772919208018 7.20500612161534 263.376792054497 0.00000000000000000000000000000000000000000513162401418225 0.000000000000000000000000000000000000000177331497773109
"hupA" 3.46273363114213 9.05545028446497 261.706745986873 0.00000000000000000000000000000000000000000788047101170714 0.000000000000000000000000000000000000000269777245942834
"ibpB" -4.77844840576181 8.1861401533158 260.421822056925 0.0000000000000000000000000000000000000000109720090193209 0.000000000000000000000000000000000000000372133972571967
"thrA" 4.94271577385173 9.68043175902551 259.027181239814 0.0000000000000000000000000000000000000000157284894240992 0.000000000000000000000000000000000000000528563823490601
"nfsB" 2.30433354842752 7.31122491849245 258.210954947866 0.0000000000000000000000000000000000000000194273258462715 0.000000000000000000000000000000000000000646929950680842
"dppD" 5.3965002693015 6.7821523101303 257.467136201272 0.0000000000000000000000000000000000000000235572869598637 0.000000000000000000000000000000000000000777390469675502
"malE" 4.53296178488317 6.1830015147582 254.955603649582 0.0000000000000000000000000000000000000000452538887071107 0.00000000000000000000000000000000000000148004459226917
"yhgF" 2.72775056531416 7.67051452170742 254.390476421015 0.000000000000000000000000000000000000000052437323648382 0.00000000000000000000000000000000000000169980457100906
"araG" -4.06827028001543 7.78873961019474 254.303004326221 0.0000000000000000000000000000000000000000536476124405801 0.00000000000000000000000000000000000000172378249447232
"pyrB" 7.9802701381706 10.1822121499303 254.157650958736 0.0000000000000000000000000000000000000000557213217432889 0.00000000000000000000000000000000000000177484523083189
"lysU" -2.20138039929283 7.87112834205418 252.105474090803 0.0000000000000000000000000000000000000000952918495235361 0.00000000000000000000000000000000000000300908659314407
"thiH" 2.86681533079574 5.43215381083586 251.901244550424 0.000000000000000000000000000000000000000100530300101395 0.00000000000000000000000000000000000000314737170317444
"yhbP" -2.64463193375056 4.47945264938865 250.628050503349 0.000000000000000000000000000000000000000140407677121596 0.0000000000000000000000000000000000000043585874686136
"sixA" -2.94106351205795 8.61427937817294 249.527617087152 0.000000000000000000000000000000000000000187535054716473 0.00000000000000000000000000000000000000577261265064236
"atpA" 4.34568436211106 11.2725720938407 249.381804016732 0.000000000000000000000000000000000000000194875470737134 0.00000000000000000000000000000000000000594857374425102
"proV" 3.89301906836298 7.49933039012064 248.491470241137 0.000000000000000000000000000000000000000246419115057044 0.00000000000000000000000000000000000000745977866490871
"fimA" 3.4094382504687 9.0251645123911 249.872737820078 0.000000000000000000000000000000000000000288964586032059 0.00000000000000000000000000000000000000867604326750354
"bssR" -5.47950306395102 10.5530236461409 246.565254989606 0.000000000000000000000000000000000000000409985890162223 0.0000000000000000000000000000000000000122095798021481
"tgt" 3.26034781354906 7.94630804751355 246.132780323518 0.000000000000000000000000000000000000000459750562764616 0.0000000000000000000000000000000000000135811799306999
"melA" -2.93274060344171 6.28877589708079 245.822881198684 0.000000000000000000000000000000000000000499113966250072 0.0000000000000000000000000000000000000146260356669921
"yeeN" 3.53387587722494 6.02136406621689 244.915739536622 0.000000000000000000000000000000000000000634977674254636 0.0000000000000000000000000000000000000184597081015455
"truD" 2.06667534017894 6.77930251665744 244.670555410404 0.000000000000000000000000000000000000000677720114268819 0.0000000000000000000000000000000000000195471557367455
"sulA" -2.65857282535283 7.70623207816433 241.407007030582 0.00000000000000000000000000000000000000161778103047625 0.0000000000000000000000000000000000000462963430830821
"gltD" 3.82208278548838 9.74654282066765 240.815388598435 0.00000000000000000000000000000000000000189529960492119 0.0000000000000000000000000000000000000538176934327621
