,condition1,condition2,timepoint_1,iptg_1,cuminic_acid_1,vanillic_acid_1,xylose_1,timepoint_2,iptg_2,cuminic_acid_2,vanillic_acid_2,xylose_2,comparison
0,"5, 0, 0, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,5,0,0,0,0,1.0
2,"5, 0, 0, 0, 0","5, 0, 0, 0, 1",5,0,0,0,0,5,0,0,0,1,0.11363636363636363
3,"5, 0, 0, 0, 1","5, 0, 0, 0, 0",5,0,0,0,0,5,0,0,0,1,0.11363636363636363
4,"5, 0, 0, 0, 0","5, 0, 0, 1, 0",5,0,0,0,0,5,0,0,1,0,0.07865168539325842
5,"5, 0, 0, 1, 0","5, 0, 0, 0, 0",5,0,0,0,0,5,0,0,1,0,0.07865168539325842
6,"5, 0, 0, 0, 0","5, 0, 1, 0, 0",5,0,0,0,0,5,0,1,0,0,0.04477611940298507
7,"5, 0, 1, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,5,0,1,0,0,0.04477611940298507
8,"5, 0, 0, 0, 0","5, 1, 0, 0, 0",5,0,0,0,0,5,1,0,0,0,0.024271844660194174
9,"5, 1, 0, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,5,1,0,0,0,0.024271844660194174
10,"5, 0, 0, 0, 0","5, 1, 0, 1, 0",5,0,0,0,0,5,1,0,1,0,0.09523809523809523
11,"5, 1, 0, 1, 0","5, 0, 0, 0, 0",5,0,0,0,0,5,1,0,1,0,0.09523809523809523
12,"5, 0, 0, 0, 0","5, 1, 1, 0, 0",5,0,0,0,0,5,1,1,0,0,0.16666666666666666
13,"5, 1, 1, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,5,1,1,0,0,0.16666666666666666
14,"5, 0, 0, 0, 0","18, 0, 0, 0, 0",5,0,0,0,0,18,0,0,0,0,0.005235602094240838
15,"18, 0, 0, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,18,0,0,0,0,0.005235602094240838
16,"5, 0, 0, 0, 0","18, 0, 0, 0, 1",5,0,0,0,0,18,0,0,0,1,0.0031446540880503146
17,"18, 0, 0, 0, 1","5, 0, 0, 0, 0",5,0,0,0,0,18,0,0,0,1,0.0031446540880503146
18,"5, 0, 0, 0, 0","18, 0, 0, 1, 0",5,0,0,0,0,18,0,0,1,0,0.005030181086519115
19,"18, 0, 0, 1, 0","5, 0, 0, 0, 0",5,0,0,0,0,18,0,0,1,0,0.005030181086519115
20,"5, 0, 0, 0, 0","18, 0, 1, 0, 0",5,0,0,0,0,18,0,1,0,0,0.004970178926441352
21,"18, 0, 1, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,18,0,1,0,0,0.004970178926441352
22,"5, 0, 0, 0, 0","18, 1, 0, 0, 0",5,0,0,0,0,18,1,0,0,0,0.005208333333333333
23,"18, 1, 0, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,18,1,0,0,0,0.005208333333333333
24,"5, 0, 0, 0, 0","18, 1, 1, 0, 0",5,0,0,0,0,18,1,1,0,0,0.0050916496945010185
25,"18, 1, 1, 0, 0","5, 0, 0, 0, 0",5,0,0,0,0,18,1,1,0,0,0.0050916496945010185
26,"5, 0, 0, 0, 1","5, 0, 0, 0, 1",5,0,0,0,1,5,0,0,0,1,1.0
28,"5, 0, 0, 0, 1","5, 0, 0, 1, 0",5,0,0,0,1,5,0,0,1,0,0.27184466019417475
29,"5, 0, 0, 1, 0","5, 0, 0, 0, 1",5,0,0,0,1,5,0,0,1,0,0.27184466019417475
30,"5, 0, 0, 0, 1","5, 0, 1, 0, 0",5,0,0,0,1,5,0,1,0,0,0.2867647058823529
31,"5, 0, 1, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,5,0,1,0,0,0.2867647058823529
32,"5, 0, 0, 0, 1","5, 1, 0, 0, 0",5,0,0,0,1,5,1,0,0,0,0.17703349282296652
33,"5, 1, 0, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,5,1,0,0,0,0.17703349282296652
34,"5, 0, 0, 0, 1","5, 1, 0, 1, 0",5,0,0,0,1,5,1,0,1,0,0.19540229885057472
35,"5, 1, 0, 1, 0","5, 0, 0, 0, 1",5,0,0,0,1,5,1,0,1,0,0.19540229885057472
36,"5, 0, 0, 0, 1","5, 1, 1, 0, 0",5,0,0,0,1,5,1,1,0,0,0.48936170212765956
37,"5, 1, 1, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,5,1,1,0,0,0.48936170212765956
38,"5, 0, 0, 0, 1","18, 0, 0, 0, 0",5,0,0,0,1,18,0,0,0,0,0.026831785345717233
39,"18, 0, 0, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,18,0,0,0,0,0.026831785345717233
40,"5, 0, 0, 0, 1","18, 0, 0, 0, 1",5,0,0,0,1,18,0,0,0,1,0.024793388429752067
41,"18, 0, 0, 0, 1","5, 0, 0, 0, 1",5,0,0,0,1,18,0,0,0,1,0.024793388429752067
42,"5, 0, 0, 0, 1","18, 0, 0, 1, 0",5,0,0,0,1,18,0,0,1,0,0.025793650793650792
43,"18, 0, 0, 1, 0","5, 0, 0, 0, 1",5,0,0,0,1,18,0,0,1,0,0.025793650793650792
44,"5, 0, 0, 0, 1","18, 0, 1, 0, 0",5,0,0,0,1,18,0,1,0,0,0.024485798237022526
45,"18, 0, 1, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,18,0,1,0,0,0.024485798237022526
46,"5, 0, 0, 0, 1","18, 1, 0, 0, 0",5,0,0,0,1,18,1,0,0,0,0.02880658436213992
47,"18, 1, 0, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,18,1,0,0,0,0.02880658436213992
48,"5, 0, 0, 0, 1","18, 1, 1, 0, 0",5,0,0,0,1,18,1,1,0,0,0.023023023023023025
49,"18, 1, 1, 0, 0","5, 0, 0, 0, 1",5,0,0,0,1,18,1,1,0,0,0.023023023023023025
50,"5, 0, 0, 1, 0","5, 0, 0, 1, 0",5,0,0,1,0,5,0,0,1,0,1.0
52,"5, 0, 0, 1, 0","5, 0, 1, 0, 0",5,0,0,1,0,5,0,1,0,0,0.26857142857142857
53,"5, 0, 1, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,5,0,1,0,0,0.26857142857142857
54,"5, 0, 0, 1, 0","5, 1, 0, 0, 0",5,0,0,1,0,5,1,0,0,0,0.205761316872428
55,"5, 1, 0, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,5,1,0,0,0,0.205761316872428
56,"5, 0, 0, 1, 0","5, 1, 0, 1, 0",5,0,0,1,0,5,1,0,1,0,0.46601941747572817
57,"5, 1, 0, 1, 0","5, 0, 0, 1, 0",5,0,0,1,0,5,1,0,1,0,0.46601941747572817
58,"5, 0, 0, 1, 0","5, 1, 1, 0, 0",5,0,0,1,0,5,1,1,0,0,0.19387755102040816
59,"5, 1, 1, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,5,1,1,0,0,0.19387755102040816
60,"5, 0, 0, 1, 0","18, 0, 0, 0, 0",5,0,0,1,0,18,0,0,0,0,0.04513540621865597
61,"18, 0, 0, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,18,0,0,0,0,0.04513540621865597
62,"5, 0, 0, 1, 0","18, 0, 0, 0, 1",5,0,0,1,0,18,0,0,0,1,0.047379032258064516
63,"18, 0, 0, 0, 1","5, 0, 0, 1, 0",5,0,0,1,0,18,0,0,0,1,0.047379032258064516
64,"5, 0, 0, 1, 0","18, 0, 0, 1, 0",5,0,0,1,0,18,0,0,1,0,0.04951456310679612
65,"18, 0, 0, 1, 0","5, 0, 0, 1, 0",5,0,0,1,0,18,0,0,1,0,0.04951456310679612
66,"5, 0, 0, 1, 0","18, 0, 1, 0, 0",5,0,0,1,0,18,0,1,0,0,0.045933014354066985
67,"18, 0, 1, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,18,0,1,0,0,0.045933014354066985
68,"5, 0, 0, 1, 0","18, 1, 0, 0, 0",5,0,0,1,0,18,1,0,0,0,0.05015045135406219
69,"18, 1, 0, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,18,1,0,0,0,0.05015045135406219
70,"5, 0, 0, 1, 0","18, 1, 1, 0, 0",5,0,0,1,0,18,1,1,0,0,0.042926829268292686
71,"18, 1, 1, 0, 0","5, 0, 0, 1, 0",5,0,0,1,0,18,1,1,0,0,0.042926829268292686
72,"5, 0, 1, 0, 0","5, 0, 1, 0, 0",5,0,1,0,0,5,0,1,0,0,1.0
