"logFC" "logCPM" "F" "PValue" "FDR"
"xyla" -7.22842755053226 7.36119921675002 1140.89994672625 0.0000000000000000000000000000000309559129878402 0.000000000000000000000000000110698344844517
"srfad" -3.32965018718863 12.2795417728776 768.815668071117 0.0000000000000000000000000000918579854376437 0.000000000000000000000000164242077962507
"srfac" -3.26833994518921 14.3264946779823 693.442305442642 0.000000000000000000000000000724983392848703 0.000000000000000000000000864180204275654
"srfab" -3.06373988814731 15.7129225038311 630.751220450089 0.00000000000000000000000000478311152027325 0.00000000000000000000000427610169912428
"argh" -7.44555198937373 10.9417645118782 556.058453088485 0.0000000000000000000000000578306731035233 0.0000000000000000000000413604974036398
"argj" -8.64995031712477 10.3362019596704 534.601911556084 0.000000000000000000000000125383721930841 0.0000000000000000000000747286982707813
"argc" -8.06461986676567 8.60906827461501 515.668556374266 0.000000000000000000000000254314772918291 0.000000000000000000000129918518279401
"xylb" -4.9515372209454 6.041784817157 505.768485956367 0.000000000000000000000000371664536002829 0.000000000000000000000166134047593264
"amhx" -2.69213358123938 7.96823630244343 449.192072093193 0.00000000000000000000000374229817398795 0.00000000000000000000148693980779788
"xkdg" -4.07337640813398 5.83882425227207 446.305654910091 0.00000000000000000000000424000832216195 0.00000000000000000000151622697600511
"argb" -9.19713771684638 9.46017273956302 437.803871271171 0.00000000000000000000000615147225849593 0.00000000000000000000199978770876195
"cara" -9.96291301823977 10.2961347544422 425.864867991163 0.0000000000000000000000104915688031909 0.00000000000000000000312648750335089
"appd" -3.1683053716828 7.6526826506888 422.859437684549 0.0000000000000000000000120265559679103 0.00000000000000000000330822801086516
"argf" -8.73188075259768 10.4401967389585 419.331613276401 0.000000000000000000000014133235287996 0.0000000000000000000036100320992767
"argg" -7.33420830716861 10.7370728627474 417.114901815235 0.000000000000000000000015651805820336 0.00000000000000000000373139050756809
"ytzd" -7.15449686209721 6.95605923501072 413.0862059837 0.0000000000000000000000188655463974944 0.00000000000000000000392390010874093
"dppa" -2.62523431005622 7.87992710253203 412.702769436192 0.000000000000000000000019205521928367 0.00000000000000000000392390010874093
"srfaa" -2.81274518267237 15.4610032381888 412.101981373427 0.000000000000000000000019751175043998 0.00000000000000000000392390010874093
"srft" -2.37654573157112 7.32908812870127 390.888419737745 0.0000000000000000000000544337111718998 0.00000000000000000000959799162699984
"appf" -3.0931250619031 8.1262017946098 390.27716525807 0.000000000000000000000056088307433829 0.00000000000000000000959799162699984
"carb" -9.51415901546758 11.8188196390319 390.177138433173 0.0000000000000000000000563640447894286 0.00000000000000000000959799162699984
"artr" -4.85682142969164 8.45236827798761 383.836764990848 0.0000000000000000000000770942726099828 0.0000000000000000000125313235842408
"artq" -4.79108588149604 7.03018917642958 381.813698803324 0.0000000000000000000000852806068742217 0.0000000000000000000132592804427051
"argd" -9.45364477141205 10.4957267144619 378.13967493755 0.000000000000000000000102561395118356 0.000000000000000000015281647872635
"dppb" -2.65126222455823 7.97572047027964 307.669055284457 0.00000000000000000000502488830447482 0.000000000000000000718760023072078
"xkdf" -3.6684267844118 5.44680412881759 301.811548196657 0.00000000000000000000718915677863279 0.000000000000000000988785563091956
"xynp" -4.32574869350267 4.52768928448019 301.058212797528 0.00000000000000000000753140594033376 0.000000000000000000997492875653094
"xkde" -3.50062045504308 4.81260333772636 289.69521698834 0.0000000000000000000153833406116019 0.0000000000000000019646723581103
"appc" -2.68860058246275 8.04361435234024 282.498381704823 0.0000000000000000000244941842099512 0.0000000000000000030203863011995
"appb" -2.58902508948851 7.78721045672479 273.841082356207 0.0000000000000000000434619571060811 0.00000000000000000518066528704487
"flot" -1.95202686148252 11.4596304690045 267.782174508979 0.0000000000000000000655411455936397 0.00000000000000000756048827880179
"nark" -3.86268433814811 6.3372957123377 257.548301770936 0.000000000000000000133645028895258 0.0000000000000000149348319790451
"sndc" -1.63899759801665 8.05894388734686 256.660207496731 0.000000000000000000142332525098069 0.0000000000000000154236699924453
"dppc" -3.0686569967945 8.06628657778237 254.712452525465 0.000000000000000000163522505071134 0.0000000000000000168547847490526
"alss" -2.93648779515369 9.36786326038295 254.589560133444 0.000000000000000000164965734400683 0.0000000000000000168547847490526
"alsd" -2.88260780796315 8.29532812730589 253.375099812738 0.000000000000000000179966746173393 0.000000000000000017876696786557
"artp" -5.59165190864707 8.72717555161887 248.816377261655 0.000000000000000000250311810655256 0.0000000000000000241922982406269
"narh" -4.49757339620454 8.13938698810409 244.71826385825 0.00000000000000000033824350569346 0.0000000000000000318304941147319
"nari" -4.67908863985469 9.64020762543377 228.105449615796 0.00000000000000000120002788021292 0.000000000000000110033325631831
"xkdk" -4.14332072477927 6.39107048174342 226.072173659146 0.0000000000000000014087130418957 0.000000000000000125938945945475
"xkdi" -3.62345912795023 4.84294604792414 224.059728376229 0.00000000000000000165296762871348 0.000000000000000144171030250717
"xkdo" -2.74941310081289 6.50590550610018 220.490953348751 0.00000000000000000220148536617608 0.00000000000000018744075403442
"narj" -4.67656864691234 7.35776081434981 215.922534249148 0.00000000000000000319543224150492 0.000000000000000265741062688874
"yxbb" -3.54769377130288 9.53537988404901 214.661906817411 0.00000000000000000354558483087668 0.000000000000000288159348982159
"narg" -4.51736208008256 9.66719490954699 214.024275778235 0.0000000000000000037377823789058 0.000000000000000297029106377048
"xkdm" -4.29599888990727 5.09045042778165 212.518508354382 0.00000000000000000423625872969409 0.000000000000000329323069943175
"xynb" -3.94922193323322 6.20432484215003 199.913916789977 0.0000000000000000124504284665827 0.000000000000000947292174393611
"appac" -2.03577142586092 9.68465263506218 198.22926263985 0.0000000000000000144414340028014 0.00000000000000107588683320871
"ctad" -1.3737314980456 8.70369849109145 195.884680099682 0.0000000000000000177841555916093 0.00000000000000129788041623663
"albc" -1.85272900566525 7.06299640513382 194.398090203946 0.000000000000000020315668767883 0.00000000000000145297663027899
"appan" -2.02136478320665 8.18407638793291 193.67024486528 0.0000000000000000216901553754848 0.00000000000000152086265926928
"ilvd" -1.25480350709521 9.24607901720882 185.633731635621 0.0000000000000000453093921370331 0.00000000000000305973012740474
"albf" -2.44008534418849 6.43665027595519 185.62451835759 0.0000000000000000453483492037055 0.00000000000000305973012740474
"ykzl" -3.79459085962616 4.60074277129965 182.017562441492 0.0000000000000000636596967560099 0.00000000000000421568658517577
"albe" -2.28753210381882 6.7028917350482 179.654142682569 0.0000000000000000797409806203463 0.00000000000000518461357633379
"xkdh" -4.0501599106575 4.33520483961339 178.266366764707 0.0000000000000000911188765888945 0.0000000000000058185911193194
"dppe" -2.26785108723919 9.37585958740072 177.852352360095 0.0000000000000000948332586331293 0.00000000000000594953917319421
"hisa" -2.37269340159098 6.50821240225712 175.941439433711 0.000000000000000114150946096457 0.00000000000000703799626277468
"hisf" -2.2388422247905 6.33529752642169 175.071416867302 0.000000000000000124272329761939 0.00000000000000753216696997789
"nupg" 1.34512598628123 7.00860988512293 171.079346725768 0.000000000000000184329092801337 0.0000000000000109860139309597
"ynen" -2.49138381414012 6.4645978118782 166.210859852807 0.00000000000000030117678270246 0.0000000000000176558717203934
"yxjg" -1.15564913872665 8.31065825982991 165.496602299489 0.000000000000000323985238865001 0.0000000000000186866324867943
"yuai" -1.67229426336541 9.75813474555384 161.360940410609 0.000000000000000496912633468086 0.0000000000000282057075759028
"albd" -1.67940495722933 7.16392855848385 160.631486430854 0.000000000000000536336690485997 0.0000000000000299678125809051
"purb" 1.49737351261 9.88044167080684 160.398695427281 0.000000000000000549596984115431 0.0000000000000302362894645659
"dppd" -2.36392393584582 8.63770260473108 156.807484614054 0.000000000000000803982451387571 0.0000000000000435612310024538
"yxbc" -2.93910000259229 8.65997509745758 156.36172156226 0.0000000000000008432601884093 0.0000000000000450074393097262
"urec" -2.03271708642848 8.65898854695782 155.390618123711 0.000000000000000935949234965232 0.000000000000049219918591701
"pela" -2.12276874010492 8.98272941402309 155.000822242314 0.000000000000000976101143744998 0.0000000000000501892072678193
"xkdu" -3.58559926450324 3.7451404109193 154.940719656072 0.00000000000000098245092526492 0.0000000000000501892072678193
"bmru" -1.48898806298382 8.6057862392022 154.011832009964 0.00000000000000108628358430272 0.0000000000000534434394589825
"alba" -1.74506900470591 8.79670290162833 154.001811463727 0.00000000000000108746438360105 0.0000000000000534434394589825
"yxal" -1.31293952738958 8.28926988925138 153.971981558048 0.00000000000000109098743862017 0.0000000000000534434394589825
"hisie" -2.325492157562 6.20244797141964 150.498082476041 0.00000000000000159549986082536 0.0000000000000771014527339389
"ynfcn" -1.784344224688 8.90877714895908 148.484302653887 0.00000000000000199511593377809 0.0000000000000951271277225391
"yfkt" -1.86735695250226 7.42122842152921 147.692937081576 0.0000000000000021797051032264 0.000000000000102560861172863
"cuti" 1.5697514200281 5.61873775626709 143.999565690144 0.00000000000000331064509579093 0.000000000000153751517695433
"nfedb" -1.80984448753312 10.1353560618244 139.855391763812 0.00000000000000534507049471429 0.000000000000245050924219209
"clpc" -0.944575615947599 10.5956010502712 138.988772326072 0.00000000000000591645474866302 0.000000000000266901818750152
"yusyc" -1.15391764432022 7.86541104814649 138.91073138001 0.00000000000000597095791387365 0.000000000000266901818750152
"qcrc" -1.15892982851635 9.10953730764762 137.833316626303 0.00000000000000677957463423559 0.00000000000029930566533366
"pbuo" 1.45583883839734 7.356154687236 136.732958694249 0.00000000000000772467165975572 0.000000000000336871047015689
"xkdq" -3.93820091344773 4.4911328109381 135.40135364711 0.00000000000000905608705291238 0.000000000000390175509653189
"apre" -1.51615363765631 6.74113765699981 134.795684581651 0.00000000000000973924102711536 0.000000000000414613403725768
"citb" -2.1397003229799 11.3377886223069 133.968960114657 0.0000000000000107600338186979 0.000000000000451766875491494
"xkdv" -2.91120783149209 4.81646930221483 133.888923845716 0.0000000000000108646396231176 0.000000000000451766875491494
"hish" -2.41888892448689 5.73973335525224 132.779317907675 0.0000000000000124298510072818 0.000000000000510909737954481
"bglh" -2.08482699916108 7.15838635049231 132.422412276273 0.0000000000000129821339483002 0.000000000000527546715899108
"xlya" -2.92873765486243 5.65644950624294 132.199740549244 0.0000000000000133396690542764 0.000000000000535984904922386
"opuaa" 1.18151196444134 7.7214737300872 131.441280195587 0.0000000000000146368903146514 0.000000000000581572441835484
"xtmb" -3.06444902959421 4.56385059505951 128.322342886216 0.0000000000000215314729733749 0.000000000000846115904975701
"lutp" -1.37084336152368 9.14581455869923 128.188223458498 0.0000000000000218953090099722 0.000000000000848522263674807
"csbc" -1.49896532180195 10.9818543577869 128.125643001495 0.0000000000000220672736358381 0.000000000000848522263674807
"ctac" -1.32778842520367 7.09739110561493 125.905406771123 0.0000000000000291817503454168 0.00000000000109986943308155
"purl" 1.35622829488968 10.6519579756566 125.895304669707 0.0000000000000292191264381284 0.00000000000109986943308155
"nupn" -1.78959054236638 7.69372780661829 125.608320995545 0.0000000000000303021347766728 0.00000000000112875452043106
"yrbe" -1.69324107895077 6.49353756998698 125.400790300735 0.0000000000000311114499923291 0.00000000000114695407394401
"nupp" -1.85363910081592 5.51258028157139 123.276042588503 0.0000000000000408269974611024 0.00000000000148976880531533
"wall" 1.19435091813117 6.99674127921799 122.071732731125 0.0000000000000477008937290957 0.00000000000172301410076006
"albg" -2.74030872675342 5.59692823340307 121.679259608421 0.0000000000000501947142985886 0.00000000000179496298331753
"yuib" -1.93114922556333 8.21916726041084 121.393524698044 0.0000000000000520959782619969 0.00000000000184450711153367
"yfla" -1.60732185108904 8.56951779462166 121.210469506561 0.0000000000000533535335229851 0.00000000000185301640509416
"qcrb" -1.18019228684937 8.16527425810679 121.207718072782 0.0000000000000533726760975108 0.00000000000185301640509416
"yxna" -1.62006648206057 7.94290829593834 118.375458302338 0.0000000000000774654490154023 0.00000000000266361966999114
"cutr" 1.84176181447712 5.06488200856471 116.903103849653 0.000000000000094266299407107 0.00000000000321044082552204
"kbl" -1.52057040823099 6.74464439697508 116.657244964362 0.0000000000000974247119716618 0.00000000000328670537745908
"xhla" -3.66024301515932 4.04839694645108 115.490466457506 0.00000000000011399862421235 0.00000000000380663554896035
"ybfb" -1.78582382277952 6.21309703818051 115.427988529347 0.000000000000114965503156521 0.00000000000380663554896035
"ycga" -1.62949522874633 6.42681141384876 115.249117000204 0.000000000000117781424873699 0.00000000000386409518668208
"cada" -1.80725156960293 8.13860111533997 114.391136360435 0.000000000000132328716415923 0.00000000000430188627184856
"xkdj" -3.68088388426979 4.05244074171338 113.914730272148 0.000000000000141207868243592 0.00000000000454918321476653
"yxab" -1.46020959498589 6.8926271094513 113.810225515187 0.000000000000143237769399261 0.00000000000457337735153355
"hisd" -2.20282089350546 6.55998706444038 113.739052571355 0.000000000000144637711722043 0.00000000000457720758511528
"hisg" -2.21172092074886 5.39828686679188 112.768034930811 0.000000000000165236187562299 0.00000000000518319830458579
"mcsb" -1.17110984712692 9.06511674037226 111.182431215812 0.000000000000205740016616255 0.00000000000639761999495416
"yhjb" -1.43794657835201 6.49339072520287 110.899400589851 0.000000000000214002575628964 0.00000000000659718284869978
"yebd" -2.09763464927853 5.25629084529617 110.469211360524 0.000000000000227233098001852 0.00000000000694517571328738
"urea" -2.88603933442275 5.44149126096731 109.745862875401 0.000000000000251446655442531 0.0000000000076201122022245
"nupo" -1.94572416874415 6.13367339300012 109.307122111124 0.000000000000267436881177375 0.00000000000803659064781758
"pxpi" -1.3583463922292 7.56311593568129 108.73428175548 0.000000000000289933754059551 0.00000000000864002587097462
"purq" 1.44975690105545 8.90371110834359 107.616221574121 0.000000000000339744022323287 0.0000000000100133338229095
"amtb" -1.63372373833051 6.93988246774201 107.57757572384 0.000000000000341618212079129 0.0000000000100133338229095
"ctae" -1.23536382799798 6.79687647938108 107.25804406121 0.000000000000357535562244691 0.0000000000103946924437969
"bcap" -1.68385695228606 7.87126946873098 107.192330125361 0.000000000000360904317936932 0.0000000000104080148463102
"yhzc" -2.84389150555575 6.55175223885135 106.656089859124 0.000000000000389668376494664 0.0000000000111476329147593
"yjch" -1.1243500825066 8.3428283172663 106.572059749166 0.000000000000394389029891904 0.0000000000111931362769321
"gabp" -1.43832653317089 7.27905877163378 105.206284249332 0.0000000000004801159123928 0.0000000000135188543520996
"ctag" -1.22401643897804 6.69682161832902 105.098487800659 0.000000000000487665672120241 0.0000000000136241597148592
"xkdt" -3.42124911707275 4.44380726042556 104.887990483515 0.000000000000502769034208535 0.0000000000139372253203854
"muraa" 0.96958482450778 9.66430260608663 104.55315302064 0.00000000000052781167196242 0.0000000000145188810687509
"ykwb" -2.40313700410769 5.15506114792153 103.608962826581 0.000000000000605718333611912 0.0000000000165347233663832
"stet" 1.69471496038315 6.84561293004868 103.461434572222 0.000000000000618939859834646 0.0000000000167676434755204
"nupq" -1.58671236678513 6.21679197562398 103.245623653554 0.000000000000638828000378964 0.0000000000171763077395126
"gsib" -1.91593610749771 10.8552394992228 101.215681513415 0.000000000000862184226089871 0.0000000000228660327614067
"yjgd" -1.61762557378185 6.23798822810849 101.207524512615 0.000000000000863231102569882 0.0000000000228660327614067
"ybfa" -1.93063959382438 5.00821105380613 100.984274233611 0.000000000000892406247399849 0.0000000000234650348581019
"cutj" 1.64025817104974 6.29964405217539 100.932563911524 0.000000000000899310113337095 0.0000000000234739632503172
"yfkr" -1.80504211736724 6.90285590231921 100.279201315943 0.000000000000991523830230523 0.0000000000255942579918634
"hisz" -2.26742294414716 5.85621414226107 100.256805033751 0.000000000000994855106506994 0.0000000000255942579918634
"qcra" -1.17765015120263 7.76182400673278 100.11253466814 0.0000000000010165971426041 0.0000000000259667955853733
"ureb" -2.43432214791153 6.00814665508624 99.8078638163278 0.00000000000106416366252172 0.0000000000269890018239551
"acuc" -1.2261390779649 6.49464096380379 99.2209001868742 0.00000000000116249396427338 0.0000000000292752001143774
"glnk" -1.45288793953099 6.20908471626555 98.7210772344905 0.0000000000012537244682072 0.0000000000313518790091535
"copa" -1.69555952404701 9.39077490680076 98.4727037380455 0.00000000000130181923656915 0.0000000000323285110414673
"yqxl" -1.48673401712588 7.04987427696742 98.127763481012 0.00000000000137184196758638 0.0000000000338324612144061
"bmr" -1.30460139145346 8.41886044819575 97.9306945590082 0.00000000000141360748228469 0.0000000000346237010729455
"xtma" -3.05813313263999 3.46133914510052 96.5956122211157 0.00000000000173403992517279 0.0000000000421831753225708
"yuia" -2.69585954538434 7.54211248080636 96.4051457795489 0.00000000000178561570107499 0.0000000000431443361286768
"poxb" -1.45765571350307 9.1080097174567 95.9302127679869 0.00000000000192134419259917 0.0000000000461122606223801
"rapc" -1.38557443308515 7.86880216455021 95.7665457147209 0.0000000000019705860003133 0.000000000046978770247469
"cydc" -1.41234023618084 9.4764515646773 95.5506715401402 0.00000000000203756527042935 0.0000000000482538636228831
"rapa" -1.96898865662838 11.0971948206173 94.9308734229377 0.00000000000224345491099281 0.0000000000527802286954624
"purc" 1.47498168883504 8.64586096513534 94.8079607524033 0.00000000000228681289210606 0.00000000005344864641942
"ysnf" -2.03605869692218 7.2448331025326 94.6990866516708 0.00000000000232595186367926 0.0000000000540104147046561
"metp" 1.31302775178778 6.15270038777504 93.1868915451488 0.00000000000294839316176965 0.0000000000680222835257307
"abrb" 3.10673061704816 5.62287037157984 92.0855444697543 0.00000000000351015665359033 0.0000000000804635909823013
"cydd" -1.59081842617619 8.87487091857842 91.5545878654411 0.0000000000038200260545741 0.0000000000870090010901719
"yfmb" -1.78929860742343 4.58202004415912 90.8866251251757 0.00000000000425105696197256 0.0000000000957655779514365
"spee" 1.52063334289048 6.64331681630664 90.823864320686 0.00000000000429409463506136 0.0000000000957655779514365
"yerd" -1.70654351214082 7.87591708916758 90.7690421062188 0.00000000000433206194999893 0.0000000000957655779514365
"yybf" -1.52723504307584 6.97412690420433 90.7689827884381 0.00000000000433210322064304 0.0000000000957655779514365
"yjgc" -1.67882191208627 8.75391307202292 90.7599774674334 0.00000000000433837349779998 0.0000000000957655779514365
"tagv" 1.36358555134918 7.32235291935412 90.2010589435337 0.0000000000047467623178434 0.000000000104137558580417
"purf" 1.1291981754929 10.5764527664209 89.3257406788677 0.00000000000546918867076165 0.00000000011925499199173
"metn" 1.32385477804215 6.1507662327809 89.2010484137015 0.00000000000558111792248026 0.000000000120958046610845
"tcya" 1.17244451866746 6.67035823882915 88.7228582816166 0.00000000000603310669167175 0.000000000129966201984447
"mtld" -1.90122559986603 5.49114947843738 86.8222706922757 0.00000000000824535729915418 0.000000000176559267675301
"csta" -1.20992949718605 7.35424722667854 86.5509653505906 0.00000000000862464279449048 0.000000000183581682339869
"dat" -0.836203895014595 8.79307057485547 85.956008322553 0.00000000000952180977030244 0.000000000201479241056814
"speb" 1.12242296798412 6.71777746386857 85.8803965980335 0.00000000000964264152848156 0.000000000202835800622647
"ywtg" -1.74044200185493 8.0825660522387 85.0459499631656 0.0000000000110880063112895 0.00000000023187550040451
