"logFC" "logCPM" "F" "PValue" "FDR"
"bsdc" -8.4609803661153 7.7237742773246 667.531011321917 0.0000000000000000000000000015292640847699 0.00000000000000000000000542735823684838
"srfad" -2.72061895740931 12.2795281636418 540.471732786408 0.000000000000000000000000099983050235688 0.000000000000000000000177419922643228
"srfac" -2.65813474622757 14.3264918680396 483.630318052984 0.000000000000000000000000880689838214636 0.00000000000000000000104185607860791
"xkdg" -4.19307024995936 5.83903417038736 471.838742321631 0.00000000000000000000000142438012306505 0.00000000000000000000126378126418946
"srfab" -2.42375406647681 15.7129215734611 416.762432016721 0.00000000000000000000001574507481539 0.0000000000000000000111758541039638
"xkdf" -3.86367133790052 5.44707807235099 333.385178537186 0.00000000000000000000110615827999226 0.00000000000000000065429262261542
"yxab" -2.43832579253622 6.89280315940398 304.104214154948 0.00000000000000000000619082979540426 0.00000000000000000313875070626996
"alss" -3.22789911490333 9.36791171466803 300.546969267498 0.00000000000000000000770734557549703 0.00000000000000000341917118092987
"cada" -2.96486029070794 8.13844388669446 292.980622524946 0.0000000000000000000123777715322343 0.00000000000000000488096790754439
"xkde" -3.49625823957438 4.81291057190495 289.131550000926 0.0000000000000000000158160627053863 0.0000000000000000056131206541416
"amhx" -2.11385169144758 7.96818870399121 285.786395344325 0.0000000000000000000196168763638919 0.00000000000000000632911765595022
"clpc" -1.33732288984093 10.5955877266307 274.042681141688 0.0000000000000000000425343096943098 0.0000000000000000125795220920921
"alsd" -3.00072997122101 8.29541650616751 272.43988079365 0.000000000000000000047378458482716 0.0000000000000000129343191657815
"yfkt" -2.52038981187445 7.42108736046709 261.15696196454 0.00000000000000000010286310762906 0.0000000000000000260757977839667
"csbc" -2.16959355739089 10.9818551750535 257.451915599739 0.000000000000000000133525474723943 0.0000000000000000305153572181864
"poxb" -2.4548659679884 9.1079717842033 256.273930767643 0.000000000000000000145172061764161 0.0000000000000000305153572181864
"srfaa" -2.16070896132159 15.4610023982046 256.177536512591 0.000000000000000000146171054581338 0.0000000000000000305153572181864
