"logFC" "logCPM" "F" "PValue" "FDR"
"bsdc" -8.35031174490353 7.72368757603532 652.881335185941 0.00000000000000000000000000239581000095442 0.00000000000000000000000854585427340441
"srfad" -2.60059513338463 12.2795369217118 498.121635940692 0.00000000000000000000000049797635516977 0.000000000000000000000888140829445285
"xkdg" -4.21319128945603 5.83889914830643 474.968029680794 0.00000000000000000000000125992821863075 0.00000000000000000000149805465195196
"srfac" -2.49588915296586 14.3264936763584 431.086635231885 0.00000000000000000000000825286703410686 0.00000000000000000000735949417766479
"srfab" -2.25940637338704 15.712922172195 365.65810465942 0.000000000000000000000193482497056606 0.000000000000000000138030413400183
"xkdf" -3.81384742043027 5.44690189926786 325.080800926307 0.00000000000000000000178616836458951 0.00000000000000000106187709274846
"xkde" -3.44370575428028 4.81271304166425 280.241799352686 0.0000000000000000000282942582588546 0.0000000000000000144179456013335
"yxab" -2.26064084303197 6.89268990203258 263.457261694868 0.0000000000000000000879927855856741 0.0000000000000000392337832730124
"alss" -2.95963258459589 9.36788053477806 258.287992129733 0.000000000000000000126382267417746 0.0000000000000000500895053198999
"cada" -2.7079210464073 8.13854505999699 247.953067444288 0.000000000000000000265683194900297 0.0000000000000000947691956209361
"alsd" -2.80825661415795 8.29535963973004 241.927858036429 0.000000000000000000414812559415034 0.000000000000000134512399948493
"xkdk" -4.24492255818719 6.39114833400102 236.591801136781 0.000000000000000000620412667315659 0.00000000000000018441766535958
"xkdi" -3.69811384123076 4.84303307067514 233.015787303922 0.000000000000000000816083968002103 0.000000000000000223920885681808
"xkdo" -2.79456922356022 6.50593427742001 227.652378159202 0.00000000000000000123948263069383 0.000000000000000315802467406064
"xkdm" -4.38272769742379 5.09056192852001 220.893734392459 0.00000000000000000212419156263828 0.000000000000000505132753595383
"srfaa" -1.97857426891326 15.4610029387712 217.104273956567 0.00000000000000000289083585470652 0.000000000000000644475718358634
"rbn" -1.6972745226214 8.22029092723063 213.950178144355 0.00000000000000000374905222857955 0.000000000000000786639370549604
"yjgd" -2.35336809583149 6.23790642162468 209.611451555314 0.00000000000000000538922233280055 0.00000000000000106796422561664
"ysnf" -3.11465732733097 7.24483139963026 208.570230288283 0.00000000000000000588510921355374 0.00000000000000110485181919717
"csbc" -1.92282902560746 10.981854649036 205.546364655567 0.00000000000000000761529515558853 0.00000000000000135818789099921
"poxb" -2.15929185384838 9.10799619303202 202.296298434478 0.000000000000000010081692266732 0.00000000000000171244744359206
"narh" -4.00470362350197 8.13939144565115 201.2287739127 0.0000000000000000110639684199877 0.00000000000000179387160700438
"ykzl" -3.94635337377583 4.60084567266011 197.164602592445 0.0000000000000000158226016102012 0.00000000000000239474678802462
"nark" -3.34032385726861 6.33736088182336 196.960045470969 0.0000000000000000161126781364146 0.00000000000000239474678802462
"xkdh" -4.23287677235023 4.3353079629005 195.277532734792 0.0000000000000000187206698497162 0.00000000000000267106517415751
"copa" -2.43433407125231 9.39076703028731 194.165146684188 0.0000000000000000206848689585698 0.00000000000000278385153295813
"clpc" -1.12013542967336 10.5955963007073 193.958966941513 0.0000000000000000210720469273533 0.00000000000000278385153295813
"nari" -4.25265159580387 9.6401760905701 193.242743803522 0.0000000000000000224770554328706 0.00000000000000286341631175177
"amhx" -1.72080667042685 7.96821933121454 191.910212965284 0.0000000000000000253584697983511 0.00000000000000310478902842117
"yfkt" -2.14052161135802 7.42117811176208 191.587606031333 0.0000000000000000261126074720031 0.00000000000000310478902842117
"lyxe" -2.71291801695123 6.87827782949347 189.340974196471 0.0000000000000000320608523227028 0.00000000000000368906645919615
"narg" -4.1447611991226 9.66719998308371 186.202445550314 0.0000000000000000428497873164735 0.00000000000000477641222993316
"cuti" 1.78488676062362 5.61878379297254 182.556360166738 0.0000000000000000603252195365147 0.00000000000000652060782081054
"mcsb" -1.5090221878109 9.06510985863147 181.890543491584 0.0000000000000000642521107127354 0.0000000000000067408023209508
"bmru" -1.60595211953908 8.60576812198736 178.334669671264 0.0000000000000000902732233257713 0.00000000000000916029102533713
"narj" -4.19930134860863 7.35772027727768 178.087591390028 0.0000000000000000924503719966741 0.00000000000000916029102533713
"yocb" -1.97721073830106 7.17829412837067 176.659603630774 0.000000000000000106158435945454 0.0000000000000102342470545252
"yqxl" -2.01438251374849 7.04991188627088 176.274919617141 0.000000000000000110204058538451 0.0000000000000103446809685962
"trua" 1.87184770244654 8.19373644717254 174.738928371105 0.000000000000000128038942137615 0.0000000000000117106386308941
"yxna" -1.97096009127056 7.94291684720262 172.174287075218 0.000000000000000164875071585598 0.0000000000000147027345086457
"xkdu" -3.76249112668475 3.74525331097313 171.797722327588 0.000000000000000171155146932092 0.000000000000014890497783092
"gsib" -2.54472732905129 10.8552417320493 170.703951994427 0.000000000000000190857654365105 0.0000000000000162092679314364
"yjgc" -2.34129265432064 8.75391502488709 169.528717752952 0.000000000000000214697489615786 0.0000000000000178099057083606
"ydad" -2.49749261881341 7.50058585200971 166.90191642691 0.00000000000000027997611462005 0.0000000000000226971545647664
"yfla" -1.87926001146939 8.56950595104876 163.456606826111 0.000000000000000398630262677209 0.0000000000000315980921548801
"dppa" -1.64113407095791 7.879841597488 161.795959417381 0.000000000000000473652495610566 0.0000000000000362897319882822
"ydat" -2.17215283521972 5.82097504378676 161.679184733851 0.00000000000000047945631623732 0.0000000000000362897319882822
"xkdv" -3.20109576589222 4.81653188981011 161.503288319679 0.000000000000000488339538950811 0.0000000000000362897319882822
"srft" -1.49242014962716 7.32906938199594 159.690614717421 0.000000000000000590596562223462 0.0000000000000429930191316549
"ydas" -2.31009887572772 8.81102926821415 158.416629595473 0.000000000000000675725033116522 0.0000000000000482062238625327
"ywtg" -2.38280459527684 8.08259205079715 153.5953459302 0.00000000000000113374648298472 0.0000000000000792955628393434
"yerd" -2.24726204226364 7.87589447068589 153.048686099883 0.00000000000000120323295656814 0.0000000000000816754593788376
"copz" -2.97989780639515 7.02471035394047 152.970208595613 0.0000000000000012135686422984 0.0000000000000816754593788376
"cutr" 2.13930335826874 5.06489006937101 152.760731468093 0.00000000000000124161524506376 0.0000000000000820155847989336
"yuec" 1.66077117991164 5.39352679833008 152.553455998037 0.00000000000000127003594152231 0.0000000000000823676036983649
"ydbd" -2.46857683346632 7.86659308691045 151.897026784046 0.00000000000000136462543307809 0.0000000000000869217664248133
"ydhk" -1.97778298832422 7.14699494267268 149.631730188989 0.00000000000000175184655948351 0.000000000000109628713643468
"gspa" -2.16842906581432 10.2367171479865 149.213979677651 0.00000000000000183502735089092 0.000000000000112854182079791
"xlya" -3.09797997463334 5.6564721919876 147.166080933156 0.00000000000000230701221782012 0.000000000000138415462969718
"ycdg" -2.02022044371599 7.89540797107932 147.084491278185 0.00000000000000232826682875893 0.000000000000138415462969718
"ydjj" -1.97499696006908 5.56079716716772 145.588784652088 0.00000000000000275647987807356 0.00000000000016118629057522
"metn" 1.71008355946133 6.15078291955186 144.470473436998 0.0000000000000031301260117776 0.000000000000180083217484043
"cypc" -2.00214821737875 7.46340157983401 143.062531064814 0.00000000000000367741563679563 0.000000000000208211771054762
"yhcm" -1.87671771502143 5.89049294293186 141.008262479411 0.0000000000000046624730603088 0.000000000000259860021970648
"yitt" -1.33784763566528 8.68701857884172 140.460693861821 0.00000000000000496921089641563 0.000000000000272695004115609
"yxbg" -1.912444216527 7.51667411605296 139.656086929689 0.00000000000000545883396121598 0.000000000000295025162722082
"xkdq" -3.99368236216811 4.49122830296677 139.390131311994 0.00000000000000563157809388674 0.000000000000299818493446179
"aldy" -1.91676594925494 6.40698332054214 139.023516642649 0.00000000000000587914332809706 0.000000000000306308481983415
"yqhb" -2.38058040144426 6.73318927806255 138.957059613492 0.00000000000000592522715359002 0.000000000000306308481983415
"xkdj" -4.0363719567343 4.05257499902907 137.928266907978 0.00000000000000668897401589704 0.000000000000340851004495782
"csbx" -1.94414171906448 7.6614505666925 137.703213648925 0.00000000000000686939262479775 0.000000000000345114415389487
"ygxb" -2.20224971921466 7.86696599508194 137.326812052677 0.00000000000000718262350286979 0.000000000000355839139371341
"ddah" -1.97062970794698 7.75275302694412 133.731418606269 0.0000000000000110495843608881 0.000000000000539915991990246
"ydac" -1.96335207734072 5.59440652500794 132.960668602111 0.0000000000000121324480284017 0.000000000000584816785369037
"yfkr" -2.07542063549091 6.90263965341398 132.527384897603 0.0000000000000127894735579625 0.000000000000608267362416695
"cutj" 1.86614738919345 6.29968307420582 128.561815535659 0.0000000000000208536459915226 0.000000000000978749411207382
"bofc" -2.10011352311418 6.36378579342254 128.288948929852 0.0000000000000215761800438566 0.000000000000992162413708576
"xtmb" -3.06281454047483 4.56395135408652 128.244724940235 0.0000000000000216957298203726 0.000000000000992162413708576
"yukab" 1.21530513802545 8.60694564599306 126.433432406655 0.0000000000000272397568852317 0.00000000000122992674442559
"lich" -2.28225464147484 8.12199493526368 126.142377814285 0.0000000000000282607553788622 0.00000000000126007643045502
"metp" 1.52883435936161 6.15273768402135 124.392422776984 0.0000000000000353067619588097 0.00000000000155480518403795
"xkdt" -3.69998993069729 4.44388095047948 123.143375973672 0.0000000000000414465931861474 0.00000000000180292680359741
"phoe" 1.17581031299383 7.21045288139077 122.6288694788 0.0000000000000442920406578662 0.0000000000019034904702001
"cate" 2.34882323233916 5.00216069103853 120.976809740471 0.0000000000000548956314144414 0.00000000000233110377684896
"kate" -1.49365226851534 10.105482717759 119.870806718474 0.0000000000000634562421610746 0.00000000000266292253868886
"yybf" -1.75195059241302 6.97394673607632 119.391084861828 0.0000000000000675939209466074 0.00000000000280357576763429
"ipi" -1.34254978293533 6.9193019088674 119.069023929169 0.0000000000000705295533654715 0.00000000000289171168798433
"yfhf" -1.77181509518956 6.91962481041795 118.113766494212 0.0000000000000800488452806543 0.00000000000324205209599805
"nupg" 1.10932062148192 7.00865272814015 118.03494258526 0.0000000000000808922446155947 0.00000000000324205209599805
